Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.937158826,7.697699944
 01/01  02:00:00,0.807448742,7.663577244
 01/01  03:00:00,0.758086466,7.694072105
 01/01  04:00:00,0.753015553,7.985983942
 01/01  05:00:00,0.752221511,8.105709039
 01/01  06:00:00,0.800548032,8.183039248
 01/01  07:00:00,1.019335813,8.447875983
 01/01  08:00:00,1.35250918,8.766967671
 01/01  09:00:00,1.320213791,8.800756004
 01/01  10:00:00,1.120390401,7.620942961
 01/01  11:00:00,1.161298246,8.950022611
 01/01  12:00:00,1.193653592,9.269123231
 01/01  13:00:00,1.157448161,8.633032182
 01/01  14:00:00,1.08038615,6.872471862
 01/01  15:00:00,1.058513247,6.107083246
 01/01  16:00:00,1.130274857,6.150203165
 01/01  17:00:00,1.407285955,6.665179157
 01/01  18:00:00,1.93709296,8.155719668
 01/01  19:00:00,2.252642476,7.383214044
 01/01  20:00:00,2.21744869,7.410905477
 01/01  21:00:00,2.069028542,7.559138053
 01/01  22:00:00,1.904539527,7.695620504
 01/01  23:00:00,1.589169491,7.987941506
 01/01  24:00:00,1.268166247,8.094890826
 01/02  01:00:00,0.954235514,8.465655469
 01/02  02:00:00,0.83122531,8.575160351
 01/02  03:00:00,0.786070047,8.709320151
 01/02  04:00:00,0.775025509,8.760158703
 01/02  05:00:00,0.773539386,8.893466103
 01/02  06:00:00,0.838183756,9.532983258
 01/02  07:00:00,1.076439827,10.61218869
 01/02  08:00:00,1.387075463,10.50948263
 01/02  09:00:00,1.295174737,8.947025653
 01/02  10:00:00,1.079543461,7.656823881
 01/02  11:00:00,1.087204677,8.078582384
 01/02  12:00:00,1.125516391,8.680694255
 01/02  13:00:00,1.086329829,7.7826633
 01/02  14:00:00,1.053075906,7.355919709
 01/02  15:00:00,1.051651719,7.122226385
 01/02  16:00:00,1.141209785,7.685923167
 01/02  17:00:00,1.409759796,7.881231417
 01/02  18:00:00,1.936744063,9.24432037
 01/02  19:00:00,2.24123986,8.048212305
 01/02  20:00:00,2.210396618,8.199145869
 01/02  21:00:00,2.065273572,8.488116469
 01/02  22:00:00,1.922026346,9.368702321
 01/02  23:00:00,1.610227455,9.563030099
 01/02  24:00:00,1.312182246,10.03237494
 01/03  01:00:00,1.022940617,10.74710481
 01/03  02:00:00,0.930576599,11.87588389
 01/03  03:00:00,0.890713063,12.18871628
 01/03  04:00:00,0.877463309,12.16849181
 01/03  05:00:00,0.864458669,11.91585544
 01/03  06:00:00,0.910764627,11.9464189
 01/03  07:00:00,1.138816086,12.68410583
 01/03  08:00:00,1.427341726,11.85340778
 01/03  09:00:00,1.35729087,11.00271475
 01/03  10:00:00,1.173988871,10.78833047
 01/03  11:00:00,1.192080655,11.56117828
 01/03  12:00:00,1.165960495,10.03740722
 01/03  13:00:00,1.13555719,9.428712466
 01/03  14:00:00,1.070561353,7.937327243
 01/03  15:00:00,1.052391859,7.148002025
 01/03  16:00:00,1.131153191,7.351621218
 01/03  17:00:00,1.410666501,7.903980309
 01/03  18:00:00,1.942285992,9.42161923
 01/03  19:00:00,2.251659875,8.390287925
 01/03  20:00:00,2.215951494,8.381836379
 01/03  21:00:00,2.067483815,8.55682026
 01/03  22:00:00,1.903218382,8.741542425
 01/03  23:00:00,1.593729915,9.005465467
 01/03  24:00:00,1.28495519,9.119321887
 01/04  01:00:00,0.978040505,9.248659573
 01/04  02:00:00,0.855916437,9.388229953
 01/04  03:00:00,0.811316714,9.536126667
 01/04  04:00:00,0.80198007,9.644432996
 01/04  05:00:00,0.79709353,9.664153685
 01/04  06:00:00,0.848400989,9.86364517
 01/04  07:00:00,1.063287109,10.16766357
 01/04  08:00:00,1.373773109,10.06468795
 01/04  09:00:00,1.326843473,9.981899275
 01/04  10:00:00,1.138375244,9.601390044
 01/04  11:00:00,1.169887639,10.82001181
 01/04  12:00:00,1.142004286,9.238680903
 01/04  13:00:00,1.120363439,8.919467184
 01/04  14:00:00,1.092805199,8.663608186
 01/04  15:00:00,1.082428655,8.142681422
 01/04  16:00:00,1.146459598,7.860548267
 01/04  17:00:00,1.419555563,8.20109056
 01/04  18:00:00,1.953456498,9.791636135
 01/04  19:00:00,2.259393972,8.648846034
 01/04  20:00:00,2.21556022,8.372022785
 01/04  21:00:00,2.063950497,8.440297487
 01/04  22:00:00,1.902854278,8.728450801
 01/04  23:00:00,1.587195953,8.787600406
 01/04  24:00:00,1.290082577,9.287507883
 01/05  01:00:00,0.98700149,9.542759894
 01/05  02:00:00,0.883160149,10.28838029
 01/05  03:00:00,0.849963348,10.81850011
 01/05  04:00:00,0.855435885,11.41796721
 01/05  05:00:00,0.860575288,11.77406459
 01/05  06:00:00,0.930283912,12.58175305
 01/05  07:00:00,1.17582638,13.90467886
 01/05  08:00:00,1.481197543,13.63774283
 01/05  09:00:00,1.420946675,13.11315582
 01/05  10:00:00,1.227250034,12.55556561
 01/05  11:00:00,1.243320003,13.25615841
 01/05  12:00:00,1.192754888,10.92655882
 01/05  13:00:00,1.152542934,9.985135522
 01/05  14:00:00,1.105358119,9.081549198
 01/05  15:00:00,1.092651744,8.477379393
 01/05  16:00:00,1.143654627,7.764361822
 01/05  17:00:00,1.408722717,7.841949242
 01/05  18:00:00,1.924175412,8.816920473
 01/05  19:00:00,2.226051618,7.530817537
 01/05  20:00:00,2.182891598,7.282399889
 01/05  21:00:00,2.033386147,7.417325874
 01/05  22:00:00,1.862832754,7.391979834
 01/05  23:00:00,1.545522657,7.398130337
 01/05  24:00:00,1.23831536,7.562966273
 01/06  01:00:00,0.936147814,7.846244027
 01/06  02:00:00,0.814751555,8.010509563
 01/06  03:00:00,0.770719107,8.178475673
 01/06  04:00:00,0.759431376,8.222120852
 01/06  05:00:00,0.754795357,8.252817506
 01/06  06:00:00,0.810437447,8.597070605
 01/06  07:00:00,1.028046884,8.992200108
 01/06  08:00:00,1.35608459,9.476799614
 01/06  09:00:00,1.294331886,8.900320433
 01/06  10:00:00,1.105364092,8.50362756
 01/06  11:00:00,1.126058643,9.361402995
 01/06  12:00:00,1.11236714,8.245986497
 01/06  13:00:00,1.082860933,7.672979369
 01/06  14:00:00,1.058135459,7.510605319
 01/06  15:00:00,1.061552998,7.444510987
 01/06  16:00:00,1.114340118,6.791786857
 01/06  17:00:00,1.376454875,6.769896513
 01/06  18:00:00,1.887887722,7.618579638
 01/06  19:00:00,2.22375868,7.443260165
 01/06  20:00:00,2.158623517,6.476422602
 01/06  21:00:00,2.000684382,6.339794563
 01/06  22:00:00,1.828598999,6.258809294
 01/06  23:00:00,1.512325908,6.297658183
 01/06  24:00:00,1.207607425,6.545371785
 01/07  01:00:00,0.911002543,6.810394736
 01/07  02:00:00,0.789539426,7.05348126
