Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.775026272,4.947006035
 01/01  02:00:00,0.677139972,5.472529548
 01/01  03:00:00,0.64434796,5.896197474
 01/01  04:00:00,0.635279025,6.058905042
 01/01  05:00:00,0.636470867,6.209610137
 01/01  06:00:00,0.690140999,6.520512378
 01/01  07:00:00,0.889114597,6.81795527
 01/01  08:00:00,1.171180719,6.650936091
 01/01  09:00:00,1.143322919,6.549711326
 01/01  10:00:00,0.996631376,5.828861233
 01/01  11:00:00,1.019883487,6.50125196
 01/01  12:00:00,0.981983705,4.294603709
 01/01  13:00:00,0.929059067,2.955886201
 01/01  14:00:00,0.902380306,2.904672442
 01/01  15:00:00,0.892824224,2.636366052
 01/01  16:00:00,0.956307858,2.71425635
 01/01  17:00:00,1.192678034,2.920647822
 01/01  18:00:00,1.657418583,4.43574077
 01/01  19:00:00,1.916897537,3.693765762
 01/01  20:00:00,1.869534945,3.71466976
 01/01  21:00:00,1.744435706,3.88242491
 01/01  22:00:00,1.605687603,4.024579099
 01/01  23:00:00,1.325536544,4.23704483
 01/01  24:00:00,1.041982301,4.422795195
 01/02  01:00:00,0.762086835,4.695503495
 01/02  02:00:00,0.655111492,4.789935955
 01/02  03:00:00,0.614380858,4.869173511
 01/02  04:00:00,0.597895407,4.707948614
 01/02  05:00:00,0.592358031,4.650123702
 01/02  06:00:00,0.640544085,4.787300587
 01/02  07:00:00,0.830821076,4.960065739
 01/02  08:00:00,1.115080421,5.251554222
 01/02  09:00:00,1.06549216,4.755508777
 01/02  10:00:00,0.916830621,4.439164536
 01/02  11:00:00,0.932146014,5.047736853
 01/02  12:00:00,0.927373934,4.150227929
 01/02  13:00:00,0.906759006,3.852139797
 01/02  14:00:00,0.880258108,3.657308769
 01/02  15:00:00,0.881054304,3.613673743
 01/02  16:00:00,0.945311322,3.643547411
 01/02  17:00:00,1.177881243,3.655514985
 01/02  18:00:00,1.62571339,4.507197569
 01/02  19:00:00,1.908010675,4.559292198
 01/02  20:00:00,1.835915793,3.644035815
 01/02  21:00:00,1.699105467,3.401867302
 01/02  22:00:00,1.550861717,3.231797531
 01/02  23:00:00,1.272471798,3.252927889
 01/02  24:00:00,0.998731171,3.35094247
 01/03  01:00:00,0.729870619,3.492282839
 01/03  02:00:00,0.62183057,3.546922819
 01/03  03:00:00,0.582908765,3.693712429
 01/03  04:00:00,0.575088039,3.856018395
 01/03  05:00:00,0.569248355,3.786924516
 01/03  06:00:00,0.614644316,3.820074673
 01/03  07:00:00,0.806137891,4.038575822
 01/03  08:00:00,1.08084509,3.973406724
 01/03  09:00:00,1.046935104,4.062933468
 01/03  10:00:00,0.909056621,4.149181697
 01/03  11:00:00,0.924797571,4.773604091
 01/03  12:00:00,0.920250856,3.884609138
