Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.744468185,4.051178299
 01/01  02:00:00,0.641354192,4.276569812
 01/01  03:00:00,0.60460189,4.508545437
 01/01  04:00:00,0.598356542,4.764863697
 01/01  05:00:00,0.60570488,5.123117542
 01/01  06:00:00,0.657946324,5.373789112
 01/01  07:00:00,0.900242096,7.329759646
 01/01  08:00:00,1.162378515,6.114262296
 01/01  09:00:00,1.100025361,5.267134547
 01/01  10:00:00,0.957526111,4.517363345
 01/01  11:00:00,0.970154717,4.760173554
 01/01  12:00:00,0.937150557,2.813451463
 01/01  13:00:00,0.891885299,1.800102608
 01/01  14:00:00,0.84957638,1.19574822
 01/01  15:00:00,0.841480655,1.009384682
 01/01  16:00:00,0.902800691,1.057301326
 01/01  17:00:00,1.137293028,1.358399942
 01/01  18:00:00,1.588874877,2.684924037
 01/01  19:00:00,1.84734298,2.26629027
 01/01  20:00:00,1.802149879,2.430790021
 01/01  21:00:00,1.686689888,2.80953534
 01/01  22:00:00,1.558557245,3.184674533
 01/01  23:00:00,1.282837754,3.336539543
 01/01  24:00:00,1.011067122,3.742903741
 01/02  01:00:00,0.74205922,4.188945536
 01/02  02:00:00,0.644550003,4.527576895
 01/02  03:00:00,0.606001345,4.648355696
 01/02  04:00:00,0.594868075,4.683192752
 01/02  05:00:00,0.595604469,4.844790689
 01/02  06:00:00,0.64910837,5.172603531
 01/02  07:00:00,0.839408883,5.450305244
 01/02  08:00:00,1.157468398,6.615769255
 01/02  09:00:00,1.065565254,5.106046584
 01/02  10:00:00,0.899859837,3.980678095
 01/02  11:00:00,0.905061176,4.179394779
 01/02  12:00:00,0.879760601,2.578958604
 01/02  13:00:00,0.843502367,1.729352631
 01/02  14:00:00,0.810784134,1.325185956
 01/02  15:00:00,0.799518354,0.867766951
 01/02  16:00:00,0.866563251,1.047770219
 01/02  17:00:00,1.100192485,1.267658898
 01/02  18:00:00,1.542366945,2.224840587
 01/02  19:00:00,1.796409012,1.591757128
 01/02  20:00:00,1.747495264,1.610698132
 01/02  21:00:00,1.623979968,1.725070026
 01/02  22:00:00,1.491347595,1.978085985
 01/02  23:00:00,1.223054268,2.148362813
 01/02  24:00:00,0.957447038,2.336916191
 01/03  01:00:00,0.700029694,2.673967631
 01/03  02:00:00,0.598220509,2.857462407
 01/03  03:00:00,0.560769387,3.017773939
 01/03  04:00:00,0.552642628,3.161008866
 01/03  05:00:00,0.554086677,3.348214809
 01/03  06:00:00,0.604949758,3.581230868
 01/03  07:00:00,0.81539281,4.585860577
 01/03  08:00:00,1.081670712,3.884765858
 01/03  09:00:00,1.028503324,3.771469896
 01/03  10:00:00,0.894855248,3.801647965
 01/03  11:00:00,0.91594651,4.57301823
 01/03  12:00:00,0.907688615,3.586808259
 01/03  13:00:00,0.883865702,3.185367902
 01/03  14:00:00,0.855355256,2.932806673
 01/03  15:00:00,0.855392323,2.882783444
 01/03  16:00:00,0.91679755,2.859477776
 01/03  17:00:00,1.142278076,2.785695279
 01/03  18:00:00,1.578729762,3.536768378
 01/03  19:00:00,1.827376343,2.709352477
 01/03  20:00:00,1.772907436,2.528047093
 01/03  21:00:00,1.645385611,2.497870925
 01/03  22:00:00,1.508022988,2.580222108
 01/03  23:00:00,1.236176176,2.62216283
 01/03  24:00:00,0.969765356,2.781495856
 01/04  01:00:00,0.707624759,2.948006088
 01/04  02:00:00,0.604686873,3.090695892
 01/04  03:00:00,0.565976804,3.205587457
 01/04  04:00:00,0.55778193,3.346376082
 01/04  05:00:00,0.556372661,3.430809511
 01/04  06:00:00,0.607223656,3.66378376
 01/04  07:00:00,0.796752818,3.915183175
 01/04  08:00:00,1.107905279,4.832089769
 01/04  09:00:00,1.035672095,4.031408333
 01/04  10:00:00,0.894787515,3.800549502
 01/04  11:00:00,0.915883037,4.571883454
 01/04  12:00:00,0.908042233,3.600534229
 01/04  13:00:00,0.881479644,3.100188016
 01/04  14:00:00,0.854997751,2.920671483
 01/04  15:00:00,0.851205381,2.732510426
 01/04  16:00:00,0.910580301,2.636017257
 01/04  17:00:00,1.135516398,2.542703315
 01/04  18:00:00,1.57051395,3.24155062
 01/04  19:00:00,1.818437648,2.388248527
 01/04  20:00:00,1.764819184,2.237625117
 01/04  21:00:00,1.637578932,2.217495728
 01/04  22:00:00,1.499025934,2.256803704
 01/04  23:00:00,1.228250399,2.337143662
 01/04  24:00:00,0.961016068,2.466547
 01/05  01:00:00,0.697450841,2.581443968
 01/05  02:00:00,0.59567992,2.766094447
 01/05  03:00:00,0.557509557,2.900410611
 01/05  04:00:00,0.549682288,3.054460771
 01/05  05:00:00,0.548453604,3.145494107
 01/05  06:00:00,0.597801909,3.324674388
 01/05  07:00:00,0.784865833,3.487912368
 01/05  08:00:00,1.095611573,4.390369369
 01/05  09:00:00,1.025179059,3.654564497
 01/05  10:00:00,0.884489355,3.43058427
 01/05  11:00:00,0.89770432,3.917631802
 01/05  12:00:00,0.891631857,3.009863672
 01/05  13:00:00,0.870177958,2.693559366
 01/05  14:00:00,0.84026539,2.390279041
 01/05  15:00:00,0.836909896,2.217788645
 01/05  16:00:00,0.898804767,2.212149714
 01/05  17:00:00,1.124569957,2.148817982
 01/05  18:00:00,1.557882183,2.787097548
 01/05  19:00:00,1.81028973,2.095612199
 01/05  20:00:00,1.756097117,1.924311771
 01/05  21:00:00,1.628890029,1.905277367
 01/05  22:00:00,1.490113203,1.936391652
 01/05  23:00:00,1.219181284,2.010880833
 01/05  24:00:00,0.953216972,2.185836754
 01/06  01:00:00,0.689206865,2.284450455
 01/06  02:00:00,0.585899935,2.413620098
 01/06  03:00:00,0.548357376,2.570538177
 01/06  04:00:00,0.53878804,2.661793458
 01/06  05:00:00,0.537835638,2.762873329
 01/06  06:00:00,0.587515063,2.954356408
 01/06  07:00:00,0.776567469,3.189968091
 01/06  08:00:00,1.085245549,4.018088669
 01/06  09:00:00,1.01016039,3.114512359
 01/06  10:00:00,0.853817863,2.326088176
 01/06  11:00:00,0.855232463,2.387542533
 01/06  12:00:00,0.839409265,1.128085835
 01/06  13:00:00,0.814788399,0.695596485
 01/06  14:00:00,0.792035895,0.647548012
 01/06  15:00:00,0.792231247,0.601913637
 01/06  16:00:00,0.854486111,0.608485159
 01/06  17:00:00,1.083675159,0.669494179
 01/06  18:00:00,1.50275718,0.798445623
 01/06  19:00:00,1.777478196,0.910757831
 01/06  20:00:00,1.728572974,0.930405766
 01/06  21:00:00,1.600127698,0.868820095
 01/06  22:00:00,1.469324995,1.187820564
 01/06  23:00:00,1.20604207,1.537860018
 01/06  24:00:00,0.950723401,2.096379789
 01/07  01:00:00,0.700335057,2.461511687
 01/07  02:00:00,0.599256853,2.759643885
 01/07  03:00:00,0.564666949,3.069364834
 01/07  04:00:00,0.562418073,3.469821131
 01/07  05:00:00,0.562888178,3.580714397
 01/07  06:00:00,0.616480947,3.882632458
 01/07  07:00:00,0.838885982,5.126294137
 01/07  08:00:00,1.111835232,4.302098074
 01/07  09:00:00,1.063292448,3.952670986
 01/07  10:00:00,0.922224744,3.25355279
 01/07  11:00:00,0.923906353,3.100472526
