Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.772599328,5.065338738
 01/01  02:00:00,0.680559449,5.689964945
 01/01  03:00:00,0.647978244,6.072313419
 01/01  04:00:00,0.639773076,6.257977917
 01/01  05:00:00,0.647298861,6.622628941
 01/01  06:00:00,0.7011764,6.932283628
 01/01  07:00:00,0.898462525,7.265604028
 01/01  08:00:00,1.181188178,6.792372532
 01/01  09:00:00,1.128993769,6.311479375
 01/01  10:00:00,0.980107279,5.331440708
 01/01  11:00:00,0.974842273,4.929165366
 01/01  12:00:00,0.938832132,2.874074187
 01/01  13:00:00,0.898390415,2.034619638
 01/01  14:00:00,0.857997043,1.499322943
 01/01  15:00:00,0.849539511,1.299915819
 01/01  16:00:00,0.910037851,1.318209378
 01/01  17:00:00,1.149564635,1.800805655
 01/01  18:00:00,1.601243024,3.130810114
 01/01  19:00:00,1.854070762,2.508834648
 01/01  20:00:00,1.816298305,2.940857201
 01/01  21:00:00,1.700228119,3.297604312
 01/01  22:00:00,1.573414978,3.720313056
 01/01  23:00:00,1.306651451,4.195051
 01/01  24:00:00,1.040254619,4.795146969
 01/02  01:00:00,0.766091872,5.055350615
 01/02  02:00:00,0.66800764,5.373251973
 01/02  03:00:00,0.638175847,5.808283911
 01/02  04:00:00,0.631642517,6.008954142
 01/02  05:00:00,0.630718787,6.110702677
 01/02  06:00:00,0.680558836,6.306429413
 01/02  07:00:00,0.868189107,6.487865809
 01/02  08:00:00,1.145767833,6.193950272
 01/02  09:00:00,1.076394637,5.496458424
 01/02  10:00:00,0.914602259,4.512159568
 01/02  11:00:00,0.909657698,4.345104751
 01/02  12:00:00,0.891822679,3.013810567
 01/02  13:00:00,0.86135316,2.372894463
 01/02  14:00:00,0.824849224,1.832248835
 01/02  15:00:00,0.820900155,1.638605745
 01/02  16:00:00,0.883623104,1.662797782
 01/02  17:00:00,1.117476355,1.890762514
 01/02  18:00:00,1.560963821,2.895279604
 01/02  19:00:00,1.814826254,2.255720135
 01/02  20:00:00,1.769773001,2.413836449
 01/02  21:00:00,1.649452633,2.643389218
 01/02  22:00:00,1.515812212,2.86006388
 01/02  23:00:00,1.249531576,3.102900565
 01/02  24:00:00,0.989606557,3.496304157
 01/03  01:00:00,0.728895493,3.714613296
 01/03  02:00:00,0.627735949,3.921528338
 01/03  03:00:00,0.591046826,4.109310815
 01/03  04:00:00,0.582501797,4.237466613
 01/03  05:00:00,0.585150387,4.468097664
 01/03  06:00:00,0.639750236,4.835828587
 01/03  07:00:00,0.827320184,5.015856276
 01/03  08:00:00,1.110329391,4.917944826
 01/03  09:00:00,1.0503833,4.560268506
 01/03  10:00:00,0.901878483,4.054843764
 01/03  11:00:00,0.916422552,4.59018008
 01/03  12:00:00,0.906215617,3.533705034
 01/03  13:00:00,0.877960725,2.972486625
 01/03  14:00:00,0.848578121,2.68848314
 01/03  15:00:00,0.844501607,2.490160457
