Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.766260317,4.836810032
 01/01  02:00:00,0.667963982,5.235883714
 01/01  03:00:00,0.637234549,5.684990791
 01/01  04:00:00,0.633609842,6.035786316
 01/01  05:00:00,0.632399933,6.085505266
 01/01  06:00:00,0.695479314,6.72689706
 01/01  07:00:00,0.890047135,6.962219461
 01/01  08:00:00,1.189248218,7.082946341
 01/01  09:00:00,1.127918459,6.272713184
 01/01  10:00:00,0.972952225,5.073492694
 01/01  11:00:00,0.970684878,4.779286467
 01/01  12:00:00,0.948196552,3.211672436
 01/01  13:00:00,0.912892473,2.557435668
 01/01  14:00:00,0.871478722,1.985353133
 01/01  15:00:00,0.865212635,1.864950136
 01/01  16:00:00,0.918032723,1.60643378
 01/01  17:00:00,1.151965638,1.887364573
 01/01  18:00:00,1.603655901,3.217797139
 01/01  19:00:00,1.854262584,2.515750042
 01/01  20:00:00,1.820951537,3.108611624
 01/01  21:00:00,1.697402684,3.195744085
 01/01  22:00:00,1.569257795,3.57044179
 01/01  23:00:00,1.296782081,3.839248745
 01/01  24:00:00,1.028305592,4.364370656
 01/02  01:00:00,0.753106031,4.587195935
 01/02  02:00:00,0.665008234,5.265119913
 01/02  03:00:00,0.629302968,5.488406292
 01/02  04:00:00,0.621143601,5.630456032
 01/02  05:00:00,0.62530343,5.915472779
 01/02  06:00:00,0.672254571,6.007050984
 01/02  07:00:00,0.865575295,6.393634846
 01/02  08:00:00,1.146881154,6.234086807
 01/02  09:00:00,1.085784594,5.834977318
 01/02  10:00:00,0.935658351,5.271256133
 01/02  11:00:00,0.952035482,5.872873121
 01/02  12:00:00,0.918387523,3.971504036
 01/02  13:00:00,0.87912666,3.013649806
 01/02  14:00:00,0.844441156,2.538560753
 01/02  15:00:00,0.83464396,2.134085895
 01/02  16:00:00,0.899273331,2.227006643
 01/02  17:00:00,1.132396303,2.428644006
 01/02  18:00:00,1.573703414,3.35455675
 01/02  19:00:00,1.824986731,2.622017123
 01/02  20:00:00,1.77827952,2.720506365
 01/02  21:00:00,1.656935353,2.913150001
 01/02  22:00:00,1.531147935,3.412934515
 01/02  23:00:00,1.265089366,3.663776993
 01/02  24:00:00,0.997678001,3.787289204
 01/03  01:00:00,0.738163907,4.048750409
 01/03  02:00:00,0.635970415,4.21839039
 01/03  03:00:00,0.593017246,4.180346738
 01/03  04:00:00,0.587265212,4.409193293
 01/03  05:00:00,0.583853622,4.421347798
 01/03  06:00:00,0.646007905,5.061424834
 01/03  07:00:00,0.860473306,6.211064877
 01/03  08:00:00,1.155279273,6.538440341
 01/03  09:00:00,1.072016809,5.340181631
 01/03  10:00:00,0.920524489,4.727053948
 01/03  11:00:00,0.935358764,5.272852542
 01/03  12:00:00,0.913790452,3.806786563
 01/03  13:00:00,0.879785971,3.038288835
 01/03  14:00:00,0.844902223,2.555962749
 01/03  15:00:00,0.838384445,2.269629663
 01/03  16:00:00,0.899828855,2.247736583
 01/03  17:00:00,1.129460246,2.323597596
 01/03  18:00:00,1.569549114,3.205795528
 01/03  19:00:00,1.820244611,2.452245348
 01/03  20:00:00,1.765618432,2.265270004
 01/03  21:00:00,1.640489333,2.321354368
 01/03  22:00:00,1.500609183,2.312945974
 01/03  23:00:00,1.239895071,2.756233338
 01/03  24:00:00,0.978390589,3.092445509
 01/04  01:00:00,0.723971873,3.537338543
 01/04  02:00:00,0.626732389,3.885462473
 01/04  03:00:00,0.59449662,4.23375998
 01/04  04:00:00,0.587714701,4.425487266
 01/04  05:00:00,0.591379554,4.692848667
 01/04  06:00:00,0.647849194,5.12838161
 01/04  07:00:00,0.886812812,7.161950667
 01/04  08:00:00,1.13974757,5.980041389
 01/04  09:00:00,1.069486967,5.250473797
 01/04  10:00:00,0.903154601,4.10219273
 01/04  11:00:00,0.897153831,3.896673761
 01/04  12:00:00,0.867382486,2.134703057
 01/04  13:00:00,0.850872507,1.996765176
 01/04  14:00:00,0.825107213,1.84308285
 01/04  15:00:00,0.822392185,1.693761198
 01/04  16:00:00,0.877306845,1.436470487
 01/04  17:00:00,1.115720447,1.829036253
 01/04  18:00:00,1.56009284,2.865857451
 01/04  19:00:00,1.817460734,2.353029801
 01/04  20:00:00,1.776591551,2.662032778
 01/04  21:00:00,1.655401766,2.86002967
 01/04  22:00:00,1.524498735,3.175127896
 01/04  23:00:00,1.256837542,3.367743704
 01/04  24:00:00,1.000750032,3.899002626
 01/05  01:00:00,0.740697472,4.14053532
 01/05  02:00:00,0.642689784,4.460854603
 01/05  03:00:00,0.608863872,4.751793267
 01/05  04:00:00,0.615553599,5.42919812
 01/05  05:00:00,0.612703573,5.461780196
 01/05  06:00:00,0.664880745,5.742944441
 01/05  07:00:00,0.889630189,7.264789245
 01/05  08:00:00,1.143629566,6.121473792
 01/05  09:00:00,1.08400105,5.77516566
 01/05  10:00:00,0.945994808,5.647927319
 01/05  11:00:00,0.976695471,6.765354597
 01/05  12:00:00,0.960679237,5.499102016
 01/05  13:00:00,0.93408822,4.997598622
 01/05  14:00:00,0.904187588,4.694748619
 01/05  15:00:00,0.897035902,4.38540099
 01/05  16:00:00,0.957142825,4.315304674
 01/05  17:00:00,1.182891564,4.25137977
 01/05  18:00:00,1.629826118,5.380760077
 01/05  19:00:00,1.869606243,4.234041461
 01/05  20:00:00,1.813267412,3.985367455
 01/05  21:00:00,1.68377529,3.883954881
 01/05  22:00:00,1.542301973,3.817857619
 01/05  23:00:00,1.268421781,3.786058007
 01/05  24:00:00,0.998980485,3.835664607
 01/06  01:00:00,0.735711786,3.961006931
 01/06  02:00:00,0.630740558,4.030176717
 01/06  03:00:00,0.591129845,4.11253543
 01/06  04:00:00,0.583603926,4.277458254
 01/06  05:00:00,0.585221497,4.471188511
 01/06  06:00:00,0.633778249,4.622198052
 01/06  07:00:00,0.860276406,6.207772589
 01/06  08:00:00,1.148491096,6.29816418
 01/06  09:00:00,1.063864123,5.050594413
 01/06  10:00:00,0.916989508,4.603499422
 01/06  11:00:00,0.930233851,5.091429807
 01/06  12:00:00,0.918797644,3.990129228
 01/06  13:00:00,0.892479029,3.49831879
 01/06  14:00:00,0.859461381,3.083015939
 01/06  15:00:00,0.850595377,2.711789029
 01/06  16:00:00,0.912747571,2.715433908
 01/06  17:00:00,1.141008236,2.742155817
 01/06  18:00:00,1.581191339,3.62832151
 01/06  19:00:00,1.826441623,2.67897079
 01/06  20:00:00,1.773581935,2.555744897
 01/06  21:00:00,1.649295349,2.641901107
 01/06  22:00:00,1.512245472,2.735154301
 01/06  23:00:00,1.240312133,2.773335712
 01/06  24:00:00,0.972052336,2.865312684
 01/07  01:00:00,0.713665097,2.942075143
 01/07  02:00:00,0.606331456,3.014691533
 01/07  03:00:00,0.562997431,3.009176615
 01/07  04:00:00,0.5520549,3.096216639
 01/07  05:00:00,0.558559155,3.42464806
 01/07  06:00:00,0.612121408,3.725465988
 01/07  07:00:00,0.838991772,5.130107986
 01/07  08:00:00,1.138546484,5.26506962
 01/07  09:00:00,1.074704612,4.36409277
 01/07  10:00:00,0.949884755,4.250728361
 01/07  11:00:00,0.952743364,4.140080292
 01/07  12:00:00,0.968817832,3.961531376
 01/07  13:00:00,0.948020458,3.82938201
 01/07  14:00:00,0.918038056,3.668821883
 01/07  15:00:00,0.910686854,3.508765249
 01/07  16:00:00,0.969349305,3.460910537
 01/07  17:00:00,1.19482514,3.437612137
 01/07  18:00:00,1.634188373,4.324900285
 01/07  19:00:00,1.902082321,4.24728135
 01/07  20:00:00,1.824315454,3.237680849
 01/07  21:00:00,1.691965479,3.006869106
 01/07  22:00:00,1.552259932,2.963899915
 01/07  23:00:00,1.272982199,2.986020647
 01/07  24:00:00,0.993411319,3.109533935
 01/08  01:00:00,0.721932671,3.240345712
 01/08  02:00:00,0.616200059,3.370574261
 01/08  03:00:00,0.575846076,3.472461574
 01/08  04:00:00,0.564610282,3.548937481
 01/08  05:00:00,0.564474087,3.63806108
 01/08  06:00:00,0.61493371,3.827392669
 01/08  07:00:00,0.810986027,4.121701409
 01/08  08:00:00,1.109791213,4.229857477
 01/08  09:00:00,1.072292455,4.278554493
 01/08  10:00:00,0.945318888,4.087407577
 01/08  11:00:00,0.961385178,4.452731987
 01/08  12:00:00,0.946651077,3.163328679
 01/08  13:00:00,0.910713904,2.485241901
 01/08  14:00:00,0.873508405,2.064194959
 01/08  15:00:00,0.867030606,1.935547982
 01/08  16:00:00,0.924322449,1.838286671
 01/08  17:00:00,1.151858053,1.889340901
 01/08  18:00:00,1.593360641,2.853938131
 01/08  19:00:00,1.842920712,2.115536156
 01/08  20:00:00,1.789839807,1.995925483
 01/08  21:00:00,1.66339883,1.978045234
 01/08  22:00:00,1.526918482,2.051218657
 01/08  23:00:00,1.25025672,2.167435409
 01/08  24:00:00,0.971267411,2.311676472
 01/09  01:00:00,0.694254508,2.467008864
 01/09  02:00:00,0.59135225,2.61047412
 01/09  03:00:00,0.554286468,2.784494381
 01/09  04:00:00,0.545362044,2.89902332
 01/09  05:00:00,0.543750168,2.976566747
 01/09  06:00:00,0.594838021,3.219835604
 01/09  07:00:00,0.783112843,3.429312026
 01/09  08:00:00,1.092492126,4.283278815
 01/09  09:00:00,1.020591738,3.494411721
 01/09  10:00:00,0.881313455,3.320782273
 01/09  11:00:00,0.899785855,3.996702922
 01/09  12:00:00,0.893606883,3.084480626
 01/09  13:00:00,0.865017371,2.510449553
 01/09  14:00:00,0.833747984,2.157950207
 01/09  15:00:00,0.831916908,2.040129941
 01/09  16:00:00,0.891851601,1.963850431
 01/09  17:00:00,1.125363547,2.180132941
 01/09  18:00:00,1.56585206,3.077814982
 01/09  19:00:00,1.816236941,2.314020931
 01/09  20:00:00,1.764875043,2.244850111
 01/09  21:00:00,1.638899501,2.269849918
 01/09  22:00:00,1.505463181,2.493045169
 01/09  23:00:00,1.241863986,2.831114842
 01/09  24:00:00,0.976812656,3.038141489
 01/10  01:00:00,0.717675602,3.311544991
 01/10  02:00:00,0.614019852,3.427756399
 01/10  03:00:00,0.578653466,3.663015597
 01/10  04:00:00,0.577525522,4.058623962
 01/10  05:00:00,0.57452579,4.086206119
 01/10  06:00:00,0.6274856,4.39726888
 01/10  07:00:00,0.813395872,4.522078361
 01/10  08:00:00,1.127013864,5.529028203
 01/10  09:00:00,1.047260728,4.457028288
 01/10  10:00:00,0.896595598,3.87277076
 01/10  11:00:00,0.911900403,4.434347604
 01/10  12:00:00,0.903054042,3.425825387
 01/10  13:00:00,0.876559294,2.927205667
 01/10  14:00:00,0.846458134,2.616754296
 01/10  15:00:00,0.83217257,2.049871102
 01/10  16:00:00,0.893648682,2.029167343
 01/10  17:00:00,1.123085705,2.098618984
 01/10  18:00:00,1.563242401,2.98449272
 01/10  19:00:00,1.811789711,2.154588678
 01/10  20:00:00,1.761302004,2.116951111
 01/10  21:00:00,1.638175935,2.244596228
 01/10  22:00:00,1.506697655,2.538280336
 01/10  23:00:00,1.238742737,2.71914839
 01/10  24:00:00,0.975802351,3.002088402
 01/11  01:00:00,0.713857364,3.174063167
 01/11  02:00:00,0.614665707,3.451124841
 01/11  03:00:00,0.574833559,3.525363119
 01/11  04:00:00,0.56564471,3.630373388
 01/11  05:00:00,0.56608625,3.782086537
 01/11  06:00:00,0.617350304,4.032308257
 01/11  07:00:00,0.804131906,4.189080406
 01/11  08:00:00,1.117683928,5.193816338
 01/11  09:00:00,1.043553171,4.324479128
 01/11  10:00:00,0.89886588,3.955616271
 01/11  11:00:00,0.914512458,4.529373183
 01/11  12:00:00,0.905619144,3.519027399
 01/11  13:00:00,0.880298814,3.062644693
 01/11  14:00:00,0.849604863,2.730757745
 01/11  15:00:00,0.843446933,2.456824133
 01/11  16:00:00,0.896487716,2.132022477
 01/11  17:00:00,1.123559034,2.116258991
 01/11  18:00:00,1.556223418,2.732172889
 01/11  19:00:00,1.80772088,2.00875527
 01/11  20:00:00,1.757234915,1.971197317
 01/11  21:00:00,1.628406681,1.8931952
 01/11  22:00:00,1.494420183,2.096359213
 01/11  23:00:00,1.224479919,2.205488711
 01/11  24:00:00,0.955530413,2.271613417
 01/12  01:00:00,0.692684876,2.410932023
 01/12  02:00:00,0.587154994,2.45941205
 01/12  03:00:00,0.548187143,2.564785466
 01/12  04:00:00,0.537670994,2.621951568
 01/12  05:00:00,0.537012448,2.734070937
 01/12  06:00:00,0.587561634,2.958798969
 01/12  07:00:00,0.775224446,3.147862175
 01/12  08:00:00,1.085414425,4.031548671
 01/12  09:00:00,1.0131292,3.228716015
 01/12  10:00:00,0.867615581,2.829955393
 01/12  11:00:00,0.868196164,2.860431521
 01/12  12:00:00,0.866260429,2.100790308
 01/12  13:00:00,0.8390438,1.575946879
 01/12  14:00:00,0.808428693,1.246840862
 01/12  15:00:00,0.798987546,0.854485473
 01/12  16:00:00,0.861243947,0.861922827
 01/12  17:00:00,1.089757598,0.898224764
 01/12  18:00:00,1.526475124,1.660398459
 01/12  19:00:00,1.780726424,1.036383374
 01/12  20:00:00,1.733647241,1.121659852
 01/12  21:00:00,1.610608204,1.252291342
 01/12  22:00:00,1.477141973,1.474120476
 01/12  23:00:00,1.21390528,1.824765294
 01/12  24:00:00,0.945112729,1.896377929
 01/13  01:00:00,0.684140095,2.103035922
 01/13  02:00:00,0.58699743,2.453807804
 01/13  03:00:00,0.547637302,2.545016664
 01/13  04:00:00,0.53729693,2.608525917
 01/13  05:00:00,0.53481735,2.655057027
 01/13  06:00:00,0.585383207,2.88064932
 01/13  07:00:00,0.772739543,3.059158164
 01/13  08:00:00,1.07864403,3.78849542
 01/13  09:00:00,1.010380308,3.13061513
 01/13  10:00:00,0.871250221,2.961886362
 01/13  11:00:00,0.886697213,3.528186872
 01/13  12:00:00,0.883857753,2.735847704
