Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.771162293,4.801050041
 01/01  02:00:00,0.67512224,5.317389443
 01/01  03:00:00,0.647910741,5.90841291
 01/01  04:00:00,0.649933449,6.474462351
 01/01  05:00:00,0.648371627,6.542540973
 01/01  06:00:00,0.709374993,7.115331759
 01/01  07:00:00,0.907448697,7.471550125
 01/01  08:00:00,1.19098272,7.094427477
 01/01  09:00:00,1.108260646,5.558762686
 01/01  10:00:00,0.947652333,4.159318667
 01/01  11:00:00,0.946193293,3.830545089
 01/01  12:00:00,0.939104012,2.818525037
 01/01  13:00:00,0.915281889,2.566954629
 01/01  14:00:00,0.862825132,1.63024698
 01/01  15:00:00,0.843817807,1.075087801
 01/01  16:00:00,0.908251945,1.224596652
 01/01  17:00:00,1.147700547,1.673002769
 01/01  18:00:00,1.596216247,2.813742299
 01/01  19:00:00,1.856914922,2.528803559
 01/01  20:00:00,1.803070769,2.40182725
 01/01  21:00:00,1.685767053,2.696188341
 01/01  22:00:00,1.555935669,2.989323868
 01/01  23:00:00,1.281446984,3.170512824
 01/01  24:00:00,1.014168009,3.711224501
 01/02  01:00:00,0.74754383,4.217631163
 01/02  02:00:00,0.65132895,4.603885028
 01/02  03:00:00,0.613777453,4.762780152
 01/02  04:00:00,0.61081063,5.10284131
 01/02  05:00:00,0.616317956,5.431400925
 01/02  06:00:00,0.668191207,5.702192261
 01/02  07:00:00,0.900459819,7.448690065
 01/02  08:00:00,1.152674178,6.313689363
 01/02  09:00:00,1.071145734,5.255020814
 01/02  10:00:00,0.902449856,4.035479186
 01/02  11:00:00,0.9033162,4.016789208
 01/02  12:00:00,0.879525691,2.526784645
 01/02  13:00:00,0.844830852,1.748023315
 01/02  14:00:00,0.808690078,1.231073138
 01/02  15:00:00,0.805928997,1.083019337
 01/02  16:00:00,0.871925933,1.21172062
 01/02  17:00:00,1.114574284,1.72153078
 01/02  18:00:00,1.570884091,3.096245037
 01/02  19:00:00,1.827181439,2.621125433
 01/02  20:00:00,1.78101646,2.742086777
 01/02  21:00:00,1.65895219,2.899827297
 01/02  22:00:00,1.529571562,3.251086604
 01/02  23:00:00,1.26335891,3.479745899
 01/02  24:00:00,1.000286175,3.749424683
 01/03  01:00:00,0.740847439,3.99860683
 01/03  02:00:00,0.638034113,4.139586451
 01/03  03:00:00,0.600049335,4.283548936
 01/03  04:00:00,0.591300248,4.403927309
 01/03  05:00:00,0.589416049,4.472480004
 01/03  06:00:00,0.641794616,4.76185976
 01/03  07:00:00,0.866008004,6.208921614
 01/03  08:00:00,1.119823985,5.133772153
 01/03  09:00:00,1.034992812,3.958374212
 01/03  10:00:00,0.868616993,2.825553035
 01/03  11:00:00,0.856133989,2.37138163
 01/03  12:00:00,0.836782082,1.026575362
 01/03  13:00:00,0.814788399,0.69306573
 01/03  14:00:00,0.792035895,0.645309802
 01/03  15:00:00,0.792231247,0.599925053
 01/03  16:00:00,0.854486111,0.606531377
 01/03  17:00:00,1.083675159,0.668948299
 01/03  18:00:00,1.523457843,1.51884775
 01/03  19:00:00,1.788624246,1.297183874
 01/03  20:00:00,1.751856475,1.729035754
 01/03  21:00:00,1.646279599,2.439971042
 01/03  22:00:00,1.525676866,3.097976734
 01/03  23:00:00,1.272909015,3.809239468
 01/03  24:00:00,1.0152788,4.291193152
 01/04  01:00:00,0.775072145,5.223704081
 01/04  02:00:00,0.686511939,5.891879766
 01/04  03:00:00,0.654790349,6.264573007
 01/04  04:00:00,0.655528482,6.75640411
 01/04  05:00:00,0.6580845,6.982000905
 01/04  06:00:00,0.718163823,7.56440639
 01/04  07:00:00,0.908937502,7.860298301
 01/04  08:00:00,1.187708113,7.662005073
 01/04  09:00:00,1.115820818,6.902359766
 01/04  10:00:00,0.966226325,6.314855156
 01/04  11:00:00,0.984478681,6.884614383
 01/04  12:00:00,0.927116627,4.270764714
 01/04  13:00:00,0.883490363,3.131160134
 01/04  14:00:00,0.859826225,2.996271187
 01/04  15:00:00,0.831062794,1.948135826
 01/04  16:00:00,0.885707805,1.686111235
 01/04  17:00:00,1.128593742,2.197271756
 01/04  18:00:00,1.592473698,3.825927465
 01/04  19:00:00,1.842409488,3.154978052
 01/04  20:00:00,1.797577524,3.324133034
 01/04  21:00:00,1.680803735,3.665554053
 01/04  22:00:00,1.544062541,3.763381721
 01/04  23:00:00,1.270453579,3.763768237
 01/04  24:00:00,1.007589522,4.028129848
 01/05  01:00:00,0.753448696,4.447347457
 01/05  02:00:00,0.662134733,4.989784403
 01/05  03:00:00,0.624277486,5.149988424
 01/05  04:00:00,0.637046701,6.021871358
 01/05  05:00:00,0.642574505,6.389153524
 01/05  06:00:00,0.693106397,6.642536343
 01/05  07:00:00,0.935979433,8.746180736
 01/05  08:00:00,1.178103841,7.329808768
 01/05  09:00:00,1.095169582,6.166714601
 01/05  10:00:00,0.930385099,5.032857837
 01/05  11:00:00,0.910976122,4.309451294
 01/05  12:00:00,0.882137844,2.629125098
 01/05  13:00:00,0.850949008,1.962584212
 01/05  14:00:00,0.815634229,1.472466564
 01/05  15:00:00,0.811254325,1.267547574
 01/05  16:00:00,0.876489212,1.368906024
 01/05  17:00:00,1.120641484,1.92927731
 01/05  18:00:00,1.571415733,3.122388649
 01/05  19:00:00,1.829118489,2.692776477
 01/05  20:00:00,1.785566724,2.901163741
 01/05  21:00:00,1.670176103,3.285212427
 01/05  22:00:00,1.54095518,3.646159743
 01/05  23:00:00,1.279538986,4.050693243
 01/05  24:00:00,1.026151327,4.657563786
 01/06  01:00:00,0.781534344,5.43481432
 01/06  02:00:00,0.691543995,6.062277095
 01/06  03:00:00,0.669054027,6.772434803
 01/06  04:00:00,0.664271275,7.061800103
 01/06  05:00:00,0.678024038,7.703669552
 01/06  06:00:00,0.735777544,8.200122735
 01/06  07:00:00,0.982373175,10.4661474
 01/06  08:00:00,1.226362499,9.053208109
 01/06  09:00:00,1.126464749,7.307419778
 01/06  10:00:00,0.938653058,5.384495672
 01/06  11:00:00,0.917033494,4.575438083
 01/06  12:00:00,0.877560361,2.496518563
 01/06  13:00:00,0.831976066,1.313821991
 01/06  14:00:00,0.792035895,0.652067795
 01/06  15:00:00,0.793142494,0.640280655
 01/06  16:00:00,0.857966152,0.739715705
 01/06  17:00:00,1.103809806,1.375853722
 01/06  18:00:00,1.559491642,2.726465041
 01/06  19:00:00,1.815378252,2.217989621
 01/06  20:00:00,1.785257201,2.876293487
 01/06  21:00:00,1.675386775,3.457287866
 01/06  22:00:00,1.555448244,4.15145132
 01/06  23:00:00,1.300043198,4.782307278
 01/06  24:00:00,1.046428876,5.402060828
 01/07  01:00:00,0.796479474,5.775038893
 01/07  02:00:00,0.696799121,6.145816486
 01/07  03:00:00,0.667772287,6.655979585
 01/07  04:00:00,0.668659242,7.167666494
 01/07  05:00:00,0.681616234,7.736777847
 01/07  06:00:00,0.733659034,7.987479543
 01/07  07:00:00,0.932821743,8.446366395
 01/07  08:00:00,1.218208204,8.106921482
 01/07  09:00:00,1.13707663,6.609824101
 01/07  10:00:00,0.968228508,4.912042004
 01/07  11:00:00,0.959732929,4.335307357
 01/07  12:00:00,0.924211,2.339710857
 01/07  13:00:00,0.877483425,1.281062845
 01/07  14:00:00,0.835623927,0.696832872
 01/07  15:00:00,0.831356819,0.645736749
 01/07  16:00:00,0.891545084,0.652855732
 01/07  17:00:00,1.123363247,0.859269864
 01/07  18:00:00,1.581254318,2.340911363
 01/07  19:00:00,1.84171795,2.021468948
 01/07  20:00:00,1.809806253,2.629700533
 01/07  21:00:00,1.704972465,3.351938227
 01/07  22:00:00,1.582984459,3.940413227
 01/07  23:00:00,1.323513923,4.660902604
 01/07  24:00:00,1.058545439,5.307549298
 01/08  01:00:00,0.798737159,5.863380473
 01/08  02:00:00,0.711773313,6.664994832
 01/08  03:00:00,0.676051395,6.929043913
 01/08  04:00:00,0.671898056,7.312246068
 01/08  05:00:00,0.685282037,7.877599789
 01/08  06:00:00,0.744184223,8.388897432
 01/08  07:00:00,0.980668095,10.10437205
 01/08  08:00:00,1.233083875,8.643909342
 01/08  09:00:00,1.140835897,6.749625288
 01/08  10:00:00,0.967058726,4.871153999
 01/08  11:00:00,0.960297879,4.35300669
 01/08  12:00:00,0.923147027,2.301678481
 01/08  13:00:00,0.875923987,1.226770257
 01/08  14:00:00,0.835623927,0.698305425
 01/08  15:00:00,0.831356819,0.649080244
 01/08  16:00:00,0.891545084,0.65604992
 01/08  17:00:00,1.13053578,1.111471239
 01/08  18:00:00,1.587144978,2.533781826
 01/08  19:00:00,1.850283331,2.311194762
 01/08  20:00:00,1.808673413,2.596185256
 01/08  21:00:00,1.690645679,2.87059594
 01/08  22:00:00,1.563779855,3.272849647
 01/08  23:00:00,1.309087785,4.134101436
 01/08  24:00:00,1.042034555,4.706013433
 01/09  01:00:00,0.769244991,5.019788783
 01/09  02:00:00,0.681778642,5.713256435
 01/09  03:00:00,0.652428044,6.177397398
 01/09  04:00:00,0.651494703,6.594185842
 01/09  05:00:00,0.646056235,6.564127481
 01/09  06:00:00,0.698836264,6.889365369
 01/09  07:00:00,0.93153653,8.625039123
 01/09  08:00:00,1.176999917,7.298427449
 01/09  09:00:00,1.077423624,5.54326728
 01/09  10:00:00,0.904925294,4.167297791
 01/09  11:00:00,0.905708583,4.122566759
 01/09  12:00:00,0.875039061,2.37846077
 01/09  13:00:00,0.834025159,1.376613682
 01/09  14:00:00,0.792035895,0.653556272
 01/09  15:00:00,0.792231247,0.60808591
 01/09  16:00:00,0.854486111,0.615204634
 01/09  17:00:00,1.089668894,0.887461297
 01/09  18:00:00,1.542261777,2.150885501
 01/09  19:00:00,1.810682093,2.049965421
 01/09  20:00:00,1.769750477,2.345564629
 01/09  21:00:00,1.65885421,2.884736871
 01/09  22:00:00,1.53514036,3.440263465
 01/09  23:00:00,1.284540317,4.220289012
 01/09  24:00:00,1.021176096,4.497143497
 01/10  01:00:00,0.778543685,5.347741936
 01/10  02:00:00,0.68379909,5.788375273
 01/10  03:00:00,0.645901497,5.951727866
 01/10  04:00:00,0.645737268,6.394798171
 01/10  05:00:00,0.655019392,6.861100119
 01/10  06:00:00,0.717725819,7.529055482
 01/10  07:00:00,0.904984329,7.709917558
 01/10  08:00:00,1.185367296,7.580663188
 01/10  09:00:00,1.103106108,6.463524486
 01/10  10:00:00,0.914406108,4.514860312
 01/10  11:00:00,0.897679439,3.874571825
