Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.968236616,8.461858168
 01/01  02:00:00,0.840533313,8.487971739
 01/01  03:00:00,0.792453522,8.55679114
 01/01  04:00:00,0.78116535,8.641257896
 01/01  05:00:00,0.785858143,8.936025606
 01/01  06:00:00,0.836308997,9.085541905
 01/01  07:00:00,1.064350551,9.664654738
 01/01  08:00:00,1.413215597,10.48487414
 01/01  09:00:00,1.365383223,10.01694167
 01/01  10:00:00,1.177230984,9.242494264
 01/01  11:00:00,1.186132303,9.489060722
 01/01  12:00:00,1.181700324,8.627390827
 01/01  13:00:00,1.115493717,7.040190708
 01/01  14:00:00,1.057572734,5.939624018
 01/01  15:00:00,1.058666317,5.933327818
 01/01  16:00:00,1.142024895,6.343514203
 01/01  17:00:00,1.422993878,6.978960199
 01/01  18:00:00,1.954989461,8.497367688
 01/01  19:00:00,2.277754761,7.9869525
 01/01  20:00:00,2.248420764,8.200205904
 01/01  21:00:00,2.101097209,8.38138617
 01/01  22:00:00,1.941240978,8.658285074
 01/01  23:00:00,1.62657942,8.958990073
 01/01  24:00:00,1.310153312,9.202654292
 01/02  01:00:00,1.001480194,9.719354118
 01/02  02:00:00,0.87921478,9.850278049
 01/02  03:00:00,0.834146615,9.980616393
 01/02  04:00:00,0.827102094,10.15805541
 01/02  05:00:00,0.82311044,10.20660981
 01/02  06:00:00,0.880619073,10.60726281
 01/02  07:00:00,1.116404246,11.58864745
 01/02  08:00:00,1.412445976,11.02894386
 01/02  09:00:00,1.329986109,9.81167982
 01/02  10:00:00,1.156481349,9.910534761
 01/02  11:00:00,1.180962769,10.8619562
 01/02  12:00:00,1.151983203,9.292447789
 01/02  13:00:00,1.125670115,8.831961438
 01/02  14:00:00,1.099627108,8.631258665
 01/02  15:00:00,1.101837261,8.528500899
 01/02  16:00:00,1.178177126,8.65013348
 01/02  17:00:00,1.43688624,8.522292187
 01/02  18:00:00,1.959159581,9.696576012
 01/02  19:00:00,2.263021207,8.517019134
 01/02  20:00:00,2.219902863,8.279149268
 01/02  21:00:00,2.065248638,8.243197437
 01/02  22:00:00,1.899589927,8.37360837
 01/02  23:00:00,1.588162585,8.560889681
 01/02  24:00:00,1.282005913,8.750271944
 01/03  01:00:00,0.980225006,9.032466102
 01/03  02:00:00,0.861352387,9.271699263
 01/03  03:00:00,0.81645675,9.405441009
 01/03  04:00:00,0.807853747,9.534664291
 01/03  05:00:00,0.812887018,9.873538492
