Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.68387388,1.866683088
 01/01  02:00:00,0.59156218,2.481509937
 01/01  03:00:00,0.562722473,2.998743768
 01/01  04:00:00,0.562956633,3.488655801
 01/01  05:00:00,0.571060506,3.874147593
 01/01  06:00:00,0.626458879,4.238630115
 01/01  07:00:00,0.863907884,6.019869292
 01/01  08:00:00,1.124038227,4.732050369
 01/01  09:00:00,1.058847382,3.782620554
 01/01  10:00:00,0.914496042,2.96607934
 01/01  11:00:00,0.906798282,2.476100399
 01/01  12:00:00,0.901440049,1.526046092
 01/01  13:00:00,0.862598906,0.742585702
 01/01  14:00:00,0.835623927,0.688826473
 01/01  15:00:00,0.831356819,0.640145807
 01/01  16:00:00,0.891545084,0.645516755
 01/01  17:00:00,1.119593078,0.714509523
 01/01  18:00:00,1.53810911,0.850606017
 01/01  19:00:00,1.811788512,0.978382598
 01/01  20:00:00,1.762817728,1.006481543
 01/01  21:00:00,1.634983069,0.941077417
 01/01  22:00:00,1.49386948,0.849069967
 01/01  23:00:00,1.209909129,0.705419831
 01/01  24:00:00,0.933214602,0.935967916
 01/02  01:00:00,0.662989658,1.33839589
 01/02  02:00:00,0.568062663,1.77011934
 01/02  03:00:00,0.535131909,2.093430107
 01/02  04:00:00,0.529117111,2.312793972
 01/02  05:00:00,0.533502358,2.605937254
 01/02  06:00:00,0.583183523,2.795936119
 01/02  07:00:00,0.773748814,3.083183396
 01/02  08:00:00,1.084137122,3.972091482
 01/02  09:00:00,0.988880094,2.341457387
 01/02  10:00:00,0.841127497,1.863308925
 01/02  11:00:00,0.819222259,1.084690657
 01/02  12:00:00,0.829634338,0.768505447
 01/02  13:00:00,0.814788399,0.687000859
 01/02  14:00:00,0.792035895,0.639798974
 01/02  15:00:00,0.792231247,0.594238865
 01/02  16:00:00,0.854486111,0.600020106
 01/02  17:00:00,1.083675159,0.660957363
 01/02  18:00:00,1.50275718,0.78759401
 01/02  19:00:00,1.777478196,0.899085991
 01/02  20:00:00,1.728572974,0.918503545
 01/02  21:00:00,1.600127698,0.856378284
 01/02  22:00:00,1.458262622,0.778538711
 01/02  23:00:00,1.181615917,0.648952737
 01/02  24:00:00,0.906894026,0.510865937
 01/03  01:00:00,0.639589165,0.494876929
 01/03  02:00:00,0.543822089,0.896335519
 01/03  03:00:00,0.504252697,0.980281434
 01/03  04:00:00,0.498491219,1.208787608
 01/03  05:00:00,0.502879911,1.502151343
 01/03  06:00:00,0.555675313,1.804829844
 01/03  07:00:00,0.768270983,2.887063921
 01/03  08:00:00,1.027380207,1.92753027
 01/03  09:00:00,0.961707649,1.363408157
 01/03  10:00:00,0.816670382,0.982068471
 01/03  11:00:00,0.814616961,0.919540237
 01/03  12:00:00,0.829634338,0.77006231
 01/03  13:00:00,0.814788399,0.689846355
 01/03  14:00:00,0.792035895,0.643317413
 01/03  15:00:00,0.792231247,0.596082671
 01/03  16:00:00,0.854486111,0.603612714
 01/03  17:00:00,1.083675159,0.665146821
 01/03  18:00:00,1.50275718,0.793705209
 01/03  19:00:00,1.777478196,0.905994378
 01/03  20:00:00,1.728572974,0.925493405
 01/03  21:00:00,1.600127698,0.864556826
 01/03  22:00:00,1.465173879,1.035420115
 01/03  23:00:00,1.203661273,1.449952549
 01/03  24:00:00,0.946320035,1.936264718
 01/04  01:00:00,0.690560709,2.332827269
 01/04  02:00:00,0.5935998,2.690994096
 01/04  03:00:00,0.557908118,2.914701955
 01/04  04:00:00,0.550767447,3.093495807
 01/04  05:00:00,0.555009144,3.381653151
 01/04  06:00:00,0.608568821,3.712278504
 01/04  07:00:00,0.83047531,5.130918222
 01/04  08:00:00,1.084843471,4.000684793
 01/04  09:00:00,1.009290489,3.080320752
 01/04  10:00:00,0.84669773,2.066856936
 01/04  11:00:00,0.843144154,1.949562178
 01/04  12:00:00,0.830161713,0.792850917
 01/04  13:00:00,0.814788399,0.693397502
 01/04  14:00:00,0.792035895,0.646600519
 01/04  15:00:00,0.792231247,0.600866132
 01/04  16:00:00,0.854486111,0.607726529
 01/04  17:00:00,1.083675159,0.669415793
 01/04  18:00:00,1.517057618,1.313746627
 01/04  19:00:00,1.777478196,0.911548863
 01/04  20:00:00,1.73804376,1.272339857
 01/04  21:00:00,1.620047046,1.585450943
 01/04  22:00:00,1.490235734,1.939906868
 01/04  23:00:00,1.226670472,2.280185896
 01/04  24:00:00,0.970562434,2.810704659
 01/05  01:00:00,0.714237026,3.186605551
 01/05  02:00:00,0.61638919,3.512687737
 01/05  03:00:00,0.584069987,3.857945006
 01/05  04:00:00,0.5770311,4.040417269
 01/05  05:00:00,0.586263711,4.508592451
 01/05  06:00:00,0.63745136,4.754083363
 01/05  07:00:00,0.824317079,4.910175661
 01/05  08:00:00,1.099560721,4.53274075
 01/05  09:00:00,1.035341155,4.020919877
 01/05  10:00:00,0.868540461,2.855608111
 01/05  11:00:00,0.870431622,2.934419359
 01/05  12:00:00,0.855846035,1.719743232
 01/05  13:00:00,0.816362446,0.753447559
 01/05  14:00:00,0.792035895,0.649078954
 01/05  15:00:00,0.792231247,0.603586459
 01/05  16:00:00,0.854486111,0.61016254
 01/05  17:00:00,1.083675159,0.67139112
 01/05  18:00:00,1.519798331,1.413810666
 01/05  19:00:00,1.777478196,0.912311657
 01/05  20:00:00,1.729299526,0.958142941
 01/05  21:00:00,1.615772467,1.432373926
 01/05  22:00:00,1.48304637,1.681624194
