Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.654253435,0.798522
 01/01  02:00:00,0.560074645,1.34633396
 01/01  03:00:00,0.528868852,1.778281265
 01/01  04:00:00,0.528519729,2.247165374
 01/01  05:00:00,0.535755754,2.601370223
 01/01  06:00:00,0.595223198,3.112547487
 01/01  07:00:00,0.82637291,4.666689588
 01/01  08:00:00,1.094377725,3.662754755
 01/01  09:00:00,1.026382103,2.612209477
 01/01  10:00:00,0.879677565,1.71083275
 01/01  11:00:00,0.874685102,1.318316079
 01/01  12:00:00,0.882123098,0.825938167
 01/01  13:00:00,0.862598906,0.736258528
 01/01  14:00:00,0.835623927,0.681013641
 01/01  15:00:00,0.831356819,0.631033041
 01/01  16:00:00,0.891545084,0.637047371
 01/01  17:00:00,1.119593078,0.70600297
 01/01  18:00:00,1.53810911,0.843263915
 01/01  19:00:00,1.811788512,0.971965232
 01/01  20:00:00,1.762817728,1.000399625
 01/01  21:00:00,1.634983069,0.934894841
 01/01  22:00:00,1.49386948,0.844707677
 01/01  23:00:00,1.209909129,0.701615709
 01/01  24:00:00,0.922428871,0.545697069
 01/02  01:00:00,0.64603948,0.727319364
 01/02  02:00:00,0.553410264,1.241883071
 01/02  03:00:00,0.522922136,1.653253671
 01/02  04:00:00,0.523314123,2.103589766
 01/02  05:00:00,0.529192078,2.450546864
 01/02  06:00:00,0.583753784,2.816494716
 01/02  07:00:00,0.808547835,4.337728592
 01/02  08:00:00,1.064204824,3.253508981
 01/02  09:00:00,0.982952501,2.12776078
 01/02  10:00:00,0.81831208,1.040786606
 01/02  11:00:00,0.81328992,0.868038088
 01/02  12:00:00,0.829634338,0.763326185
 01/02  13:00:00,0.814788399,0.681857165
 01/02  14:00:00,0.792035895,0.632287747
 01/02  15:00:00,0.792231247,0.587583161
 01/02  16:00:00,0.854486111,0.593953278
 01/02  17:00:00,1.083675159,0.65411181
 01/02  18:00:00,1.50275718,0.781370779
 01/02  19:00:00,1.777478196,0.892439955
 01/02  20:00:00,1.728572974,0.912763742
 01/02  21:00:00,1.600127698,0.851833972
 01/02  22:00:00,1.458262622,0.774078328
 01/02  23:00:00,1.181615917,0.646247335
 01/02  24:00:00,0.906894026,0.509069573
 01/03  01:00:00,0.637554348,0.421029264
 01/03  02:00:00,0.54283465,0.860736736
 01/03  03:00:00,0.513633577,1.318472821
 01/03  04:00:00,0.51248877,1.7134156
 01/03  05:00:00,0.518967372,2.082123178
 01/03  06:00:00,0.574417034,2.480490695
 01/03  07:00:00,0.789545793,3.654045576
 01/03  08:00:00,1.047859768,2.665842272
 01/03  09:00:00,0.969954295,1.660709345
 01/03  10:00:00,0.816670382,0.981835308
 01/03  11:00:00,0.81328992,0.866981275
 01/03  12:00:00,0.829634338,0.762870407
 01/03  13:00:00,0.814788399,0.681263511
 01/03  14:00:00,0.792035895,0.632631892
 01/03  15:00:00,0.792231247,0.587331975
 01/03  16:00:00,0.854486111,0.592584904
 01/03  17:00:00,1.083675159,0.652571198
 01/03  18:00:00,1.50275718,0.778868057
 01/03  19:00:00,1.777478196,0.891531823
 01/03  20:00:00,1.728572974,0.911918717
 01/03  21:00:00,1.600127698,0.850824993
 01/03  22:00:00,1.458262622,0.773121136
 01/03  23:00:00,1.181615917,0.645052937
 01/03  24:00:00,0.906894026,0.508830484
 01/04  01:00:00,0.635993957,0.36392621
 01/04  02:00:00,0.53356997,0.526183665
 01/04  03:00:00,0.506466688,1.060141932
 01/04  04:00:00,0.506544763,1.499216412
 01/04  05:00:00,0.516419898,1.990465954
 01/04  06:00:00,0.573572901,2.450634906
 01/04  07:00:00,0.765586559,2.791603277
 01/04  08:00:00,1.04676908,2.628058713
 01/04  09:00:00,0.973881942,1.803801476
 01/04  10:00:00,0.816670382,0.983769101
 01/04  11:00:00,0.81328992,0.869121273
 01/04  12:00:00,0.829634338,0.764336003
 01/04  13:00:00,0.814788399,0.68258161
 01/04  14:00:00,0.792035895,0.633184116
 01/04  15:00:00,0.792231247,0.587658189
 01/04  16:00:00,0.854486111,0.593575026
 01/04  17:00:00,1.083675159,0.654505052
 01/04  18:00:00,1.50275718,0.781409958
 01/04  19:00:00,1.777478196,0.894356305
 01/04  20:00:00,1.728572974,0.913625963
 01/04  21:00:00,1.600127698,0.852174724
 01/04  22:00:00,1.458262622,0.773979429
 01/04  23:00:00,1.181615917,0.644681593
 01/04  24:00:00,0.906894026,0.507524603
 01/05  01:00:00,0.635993957,0.362294156
 01/05  02:00:00,0.529338234,0.373120507
 01/05  03:00:00,0.497515807,0.737415884
 01/05  04:00:00,0.502215623,1.343232173
 01/05  05:00:00,0.510926833,1.792610383
 01/05  06:00:00,0.568513584,2.268796259
 01/05  07:00:00,0.761219717,2.635442407
 01/05  08:00:00,1.045176871,2.572139702
 01/05  09:00:00,0.973902591,1.805988224
 01/05  10:00:00,0.816670382,0.985393009
 01/05  11:00:00,0.81328992,0.870904141
 01/05  12:00:00,0.829634338,0.766108825
 01/05  13:00:00,0.814788399,0.683632851
 01/05  14:00:00,0.792035895,0.634512923
 01/05  15:00:00,0.792231247,0.588160568
 01/05  16:00:00,0.854486111,0.593878333
 01/05  17:00:00,1.083675159,0.654392745
 01/05  18:00:00,1.50275718,0.781758911
 01/05  19:00:00,1.777478196,0.893543643
 01/05  20:00:00,1.728572974,0.912602548
 01/05  21:00:00,1.600127698,0.850792569
 01/05  22:00:00,1.458262622,0.772704019
 01/05  23:00:00,1.181615917,0.642949813
 01/05  24:00:00,0.906894026,0.50571224
 01/06  01:00:00,0.635993957,0.357642253
 01/06  02:00:00,0.527218759,0.293987623
 01/06  03:00:00,0.484820769,0.276780502
 01/06  04:00:00,0.479394365,0.520029205
 01/06  05:00:00,0.490122171,1.042722446
 01/06  06:00:00,0.54819233,1.536726114
 01/06  07:00:00,0.7758495,3.164084448
 01/06  08:00:00,1.036880968,2.274489319
 01/06  09:00:00,0.96151295,1.360715595
 01/06  10:00:00,0.816670382,0.984230259
 01/06  11:00:00,0.81328992,0.868230894
 01/06  12:00:00,0.829634338,0.7640447
 01/06  13:00:00,0.814788399,0.6815802
 01/06  14:00:00,0.792035895,0.632979346
 01/06  15:00:00,0.792231247,0.587935958
 01/06  16:00:00,0.854486111,0.593947279
 01/06  17:00:00,1.083675159,0.655174772
 01/06  18:00:00,1.50275718,0.783223803
 01/06  19:00:00,1.777478196,0.895327066
 01/06  20:00:00,1.728572974,0.915005834
 01/06  21:00:00,1.600127698,0.854328005
 01/06  22:00:00,1.458262622,0.776091228
 01/06  23:00:00,1.181615917,0.647005062
 01/06  24:00:00,0.906894026,0.509663964
 01/07  01:00:00,0.642567641,0.375021816
 01/07  02:00:00,0.536318585,0.489513882
 01/07  03:00:00,0.504520263,0.90100581
 01/07  04:00:00,0.505109356,1.403774831
 01/07  05:00:00,0.516854824,1.921158403
 01/07  06:00:00,0.575931231,2.42076804
 01/07  07:00:00,0.810874629,4.116452181
 01/07  08:00:00,1.077994736,3.082108686
