Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.689436086,1.750461535
 01/01  02:00:00,0.583387142,1.971132752
 01/01  03:00:00,0.543877964,2.143873974
 01/01  04:00:00,0.534396868,2.291154139
 01/01  05:00:00,0.536260748,2.466951705
 01/01  06:00:00,0.589045577,2.7447005
 01/01  07:00:00,0.797656187,3.402063496
 01/01  08:00:00,1.077987021,3.170244972
 01/01  09:00:00,1.046531977,2.934734504
 01/01  10:00:00,0.907041837,2.48287776
 01/01  11:00:00,0.89965145,2.010946652
 01/01  12:00:00,0.892698725,0.960072291
 01/01  13:00:00,0.874822457,0.930297343
 01/01  14:00:00,0.844415631,0.739905292
 01/01  15:00:00,0.840611783,0.68367705
 01/01  16:00:00,0.902208913,0.690648928
 01/01  17:00:00,1.135064265,0.766733318
 01/01  18:00:00,1.568606292,1.11855017
 01/01  19:00:00,1.846284602,1.055274801
 01/01  20:00:00,1.799179525,1.085226732
 01/01  21:00:00,1.667619391,1.01273159
 01/01  22:00:00,1.528961539,1.159132385
 01/01  23:00:00,1.248892919,1.374654265
 01/01  24:00:00,0.966407584,1.600350406
 01/02  01:00:00,0.685951927,1.852065707
 01/02  02:00:00,0.583114454,2.10103547
 01/02  03:00:00,0.545367005,2.291688803
 01/02  04:00:00,0.536720702,2.423160742
 01/02  05:00:00,0.536290891,2.556100918
 01/02  06:00:00,0.588115721,2.829212244
 01/02  07:00:00,0.792711576,3.536806704
 01/02  08:00:00,1.070751959,3.596051547
 01/02  09:00:00,1.022931417,3.166043431
 01/02  10:00:00,0.871831803,2.758646639
 01/02  11:00:00,0.880052112,3.102278644
 01/02  12:00:00,0.880373963,2.39506449
 01/02  13:00:00,0.845585497,1.567587196
 01/02  14:00:00,0.819180918,1.376433637
 01/02  15:00:00,0.814586384,1.13150254
 01/02  16:00:00,0.881615743,1.26491791
 01/02  17:00:00,1.116139793,1.34978726
 01/02  18:00:00,1.555534007,1.886336759
 01/02  19:00:00,1.822246156,1.356442317
 01/02  20:00:00,1.771812567,1.250209155
 01/02  21:00:00,1.64239488,1.283941004
 01/02  22:00:00,1.501224034,1.378040722
 01/02  23:00:00,1.225975754,1.516510301
 01/02  24:00:00,0.954166432,1.686631741
 01/03  01:00:00,0.686300314,1.865127707
 01/03  02:00:00,0.581200753,2.029584097
 01/03  03:00:00,0.541942148,2.163752265
 01/03  04:00:00,0.53244967,2.263662799
 01/03  05:00:00,0.531501314,2.377264362
 01/03  06:00:00,0.584386911,2.690129307
 01/03  07:00:00,0.790198258,3.443357214
 01/03  08:00:00,1.066453424,3.435999317
 01/03  09:00:00,1.006233001,2.542953339
 01/03  10:00:00,0.859644251,2.303916558
 01/03  11:00:00,0.868384405,2.666879801
 01/03  12:00:00,0.863405725,1.761657662
 01/03  13:00:00,0.825766524,0.827689477
 01/03  14:00:00,0.800827598,0.68917897
 01/03  15:00:00,0.801486211,0.640001026
 01/03  16:00:00,0.86514994,0.647562585
 01/03  17:00:00,1.099146346,0.713440318
 01/03  18:00:00,1.530688298,0.958226752
 01/03  19:00:00,1.811974287,0.971405709
 01/03  20:00:00,1.76493477,0.991942264
 01/03  21:00:00,1.632764021,0.923911113
 01/03  22:00:00,1.49535733,1.159236892
 01/03  23:00:00,1.229435946,1.645938743
 01/03  24:00:00,0.961649509,1.96624451
 01/04  01:00:00,0.703766948,2.517546028
 01/04  02:00:00,0.605547736,2.938935043
 01/04  03:00:00,0.573977453,3.360278544
 01/04  04:00:00,0.569736339,3.656336321
 01/04  05:00:00,0.570348309,3.828276516
 01/04  06:00:00,0.625106718,4.211181061
 01/04  07:00:00,0.841861058,5.373348232
 01/04  08:00:00,1.101710289,4.753339019
 01/04  09:00:00,1.04018404,3.811437983
 01/04  10:00:00,0.870108664,2.69516787
 01/04  11:00:00,0.858597332,2.301774099
