Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.642567641,0.374702584
 01/01  02:00:00,0.546515102,0.857507209
 01/01  03:00:00,0.51602127,1.315110628
 01/01  04:00:00,0.517117207,1.836091217
 01/01  05:00:00,0.529102447,2.361510784
 01/01  06:00:00,0.590740471,2.950940015
 01/01  07:00:00,0.822462392,4.525710884
 01/01  08:00:00,1.089168732,3.474964469
 01/01  09:00:00,1.027857835,2.665411345
 01/01  10:00:00,0.879314825,1.697755546
 01/01  11:00:00,0.864206149,0.94037716
 01/01  12:00:00,0.882123098,0.824921319
 01/01  13:00:00,0.862598906,0.735772994
 01/01  14:00:00,0.835623927,0.679204195
 01/01  15:00:00,0.831356819,0.630737333
 01/01  16:00:00,0.891545084,0.63672902
 01/01  17:00:00,1.119593078,0.705611436
 01/01  18:00:00,1.53810911,0.843495899
 01/01  19:00:00,1.811788512,0.972525931
 01/01  20:00:00,1.762817728,0.999768826
 01/01  21:00:00,1.634983069,0.932630821
 01/01  22:00:00,1.49386948,0.840912615
 01/01  23:00:00,1.209909129,0.697355158
 01/01  24:00:00,0.922428871,0.53944193
 01/02  01:00:00,0.635993957,0.35940592
 01/02  02:00:00,0.527218759,0.292437367
 01/02  03:00:00,0.484820769,0.27556647
 01/02  04:00:00,0.472853541,0.281967673
 01/02  05:00:00,0.470527537,0.334861334
 01/02  06:00:00,0.522501229,0.608223046
 01/02  07:00:00,0.715883778,0.997081392
 01/02  08:00:00,1.004906065,1.114915819
 01/02  09:00:00,0.953880754,1.075678194
 01/02  10:00:00,0.816670382,0.976240269
 01/02  11:00:00,0.81328992,0.862788141
 01/02  12:00:00,0.829634338,0.762209179
 01/02  13:00:00,0.814788399,0.683670877
 01/02  14:00:00,0.792035895,0.636826742
 01/02  15:00:00,0.792231247,0.592229609
 01/02  16:00:00,0.854486111,0.598981676
 01/02  17:00:00,1.083675159,0.657949824
 01/02  18:00:00,1.50275718,0.782715136
 01/02  19:00:00,1.777478196,0.893519532
 01/02  20:00:00,1.728572974,0.912529701
 01/02  21:00:00,1.600127698,0.849562332
 01/02  22:00:00,1.458262622,0.771035894
 01/02  23:00:00,1.181615917,0.641481789
 01/02  24:00:00,0.906894026,0.50421543
 01/03  01:00:00,0.635993957,0.357548
 01/03  02:00:00,0.527218759,0.291880631
 01/03  03:00:00,0.484820769,0.275304529
 01/03  04:00:00,0.472853541,0.282548665
 01/03  05:00:00,0.475636285,0.519985575
 01/03  06:00:00,0.53086621,0.910432216
 01/03  07:00:00,0.743534966,1.995301629
 01/03  08:00:00,1.011007633,1.337279875
 01/03  09:00:00,0.953880754,1.080431186
 01/03  10:00:00,0.816670382,0.980059944
 01/03  11:00:00,0.81328992,0.869480826
 01/03  12:00:00,0.829634338,0.767050705
 01/03  13:00:00,0.814788399,0.686913807
 01/03  14:00:00,0.792035895,0.640324451
 01/03  15:00:00,0.792231247,0.593276042
 01/03  16:00:00,0.854486111,0.59986202
 01/03  17:00:00,1.083675159,0.659969471
 01/03  18:00:00,1.50275718,0.787753166
 01/03  19:00:00,1.777478196,0.89896999
 01/03  20:00:00,1.728572974,0.917721477
 01/03  21:00:00,1.600127698,0.855503944
 01/03  22:00:00,1.458262622,0.777120605
 01/03  23:00:00,1.181615917,0.647858825
 01/03  24:00:00,0.906894026,0.509541707
 01/04  01:00:00,0.635993957,0.362049401
 01/04  02:00:00,0.53020075,0.405382376
 01/04  03:00:00,0.500438464,0.842853795
 01/04  04:00:00,0.496291349,1.129569135
 01/04  05:00:00,0.49918628,1.369173969
 01/04  06:00:00,0.552433193,1.688523846
 01/04  07:00:00,0.769405997,2.929298456
 01/04  08:00:00,1.032481525,2.112975728
 01/04  09:00:00,0.960078689,1.306178121
 01/04  10:00:00,0.816670382,0.981973774
 01/04  11:00:00,0.81328992,0.867051095
 01/04  12:00:00,0.829634338,0.762715855
 01/04  13:00:00,0.814788399,0.680647402
 01/04  14:00:00,0.792035895,0.63363729
 01/04  15:00:00,0.792231247,0.588041377
 01/04  16:00:00,0.854486111,0.595150012
 01/04  17:00:00,1.083675159,0.656507872
 01/04  18:00:00,1.50275718,0.784369687
 01/04  19:00:00,1.777478196,0.897065773
 01/04  20:00:00,1.728572974,0.916395144
 01/04  21:00:00,1.600127698,0.854807699
 01/04  22:00:00,1.458262622,0.776221664
 01/04  23:00:00,1.181615917,0.647180071
 01/04  24:00:00,0.906894026,0.510654627
 01/05  01:00:00,0.635993957,0.363138017
 01/05  02:00:00,0.538843705,0.716776073
 01/05  03:00:00,0.508972487,1.150592543
 01/05  04:00:00,0.508357358,1.564649111
 01/05  05:00:00,0.515695853,1.964539321
 01/05  06:00:00,0.572535007,2.41377342
 01/05  07:00:00,0.766176276,2.814132137
 01/05  08:00:00,1.043804169,2.522652202
 01/05  09:00:00,0.970592523,1.686656427
 01/05  10:00:00,0.816670382,0.985182716
 01/05  11:00:00,0.81328992,0.872282505
 01/05  12:00:00,0.829634338,0.767829111
 01/05  13:00:00,0.814788399,0.685636451
 01/05  14:00:00,0.792035895,0.63670595
 01/05  15:00:00,0.792231247,0.590619189
 01/05  16:00:00,0.854486111,0.597009065
 01/05  17:00:00,1.083675159,0.65797555
 01/05  18:00:00,1.50275718,0.786439064
 01/05  19:00:00,1.777478196,0.899725605
 01/05  20:00:00,1.728572974,0.919097811
 01/05  21:00:00,1.600127698,0.858369674
 01/05  22:00:00,1.458262622,0.782161906
 01/05  23:00:00,1.181615917,0.65461632
 01/05  24:00:00,0.924470971,1.149505187
 01/06  01:00:00,0.6766001,1.829961936
 01/06  02:00:00,0.585515284,2.399752993
 01/06  03:00:00,0.558949897,2.952410897
 01/06  04:00:00,0.561273554,3.472422509
 01/06  05:00:00,0.565152969,3.747694881
 01/06  06:00:00,0.623736374,4.260176798
 01/06  07:00:00,0.846595014,5.714542703
 01/06  08:00:00,1.097428023,4.457281078
 01/06  09:00:00,1.018702288,3.422457759
 01/06  10:00:00,0.84516597,2.014177392
 01/06  11:00:00,0.826434576,1.34934523
 01/06  12:00:00,0.829634338,0.773792065
 01/06  13:00:00,0.814788399,0.69353884
 01/06  14:00:00,0.792035895,0.646347518
 01/06  15:00:00,0.792231247,0.600886323
 01/06  16:00:00,0.854486111,0.60760011
 01/06  17:00:00,1.083675159,0.668086414
 01/06  18:00:00,1.50275718,0.797001568
 01/06  19:00:00,1.777478196,0.908621608
 01/06  20:00:00,1.728572974,0.92722778
 01/06  21:00:00,1.600127698,0.865067465
 01/06  22:00:00,1.458262622,0.785796967
 01/06  23:00:00,1.18315085,0.712240955
 01/06  24:00:00,0.919583677,0.973652482
 01/07  01:00:00,0.668404913,1.310392483
 01/07  02:00:00,0.567202233,1.604037546
 01/07  03:00:00,0.528898442,1.779868577
 01/07  04:00:00,0.524634926,2.107694659
 01/07  05:00:00,0.525608505,2.236738784
 01/07  06:00:00,0.578356797,2.508212521
 01/07  07:00:00,0.803528806,3.851626817
