Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.688997072,2.051380224
 01/01  02:00:00,0.585355246,2.257742712
 01/01  03:00:00,0.547338975,2.444150768
 01/01  04:00:00,0.53772347,2.578970953
 01/01  05:00:00,0.539265403,2.727897149
 01/01  06:00:00,0.590761006,2.951680293
 01/01  07:00:00,0.786856471,3.242076001
 01/01  08:00:00,1.102628308,3.960197864
 01/01  09:00:00,1.041616289,3.161419602
 01/01  10:00:00,0.905566562,2.644161206
 01/01  11:00:00,0.925053278,3.134214204
 01/01  12:00:00,0.925566922,2.395847914
 01/01  13:00:00,0.898876564,2.052145842
 01/01  14:00:00,0.86937672,1.909573521
 01/01  15:00:00,0.855786265,1.525118545
 01/01  16:00:00,0.912601278,1.410623901
 01/01  17:00:00,1.141155053,1.497630442
 01/01  18:00:00,1.572040036,2.078008447
 01/01  19:00:00,1.824847022,1.455284854
 01/01  20:00:00,1.772341214,1.356152996
 01/01  21:00:00,1.649082321,1.453738818
 01/01  22:00:00,1.512453743,1.52258968
 01/01  23:00:00,1.236198214,1.65512987
 01/01  24:00:00,0.954668315,1.709661211
 01/02  01:00:00,0.675558993,1.791535037
 01/02  02:00:00,0.576043128,2.057824374
 01/02  03:00:00,0.536961924,2.159404269
 01/02  04:00:00,0.525834124,2.194438551
 01/02  05:00:00,0.526074668,2.338160555
 01/02  06:00:00,0.581247008,2.726122535
 01/02  07:00:00,0.796023988,3.886229363
 01/02  08:00:00,1.055052743,2.923565812
 01/02  09:00:00,0.978697259,1.974354351
 01/02  10:00:00,0.825799169,1.310704902
 01/02  11:00:00,0.827276186,1.375071678
 01/02  12:00:00,0.829634338,0.769891387
 01/02  13:00:00,0.814788399,0.690186468
 01/02  14:00:00,0.792035895,0.643359916
 01/02  15:00:00,0.792231247,0.597156361
 01/02  16:00:00,0.854486111,0.604817106
 01/02  17:00:00,1.083675159,0.666308941
 01/02  18:00:00,1.50275718,0.794757716
 01/02  19:00:00,1.777478196,0.906373846
 01/02  20:00:00,1.728572974,0.925898656
 01/02  21:00:00,1.600127698,0.864623681
 01/02  22:00:00,1.468622915,1.158733567
 01/02  23:00:00,1.206051208,1.535382685
 01/02  24:00:00,0.94813351,2.001152701
 01/03  01:00:00,0.69212839,2.389116509
 01/03  02:00:00,0.593502568,2.687375126
 01/03  03:00:00,0.558641081,2.941046026
 01/03  04:00:00,0.554692963,3.234925837
 01/03  05:00:00,0.556681191,3.441750048
 01/03  06:00:00,0.608865441,3.722395812
 01/03  07:00:00,0.799111706,3.998907845
 01/03  08:00:00,1.075829977,3.674200832
 01/03  09:00:00,0.995128417,2.568265717
 01/03  10:00:00,0.83357504,1.592425209
 01/03  11:00:00,0.822131114,1.19079506
 01/03  12:00:00,0.829634338,0.77014214
 01/03  13:00:00,0.814788399,0.689275912
 01/03  14:00:00,0.792035895,0.642686445
 01/03  15:00:00,0.792231247,0.596675866
 01/03  16:00:00,0.854486111,0.602766904
 01/03  17:00:00,1.083675159,0.663707115
 01/03  18:00:00,1.50275718,0.791468916
 01/03  19:00:00,1.777478196,0.90375174
 01/03  20:00:00,1.728572974,0.922987359
 01/03  21:00:00,1.600127698,0.861773986
 01/03  22:00:00,1.458262622,0.78300549
 01/03  23:00:00,1.182140566,0.672535471
 01/03  24:00:00,0.917430504,0.894762106
 01/04  01:00:00,0.666754648,1.474590755
 01/04  02:00:00,0.570528005,1.859229076
 01/04  03:00:00,0.529962532,1.907231066
 01/04  04:00:00,0.523940482,2.12635252
 01/04  05:00:00,0.529800601,2.472855872
 01/04  06:00:00,0.57988262,2.678107612
 01/04  07:00:00,0.797001601,3.924152064
 01/04  08:00:00,1.05383724,2.882874107
 01/04  09:00:00,0.97680921,1.909332882
 01/04  10:00:00,0.816670382,0.984178237
 01/04  11:00:00,0.81328992,0.871238045
 01/04  12:00:00,0.829634338,0.767929687
 01/04  13:00:00,0.814788399,0.687251543
 01/04  14:00:00,0.792035895,0.641345442
 01/04  15:00:00,0.792231247,0.592715856
 01/04  16:00:00,0.854486111,0.600005895
 01/04  17:00:00,1.083675159,0.661472077
 01/04  18:00:00,1.50275718,0.790454597
 01/04  19:00:00,1.777478196,0.902814593
 01/04  20:00:00,1.728572974,0.921567831
 01/04  21:00:00,1.600127698,0.860179907
 01/04  22:00:00,1.458262622,0.781505393
 01/04  23:00:00,1.181615917,0.653309835
 01/04  24:00:00,0.912967615,0.733585586
 01/05  01:00:00,0.659121494,1.199585087
 01/05  02:00:00,0.56583476,1.690141708
 01/05  03:00:00,0.537079254,2.163874432
 01/05  04:00:00,0.533904794,2.485663782
 01/05  05:00:00,0.537927293,2.766008469
 01/05  06:00:00,0.591368361,3.092737496
 01/05  07:00:00,0.783314596,3.431988489
 01/05  08:00:00,1.059519833,3.089220165
 01/05  09:00:00,0.980790256,2.054296549
 01/05  10:00:00,0.822079428,1.180633813
 01/05  11:00:00,0.81328992,0.873531881
 01/05  12:00:00,0.829634338,0.770097905
 01/05  13:00:00,0.814788399,0.688796874
 01/05  14:00:00,0.792035895,0.641291876
 01/05  15:00:00,0.792231247,0.595326413
 01/05  16:00:00,0.854486111,0.602090366
 01/05  17:00:00,1.083675159,0.66349221
 01/05  18:00:00,1.50275718,0.79216484
 01/05  19:00:00,1.777478196,0.905020146
 01/05  20:00:00,1.728572974,0.923808508
 01/05  21:00:00,1.600127698,0.861489047
 01/05  22:00:00,1.458262622,0.783639346
 01/05  23:00:00,1.181615917,0.652774894
 01/05  24:00:00,0.911280946,0.672791937
 01/06  01:00:00,0.658390631,1.173407327
 01/06  02:00:00,0.557994886,1.407610646
 01/06  03:00:00,0.531134791,1.949643956
 01/06  04:00:00,0.51645191,1.856549996
 01/06  05:00:00,0.51953944,2.103274098
 01/06  06:00:00,0.575410747,2.517981738
 01/06  07:00:00,0.764471937,2.75391008
 01/06  08:00:00,1.043280728,2.505208061
 01/06  09:00:00,0.970371228,1.680066816
 01/06  10:00:00,0.816670382,0.986267485
 01/06  11:00:00,0.81328992,0.871902796
 01/06  12:00:00,0.829634338,0.767648715
 01/06  13:00:00,0.814788399,0.688288948
 01/06  14:00:00,0.792035895,0.641704086
 01/06  15:00:00,0.792231247,0.594098479
 01/06  16:00:00,0.854486111,0.600747432
 01/06  17:00:00,1.083675159,0.662080022
 01/06  18:00:00,1.50275718,0.790870673
 01/06  19:00:00,1.777478196,0.903828069
 01/06  20:00:00,1.728572974,0.923109002
 01/06  21:00:00,1.600127698,0.861349757
 01/06  22:00:00,1.458262622,0.782476828
 01/06  23:00:00,1.181615917,0.654271368
 01/06  24:00:00,0.913909121,0.768347862
 01/07  01:00:00,0.664952539,1.185861872
 01/07  02:00:00,0.569741719,1.695589007
 01/07  03:00:00,0.538230547,2.116301827
 01/07  04:00:00,0.533538804,2.428689852
 01/07  05:00:00,0.53649667,2.629269822
 01/07  06:00:00,0.593676173,3.060493822
 01/07  07:00:00,0.791984359,3.435436091
 01/07  08:00:00,1.076528835,3.029261285
 01/07  09:00:00,1.013422347,2.154795872
 01/07  10:00:00,0.868656332,1.322349265
 01/07  11:00:00,0.870347331,1.169429204
 01/07  12:00:00,0.882123098,0.832388151
 01/07  13:00:00,0.862598906,0.743794501
 01/07  14:00:00,0.835623927,0.691294685
 01/07  15:00:00,0.831356819,0.638431961
 01/07  16:00:00,0.891545084,0.645894134
 01/07  17:00:00,1.119593078,0.716498619
 01/07  18:00:00,1.53810911,0.855946461
 01/07  19:00:00,1.811788512,0.986127654
 01/07  20:00:00,1.762817728,1.014063983
 01/07  21:00:00,1.634983069,0.948298654
 01/07  22:00:00,1.49386948,0.857185705
 01/07  23:00:00,1.21716709,0.973396473
 01/07  24:00:00,0.94653074,1.419407259
 01/08  01:00:00,0.685747007,1.935810423
 01/08  02:00:00,0.584125583,2.214252098
 01/08  03:00:00,0.551946471,2.610853012
 01/08  04:00:00,0.543386378,2.783791036
 01/08  05:00:00,0.556122583,3.336979647
 01/08  06:00:00,0.609568559,3.633972727
 01/08  07:00:00,0.80777534,4.005952407
 01/08  08:00:00,1.095116802,3.70082791
 01/08  09:00:00,1.031016033,2.790491498
 01/08  10:00:00,0.883142594,1.84587988
 01/08  11:00:00,0.873071996,1.26887535
 01/08  12:00:00,0.882123098,0.834759688
 01/08  13:00:00,0.862598906,0.74498352
 01/08  14:00:00,0.835623927,0.692129848
 01/08  15:00:00,0.831356819,0.640959085
 01/08  16:00:00,0.891545084,0.647325209
 01/08  17:00:00,1.119593078,0.717374851
 01/08  18:00:00,1.53810911,0.856996215
 01/08  19:00:00,1.811788512,0.987535
 01/08  20:00:00,1.762817728,1.015583363
 01/08  21:00:00,1.634983069,0.949630886
 01/08  22:00:00,1.49386948,0.857435782
 01/08  23:00:00,1.216093298,0.935754118
 01/08  24:00:00,0.943426429,1.30796443
 01/09  01:00:00,0.669766235,1.584178071
 01/09  02:00:00,0.577882818,2.1248854
 01/09  03:00:00,0.545155364,2.455307452
 01/09  04:00:00,0.539744583,2.696507305
 01/09  05:00:00,0.545482117,3.039005509
 01/09  06:00:00,0.598657149,3.357519669
 01/09  07:00:00,0.787492071,3.587188278
 01/09  08:00:00,1.062801331,3.212891118
 01/09  09:00:00,0.989056038,2.357513077
 01/09  10:00:00,0.833679382,1.603518608
 01/09  11:00:00,0.82770521,1.398111977
 01/09  12:00:00,0.829634338,0.776462087
 01/09  13:00:00,0.814788399,0.693694031
 01/09  14:00:00,0.792035895,0.646756323
 01/09  15:00:00,0.792231247,0.601902277
 01/09  16:00:00,0.854486111,0.609604038
 01/09  17:00:00,1.083675159,0.67073164
 01/09  18:00:00,1.50275718,0.800058766
 01/09  19:00:00,1.777478196,0.912318964
 01/09  20:00:00,1.728572974,0.930941967
 01/09  21:00:00,1.600127698,0.869291362
 01/09  22:00:00,1.458262622,0.789758546
 01/09  23:00:00,1.189778776,0.953380802
 01/09  24:00:00,0.931451325,1.402812684
 01/10  01:00:00,0.677715492,1.870936586
 01/10  02:00:00,0.581034622,2.238600481
 01/10  03:00:00,0.547295576,2.532527196
 01/10  04:00:00,0.539469798,2.686670839
 01/10  05:00:00,0.542088018,2.916786742
 01/10  06:00:00,0.59523882,3.234734959
 01/10  07:00:00,0.786064489,3.536750216
 01/10  08:00:00,1.06067256,3.137347061
 01/10  09:00:00,0.988999037,2.356626564
 01/10  10:00:00,0.829476508,1.453049518
 01/10  11:00:00,0.820921295,1.15427669
 01/10  12:00:00,0.829634338,0.776198754
 01/10  13:00:00,0.814788399,0.695600764
 01/10  14:00:00,0.792035895,0.647826098
 01/10  15:00:00,0.792231247,0.601189842
 01/10  16:00:00,0.854486111,0.60744827
 01/10  17:00:00,1.083675159,0.66928292
 01/10  18:00:00,1.50275718,0.799190491
 01/10  19:00:00,1.777478196,0.911457913
 01/10  20:00:00,1.728572974,0.930313626
 01/10  21:00:00,1.600127698,0.868738918
 01/10  22:00:00,1.458262622,0.790145113
 01/10  23:00:00,1.187960232,0.887829026
 01/10  24:00:00,0.926466962,1.223436344
 01/11  01:00:00,0.667879274,1.516499233
 01/11  02:00:00,0.569818275,1.834322683
 01/11  03:00:00,0.537451092,2.177681722
 01/11  04:00:00,0.534507503,2.50784086
 01/11  05:00:00,0.53715552,2.739100101
 01/11  06:00:00,0.592848972,3.14900674
 01/11  07:00:00,0.815156473,4.58652884
 01/11  08:00:00,1.067042487,3.368133514
 01/11  09:00:00,0.991372581,2.443308212
 01/11  10:00:00,0.835454943,1.669578241
 01/11  11:00:00,0.828054368,1.412461488
 01/11  12:00:00,0.829634338,0.778191906
 01/11  13:00:00,0.814788399,0.696237672
 01/11  14:00:00,0.792035895,0.648498637
 01/11  15:00:00,0.792231247,0.602662903
 01/11  16:00:00,0.854486111,0.609364124
 01/11  17:00:00,1.083675159,0.670986198
 01/11  18:00:00,1.50275718,0.800693467
 01/11  19:00:00,1.777478196,0.91307525
 01/11  20:00:00,1.728572974,0.931842556
 01/11  21:00:00,1.600127698,0.868668608
 01/11  22:00:00,1.458262622,0.788561485
 01/11  23:00:00,1.181615917,0.658697929
 01/11  24:00:00,0.913684844,0.763026099
 01/12  01:00:00,0.654629341,1.038985621
 01/12  02:00:00,0.554617984,1.286414996
 01/12  03:00:00,0.520812678,1.577904189
 01/12  04:00:00,0.514111507,1.772604668
 01/12  05:00:00,0.515635205,1.963396467
 01/12  06:00:00,0.567200957,2.224772897
 01/12  07:00:00,0.757401169,2.505312301
 01/12  08:00:00,1.040418944,2.409409254
 01/12  09:00:00,0.983457941,2.159032613
 01/12  10:00:00,0.82746717,1.382558494
 01/12  11:00:00,0.821976307,1.193940806
 01/12  12:00:00,0.829634338,0.778016234
 01/12  13:00:00,0.814788399,0.69423028
 01/12  14:00:00,0.792035895,0.647192227
 01/12  15:00:00,0.792231247,0.600692236
 01/12  16:00:00,0.854486111,0.607090033
 01/12  17:00:00,1.083675159,0.66880967
 01/12  18:00:00,1.50275718,0.798468144
 01/12  19:00:00,1.777478196,0.911684137
 01/12  20:00:00,1.728572974,0.930164234
 01/12  21:00:00,1.600127698,0.866468621
 01/12  22:00:00,1.458262622,0.787604886
 01/12  23:00:00,1.181615917,0.657261384
 01/12  24:00:00,0.909237728,0.60178846
 01/13  01:00:00,0.65178295,0.936522098
 01/13  02:00:00,0.555030717,1.301370415
 01/13  03:00:00,0.525253038,1.738037895
 01/13  04:00:00,0.522270782,2.066815831
 01/13  05:00:00,0.524150055,2.270488634
 01/13  06:00:00,0.577068664,2.580900341
 01/13  07:00:00,0.801915285,4.110977568
 01/13  08:00:00,1.052073345,2.830591323
 01/13  09:00:00,0.972108581,1.750874842
 01/13  10:00:00,0.816670382,0.99360234
 01/13  11:00:00,0.81328992,0.877271375
 01/13  12:00:00,0.829634338,0.773299738
 01/13  13:00:00,0.814788399,0.690511336
 01/13  14:00:00,0.792035895,0.644161023
 01/13  15:00:00,0.792231247,0.595422122
 01/13  16:00:00,0.854486111,0.602145366
 01/13  17:00:00,1.083675159,0.664277476
 01/13  18:00:00,1.50275718,0.792984642
 01/13  19:00:00,1.777478196,0.905728962
 01/13  20:00:00,1.728572974,0.925446824
 01/13  21:00:00,1.600127698,0.86297711
 01/13  22:00:00,1.458262622,0.783140046
 01/13  23:00:00,1.181615917,0.65201878
 01/13  24:00:00,0.906894026,0.511366487
 01/14  01:00:00,0.642567641,0.375765412
 01/14  02:00:00,0.531165783,0.303087613
 01/14  03:00:00,0.49844449,0.682205676
 01/14  04:00:00,0.493179496,0.974205239
 01/14  05:00:00,0.498337351,1.254633945
 01/14  06:00:00,0.553478141,1.614593373
 01/14  07:00:00,0.774898328,2.826968025
 01/14  08:00:00,1.047364699,1.986676115
 01/14  09:00:00,0.986318055,1.185171551
 01/14  10:00:00,0.86170144,1.073858193
 01/14  11:00:00,0.864206149,0.94549091
 01/14  12:00:00,0.882123098,0.830080486
 01/14  13:00:00,0.862598906,0.740482874
 01/14  14:00:00,0.835623927,0.684523552
 01/14  15:00:00,0.831356819,0.63147401
 01/14  16:00:00,0.891545084,0.638625972
 01/14  17:00:00,1.119593078,0.708907101
 01/14  18:00:00,1.53810911,0.847672686
 01/14  19:00:00,1.811788512,0.978223076
 01/14  20:00:00,1.762817728,1.006718711
 01/14  21:00:00,1.634983069,0.93969409
 01/14  22:00:00,1.49386948,0.847400343
 01/14  23:00:00,1.209909129,0.701768657
 01/14  24:00:00,0.922428871,0.540152918
 01/15  01:00:00,0.642567641,0.369082868
 01/15  02:00:00,0.531165783,0.298211232
 01/15  03:00:00,0.487432007,0.280384221
 01/15  04:00:00,0.474218945,0.286233708
 01/15  05:00:00,0.473198693,0.345028038
 01/15  06:00:00,0.525446192,0.602864401
 01/15  07:00:00,0.729590409,1.193920306
 01/15  08:00:00,1.026067427,1.219353434
 01/15  09:00:00,0.986318055,1.18401975
 01/15  10:00:00,0.86170144,1.073603544
 01/15  11:00:00,0.864206149,0.946405519
 01/15  12:00:00,0.882123098,0.828754817
 01/15  13:00:00,0.862598906,0.737873297
 01/15  14:00:00,0.835623927,0.683796579
 01/15  15:00:00,0.831356819,0.63285429
 01/15  16:00:00,0.891545084,0.638555108
 01/15  17:00:00,1.119593078,0.709891536
 01/15  18:00:00,1.53810911,0.850162511
 01/15  19:00:00,1.811788512,0.981207345
 01/15  20:00:00,1.762817728,1.009753948
 01/15  21:00:00,1.634983069,0.943347474
 01/15  22:00:00,1.49386948,0.850801605
 01/15  23:00:00,1.209909129,0.703366156
 01/15  24:00:00,0.922428871,0.543736756
 01/16  01:00:00,0.635993957,0.359707419
 01/16  02:00:00,0.527218759,0.295264517
 01/16  03:00:00,0.484820769,0.278385966
 01/16  04:00:00,0.476262672,0.407974275
