Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.762259388,4.692571887
 01/01  02:00:00,0.66858906,5.2584185
 01/01  03:00:00,0.640157759,5.79037604
 01/01  04:00:00,0.636402541,6.136466268
 01/01  05:00:00,0.639135028,6.328313243
 01/01  06:00:00,0.703033313,6.999227527
 01/01  07:00:00,0.953954518,9.266154915
 01/01  08:00:00,1.201086591,7.509733456
 01/01  09:00:00,1.140000669,6.708290967
 01/01  10:00:00,0.9872911,5.590425832
 01/01  11:00:00,0.999363594,5.813187437
 01/01  12:00:00,0.985121322,4.542853197
 01/01  13:00:00,0.923599562,2.943438612
 01/01  14:00:00,0.866972701,1.822905813
 01/01  15:00:00,0.870004308,2.037695504
 01/01  16:00:00,0.923707827,1.811027902
 01/01  17:00:00,1.161459091,2.229614622
 01/01  18:00:00,1.613343434,3.567043974
 01/01  19:00:00,1.867622571,2.997393116
 01/01  20:00:00,1.822789992,3.174890099
 01/01  21:00:00,1.704049101,3.435355156
 01/01  22:00:00,1.573487469,3.722926483
 01/01  23:00:00,1.303818122,4.092906192
 01/01  24:00:00,1.030668801,4.449567093
 01/02  01:00:00,0.753787506,4.61176391
 01/02  02:00:00,0.654583231,4.8892864
 01/02  03:00:00,0.618227262,5.08911422
 01/02  04:00:00,0.610559116,5.248873043
 01/02  05:00:00,0.606273133,5.229408433
 01/02  06:00:00,0.65502637,5.385954309
 01/02  07:00:00,0.845225292,5.659993548
 01/02  08:00:00,1.162330674,6.791059966
 01/02  09:00:00,1.07308916,5.377292166
 01/02  10:00:00,0.894238171,3.778010464
 01/02  11:00:00,0.880905985,3.308572065
 01/02  12:00:00,0.849270398,1.479751281
 01/02  13:00:00,0.814788399,0.69311448
 01/02  14:00:00,0.792035895,0.64725061
 01/02  15:00:00,0.792231247,0.602880535
 01/02  16:00:00,0.854486111,0.609398264
 01/02  17:00:00,1.083675159,0.670557216
 01/02  18:00:00,1.515539994,1.257465038
 01/02  19:00:00,1.777478196,0.908701548
 01/02  20:00:00,1.731142805,1.021097949
 01/02  21:00:00,1.612411011,1.307995604
 01/02  22:00:00,1.481290074,1.615500648
 01/02  23:00:00,1.224765761,2.210064126
 01/02  24:00:00,0.96757802,2.702149894
 01/03  01:00:00,0.71402164,3.178393605
