Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.674499985,1.528743381
 01/01  02:00:00,0.583579428,2.193722387
 01/01  03:00:00,0.552851347,2.642878149
 01/01  04:00:00,0.551516215,3.076215494
 01/01  05:00:00,0.557294846,3.377879551
 01/01  06:00:00,0.616247535,3.870499311
 01/01  07:00:00,0.812828477,4.17839704
 01/01  08:00:00,1.104519943,4.028393509
 01/01  09:00:00,1.042168424,3.181324706
 01/01  10:00:00,0.885627757,1.925344099
 01/01  11:00:00,0.868684633,1.101979742
 01/01  12:00:00,0.882123098,0.825387751
 01/01  13:00:00,0.862598906,0.73563597
 01/01  14:00:00,0.835623927,0.680364676
 01/01  15:00:00,0.831356819,0.630683539
 01/01  16:00:00,0.891545084,0.636720246
 01/01  17:00:00,1.119593078,0.705763711
 01/01  18:00:00,1.53810911,0.841816883
 01/01  19:00:00,1.811788512,0.972417477
 01/01  20:00:00,1.762817728,1.002519762
 01/01  21:00:00,1.634983069,0.93733945
 01/01  22:00:00,1.49386948,0.847528785
 01/01  23:00:00,1.211583295,0.766980621
 01/01  24:00:00,0.946220721,1.405114274
 01/02  01:00:00,0.676894503,1.839681383
 01/02  02:00:00,0.584189464,2.35150925
 01/02  03:00:00,0.557527945,2.900833241
 01/02  04:00:00,0.553464138,3.190532693
 01/02  05:00:00,0.549668539,3.188746993
 01/02  06:00:00,0.615521536,3.961759196
 01/02  07:00:00,0.841648428,5.531043482
 01/02  08:00:00,1.094022716,4.328478636
 01/02  09:00:00,1.003830786,2.880447247
 01/02  10:00:00,0.830649417,1.485561976
 01/02  11:00:00,0.81328992,0.869302911
 01/02  12:00:00,0.829634338,0.765015343
 01/02  13:00:00,0.814788399,0.682366538
 01/02  14:00:00,0.792035895,0.633540757
 01/02  15:00:00,0.792231247,0.586992129
 01/02  16:00:00,0.854486111,0.593363108
 01/02  17:00:00,1.083675159,0.655044222
 01/02  18:00:00,1.50275718,0.78275632
 01/02  19:00:00,1.777478196,0.89416241
 01/02  20:00:00,1.728572974,0.914409989
 01/02  21:00:00,1.600127698,0.854564426
 01/02  22:00:00,1.458262622,0.777901331
 01/02  23:00:00,1.181615917,0.648923312
 01/02  24:00:00,0.910423626,0.640153655
 01/03  01:00:00,0.652494252,0.96011941
 01/03  02:00:00,0.555410463,1.314110222
 01/03  03:00:00,0.503429414,0.950601237
 01/03  04:00:00,0.489154455,0.872186417
 01/03  05:00:00,0.486948073,0.927790063
 01/03  06:00:00,0.533558617,1.007497245
 01/03  07:00:00,0.724004893,1.291219899
 01/03  08:00:00,1.004906065,1.116889601
 01/03  09:00:00,0.953880754,1.078086559
 01/03  10:00:00,0.816670382,0.976278579
 01/03  11:00:00,0.81328992,0.861589046
 01/03  12:00:00,0.829634338,0.758358406
 01/03  13:00:00,0.814788399,0.677393278
 01/03  14:00:00,0.792035895,0.628978317
 01/03  15:00:00,0.792231247,0.584075438
 01/03  16:00:00,0.854486111,0.590287064
 01/03  17:00:00,1.083675159,0.650853087
 01/03  18:00:00,1.50275718,0.77883926
 01/03  19:00:00,1.777478196,0.893153707
 01/03  20:00:00,1.728572974,0.912647549
 01/03  21:00:00,1.600127698,0.852450026
 01/03  22:00:00,1.458262622,0.775674007
 01/03  23:00:00,1.181615917,0.649146536
 01/03  24:00:00,0.906894026,0.513291113
 01/04  01:00:00,0.656013655,1.08736164
 01/04  02:00:00,0.556156506,1.341119815
 01/04  03:00:00,0.533665428,2.040724793
 01/04  04:00:00,0.534184793,2.495671897
 01/04  05:00:00,0.54835429,3.141738015
 01/04  06:00:00,0.597513219,3.313711247
 01/04  07:00:00,0.82990175,5.110240708
 01/04  08:00:00,1.079231082,3.798351642
 01/04  09:00:00,0.993462054,2.509687264
 01/04  10:00:00,0.824130759,1.253291349
 01/04  11:00:00,0.81328992,0.869124833
 01/04  12:00:00,0.829634338,0.765126567
 01/04  13:00:00,0.814788399,0.683425147
 01/04  14:00:00,0.792035895,0.634000914
 01/04  15:00:00,0.792231247,0.588731995
 01/04  16:00:00,0.854486111,0.594738352
 01/04  17:00:00,1.083675159,0.655197741
 01/04  18:00:00,1.50275718,0.78260541
 01/04  19:00:00,1.777478196,0.895949683
 01/04  20:00:00,1.728572974,0.916280078
 01/04  21:00:00,1.600127698,0.855081386
 01/04  22:00:00,1.458262622,0.777905029
 01/04  23:00:00,1.181615917,0.647949897
 01/04  24:00:00,0.906894026,0.511280393
 01/05  01:00:00,0.652509469,0.960571571
 01/05  02:00:00,0.562511989,1.570351454
 01/05  03:00:00,0.536728496,2.151229054
 01/05  04:00:00,0.53786636,2.628482857
 01/05  05:00:00,0.540805781,2.869781205
 01/05  06:00:00,0.607945257,3.690353893
 01/05  07:00:00,0.833910376,5.256025176
 01/05  08:00:00,1.087479476,4.097197815
 01/05  09:00:00,1.004916516,2.924076256
 01/05  10:00:00,0.835539682,1.665891628
 01/05  11:00:00,0.81328992,0.87294744
 01/05  12:00:00,0.829634338,0.768512867
 01/05  13:00:00,0.814788399,0.685445387
 01/05  14:00:00,0.792035895,0.635989808
 01/05  15:00:00,0.792231247,0.590596787
 01/05  16:00:00,0.854486111,0.596108222
 01/05  17:00:00,1.083675159,0.65674178
 01/05  18:00:00,1.50275718,0.785553539
 01/05  19:00:00,1.777478196,0.896547808
 01/05  20:00:00,1.728572974,0.915688544
 01/05  21:00:00,1.600127698,0.856129342
 01/05  22:00:00,1.458262622,0.779137167
 01/05  23:00:00,1.181615917,0.649545738
 01/05  24:00:00,0.906894026,0.510992552
 01/06  01:00:00,0.639346154,0.485525087
 01/06  02:00:00,0.547267757,1.020785283
 01/06  03:00:00,0.515619449,1.390297443
 01/06  04:00:00,0.519021748,1.949195637
 01/06  05:00:00,0.53158068,2.537374784
 01/06  06:00:00,0.581040884,2.720954721
 01/06  07:00:00,0.8232933,4.874488611
 01/06  08:00:00,1.071037509,3.505872301
 01/06  09:00:00,0.986038872,2.244903586
 01/06  10:00:00,0.826674578,1.347541201
 01/06  11:00:00,0.81328992,0.87357147
 01/06  12:00:00,0.829634338,0.768413444
 01/06  13:00:00,0.814788399,0.684842418
 01/06  14:00:00,0.792035895,0.635438629
 01/06  15:00:00,0.792231247,0.590027079
 01/06  16:00:00,0.854486111,0.596425984
 01/06  17:00:00,1.083675159,0.658104754
 01/06  18:00:00,1.50275718,0.785812347
 01/06  19:00:00,1.777478196,0.897083514
 01/06  20:00:00,1.728572974,0.917807256
 01/06  21:00:00,1.600127698,0.857806525
 01/06  22:00:00,1.458262622,0.780045785
 01/06  23:00:00,1.181615917,0.651998841
 01/06  24:00:00,0.907976759,0.554436034
 01/07  01:00:00,0.657465962,0.91587504
 01/07  02:00:00,0.567618007,1.619026686
 01/07  03:00:00,0.535659071,2.023597104
 01/07  04:00:00,0.536590815,2.538718333
 01/07  05:00:00,0.544506555,2.918035479
 01/07  06:00:00,0.605161981,3.474570566
 01/07  07:00:00,0.845540218,5.366186985
 01/07  08:00:00,1.109770976,4.227679048
 01/07  09:00:00,1.037282649,3.01498746
 01/07  10:00:00,0.886579088,1.968485431
 01/07  11:00:00,0.880969561,1.552551234
 01/07  12:00:00,0.882123098,0.833331338
 01/07  13:00:00,0.862598906,0.742240601
 01/07  14:00:00,0.835623927,0.687798554
 01/07  15:00:00,0.831356819,0.637580401
 01/07  16:00:00,0.891545084,0.643306396
 01/07  17:00:00,1.119593078,0.713884403
 01/07  18:00:00,1.53810911,0.85443127
 01/07  19:00:00,1.811788512,0.986189948
 01/07  20:00:00,1.762817728,1.014191872
 01/07  21:00:00,1.634983069,0.948647014
 01/07  22:00:00,1.49779175,0.999871174
 01/07  23:00:00,1.220126001,1.080362909
