Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.692044519,2.161244197
 01/01  02:00:00,0.588196625,2.360177715
 01/01  03:00:00,0.548667043,2.49202913
 01/01  04:00:00,0.538515816,2.607535935
 01/01  05:00:00,0.539490853,2.736024877
 01/01  06:00:00,0.593200702,3.039634177
 01/01  07:00:00,0.78722825,3.255479077
 01/01  08:00:00,1.072504184,2.87418816
 01/01  09:00:00,1.009838626,2.015797904
 01/01  10:00:00,0.874566509,1.526573224
 01/01  11:00:00,0.898679068,2.183393261
 01/01  12:00:00,0.902530094,1.565343491
 01/01  13:00:00,0.871604101,1.068941832
 01/01  14:00:00,0.844523382,1.01358178
 01/01  15:00:00,0.839992845,0.955747397
 01/01  16:00:00,0.897853818,0.878960785
 01/01  17:00:00,1.130893855,1.127702308
 01/01  18:00:00,1.565550874,1.844066607
 01/01  19:00:00,1.819073149,1.24713001
 01/01  20:00:00,1.768092278,1.202973879
 01/01  21:00:00,1.644246679,1.279408288
 01/01  22:00:00,1.509022221,1.398879309
 01/01  23:00:00,1.235519289,1.630653829
 01/01  24:00:00,0.960356431,1.914724375
 01/02  01:00:00,0.681704765,2.013097262
 01/02  02:00:00,0.58216855,2.278652976
 01/02  03:00:00,0.543692689,2.402056195
 01/02  04:00:00,0.536432154,2.576509847
 01/02  05:00:00,0.532180327,2.558276636
 01/02  06:00:00,0.580838607,2.711399208
 01/02  07:00:00,0.766995806,2.839729618
 01/02  08:00:00,1.069955454,3.46082585
 01/02  09:00:00,0.997167733,2.640236435
 01/02  10:00:00,0.840284574,1.832920587
 01/02  11:00:00,0.827671173,1.389395211
 01/02  12:00:00,0.829634338,0.770838163
 01/02  13:00:00,0.814788399,0.69096016
 01/02  14:00:00,0.792035895,0.644906859
 01/02  15:00:00,0.792231247,0.598991173
 01/02  16:00:00,0.854486111,0.605954237
 01/02  17:00:00,1.083675159,0.667353521
 01/02  18:00:00,1.514027505,1.202350653
 01/02  19:00:00,1.777478196,0.908113356
 01/02  20:00:00,1.729853365,0.974310257
 01/02  21:00:00,1.613491296,1.346940945
 01/02  22:00:00,1.481182004,1.611604497
 01/02  23:00:00,1.219630347,2.024926506
 01/02  24:00:00,0.957000602,2.320821668
 01/03  01:00:00,0.701860213,2.739960154
 01/03  02:00:00,0.613118022,3.394535082
 01/03  03:00:00,0.574715518,3.520548163
 01/03  04:00:00,0.570344776,3.799191892
 01/03  05:00:00,0.575284021,4.112403696
 01/03  06:00:00,0.622494176,4.213727538
 01/03  07:00:00,0.851985869,5.905082912
 01/03  08:00:00,1.093142639,4.29834244
 01/03  09:00:00,1.004866114,2.919321004
 01/03  10:00:00,0.841419141,1.875214203
 01/03  11:00:00,0.829645913,1.461781353
 01/03  12:00:00,0.829634338,0.770002421
 01/03  13:00:00,0.814788399,0.687883834
 01/03  14:00:00,0.792035895,0.642212903
 01/03  15:00:00,0.792231247,0.594307567
 01/03  16:00:00,0.854486111,0.60139766
 01/03  17:00:00,1.083675159,0.66291198
 01/03  18:00:00,1.50275718,0.791294206
 01/03  19:00:00,1.777478196,0.903778345
