Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.709613388,2.794622373
 01/01  02:00:00,0.606395894,3.016282516
 01/01  03:00:00,0.566855654,3.147749716
 01/01  04:00:00,0.556351088,3.250518226
 01/01  05:00:00,0.557232206,3.375621271
 01/01  06:00:00,0.609310267,3.620402724
 01/01  07:00:00,0.805225562,3.904303111
 01/01  08:00:00,1.103727747,3.999833921
 01/01  09:00:00,1.06543902,4.020256752
 01/01  10:00:00,0.932637725,3.620108101
 01/01  11:00:00,0.954905322,4.210415104
 01/01  12:00:00,0.94987356,3.272130513
 01/01  13:00:00,0.913487212,2.578876727
 01/01  14:00:00,0.885357907,2.485713896
 01/01  15:00:00,0.884303346,2.55319247
 01/01  16:00:00,0.945208029,2.586135184
 01/01  17:00:00,1.173656379,2.669341025
 01/01  18:00:00,1.610426158,3.46187281
 01/01  19:00:00,1.85795655,2.648921836
 01/01  20:00:00,1.802917156,2.45845119
 01/01  21:00:00,1.676047988,2.425882467
 01/01  22:00:00,1.537756785,2.434793754
 01/01  23:00:00,1.261363769,2.562377412
 01/01  24:00:00,0.981383809,2.67278584
 01/02  01:00:00,0.702402657,2.759280367
 01/02  02:00:00,0.599218817,2.893334927
 01/02  03:00:00,0.559365577,2.967082006
 01/02  04:00:00,0.549094276,3.032994078
 01/02  05:00:00,0.547644868,3.11579131
 01/02  06:00:00,0.598204301,3.337452657
 01/02  07:00:00,0.784910898,3.485589505
 01/02  08:00:00,1.067803327,3.383239171
 01/02  09:00:00,1.014201146,3.254310755
 01/02  10:00:00,0.869074456,2.870829289
 01/02  11:00:00,0.884349853,3.432727517
 01/02  12:00:00,0.86715732,2.12459564
 01/02  13:00:00,0.846668971,1.843512364
 01/02  14:00:00,0.813888001,1.437083985
 01/02  15:00:00,0.815494984,1.443743025
 01/02  16:00:00,0.880204906,1.539567742
 01/02  17:00:00,1.10990008,1.617629001
 01/02  18:00:00,1.551148665,2.541431842
 01/02  19:00:00,1.806747905,1.964486231
 01/02  20:00:00,1.755783531,1.909499824
 01/02  21:00:00,1.631765554,2.005749468
 01/02  22:00:00,1.495188834,2.116567106
 01/02  23:00:00,1.225981397,2.253889247
 01/02  24:00:00,0.960895462,2.461235893
 01/03  01:00:00,0.699377426,2.650452695
 01/03  02:00:00,0.597963658,2.848202615
 01/03  03:00:00,0.560573814,3.010723288
 01/03  04:00:00,0.552247705,3.14677145
 01/03  05:00:00,0.552632852,3.295802741
 01/03  06:00:00,0.605357538,3.595931839
 01/03  07:00:00,0.793389774,3.792625534
 01/03  08:00:00,1.106712415,4.787548652
 01/03  09:00:00,1.035695584,4.03075924
 01/03  10:00:00,0.895546887,3.826582416
 01/03  11:00:00,0.914487952,4.520435496
 01/03  12:00:00,0.908678617,3.622499115
 01/03  13:00:00,0.887843466,3.328770935
 01/03  14:00:00,0.863752145,3.235524358
 01/03  15:00:00,0.861811955,3.114218632
 01/03  16:00:00,0.923836761,3.113249507
 01/03  17:00:00,1.148814902,3.021355493
 01/03  18:00:00,1.588173112,3.87721233
 01/03  19:00:00,1.836161446,3.026065852
 01/03  20:00:00,1.781909761,2.852591403
 01/03  21:00:00,1.653345168,2.784822205
 01/03  22:00:00,1.514526133,2.814668232
 01/03  23:00:00,1.24424095,2.912907333
 01/03  24:00:00,0.977462473,3.058985863
 01/04  01:00:00,0.714375736,3.191386669
 01/04  02:00:00,0.61152214,3.3371153
 01/04  03:00:00,0.572880201,3.454462944
 01/04  04:00:00,0.563085825,3.537587652
 01/04  05:00:00,0.562404773,3.648274159
 01/04  06:00:00,0.613356534,3.884881143
 01/04  07:00:00,0.800722286,4.058287113
 01/04  08:00:00,1.11395347,5.050134097
 01/04  09:00:00,1.038519412,4.13405741
 01/04  10:00:00,0.897768725,3.908025651
 01/04  11:00:00,0.917328912,4.624008935
 01/04  12:00:00,0.909502658,3.653184242
 01/04  13:00:00,0.885373421,3.240563254
 01/04  14:00:00,0.861227936,3.145276922
 01/04  15:00:00,0.856891417,2.93749864
 01/04  16:00:00,0.915732618,2.821764291
 01/04  17:00:00,1.141280202,2.75049511
 01/04  18:00:00,1.572771429,3.322935222
 01/04  19:00:00,1.822364286,2.529808463
 01/04  20:00:00,1.768837891,2.382504282
 01/04  21:00:00,1.640035583,2.306060928
 01/04  22:00:00,1.50107851,2.3308015
 01/04  23:00:00,1.23282049,2.501900959
 01/04  24:00:00,0.967758742,2.709628183
 01/05  01:00:00,0.706865981,2.920870687
 01/05  02:00:00,0.606070725,3.140695041
 01/05  03:00:00,0.570055771,3.352716259
 01/05  04:00:00,0.563365336,3.547750671
 01/05  05:00:00,0.565706651,3.767486636
 01/05  06:00:00,0.620436441,4.140675635
 01/05  07:00:00,0.810213455,4.401723634
 01/05  08:00:00,1.125035285,5.451128389
 01/05  09:00:00,1.049019432,4.514037662
 01/05  10:00:00,0.908412923,4.293056728
 01/05  11:00:00,0.905872694,4.212111153
 01/05  12:00:00,0.881303805,2.637525437
 01/05  13:00:00,0.859979475,2.325892171
 01/05  14:00:00,0.821406585,1.710397183
 01/05  15:00:00,0.815259421,1.437263849
 01/05  16:00:00,0.877588401,1.447275182
 01/05  17:00:00,1.110350491,1.636189753
 01/05  18:00:00,1.549924169,2.500201903
 01/05  19:00:00,1.807860241,2.008026307
 01/05  20:00:00,1.760290356,2.075482965
 01/05  21:00:00,1.641093537,2.345228056
 01/05  22:00:00,1.511331615,2.70134019
 01/05  23:00:00,1.24866386,3.07376196
 01/05  24:00:00,0.98848392,3.45725125
 01/06  01:00:00,0.731734568,3.817623602
 01/06  02:00:00,0.634472774,4.164727556
 01/06  03:00:00,0.600774504,4.460236659
 01/06  04:00:00,0.595576863,4.70909678
 01/06  05:00:00,0.598580698,4.952803812
 01/06  06:00:00,0.65385068,5.345832991
 01/06  07:00:00,0.843110176,5.588910099
 01/06  08:00:00,1.129314054,5.606809521
 01/06  09:00:00,1.058484107,4.856638559
 01/06  10:00:00,0.890500999,3.648557921
 01/06  11:00:00,0.875284824,3.110453516
 01/06  12:00:00,0.847640017,1.424814056
 01/06  13:00:00,0.814788399,0.696388116
 01/06  14:00:00,0.792035895,0.648170289
 01/06  15:00:00,0.792231247,0.602565932
 01/06  16:00:00,0.854486111,0.609395128
 01/06  17:00:00,1.083675159,0.670701424
 01/06  18:00:00,1.506695813,0.941585135
 01/06  19:00:00,1.777478196,0.912513941
 01/06  20:00:00,1.728946221,0.946072003
 01/06  21:00:00,1.613311451,1.34463938
 01/06  22:00:00,1.486550596,1.80882413
 01/06  23:00:00,1.226300249,2.268191007
 01/06  24:00:00,0.968129006,2.723872097
 01/07  01:00:00,0.719380891,3.14813616
 01/07  02:00:00,0.620040327,3.50891229
 01/07  03:00:00,0.584631471,3.78910908
 01/07  04:00:00,0.57798443,4.03100633
 01/07  05:00:00,0.58171692,4.259512402
 01/07  06:00:00,0.636767818,4.61399775
 01/07  07:00:00,0.83204135,4.879537204
 01/07  08:00:00,1.126896001,4.845056184
 01/07  09:00:00,1.083405315,4.677763227
 01/07  10:00:00,0.957247594,4.516167267
 01/07  11:00:00,0.984215375,5.274682908
 01/07  12:00:00,0.971012175,4.040640032
 01/07  13:00:00,0.941240954,3.584973036
 01/07  14:00:00,0.903133696,3.131502459
 01/07  15:00:00,0.884112502,2.55072902
 01/07  16:00:00,0.935688596,2.247402855
 01/07  17:00:00,1.166402895,2.412957166
 01/07  18:00:00,1.609799561,3.445655261
 01/07  19:00:00,1.858208266,2.665570693
 01/07  20:00:00,1.809530979,2.704683341
 01/07  21:00:00,1.689770407,2.927734327
 01/07  22:00:00,1.555948545,3.096878716
 01/07  23:00:00,1.282735595,3.337641932
 01/07  24:00:00,1.006378533,3.577017059
 01/08  01:00:00,0.737010837,3.783931116
 01/08  02:00:00,0.633486109,3.99375645
 01/08  03:00:00,0.595366381,4.176191253
 01/08  04:00:00,0.586078658,4.322897383
 01/08  05:00:00,0.587655631,4.473782718
 01/08  06:00:00,0.641230747,4.775431424
 01/08  07:00:00,0.835394024,5.001638068
 01/08  08:00:00,1.132409761,5.045282456
 01/08  09:00:00,1.073544721,4.323700161
 01/08  10:00:00,0.941525822,3.950663157
 01/08  11:00:00,0.966569115,4.639618945
 01/08  12:00:00,0.958733155,3.598901614
 01/08  13:00:00,0.928507457,3.126720188
 01/08  14:00:00,0.899089367,2.986418397
 01/08  15:00:00,0.889054188,2.729523728
 01/08  16:00:00,0.94648251,2.637182657
 01/08  17:00:00,1.171158227,2.585134629
 01/08  18:00:00,1.606104753,3.313378197
 01/08  19:00:00,1.857291855,2.63363251
 01/08  20:00:00,1.806226155,2.586672322
 01/08  21:00:00,1.679356002,2.553319822
 01/08  22:00:00,1.542100565,2.598550404
 01/08  23:00:00,1.265532306,2.718137994
 01/08  24:00:00,0.986157625,2.848486003
 01/09  01:00:00,0.707010219,2.926867092
 01/09  02:00:00,0.604110208,3.070413342
 01/09  03:00:00,0.565124439,3.175215844
 01/09  04:00:00,0.555061402,3.248696464
 01/09  05:00:00,0.553720057,3.335992837
 01/09  06:00:00,0.603830914,3.544039852
 01/09  07:00:00,0.790250435,3.686630521
 01/09  08:00:00,1.100886761,4.585915151
 01/09  09:00:00,1.028451795,3.777775922
 01/09  10:00:00,0.886046413,3.491410976
 01/09  11:00:00,0.896160279,3.865996795
 01/09  12:00:00,0.882546452,2.685739271
 01/09  13:00:00,0.857927041,2.254834891
 01/09  14:00:00,0.815072734,1.48468572
 01/09  15:00:00,0.807861622,1.172908939
 01/09  16:00:00,0.869112681,1.144085952
 01/09  17:00:00,1.09741528,1.172565427
 01/09  18:00:00,1.538715368,2.099505713
 01/09  19:00:00,1.797295801,1.631170825
 01/09  20:00:00,1.752208118,1.788192748
 01/09  21:00:00,1.631463955,2.001789836
 01/09  22:00:00,1.50278469,2.396482465
 01/09  23:00:00,1.236863628,2.650846134
 01/09  24:00:00,0.97209595,2.868098734
 01/10  01:00:00,0.709813856,3.028119925
 01/10  02:00:00,0.606143975,3.143821878
 01/10  03:00:00,0.565074506,3.173478293
 01/10  04:00:00,0.551976348,3.137546574
 01/10  05:00:00,0.546782961,3.086044972
 01/10  06:00:00,0.592777198,3.145990702
 01/10  07:00:00,0.79128566,3.724979534
 01/10  08:00:00,1.08878994,4.151011292
 01/10  09:00:00,1.029179737,3.805187556
 01/10  10:00:00,0.88188943,3.342596283
 01/10  11:00:00,0.889378042,3.622390336
 01/10  12:00:00,0.878247968,2.531537587
 01/10  13:00:00,0.844721288,1.779408537
 01/10  14:00:00,0.802109477,1.017933634
 01/10  15:00:00,0.797313374,0.79315654
 01/10  16:00:00,0.859119703,0.784357476
 01/10  17:00:00,1.089860887,0.900825639
 01/10  18:00:00,1.533961457,1.92888065
 01/10  19:00:00,1.794561661,1.533497441
 01/10  20:00:00,1.749611288,1.695487212
 01/10  21:00:00,1.631867606,2.017173625
 01/10  22:00:00,1.501647067,2.356200808
 01/10  23:00:00,1.239196959,2.735523628
 01/10  24:00:00,0.979142218,3.122494516
 01/11  01:00:00,0.722116664,3.471820522
 01/11  02:00:00,0.623989237,3.78724904
 01/11  03:00:00,0.588736789,4.02659074
 01/11  04:00:00,0.58234501,4.232438633
 01/11  05:00:00,0.584000493,4.427915818
 01/11  06:00:00,0.637032235,4.741864756
 01/11  07:00:00,0.825194606,4.948415217
 01/11  08:00:00,1.110708395,4.942340282
 01/11  09:00:00,1.051786328,4.621294025
 01/11  10:00:00,0.90581975,4.20631136
 01/11  11:00:00,0.912947165,4.472942538
 01/11  12:00:00,0.904539423,3.480102209
 01/11  13:00:00,0.872223951,2.771536492
 01/11  14:00:00,0.837639235,2.299382956
 01/11  15:00:00,0.828721823,1.925966798
 01/11  16:00:00,0.879831753,1.531555656
 01/11  17:00:00,1.106846616,1.513756892
 01/11  18:00:00,1.539687933,2.136049431
 01/11  19:00:00,1.800875762,1.761980811
 01/11  20:00:00,1.75349402,1.83633371
 01/11  21:00:00,1.633440438,2.074668002
 01/11  22:00:00,1.502568819,2.390127034
 01/11  23:00:00,1.239891252,2.76108518
 01/11  24:00:00,0.979887623,3.149719161
 01/12  01:00:00,0.723389495,3.517869257
 01/12  02:00:00,0.626640547,3.882912212
 01/12  03:00:00,0.593388625,4.194351491
 01/12  04:00:00,0.588707164,4.461864999
 01/12  05:00:00,0.592574643,4.737152927
 01/12  06:00:00,0.648478551,5.154924942
 01/12  07:00:00,0.838347482,5.423521089
 01/12  08:00:00,1.120062922,5.280667289
 01/12  09:00:00,1.054748668,4.729146204
 01/12  10:00:00,0.900128145,4.002071124
 01/12  11:00:00,0.909022066,4.332252804
 01/12  12:00:00,0.907655491,3.593130466
 01/12  13:00:00,0.883100208,3.164231623
 01/12  14:00:00,0.848622182,2.695862911
 01/12  15:00:00,0.812180018,1.330089424
 01/12  16:00:00,0.867437647,1.085212917
