Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.759793756,4.378184544
 01/01  02:00:00,0.655586063,4.667643479
 01/01  03:00:00,0.617556955,4.895746876
 01/01  04:00:00,0.608350997,5.053281856
 01/01  05:00:00,0.609886693,5.216855607
 01/01  06:00:00,0.661401951,5.447194001
 01/01  07:00:00,0.860018076,5.731271178
 01/01  08:00:00,1.161231255,6.279347431
 01/01  09:00:00,1.11749334,5.585033227
 01/01  10:00:00,0.959473832,4.441114768
 01/01  11:00:00,0.947454302,3.796289466
 01/01  12:00:00,0.928961917,2.314420505
 01/01  13:00:00,0.888134613,1.427475485
 01/01  14:00:00,0.84681292,0.829439753
 01/01  15:00:00,0.840611783,0.686528088
 01/01  16:00:00,0.905841238,0.829554206
 01/01  17:00:00,1.15150151,1.382954673
 01/01  18:00:00,1.616880183,2.921878662
 01/01  19:00:00,1.883342653,2.440642543
 01/01  20:00:00,1.839017661,2.574958744
 01/01  21:00:00,1.713770227,2.737176323
 01/01  22:00:00,1.583337582,3.189880399
 01/01  23:00:00,1.312998712,3.768779404
 01/01  24:00:00,1.035101193,4.165831253
 01/02  01:00:00,0.757162561,4.511650772
 01/02  02:00:00,0.656244399,4.832325613
 01/02  03:00:00,0.62035486,5.092388953
 01/02  04:00:00,0.61365049,5.296460219
 01/02  05:00:00,0.614989348,5.495453171
 01/02  06:00:00,0.664232025,5.67212261
 01/02  07:00:00,0.853879525,5.82141996
 01/02  08:00:00,1.140647883,6.206635846
 01/02  09:00:00,1.088058726,5.598522312
 01/02  10:00:00,0.908101207,4.113270058
 01/02  11:00:00,0.884956441,3.285517729
 01/02  12:00:00,0.873145885,2.12518566
 01/02  13:00:00,0.83851011,1.303372414
 01/02  14:00:00,0.803121482,0.776687771
 01/02  15:00:00,0.801486211,0.641687889
 01/02  16:00:00,0.866604199,0.703991308
 01/02  17:00:00,1.112082192,1.198243155
 01/02  18:00:00,1.575483932,2.631378689
 01/02  19:00:00,1.839851659,2.013919172
 01/02  20:00:00,1.789928442,1.926781767
 01/02  21:00:00,1.663161951,2.059522279
 01/02  22:00:00,1.525956005,2.301693989
 01/02  23:00:00,1.254752644,2.59120176
 01/02  24:00:00,0.985492626,2.856586591
 01/03  01:00:00,0.719939294,3.12143762
 01/03  02:00:00,0.616577629,3.350850206
 01/03  03:00:00,0.578385497,3.524883877
 01/03  04:00:00,0.569548569,3.649280522
 01/03  05:00:00,0.568907958,3.774379357
 01/03  06:00:00,0.620026239,4.021199394
 01/03  07:00:00,0.824638476,4.729624805
 01/03  08:00:00,1.103646324,4.825057247
 01/03  09:00:00,1.042884655,3.911787085
 01/03  10:00:00,0.875095389,2.88099738
 01/03  11:00:00,0.850943431,2.015572513
 01/03  12:00:00,0.840509131,0.906585488
 01/03  13:00:00,0.823443939,0.737462837
 01/03  14:00:00,0.800827598,0.687182258
 01/03  15:00:00,0.801486211,0.637744072
 01/03  16:00:00,0.86514994,0.644634477
 01/03  17:00:00,1.099146346,0.711747094
 01/03  18:00:00,1.541238919,1.352388033
 01/03  19:00:00,1.811974287,0.973047792
 01/03  20:00:00,1.767217126,1.078963072
 01/03  21:00:00,1.644621311,1.367440599
 01/03  22:00:00,1.511507698,1.762394486
 01/03  23:00:00,1.244568078,2.211069355
 01/03  24:00:00,0.979106988,2.618194671
 01/04  01:00:00,0.716770529,3.003166182
 01/04  02:00:00,0.616417223,3.344817318
 01/04  03:00:00,0.581903883,3.656225539
 01/04  04:00:00,0.577032892,3.928763476
 01/04  05:00:00,0.582408868,4.278623869
 01/04  06:00:00,0.635878457,4.613431378
 01/04  07:00:00,0.830671924,4.955354973
 01/04  08:00:00,1.11821747,5.369784768
 01/04  09:00:00,1.060303501,4.562838551
 01/04  10:00:00,0.896757107,3.69042227
 01/04  11:00:00,0.886108612,3.329234409
 01/04  12:00:00,0.870519281,2.027671103
 01/04  13:00:00,0.843955848,1.507258175
 01/04  14:00:00,0.801021253,0.69871402
 01/04  15:00:00,0.802813515,0.692267597
 01/04  16:00:00,0.868701019,0.783063171
 01/04  17:00:00,1.103479215,0.877462721
 01/04  18:00:00,1.549420765,1.658645557
 01/04  19:00:00,1.823234241,1.394037252
 01/04  20:00:00,1.783504162,1.687550568
 01/04  21:00:00,1.659264731,1.91459584
 01/04  22:00:00,1.523740303,2.219491273
 01/04  23:00:00,1.255056557,2.602958606
 01/04  24:00:00,0.988800296,2.980368875
 01/05  01:00:00,0.727466552,3.402692814
 01/05  02:00:00,0.627576116,3.761671554
 01/05  03:00:00,0.592508735,4.052321902
 01/05  04:00:00,0.589468127,4.393259249
 01/05  05:00:00,0.599490588,4.91669484
 01/05  06:00:00,0.656676187,5.3903959
 01/05  07:00:00,0.871773233,6.490879168
 01/05  08:00:00,1.141860185,6.25328354
 01/05  09:00:00,1.091610554,5.732537968
 01/05  10:00:00,0.919544196,4.54186793
 01/05  11:00:00,0.898673731,3.798881573
 01/05  12:00:00,0.873215581,2.128683424
 01/05  13:00:00,0.838722388,1.3120719
 01/05  14:00:00,0.807062536,0.924566902
 01/05  15:00:00,0.810286696,0.971569239
 01/05  16:00:00,0.881460177,1.259767925
 01/05  17:00:00,1.124396078,1.658826536
 01/05  18:00:00,1.584062809,2.952624688
 01/05  19:00:00,1.854772896,2.572197039
 01/05  20:00:00,1.815446838,2.880859915
 01/05  21:00:00,1.693356633,3.188167424
 01/05  22:00:00,1.559882095,3.569597095
 01/05  23:00:00,1.291432915,3.9618169
 01/05  24:00:00,1.022247177,4.229720539
 01/06  01:00:00,0.754822675,4.424568772
 01/06  02:00:00,0.648405827,4.539768616
 01/06  03:00:00,0.60827121,4.641208545
 01/06  04:00:00,0.59780174,4.704617396
 01/06  05:00:00,0.596009919,4.786787565
 01/06  06:00:00,0.646935793,5.026784297
 01/06  07:00:00,0.856978823,5.938688112
 01/06  08:00:00,1.125816456,5.654509004
 01/06  09:00:00,1.083410606,5.426731461
 01/06  10:00:00,0.927165058,4.82688103
 01/06  11:00:00,0.932940944,5.078969687
 01/06  12:00:00,0.921010837,3.913953674
 01/06  13:00:00,0.889151758,3.195673498
 01/06  14:00:00,0.855831174,2.746097405
 01/06  15:00:00,0.851882269,2.525154634
 01/06  16:00:00,0.912246934,2.409657506
 01/06  17:00:00,1.150399783,2.630175582
 01/06  18:00:00,1.600514033,3.567299951
 01/06  19:00:00,1.860884111,2.800790061
 01/06  20:00:00,1.809015924,2.641034223
 01/06  21:00:00,1.683067434,2.804212202
 01/06  22:00:00,1.548310316,3.137688702
 01/06  23:00:00,1.281869877,3.604826465
 01/06  24:00:00,1.017433136,4.050061714
 01/07  01:00:00,0.765125737,4.577728849
 01/07  02:00:00,0.666696057,5.082797668
 01/07  03:00:00,0.63278027,5.46443628
 01/07  04:00:00,0.627983586,5.786690491
 01/07  05:00:00,0.633024538,6.081364168
 01/07  06:00:00,0.689119893,6.483535709
 01/07  07:00:00,0.891785182,6.920307006
 01/07  08:00:00,1.200487675,7.748547928
 01/07  09:00:00,1.144284049,6.588619121
 01/07  10:00:00,0.979578284,5.194687024
 01/07  11:00:00,0.969895275,4.636743786
 01/07  12:00:00,0.942880445,2.836222721
 01/07  13:00:00,0.903818103,2.014917396
 01/07  14:00:00,0.864015999,1.473447827
 01/07  15:00:00,0.85461516,1.210858973
