Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.728578799,3.478347502
 01/01  02:00:00,0.625186418,3.693702765
 01/01  03:00:00,0.582694426,3.718755886
 01/01  04:00:00,0.578080609,4.033892724
 01/01  05:00:00,0.578089912,4.127565841
 01/01  06:00:00,0.630414584,4.381237902
 01/01  07:00:00,0.861895555,5.947322235
 01/01  08:00:00,1.118133371,4.519173406
 01/01  09:00:00,1.054551255,3.627740168
 01/01  10:00:00,0.912029203,2.877146918
 01/01  11:00:00,0.916302415,2.81873544
 01/01  12:00:00,0.910479225,1.851918913
 01/01  13:00:00,0.882517358,1.462377456
 01/01  14:00:00,0.841241603,0.895269841
 01/01  15:00:00,0.833532914,0.722859371
 01/01  16:00:00,0.900040443,0.957791176
 01/01  17:00:00,1.141099339,1.49562188
 01/01  18:00:00,1.590784266,2.753759752
 01/01  19:00:00,1.845015736,2.182390418
 01/01  20:00:00,1.795964661,2.207805684
 01/01  21:00:00,1.67727637,2.470167042
 01/01  22:00:00,1.544165715,2.665843153
 01/01  23:00:00,1.277931405,3.159659937
 01/01  24:00:00,1.000174284,3.350204298
 01/02  01:00:00,0.723740345,3.528528808
 01/02  02:00:00,0.615260336,3.471650319
 01/02  03:00:00,0.578416629,3.653894622
 01/02  04:00:00,0.574393434,3.945058204
 01/02  05:00:00,0.576209539,4.145580911
 01/02  06:00:00,0.62743775,4.391352468
 01/02  07:00:00,0.816793862,4.63500745
 01/02  08:00:00,1.097997396,4.471770494
 01/02  09:00:00,1.032420107,3.911125498
 01/02  10:00:00,0.870320394,2.915746829
 01/02  11:00:00,0.86662443,2.79370543
 01/02  12:00:00,0.858214027,1.802179552
 01/02  13:00:00,0.838828018,1.560836912
 01/02  14:00:00,0.810443066,1.312890072
 01/02  15:00:00,0.806176579,1.107803679
 01/02  16:00:00,0.876859436,1.418959662
 01/02  17:00:00,1.119073487,1.948340984
 01/02  18:00:00,1.567567762,3.133359401
 01/02  19:00:00,1.82561441,2.644645705
 01/02  20:00:00,1.776273311,2.648180221
 01/02  21:00:00,1.649229051,2.635328913
 01/02  22:00:00,1.519812594,3.004282378
 01/02  23:00:00,1.259236022,3.452757137
 01/02  24:00:00,1.003499695,3.997168058
 01/03  01:00:00,0.750720122,4.501416581
 01/03  02:00:00,0.66320205,5.200122512
 01/03  03:00:00,0.633819961,5.651332058
 01/03  04:00:00,0.634125972,6.098578362
 01/03  05:00:00,0.641875724,6.513112117
 01/03  06:00:00,0.700885395,7.039822402
 01/03  07:00:00,0.891156484,7.317229142
 01/03  08:00:00,1.163485196,6.834273392
 01/03  09:00:00,1.085432037,5.823816217
 01/03  10:00:00,0.91682283,4.593604906
 01/03  11:00:00,0.909964699,4.357367041
 01/03  12:00:00,0.872783471,2.328437308
 01/03  13:00:00,0.833799571,1.380425702
 01/03  14:00:00,0.792035895,0.650072584
 01/03  15:00:00,0.792231247,0.603359361
 01/03  16:00:00,0.854486111,0.610137653
 01/03  17:00:00,1.083675159,0.671880905
 01/03  18:00:00,1.532682964,1.876726182
 01/03  19:00:00,1.793890149,1.502136362
 01/03  20:00:00,1.751858454,1.769206836
 01/03  21:00:00,1.637905768,2.228213883
 01/03  22:00:00,1.515906561,2.86443427
 01/03  23:00:00,1.253314757,3.240028607
 01/03  24:00:00,1.002217213,3.95142305
 01/04  01:00:00,0.751867754,4.543017572
 01/04  02:00:00,0.660930289,5.11833656
 01/04  03:00:00,0.634012548,5.65835527
 01/04  04:00:00,0.632319152,6.033529688
 01/04  05:00:00,0.636715198,6.327251734
 01/04  06:00:00,0.695071923,6.830816506
 01/04  07:00:00,0.939822932,9.07302737
 01/04  08:00:00,1.17617057,7.293132916
 01/04  09:00:00,1.08069091,5.654389004
 01/04  10:00:00,0.903203984,4.103973124
 01/04  11:00:00,0.89743524,3.906818967
 01/04  12:00:00,0.864012488,2.01321076
 01/04  13:00:00,0.830194856,1.251311804
 01/04  14:00:00,0.792035895,0.649365005
 01/04  15:00:00,0.792231247,0.60392413
