Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.740619237,3.912419305
 01/01  02:00:00,0.638911173,4.188496138
 01/01  03:00:00,0.601506877,4.396966601
 01/01  04:00:00,0.6028102,4.92542324
 01/01  05:00:00,0.606457623,5.150254799
 01/01  06:00:00,0.660894861,5.480087318
 01/01  07:00:00,0.857393173,5.785006147
 01/01  08:00:00,1.153021669,5.77693711
 01/01  09:00:00,1.09880196,5.223029551
 01/01  10:00:00,0.952251925,4.327222816
 01/01  11:00:00,0.950513858,4.052097696
 01/01  12:00:00,0.9195235,2.177975523
 01/01  13:00:00,0.877402839,1.277993078
 01/01  14:00:00,0.835623927,0.692618851
 01/01  15:00:00,0.831356819,0.64317182
 01/01  16:00:00,0.891545084,0.64914957
 01/01  17:00:00,1.122231757,0.814900144
 01/01  18:00:00,1.57011997,2.0087873
 01/01  19:00:00,1.830927623,1.674497569
 01/01  20:00:00,1.782517047,1.7230036
 01/01  21:00:00,1.674973066,2.387130275
 01/01  22:00:00,1.54456432,2.680213295
 01/01  23:00:00,1.277522343,3.144912782
 01/01  24:00:00,1.012454087,3.792905503
 01/02  01:00:00,0.750907109,4.50792236
 01/02  02:00:00,0.657762104,5.003888525
 01/02  03:00:00,0.624908282,5.329972762
 01/02  04:00:00,0.6203842,5.603078751
 01/02  05:00:00,0.627536706,5.99598498
 01/02  06:00:00,0.680560368,6.306484651
 01/02  07:00:00,0.86947666,6.534283568
 01/02  08:00:00,1.157723501,6.624966009
 01/02  09:00:00,1.091135765,6.027893242
 01/02  10:00:00,0.928061367,4.997376044
 01/02  11:00:00,0.918004723,4.646024724
 01/02  12:00:00,0.883407057,2.710417524
 01/02  13:00:00,0.844723555,1.773377862
 01/02  14:00:00,0.807371521,1.202157293
 01/02  15:00:00,0.79779445,0.805618183
 01/02  16:00:00,0.857484612,0.720474726
 01/02  17:00:00,1.094292172,1.054945776
 01/02  18:00:00,1.548099796,2.431516532
 01/02  19:00:00,1.806797514,1.966274708
 01/02  20:00:00,1.756618358,1.939596295
 01/02  21:00:00,1.647003683,2.555101741
 01/02  22:00:00,1.512084239,2.725666121
 01/02  23:00:00,1.247474926,3.028755959
 01/02  24:00:00,0.988593976,3.459799575
 01/03  01:00:00,0.741007229,4.151255495
 01/03  02:00:00,0.656060128,4.942647932
 01/03  03:00:00,0.630276555,5.523588161
 01/03  04:00:00,0.625194639,5.776593224
