Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.753526616,4.377745314
 01/01  02:00:00,0.660061874,4.951003531
 01/01  03:00:00,0.62973834,5.414743686
 01/01  04:00:00,0.62090644,5.577813764
 01/01  05:00:00,0.624669889,5.80682816
 01/01  06:00:00,0.679422017,6.14801284
 01/01  07:00:00,0.876727666,6.482037105
 01/01  08:00:00,1.174164726,6.539168912
 01/01  09:00:00,1.113490099,5.752554015
 01/01  10:00:00,0.955662055,4.450161977
 01/01  11:00:00,0.959341273,4.370336312
 01/01  12:00:00,0.926547262,2.431190338
 01/01  13:00:00,0.883400543,1.494217288
 01/01  14:00:00,0.842203288,0.929939685
 01/01  15:00:00,0.831356819,0.64440513
 01/01  16:00:00,0.893403048,0.718505326
 01/01  17:00:00,1.130580374,1.116400947
 01/01  18:00:00,1.584110271,2.51315446
 01/01  19:00:00,1.837763845,1.920951323
 01/01  20:00:00,1.79473398,2.163438234
 01/01  21:00:00,1.680857341,2.599265234
 01/01  22:00:00,1.5521132,2.952359194
 01/01  23:00:00,1.285873294,3.445974292
 01/01  24:00:00,1.015120434,3.88903038
 01/02  01:00:00,0.746797449,4.359764221
 01/02  02:00:00,0.652265966,4.805746355
 01/02  03:00:00,0.615655414,4.996396138
 01/02  04:00:00,0.608904826,5.189233953
 01/02  05:00:00,0.608565231,5.312041241
 01/02  06:00:00,0.661040163,5.602758534
 01/02  07:00:00,0.850470138,5.849076367
 01/02  08:00:00,1.135829345,5.835656242
 01/02  09:00:00,1.066558891,5.141868348
 01/02  10:00:00,0.918802467,4.663581921
 01/02  11:00:00,0.919279011,4.691964277
 01/02  12:00:00,0.899107556,3.276438844
 01/02  13:00:00,0.872341185,2.769025567
 01/02  14:00:00,0.841700051,2.43974074
 01/02  15:00:00,0.838293767,2.265665679
 01/02  16:00:00,0.895804665,2.1019572
 01/02  17:00:00,1.125761414,2.189448534
 01/02  18:00:00,1.571509111,3.275449581
 01/02  19:00:00,1.82419775,2.593573438
 01/02  20:00:00,1.774236526,2.574751734
 01/02  21:00:00,1.655411673,2.858219532
 01/02  22:00:00,1.521939089,3.080944914
 01/02  23:00:00,1.25375025,3.25498866
 01/02  24:00:00,0.994242629,3.663440053
 01/03  01:00:00,0.734509307,3.916997849
 01/03  02:00:00,0.631113799,4.043303744
 01/03  03:00:00,0.592786206,4.172017442
 01/03  04:00:00,0.583969027,4.290361965
 01/03  05:00:00,0.58425794,4.43592391
 01/03  06:00:00,0.639684527,4.833459701
 01/03  07:00:00,0.872584736,6.647696016
 01/03  08:00:00,1.163410793,6.831591095
 01/03  09:00:00,1.073343877,5.388024003
 01/03  10:00:00,0.915342231,4.540227551
 01/03  11:00:00,0.910680658,4.383178101
 01/03  12:00:00,0.896923904,3.198727909
 01/03  13:00:00,0.871624106,2.744044157
 01/03  14:00:00,0.838385761,2.321036697
 01/03  15:00:00,0.834694676,2.136609194
 01/03  16:00:00,0.892377822,1.979118189
 01/03  17:00:00,1.121167716,2.02464225
 01/03  18:00:00,1.562199232,2.940823726
 01/03  19:00:00,1.814463428,2.24382699
 01/03  20:00:00,1.766644711,2.302268571
 01/03  21:00:00,1.639405382,2.282276725
 01/03  22:00:00,1.50527044,2.480989662
 01/03  23:00:00,1.238142049,2.693034825
 01/03  24:00:00,0.96951975,2.772641469
 01/04  01:00:00,0.704798265,2.846107684
 01/04  02:00:00,0.602570521,3.014398913
 01/04  03:00:00,0.563928032,3.131726858
 01/04  04:00:00,0.553153169,3.179503873
 01/04  05:00:00,0.551578459,3.257972954
 01/04  06:00:00,0.604419307,3.562683708
 01/04  07:00:00,0.822511895,4.843827637
 01/04  08:00:00,1.113471615,5.032762646
 01/04  09:00:00,1.018934927,3.42801397
 01/04  10:00:00,0.857284208,2.448511736
 01/04  11:00:00,0.855476715,2.394165306
 01/04  12:00:00,0.83795408,1.073774793
 01/04  13:00:00,0.816472129,0.756591551
 01/04  14:00:00,0.794577038,0.742434532
 01/04  15:00:00,0.797570611,0.798914578
 01/04  16:00:00,0.86271832,0.910537201
 01/04  17:00:00,1.09432995,1.057883955
 01/04  18:00:00,1.531023848,1.817886509
 01/04  19:00:00,1.789259647,1.336347818
 01/04  20:00:00,1.74078526,1.371174348
 01/04  21:00:00,1.615906467,1.436178251
 01/04  22:00:00,1.481361712,1.619988021
 01/04  23:00:00,1.215549879,1.879275338
 01/04  24:00:00,0.950274755,2.079310131
 01/05  01:00:00,0.690366031,2.32602827
 01/05  02:00:00,0.590773529,2.589213106
 01/05  03:00:00,0.553088536,2.741027643
 01/05  04:00:00,0.54308797,2.81672796
 01/05  05:00:00,0.544489568,3.00258602
 01/05  06:00:00,0.596140809,3.264789819
 01/05  07:00:00,0.785265201,3.502310072
 01/05  08:00:00,1.096622785,4.426824742
 01/05  09:00:00,1.022202953,3.54727243
 01/05  10:00:00,0.881480213,3.322101201
 01/05  11:00:00,0.896386414,3.870119731
 01/05  12:00:00,0.882325036,2.67434198
 01/05  13:00:00,0.856399695,2.196836932
 01/05  14:00:00,0.81912068,1.627987651
 01/05  15:00:00,0.814870089,1.423227966
 01/05  16:00:00,0.877771221,1.453866031
 01/05  17:00:00,1.107272312,1.52521782
 01/05  18:00:00,1.537223657,2.042333652
 01/05  19:00:00,1.795217705,1.55224815
 01/05  20:00:00,1.745381394,1.537997536
 01/05  21:00:00,1.61811548,1.516842358
 01/05  22:00:00,1.481409332,1.622607018
 01/05  23:00:00,1.211700556,1.741191884
 01/05  24:00:00,0.948057407,1.99982844
 01/06  01:00:00,0.690860447,2.344064012
 01/06  02:00:00,0.592523825,2.652418998
 01/06  03:00:00,0.556376047,2.859620601
 01/06  04:00:00,0.545618847,2.908051987
 01/06  05:00:00,0.544944628,3.019160682
 01/06  06:00:00,0.600497141,3.422375433
 01/06  07:00:00,0.822996256,4.86377982
 01/06  08:00:00,1.112525373,5.001558049
 01/06  09:00:00,1.034300342,3.984785718
 01/06  10:00:00,0.890686996,3.655263312
 01/06  11:00:00,0.902072361,4.076175324
 01/06  12:00:00,0.874546799,2.394834789
 01/06  13:00:00,0.835740918,1.452843892
 01/06  14:00:00,0.795543086,0.778687062
 01/06  15:00:00,0.792231247,0.607429225
 01/06  16:00:00,0.854963512,0.632085778
 01/06  17:00:00,1.0863191,0.770543049
 01/06  18:00:00,1.524383205,1.580322208
 01/06  19:00:00,1.784653882,1.172474126
 01/06  20:00:00,1.736267832,1.210528086
 01/06  21:00:00,1.617742161,1.504371997
 01/06  22:00:00,1.48519087,1.759804431
 01/06  23:00:00,1.221348021,2.089657421
 01/06  24:00:00,0.959748364,2.421740187
 01/07  01:00:00,0.707525901,2.720749975
 01/07  02:00:00,0.604681166,2.95519667
 01/07  03:00:00,0.565628435,3.104027538
 01/07  04:00:00,0.557515366,3.293072774
 01/07  05:00:00,0.561548851,3.532430079
 01/07  06:00:00,0.613386166,3.771061983
 01/07  07:00:00,0.806979056,3.976012358
 01/07  08:00:00,1.130345061,4.96939881
 01/07  09:00:00,1.064942557,4.012159308
 01/07  10:00:00,0.928265934,3.471344715
 01/07  11:00:00,0.941604894,3.738525475
 01/07  12:00:00,0.934128578,2.710943386
 01/07  13:00:00,0.906352879,2.327217328
 01/07  14:00:00,0.873704078,2.070530488
 01/07  15:00:00,0.86773839,1.960423223
 01/07  16:00:00,0.926000668,1.898141772
 01/07  17:00:00,1.151688074,1.882470746
 01/07  18:00:00,1.58064879,2.394736043
 01/07  19:00:00,1.832067138,1.723152588
 01/07  20:00:00,1.778246993,1.576859254
 01/07  21:00:00,1.653365564,1.615297346
 01/07  22:00:00,1.515886888,1.652609353
 01/07  23:00:00,1.238405162,1.739478194
 01/07  24:00:00,0.958250415,1.841942456
 01/08  01:00:00,0.687355681,1.993805014
 01/08  02:00:00,0.584660535,2.233537751
 01/08  03:00:00,0.54884122,2.498905098
 01/08  04:00:00,0.540911664,2.694574686
 01/08  05:00:00,0.544767043,2.92759918
 01/08  06:00:00,0.599923041,3.286240544
 01/08  07:00:00,0.795405486,3.560004765
 01/08  08:00:00,1.09153027,3.571529278
 01/08  09:00:00,1.044190775,3.265456249
