Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.653404221,0.768079875
 01/01  02:00:00,0.555916981,1.196458655
 01/01  03:00:00,0.525119612,1.643116875
 01/01  04:00:00,0.522529326,2.031204417
 01/01  05:00:00,0.52812885,2.326411474
 01/01  06:00:00,0.586101037,2.783682988
 01/01  07:00:00,0.782856176,3.097860728
 01/01  08:00:00,1.07510075,2.967797389
 01/01  09:00:00,1.017849908,2.304613909
 01/01  10:00:00,0.872570137,1.454601715
 01/01  11:00:00,0.871130963,1.190046664
 01/01  12:00:00,0.882123098,0.826139626
 01/01  13:00:00,0.862598906,0.736513639
 01/01  14:00:00,0.835623927,0.68171786
 01/01  15:00:00,0.831356819,0.631768702
 01/01  16:00:00,0.891545084,0.637827335
 01/01  17:00:00,1.119593078,0.708125759
 01/01  18:00:00,1.53810911,0.846289141
 01/01  19:00:00,1.811788512,0.974811133
 01/01  20:00:00,1.762817728,1.002575685
 01/01  21:00:00,1.634983069,0.936910596
 01/01  22:00:00,1.49386948,0.846209887
 01/01  23:00:00,1.209909129,0.703125324
 01/01  24:00:00,0.924445513,0.619657146
 01/02  01:00:00,0.651618114,0.928335818
 01/02  02:00:00,0.558929562,1.440860179
 01/02  03:00:00,0.527671141,1.824460724
 01/02  04:00:00,0.527030493,2.237569056
 01/02  05:00:00,0.534819416,2.653418906
 01/02  06:00:00,0.589889028,3.037677421
 01/02  07:00:00,0.812801442,4.491076186
 01/02  08:00:00,1.067258871,3.363610953
 01/02  09:00:00,0.987091443,2.276974442
 01/02  10:00:00,0.823406173,1.224434606
 01/02  11:00:00,0.81328992,0.868499913
 01/02  12:00:00,0.829634338,0.763989705
 01/02  13:00:00,0.814788399,0.682663662
 01/02  14:00:00,0.792035895,0.635820403
 01/02  15:00:00,0.792231247,0.589784871
 01/02  16:00:00,0.854486111,0.596914238
 01/02  17:00:00,1.083675159,0.657428376
 01/02  18:00:00,1.50275718,0.784988647
 01/02  19:00:00,1.777478196,0.897030076
 01/02  20:00:00,1.728572974,0.916174591
 01/02  21:00:00,1.600127698,0.854675953
 01/02  22:00:00,1.458262622,0.776758708
 01/02  23:00:00,1.181615917,0.648299003
 01/02  24:00:00,0.906894026,0.510456838
 01/03  01:00:00,0.641991444,0.579919229
 01/03  02:00:00,0.548181022,1.053402652
 01/03  03:00:00,0.518317688,1.487340399
 01/03  04:00:00,0.514282124,1.778068101
 01/03  05:00:00,0.520456125,2.135794312
 01/03  06:00:00,0.57555671,2.521577303
 01/03  07:00:00,0.796397633,3.901062345
 01/03  08:00:00,1.055009954,2.923614799
 01/03  09:00:00,0.97993111,2.020385104
 01/03  10:00:00,0.817727285,1.021095213
 01/03  11:00:00,0.81328992,0.868367195
 01/03  12:00:00,0.829634338,0.764168301
 01/03  13:00:00,0.814788399,0.68263865
 01/03  14:00:00,0.792035895,0.633104881
 01/03  15:00:00,0.792231247,0.587983623
 01/03  16:00:00,0.854486111,0.593445999
 01/03  17:00:00,1.083675159,0.653627167
 01/03  18:00:00,1.50275718,0.780320687
 01/03  19:00:00,1.777478196,0.892953369
 01/03  20:00:00,1.728572974,0.912926302
 01/03  21:00:00,1.600127698,0.851395784
 01/03  22:00:00,1.458262622,0.773787035
 01/03  23:00:00,1.181615917,0.645786025
 01/03  24:00:00,0.906894026,0.507016786
 01/04  01:00:00,0.635993957,0.361313461
 01/04  02:00:00,0.529481827,0.377807036
 01/04  03:00:00,0.501878116,0.894633275
 01/04  04:00:00,0.496262822,1.128540326
 01/04  05:00:00,0.498852776,1.357150933
 01/04  06:00:00,0.552746867,1.699832176
 01/04  07:00:00,0.744987442,2.048981151
 01/04  08:00:00,1.023383061,1.784965539
 01/04  09:00:00,0.954596079,1.108523678
 01/04  10:00:00,0.816670382,0.980991422
 01/04  11:00:00,0.81328992,0.866655206
 01/04  12:00:00,0.829634338,0.762266266
 01/04  13:00:00,0.814788399,0.680723509
 01/04  14:00:00,0.792035895,0.6311976
 01/04  15:00:00,0.792231247,0.583871313
 01/04  16:00:00,0.854486111,0.593402866
 01/04  17:00:00,1.083675159,0.655430871
 01/04  18:00:00,1.50275718,0.782632741
 01/04  19:00:00,1.777478196,0.893943544
 01/04  20:00:00,1.728572974,0.913429657
 01/04  21:00:00,1.600127698,0.852625666
 01/04  22:00:00,1.458262622,0.773294234
 01/04  23:00:00,1.181615917,0.644425662
 01/04  24:00:00,0.906894026,0.504631115
 01/05  01:00:00,0.635993957,0.358929055
 01/05  02:00:00,0.527218759,0.292882684
 01/05  03:00:00,0.484820769,0.27790778
 01/05  04:00:00,0.476996885,0.433454433
 01/05  05:00:00,0.485542058,0.877431444
 01/05  06:00:00,0.543496068,1.366885531
 01/05  07:00:00,0.735777754,1.718230045
 01/05  08:00:00,1.017924304,1.589652987
 01/05  09:00:00,0.954612844,1.110570386
 01/05  10:00:00,0.816670382,0.9823902
 01/05  11:00:00,0.81328992,0.866761294
 01/05  12:00:00,0.829634338,0.763215199
 01/05  13:00:00,0.814788399,0.680737371
 01/05  14:00:00,0.792035895,0.634984865
 01/05  15:00:00,0.792231247,0.587767852
 01/05  16:00:00,0.854486111,0.594693177
 01/05  17:00:00,1.083675159,0.655637242
 01/05  18:00:00,1.50275718,0.783615196
 01/05  19:00:00,1.777478196,0.895694571
 01/05  20:00:00,1.728572974,0.914919605
 01/05  21:00:00,1.600127698,0.852991415
 01/05  22:00:00,1.458262622,0.774373798
 01/05  23:00:00,1.181615917,0.644956897
 01/05  24:00:00,0.906894026,0.506375097
 01/06  01:00:00,0.635993957,0.36087369
 01/06  02:00:00,0.527218759,0.29391403
 01/06  03:00:00,0.489790328,0.458189977
 01/06  04:00:00,0.488744917,0.857679926
 01/06  05:00:00,0.496553515,1.274604507
 01/06  06:00:00,0.553397076,1.724363319
 01/06  07:00:00,0.772009048,3.025631641
 01/06  08:00:00,1.037701985,2.304087888
 01/06  09:00:00,0.964291051,1.460869353
 01/06  10:00:00,0.816670382,0.984856001
 01/06  11:00:00,0.81328992,0.870659574
 01/06  12:00:00,0.829634338,0.765806899
 01/06  13:00:00,0.814788399,0.684099499
 01/06  14:00:00,0.792035895,0.636565651
 01/06  15:00:00,0.792231247,0.589838152
 01/06  16:00:00,0.854486111,0.597209726
 01/06  17:00:00,1.083675159,0.65823061
 01/06  18:00:00,1.50275718,0.78646814
 01/06  19:00:00,1.777478196,0.898582452
 01/06  20:00:00,1.728572974,0.917535534
 01/06  21:00:00,1.600127698,0.855971827
 01/06  22:00:00,1.458262622,0.778087587
 01/06  23:00:00,1.181615917,0.649009574
 01/06  24:00:00,0.906894026,0.510533581
 01/07  01:00:00,0.642567641,0.377787328
 01/07  02:00:00,0.537827376,0.544712433
 01/07  03:00:00,0.508068253,1.028915984
 01/07  04:00:00,0.506244228,1.444688642
 01/07  05:00:00,0.513114771,1.786325164
 01/07  06:00:00,0.566862283,2.093821916
 01/07  07:00:00,0.779796713,2.996057255
 01/07  08:00:00,1.058784211,2.389546952
 01/07  09:00:00,1.011737205,2.094044511
 01/07  10:00:00,0.874355361,1.527805873
 01/07  11:00:00,0.876665673,1.397259712
 01/07  12:00:00,0.882123098,0.833436487
 01/07  13:00:00,0.862598906,0.743214487
 01/07  14:00:00,0.835623927,0.689099057
 01/07  15:00:00,0.831356819,0.63881187
 01/07  16:00:00,0.891545084,0.644922414
 01/07  17:00:00,1.119593078,0.715250419
 01/07  18:00:00,1.53810911,0.854060659
 01/07  19:00:00,1.811788512,0.983494772
 01/07  20:00:00,1.762817728,1.0113327
 01/07  21:00:00,1.634983069,0.944365181
 01/07  22:00:00,1.49386948,0.85171613
 01/07  23:00:00,1.209909129,0.706277035
 01/07  24:00:00,0.922428871,0.548059676
 01/08  01:00:00,0.644643356,0.453801096
 01/08  02:00:00,0.541953779,0.693908658
 01/08  03:00:00,0.504910897,0.915165841
 01/08  04:00:00,0.497278869,1.121561716
 01/08  05:00:00,0.500075179,1.316405562
 01/08  06:00:00,0.552904971,1.591184497
 01/08  07:00:00,0.749599373,1.908641133
 01/08  08:00:00,1.061580244,2.491795983
 01/08  09:00:00,0.995646742,1.515387423
 01/08  10:00:00,0.86170144,1.071928349
 01/08  11:00:00,0.864206149,0.947972873
 01/08  12:00:00,0.882123098,0.831581199
 01/08  13:00:00,0.862598906,0.739502541
 01/08  14:00:00,0.835623927,0.686183981
