Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.749044838,3.976753574
 01/01  02:00:00,0.642887139,4.193340644
 01/01  03:00:00,0.606732325,4.491467894
 01/01  04:00:00,0.597858264,4.661402984
 01/01  05:00:00,0.598873972,4.805556719
 01/01  06:00:00,0.649873825,5.016645913
 01/01  07:00:00,0.848154144,5.288181623
 01/01  08:00:00,1.131588149,5.172248147
 01/01  09:00:00,1.090109184,4.562305304
 01/01  10:00:00,0.939295774,3.687513314
 01/01  11:00:00,0.945460452,3.72178932
 01/01  12:00:00,0.928159875,2.28444167
 01/01  13:00:00,0.887816029,1.415572951
 01/01  14:00:00,0.850947771,0.98386277
 01/01  15:00:00,0.841033183,0.702264222
 01/01  16:00:00,0.905767102,0.826903156
 01/01  17:00:00,1.148754099,1.280343246
 01/01  18:00:00,1.605599709,2.500603989
 01/01  19:00:00,1.872690539,2.042833501
 01/01  20:00:00,1.827089796,2.129488585
 01/01  21:00:00,1.708084507,2.524815716
 01/01  22:00:00,1.576466095,2.933257616
 01/01  23:00:00,1.302698871,3.384131144
 01/01  24:00:00,1.027120264,3.867791309
 01/02  01:00:00,0.7523658,4.332519447
 01/02  02:00:00,0.65537851,4.800034376
 01/02  03:00:00,0.623712001,5.217807913
 01/02  04:00:00,0.620052017,5.535545027
 01/02  05:00:00,0.624793172,5.861602879
 01/02  06:00:00,0.679629109,6.247166997
 01/02  07:00:00,0.876487898,6.665788739
 01/02  08:00:00,1.173867757,7.447318842
 01/02  09:00:00,1.109659832,6.405272063
 01/02  10:00:00,0.937781845,5.221771092
 01/02  11:00:00,0.938535375,5.286563028
 01/02  12:00:00,0.908786091,3.456262388
 01/02  13:00:00,0.869972146,2.478400578
 01/02  14:00:00,0.83797822,2.078472372
 01/02  15:00:00,0.834273087,1.866737064
 01/02  16:00:00,0.897924395,1.873979242
 01/02  17:00:00,1.138006786,2.16642502
 01/02  18:00:00,1.593888515,3.318695714
 01/02  19:00:00,1.863884408,2.911445751
 01/02  20:00:00,1.818942995,3.010381157
 01/02  21:00:00,1.696528918,3.305689332
 01/02  22:00:00,1.563221873,3.693499787
 01/02  23:00:00,1.296290418,4.14260253
