Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.648242943,0.581055455
 01/01  02:00:00,0.550720401,1.00903369
 01/01  03:00:00,0.519661837,1.446357283
 01/01  04:00:00,0.515746744,1.786684425
 01/01  05:00:00,0.527248866,2.294687016
 01/01  06:00:00,0.579277765,2.537696088
 01/01  07:00:00,0.807582976,3.98929056
 01/01  08:00:00,1.066726146,2.665883169
 01/01  09:00:00,1.001255152,1.706353683
 01/01  10:00:00,0.86170144,1.060579465
 01/01  11:00:00,0.864206149,0.934672604
 01/01  12:00:00,0.882123098,0.819203381
 01/01  13:00:00,0.862598906,0.730089212
 01/01  14:00:00,0.835623927,0.675454278
 01/01  15:00:00,0.831356819,0.624773171
 01/01  16:00:00,0.891545084,0.630747252
 01/01  17:00:00,1.119593078,0.700098244
 01/01  18:00:00,1.53810911,0.838700807
 01/01  19:00:00,1.811788512,0.967788861
 01/01  20:00:00,1.762817728,0.996184029
 01/01  21:00:00,1.634983069,0.932254403
 01/01  22:00:00,1.49386948,0.841957812
 01/01  23:00:00,1.209909129,0.700365993
 01/01  24:00:00,0.922428871,0.544916762
 01/02  01:00:00,0.641789332,0.573013028
 01/02  02:00:00,0.547672582,1.034951481
 01/02  03:00:00,0.523487927,1.673650711
 01/02  04:00:00,0.522868086,2.087509431
 01/02  05:00:00,0.528721986,2.433599394
 01/02  06:00:00,0.586817544,2.926946827
 01/02  07:00:00,0.81668783,4.631184866
 01/02  08:00:00,1.066002188,3.318306135
 01/02  09:00:00,0.981807039,2.08646556
 01/02  10:00:00,0.820037076,1.102974723
 01/02  11:00:00,0.81328992,0.868172118
 01/02  12:00:00,0.829634338,0.76383607
 01/02  13:00:00,0.814788399,0.681230718
 01/02  14:00:00,0.792035895,0.632733657
 01/02  15:00:00,0.792231247,0.586273059
 01/02  16:00:00,0.854486111,0.592630868
 01/02  17:00:00,1.083675159,0.653307334
 01/02  18:00:00,1.50275718,0.781402848
 01/02  19:00:00,1.777478196,0.893241504
 01/02  20:00:00,1.728572974,0.912530035
 01/02  21:00:00,1.600127698,0.852575866
 01/02  22:00:00,1.458262622,0.775860443
 01/02  23:00:00,1.181615917,0.64877716
 01/02  24:00:00,0.906894026,0.510968846
 01/03  01:00:00,0.6455586,0.710216879
 01/03  02:00:00,0.552468459,1.20804781
 01/03  03:00:00,0.526009018,1.764622208
 01/03  04:00:00,0.524865453,2.159609424
 01/03  05:00:00,0.530685137,2.504562071
 01/03  06:00:00,0.580910333,2.71458167
 01/03  07:00:00,0.774254727,3.102784859
 01/03  08:00:00,1.043586947,2.511802126
 01/03  09:00:00,0.962576856,1.394744093
 01/03  10:00:00,0.816670382,0.979776426
 01/03  11:00:00,0.81328992,0.865817623
 01/03  12:00:00,0.829634338,0.762259884
 01/03  13:00:00,0.814788399,0.680847774
 01/03  14:00:00,0.792035895,0.633623893
 01/03  15:00:00,0.792231247,0.587519762
 01/03  16:00:00,0.854486111,0.592591701
 01/03  17:00:00,1.083675159,0.653745867
 01/03  18:00:00,1.50275718,0.782899983
 01/03  19:00:00,1.777478196,0.895814045
 01/03  20:00:00,1.728572974,0.915097084
 01/03  21:00:00,1.600127698,0.855187499
 01/03  22:00:00,1.458262622,0.778969118
 01/03  23:00:00,1.181615917,0.652096805
 01/03  24:00:00,0.915448222,0.823185844
 01/04  01:00:00,0.662001549,1.303208152
 01/04  02:00:00,0.57218881,1.919102884
 01/04  03:00:00,0.543270241,2.386989463
 01/04  04:00:00,0.541914157,2.774324412
 01/04  05:00:00,0.547227608,3.101119708
 01/04  06:00:00,0.60237582,3.489013618
 01/04  07:00:00,0.795747257,3.878931514
 01/04  08:00:00,1.069500817,3.44756428
 01/04  09:00:00,0.989515682,2.367415971
 01/04  10:00:00,0.826586616,1.341827863
 01/04  11:00:00,0.81328992,0.872280719
 01/04  12:00:00,0.829634338,0.768137454
 01/04  13:00:00,0.814788399,0.685419291
 01/04  14:00:00,0.792035895,0.636923576
 01/04  15:00:00,0.792231247,0.590336402
 01/04  16:00:00,0.854486111,0.596244056
 01/04  17:00:00,1.083675159,0.657555911
 01/04  18:00:00,1.50275718,0.786639309
 01/04  19:00:00,1.777478196,0.8983898
 01/04  20:00:00,1.728572974,0.917501641
 01/04  21:00:00,1.600127698,0.857308559
 01/04  22:00:00,1.458262622,0.780689805
 01/04  23:00:00,1.181615917,0.653708725
 01/04  24:00:00,0.921588644,1.045138485
 01/05  01:00:00,0.66565126,1.435031811
 01/05  02:00:00,0.573282114,1.958627469
 01/05  03:00:00,0.545431616,2.46498679
 01/05  04:00:00,0.54438155,2.863362999
 01/05  05:00:00,0.554257812,3.354742572
 01/05  06:00:00,0.609852415,3.759109156
 01/05  07:00:00,0.803565428,4.162054522
 01/05  08:00:00,1.076805463,3.712387219
 01/05  09:00:00,0.99384986,2.525110456
 01/05  10:00:00,0.826346944,1.334482741
 01/05  11:00:00,0.81328992,0.873317073
 01/05  12:00:00,0.829634338,0.769420731
 01/05  13:00:00,0.814788399,0.686143675
 01/05  14:00:00,0.792035895,0.637217358
 01/05  15:00:00,0.792231247,0.591881717
 01/05  16:00:00,0.854486111,0.597781854
 01/05  17:00:00,1.083675159,0.657919835
 01/05  18:00:00,1.50275718,0.78663996
 01/05  19:00:00,1.777478196,0.899004271
 01/05  20:00:00,1.728572974,0.917942909
 01/05  21:00:00,1.600127698,0.857330787
 01/05  22:00:00,1.458262622,0.77980692
 01/05  23:00:00,1.181615917,0.649924508
 01/05  24:00:00,0.906894026,0.513374277
 01/06  01:00:00,0.64340794,0.633328409
 01/06  02:00:00,0.550287365,1.129745487
 01/06  03:00:00,0.522610565,1.642335707
 01/06  04:00:00,0.520231412,1.99280546
 01/06  05:00:00,0.531426162,2.531804252
 01/06  06:00:00,0.588800182,3.000686453
 01/06  07:00:00,0.823856413,4.894789484
 01/06  08:00:00,1.068999259,3.432391027
 01/06  09:00:00,0.981790843,2.091757225
 01/06  10:00:00,0.818734118,1.061278376
 01/06  11:00:00,0.81328992,0.873548082
 01/06  12:00:00,0.829634338,0.768776475
