Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.703309378,2.567355504
 01/01  02:00:00,0.605093166,2.969317671
 01/01  03:00:00,0.56353907,3.028183012
 01/01  04:00:00,0.556227649,3.246068128
 01/01  05:00:00,0.556051052,3.333039297
 01/01  06:00:00,0.611129333,3.685982164
 01/01  07:00:00,0.803908363,3.856816535
 01/01  08:00:00,1.120670101,4.610625488
 01/01  09:00:00,1.060587793,3.845364366
 01/01  10:00:00,0.931028611,3.562097703
 01/01  11:00:00,0.937969854,3.599871811
 01/01  12:00:00,0.915791162,2.043420426
 01/01  13:00:00,0.891911434,1.801044842
 01/01  14:00:00,0.864069778,1.718252097
 01/01  15:00:00,0.859891562,1.673119283
 01/01  16:00:00,0.915409268,1.511855177
 01/01  17:00:00,1.148236722,1.75293284
 01/01  18:00:00,1.586853557,2.612053103
 01/01  19:00:00,1.840772732,2.029425191
 01/01  20:00:00,1.790786442,2.021124852
 01/01  21:00:00,1.666886663,2.09560603
 01/01  22:00:00,1.531089737,2.19443893
 01/01  23:00:00,1.256300751,2.379849719
 01/01  24:00:00,0.97519973,2.449842566
 01/02  01:00:00,0.700305373,2.683670835
 01/02  02:00:00,0.593788108,2.69755154
 01/02  03:00:00,0.558458795,2.934391469
 01/02  04:00:00,0.551093765,3.105077994
 01/02  05:00:00,0.550999675,3.236735987
 01/02  06:00:00,0.601101788,3.441910429
 01/02  07:00:00,0.789925654,3.666377297
 01/02  08:00:00,1.097271006,4.445583295
 01/02  09:00:00,1.026262311,3.689129783
 01/02  10:00:00,0.884986669,3.444483099
 01/02  11:00:00,0.896922771,3.885995817
 01/02  12:00:00,0.883325058,2.707461392
 01/02  13:00:00,0.859960257,2.322678688
 01/02  14:00:00,0.833556014,2.14613871
 01/02  15:00:00,0.830234354,1.975114462
 01/02  16:00:00,0.889134822,1.861501601
 01/02  17:00:00,1.118531694,1.928808628
 01/02  18:00:00,1.556285637,2.726625641
 01/02  19:00:00,1.811049101,2.119549346
 01/02  20:00:00,1.762208509,2.141127703
 01/02  21:00:00,1.643191038,2.417651395
 01/02  22:00:00,1.511249301,2.695565627
 01/02  23:00:00,1.248040595,3.04914897
 01/02  24:00:00,0.98391854,3.291244618
 01/03  01:00:00,0.729704489,3.743778564
 01/03  02:00:00,0.629845037,3.997563422
 01/03  03:00:00,0.59329686,4.190427162
 01/03  04:00:00,0.587886122,4.431577803
 01/03  05:00:00,0.587652012,4.558284191
 01/03  06:00:00,0.64186512,4.912072626
 01/03  07:00:00,0.866256816,6.419567141
 01/03  08:00:00,1.121828186,5.332489774
 01/03  09:00:00,1.043155397,4.299694194
 01/03  10:00:00,0.887401576,3.532934477
 01/03  11:00:00,0.891197242,3.680778416
 01/03  12:00:00,0.87409405,2.375685221
 01/03  13:00:00,0.846648933,1.843660145
 01/03  14:00:00,0.816811037,1.543242815
 01/03  15:00:00,0.819541355,1.590314343
 01/03  16:00:00,0.887238998,1.793857593
 01/03  17:00:00,1.130714712,2.368822542
 01/03  18:00:00,1.585937256,3.796607146
 01/03  19:00:00,1.840539759,3.18390905
 01/03  20:00:00,1.792904461,3.248963095
 01/03  21:00:00,1.677862953,3.668716865
