Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.705445778,2.644375182
 01/01  02:00:00,0.605986932,3.001538959
 01/01  03:00:00,0.570465665,3.27789483
 01/01  04:00:00,0.564113096,3.530347746
 01/01  05:00:00,0.568368155,3.777085339
 01/01  06:00:00,0.623330133,4.125835333
 01/01  07:00:00,0.857264144,5.780354637
 01/01  08:00:00,1.158023286,5.95725125
 01/01  09:00:00,1.078893525,4.505307288
 01/01  10:00:00,0.939672085,3.873704961
 01/01  11:00:00,0.958917199,4.355047944
 01/01  12:00:00,0.946411545,3.147320842
 01/01  13:00:00,0.903614023,2.222936767
 01/01  14:00:00,0.853465644,1.33596074
 01/01  15:00:00,0.835801032,0.804627669
 01/01  16:00:00,0.892665471,0.691914876
 01/01  17:00:00,1.120956804,0.76946006
 01/01  18:00:00,1.570536205,2.023793615
 01/01  19:00:00,1.826190706,1.503726186
 01/01  20:00:00,1.781903394,1.700880696
 01/01  21:00:00,1.654101027,1.634668991
 01/01  22:00:00,1.518251854,1.731618283
 01/01  23:00:00,1.245226846,1.98062248
 01/01  24:00:00,0.966375806,2.131729872
 01/02  01:00:00,0.691080871,2.351116805
 01/02  02:00:00,0.589748381,2.551914696
 01/02  03:00:00,0.555275764,2.819639481
 01/02  04:00:00,0.53226693,2.426348699
 01/02  05:00:00,0.529877255,2.475248203
 01/02  06:00:00,0.581611199,2.739252018
 01/02  07:00:00,0.767195982,2.846946194
 01/02  08:00:00,1.055425276,2.936996053
 01/02  09:00:00,0.997368986,2.647491834
 01/02  10:00:00,0.860576691,2.564474979
 01/02  11:00:00,0.87573982,3.122325802
 01/02  12:00:00,0.872888179,2.331199766
 01/02  13:00:00,0.84812842,1.896127213
 01/02  14:00:00,0.829158982,1.987620616
 01/02  15:00:00,0.818050169,1.535860419
 01/02  16:00:00,0.879276645,1.50610287
 01/02  17:00:00,1.108577426,1.56994579
 01/02  18:00:00,1.540038963,2.140914157
 01/02  19:00:00,1.799290842,1.695650459
 01/02  20:00:00,1.752006366,1.773328604
 01/02  21:00:00,1.624627735,1.748422784
 01/02  22:00:00,1.48312988,1.681827794
 01/02  23:00:00,1.223345352,2.158856732
 01/02  24:00:00,0.964578512,2.59401412
 01/03  01:00:00,0.705863925,2.884298509
 01/03  02:00:00,0.612737248,3.380807722
 01/03  03:00:00,0.579798135,3.703782426
 01/03  04:00:00,0.56773341,3.705049124
 01/03  05:00:00,0.574241241,4.074810265
 01/03  06:00:00,0.630777389,4.512347238
 01/03  07:00:00,0.860799901,6.222839418
 01/03  08:00:00,1.155222052,6.536377461
 01/03  09:00:00,1.059474747,4.888025728
 01/03  10:00:00,0.903656592,4.118946613
 01/03  11:00:00,0.904976237,4.177527074
 01/03  12:00:00,0.896462726,3.18210189
 01/03  13:00:00,0.86581401,2.534583415
 01/03  14:00:00,0.835530082,2.218086171
 01/03  15:00:00,0.833917767,2.108600707
 01/03  16:00:00,0.889651392,1.880827225
 01/03  17:00:00,1.115933397,1.835938983
 01/03  18:00:00,1.545952985,2.355127647
 01/03  19:00:00,1.807074954,1.977463908
 01/03  20:00:00,1.759375455,2.040203413
 01/03  21:00:00,1.637921316,2.22877442
 01/03  22:00:00,1.502051882,2.364956973
 01/03  23:00:00,1.233094283,2.511057025
 01/03  24:00:00,0.972048101,2.863791498
 01/04  01:00:00,0.71572378,3.239985364
 01/04  02:00:00,0.617293241,3.545170409
 01/04  03:00:00,0.580817275,3.740603967
 01/04  04:00:00,0.57480841,3.960200749
 01/04  05:00:00,0.577429331,4.189927215
 01/04  06:00:00,0.630122623,4.489318167
 01/04  07:00:00,0.821959289,4.823905761
 01/04  08:00:00,1.110220659,4.915561915
 01/04  09:00:00,1.061348922,4.957087961
 01/04  10:00:00,0.928471757,5.0149057
 01/04  11:00:00,0.964286787,6.31689511
 01/04  12:00:00,0.948236264,5.049575827
 01/04  13:00:00,0.923676328,4.62142757
 01/04  14:00:00,0.885643667,4.025492408
