Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.794805142,5.685609805
 01/01  02:00:00,0.707100363,6.591429763
 01/01  03:00:00,0.674636704,7.027392764
 01/01  04:00:00,0.669091888,7.321794206
 01/01  05:00:00,0.671636933,7.523078049
 01/01  06:00:00,0.723439754,7.764157722
 01/01  07:00:00,0.933359121,8.47038418
 01/01  08:00:00,1.198038226,7.653999954
 01/01  09:00:00,1.151522993,6.855964522
 01/01  10:00:00,0.99854503,5.900331612
 01/01  11:00:00,1.000158279,5.764586296
 01/01  12:00:00,0.981241547,4.266854099
 01/01  13:00:00,0.936641007,3.238997411
 01/01  14:00:00,0.898952273,2.776611261
 01/01  15:00:00,0.890221844,2.539206309
 01/01  16:00:00,0.948628315,2.427453323
 01/01  17:00:00,1.184116638,2.600873022
 01/01  18:00:00,1.634810197,3.591438788
 01/01  19:00:00,1.896945127,2.948610945
 01/01  20:00:00,1.847595661,2.895273249
 01/01  21:00:00,1.721987756,3.04400492
 01/01  22:00:00,1.592548259,3.533825517
 01/01  23:00:00,1.315159885,3.849414184
 01/01  24:00:00,1.03888095,4.306864521
 01/02  01:00:00,0.763153688,4.735226913
 01/02  02:00:00,0.663820768,5.115143362
 01/02  03:00:00,0.631033626,5.491041109
 01/02  04:00:00,0.627546251,5.815252156
 01/02  05:00:00,0.634424268,6.221147213
 01/02  06:00:00,0.689012776,6.597498701
 01/02  07:00:00,0.884289245,6.957004584
 01/02  08:00:00,1.17797098,7.600487472
 01/02  09:00:00,1.116995273,6.679222582
 01/02  10:00:00,0.957900877,5.973168773
 01/02  11:00:00,0.960486272,6.106274065
 01/02  12:00:00,0.939430499,4.600639919
 01/02  13:00:00,0.912242426,4.056970023
 01/02  14:00:00,0.883775097,3.788703986
 01/02  15:00:00,0.887827316,3.866680123
 01/02  16:00:00,0.953312887,3.942404728
 01/02  17:00:00,1.184567968,3.905130642
 01/02  18:00:00,1.629957187,4.665596249
 01/02  19:00:00,1.891870207,3.956592347
 01/02  20:00:00,1.841765031,3.862652373
 01/02  21:00:00,1.711080442,3.849062704
 01/02  22:00:00,1.573142014,4.063870612
 01/02  23:00:00,1.301898999,4.351894447
 01/02  24:00:00,1.034762133,4.696558761
 01/03  01:00:00,0.768659387,4.940935428
 01/03  02:00:00,0.672441531,5.437124806
 01/03  03:00:00,0.640113883,5.830165139
 01/03  04:00:00,0.636996285,6.168171324
 01/03  05:00:00,0.646056495,6.655651676
 01/03  06:00:00,0.704486398,7.175595514
 01/03  07:00:00,0.925702989,8.504174055
 01/03  08:00:00,1.207571304,8.706432561
 01/03  09:00:00,1.146519562,7.782320128
 01/03  10:00:00,0.987386705,7.074812409
 01/03  11:00:00,0.997140891,7.475605048
 01/03  12:00:00,0.977489834,6.02237465
 01/03  13:00:00,0.941544924,5.151605873
 01/03  14:00:00,0.907956732,4.692064749
 01/03  15:00:00,0.897509533,4.228493621
 01/03  16:00:00,0.955890159,4.03892512
 01/03  17:00:00,1.189001552,4.071046943
 01/03  18:00:00,1.640399841,5.055950087
 01/03  19:00:00,1.908360908,4.572773744
 01/03  20:00:00,1.860221154,4.552291709
 01/03  21:00:00,1.734513196,4.724571259
 01/03  22:00:00,1.601162144,5.110662878
 01/03  23:00:00,1.329955361,5.400022964
 01/03  24:00:00,1.066626368,5.886845085
 01/04  01:00:00,0.807757624,6.401330629
 01/04  02:00:00,0.71140146,6.892326701
 01/04  03:00:00,0.678352989,7.258482105
 01/04  04:00:00,0.676062366,7.627445217
 01/04  05:00:00,0.677913833,7.845644334
 01/04  06:00:00,0.731108198,8.170143399
 01/04  07:00:00,0.927311325,8.564734121
 01/04  08:00:00,1.224654002,9.345011885
 01/04  09:00:00,1.154055116,8.064252621
 01/04  10:00:00,0.975738378,6.640185595
 01/04  11:00:00,0.966561415,6.33395072
 01/04  12:00:00,0.927992869,4.174175166
 01/04  13:00:00,0.887931876,3.149631808
 01/04  14:00:00,0.837930187,2.077113969
 01/04  15:00:00,0.828765124,1.661432276
 01/04  16:00:00,0.895012908,1.765645654
 01/04  17:00:00,1.141038159,2.280069908
 01/04  18:00:00,1.600333752,3.559913931
 01/04  19:00:00,1.864264817,2.926314179
