Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.642567641,0.367233777
 01/01  02:00:00,0.531165783,0.296764869
 01/01  03:00:00,0.487432007,0.27987689
 01/01  04:00:00,0.474218945,0.285773396
 01/01  05:00:00,0.473198693,0.343343974
 01/01  06:00:00,0.525446192,0.594261727
 01/01  07:00:00,0.72650929,1.063687195
 01/01  08:00:00,1.026067427,1.196726827
 01/01  09:00:00,0.986318055,1.161890089
 01/01  10:00:00,0.86170144,1.053290023
 01/01  11:00:00,0.864206149,0.929290879
 01/01  12:00:00,0.882123098,0.813051969
 01/01  13:00:00,0.862598906,0.724590971
 01/01  14:00:00,0.835623927,0.670668176
 01/01  15:00:00,0.831356819,0.620509187
 01/01  16:00:00,0.891545084,0.626739143
 01/01  17:00:00,1.119593078,0.696274402
 01/01  18:00:00,1.53810911,0.832723577
 01/01  19:00:00,1.811788512,0.96236604
 01/01  20:00:00,1.762817728,0.991225294
 01/01  21:00:00,1.634983069,0.926027651
 01/01  22:00:00,1.49386948,0.834767749
 01/01  23:00:00,1.209909129,0.691913765
 01/01  24:00:00,0.922428871,0.536098361
 01/02  01:00:00,0.635993957,0.35750187
 01/02  02:00:00,0.527218759,0.291769379
 01/02  03:00:00,0.484820769,0.278079849
 01/02  04:00:00,0.478284349,0.48021092
 01/02  05:00:00,0.485445235,0.873422193
 01/02  06:00:00,0.544319201,1.39483212
 01/02  07:00:00,0.751658004,2.28678401
 01/02  08:00:00,1.025439635,1.855978829
 01/02  09:00:00,0.963745338,1.435320207
 01/02  10:00:00,0.816670382,0.979493072
 01/02  11:00:00,0.81328992,0.863825366
 01/02  12:00:00,0.829634338,0.759667027
 01/02  13:00:00,0.814788399,0.679116762
 01/02  14:00:00,0.792035895,0.632631382
 01/02  15:00:00,0.792231247,0.586830715
 01/02  16:00:00,0.854486111,0.593389341
 01/02  17:00:00,1.083675159,0.653982248
 01/02  18:00:00,1.50275718,0.782608575
 01/02  19:00:00,1.777478196,0.892561911
 01/02  20:00:00,1.728572974,0.911639883
 01/02  21:00:00,1.600127698,0.850905549
 01/02  22:00:00,1.458262622,0.772808456
 01/02  23:00:00,1.181615917,0.644553139
 01/02  24:00:00,0.906894026,0.507251237
 01/03  01:00:00,0.635993957,0.361499549
 01/03  02:00:00,0.531172898,0.438970449
 01/03  03:00:00,0.500495109,0.84481435
 01/03  04:00:00,0.498799991,1.219918292
 01/03  05:00:00,0.505452314,1.594889431
 01/03  06:00:00,0.561980921,2.032154235
 01/03  07:00:00,0.781904612,3.378571936
 01/03  08:00:00,1.040071052,2.38504997
 01/03  09:00:00,0.963997851,1.445972592
 01/03  10:00:00,0.816670382,0.980915347
 01/03  11:00:00,0.81328992,0.867446033
 01/03  12:00:00,0.829634338,0.76351568
 01/03  13:00:00,0.814788399,0.681808801
 01/03  14:00:00,0.792035895,0.634717336
 01/03  15:00:00,0.792231247,0.588392341
 01/03  16:00:00,0.854486111,0.594418484
 01/03  17:00:00,1.083675159,0.655151491
 01/03  18:00:00,1.50275718,0.783643646
 01/03  19:00:00,1.777478196,0.895365531
 01/03  20:00:00,1.728572974,0.914754743
 01/03  21:00:00,1.600127698,0.853597992
 01/03  22:00:00,1.458262622,0.775925782
 01/03  23:00:00,1.181615917,0.646615874
 01/03  24:00:00,0.906894026,0.510303383
 01/04  01:00:00,0.635993957,0.362096183
 01/04  02:00:00,0.533058736,0.507720447
 01/04  03:00:00,0.500585851,0.848167014
 01/04  04:00:00,0.495613397,1.105127874
 01/04  05:00:00,0.49834741,1.338931691
 01/04  06:00:00,0.550334072,1.612847953
 01/04  07:00:00,0.761327141,2.63804615
