Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.661226169,1.050206883
 01/01  02:00:00,0.558963057,1.306273587
 01/01  03:00:00,0.522875439,1.56221184
 01/01  04:00:00,0.515335653,1.771864118
 01/01  05:00:00,0.517807131,1.954301475
 01/01  06:00:00,0.572007435,2.275592246
 01/01  07:00:00,0.792836823,3.457674662
 01/01  08:00:00,1.069330052,2.759757131
 01/01  09:00:00,1.01828584,2.320329803
 01/01  10:00:00,0.884403999,1.881226189
 01/01  11:00:00,0.887961284,1.797004703
 01/01  12:00:00,0.885066262,0.935752044
 01/01  13:00:00,0.862598906,0.743208923
 01/01  14:00:00,0.835623927,0.690232112
 01/01  15:00:00,0.831356819,0.640038318
 01/01  16:00:00,0.891545084,0.646382131
 01/01  17:00:00,1.119593078,0.715674767
 01/01  18:00:00,1.53810911,0.851659342
 01/01  19:00:00,1.811788512,0.979388416
 01/01  20:00:00,1.762817728,1.007260504
 01/01  21:00:00,1.634983069,0.940887397
 01/01  22:00:00,1.49386948,0.849127065
 01/01  23:00:00,1.209909129,0.705425873
 01/01  24:00:00,0.927962678,0.746890526
 01/02  01:00:00,0.654174009,1.020581503
 01/02  02:00:00,0.554644738,1.28638754
 01/02  03:00:00,0.520877679,1.579548526
 01/02  04:00:00,0.512541711,1.715231612
 01/02  05:00:00,0.513100065,1.87041099
 01/02  06:00:00,0.563343144,2.08066741
 01/02  07:00:00,0.754049123,2.372986624
 01/02  08:00:00,1.060461012,3.118540185
 01/02  09:00:00,0.990716127,2.407648535
 01/02  10:00:00,0.850245965,2.192040321
 01/02  11:00:00,0.858626966,2.505387513
 01/02  12:00:00,0.857535533,1.777719043
 01/02  13:00:00,0.8366665,1.482911666
 01/02  14:00:00,0.813139805,1.410110657
 01/02  15:00:00,0.81057078,1.266219754
 01/02  16:00:00,0.873924705,1.313159194
 01/02  17:00:00,1.10116311,1.302651079
 01/02  18:00:00,1.530277178,1.788990464
