Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.647319911,0.547919445
 01/01  02:00:00,0.551584293,1.040188077
 01/01  03:00:00,0.52003954,1.459974369
 01/01  04:00:00,0.521607213,1.997961144
 01/01  05:00:00,0.524024249,2.178435829
 01/01  06:00:00,0.580608079,2.585655456
 01/01  07:00:00,0.778862591,2.953887331
 01/01  08:00:00,1.102682401,3.962147961
 01/01  09:00:00,1.027712813,2.660183127
 01/01  10:00:00,0.874685677,1.530869378
 01/01  11:00:00,0.864206149,0.939659467
 01/01  12:00:00,0.882123098,0.823024685
 01/01  13:00:00,0.862598906,0.73302294
 01/01  14:00:00,0.835623927,0.677863547
 01/01  15:00:00,0.831356819,0.627864296
 01/01  16:00:00,0.891545084,0.63359027
 01/01  17:00:00,1.119593078,0.702614261
 01/01  18:00:00,1.53810911,0.839475482
 01/01  19:00:00,1.811788512,0.968581448
 01/01  20:00:00,1.762817728,0.997373378
 01/01  21:00:00,1.634983069,0.932495801
 01/01  22:00:00,1.49386948,0.843149521
 01/01  23:00:00,1.209909129,0.700982867
 01/01  24:00:00,0.922428871,0.545215853
 01/02  01:00:00,0.646031279,0.726424121
 01/02  02:00:00,0.558315811,1.418733495
 01/02  03:00:00,0.530175558,1.914747889
 01/02  04:00:00,0.533527579,2.471796557
 01/02  05:00:00,0.535994178,2.695770375
 01/02  06:00:00,0.590481398,3.059033014
 01/02  07:00:00,0.783098972,3.420267486
 01/02  08:00:00,1.0537648,2.877133964
 01/02  09:00:00,0.971889749,1.728935712
 01/02  10:00:00,0.816670382,0.980404093
 01/02  11:00:00,0.81328992,0.865280154
 01/02  12:00:00,0.829634338,0.762221952
 01/02  13:00:00,0.814788399,0.680534948
 01/02  14:00:00,0.792035895,0.633257288
 01/02  15:00:00,0.792231247,0.588176721
 01/02  16:00:00,0.854486111,0.595391377
 01/02  17:00:00,1.083675159,0.655925682
 01/02  18:00:00,1.50275718,0.782243889
 01/02  19:00:00,1.777478196,0.892000825
 01/02  20:00:00,1.728572974,0.911825719
 01/02  21:00:00,1.600127698,0.850175842
 01/02  22:00:00,1.458262622,0.770384123
 01/02  23:00:00,1.181615917,0.641101599
 01/02  24:00:00,0.906894026,0.503679516
 01/03  01:00:00,0.635993957,0.356150104
 01/03  02:00:00,0.527218759,0.292179807
 01/03  03:00:00,0.484820769,0.277591431
 01/03  04:00:00,0.472853541,0.282285363
 01/03  05:00:00,0.470527537,0.333883226
 01/03  06:00:00,0.521349499,0.566334789
 01/03  07:00:00,0.715883778,0.99845582
 01/03  08:00:00,1.004906065,1.116001031
 01/03  09:00:00,0.953880754,1.076626998
 01/03  10:00:00,0.816670382,0.973705333
 01/03  11:00:00,0.81328992,0.860064805
 01/03  12:00:00,0.829634338,0.756958948
 01/03  13:00:00,0.814788399,0.675881338
 01/03  14:00:00,0.792035895,0.630073668
 01/03  15:00:00,0.792231247,0.583222337
 01/03  16:00:00,0.854486111,0.58965256
 01/03  17:00:00,1.083675159,0.650554018
 01/03  18:00:00,1.50275718,0.777327174
 01/03  19:00:00,1.777478196,0.889712878
 01/03  20:00:00,1.728572974,0.909438843
 01/03  21:00:00,1.600127698,0.848255271
 01/03  22:00:00,1.458262622,0.770769035
 01/03  23:00:00,1.181615917,0.643046443
 01/03  24:00:00,0.906894026,0.507365672
 01/04  01:00:00,0.635993957,0.360580488
 01/04  02:00:00,0.527218759,0.294684325
 01/04  03:00:00,0.499123812,0.795137082
 01/04  04:00:00,0.497864081,1.186267864
 01/04  05:00:00,0.504865105,1.573902236
 01/04  06:00:00,0.569381739,2.299538632
 01/04  07:00:00,0.796147838,3.893372914
 01/04  08:00:00,1.050797184,2.773276566
 01/04  09:00:00,0.973394788,1.786238996
 01/04  10:00:00,0.816670382,0.9827243
 01/04  11:00:00,0.81328992,0.866330154
 01/04  12:00:00,0.829634338,0.762706358
 01/04  13:00:00,0.814788399,0.680996993
 01/04  14:00:00,0.792035895,0.6324073
 01/04  15:00:00,0.792231247,0.586933888
 01/04  16:00:00,0.854486111,0.591289529
 01/04  17:00:00,1.083675159,0.653073251
 01/04  18:00:00,1.50275718,0.780126172
 01/04  19:00:00,1.777478196,0.891961197
 01/04  20:00:00,1.728572974,0.912607318
 01/04  21:00:00,1.600127698,0.851704428
 01/04  22:00:00,1.458262622,0.774284026
 01/04  23:00:00,1.181615917,0.646357187
 01/04  24:00:00,0.906894026,0.509475007
 01/05  01:00:00,0.635993957,0.362442844
 01/05  02:00:00,0.53282232,0.498996463
 01/05  03:00:00,0.505561646,1.027560347
 01/05  04:00:00,0.50787385,1.547217697
 01/05  05:00:00,0.517815099,2.040940343
 01/05  06:00:00,0.572330971,2.406417452
 01/05  07:00:00,0.764577499,2.756494363
 01/05  08:00:00,1.043389508,2.507703199
 01/05  09:00:00,0.99566902,2.590693297
 01/05  10:00:00,0.855240387,2.376124974
 01/05  11:00:00,0.856669525,2.438279719
 01/05  12:00:00,0.853701417,1.642427211
 01/05  13:00:00,0.826254031,1.110050694
 01/05  14:00:00,0.800178969,0.945116944
 01/05  15:00:00,0.797586612,0.80013854
 01/05  16:00:00,0.857546742,0.724750058
 01/05  17:00:00,1.087770837,0.822166967
 01/05  18:00:00,1.517706407,1.338680809
 01/05  19:00:00,1.777478196,0.912407529
 01/05  20:00:00,1.728572974,0.931503662
 01/05  21:00:00,1.600370523,0.876913578
 01/05  22:00:00,1.462521609,0.941658658
 01/05  23:00:00,1.193251215,1.076071642
 01/05  24:00:00,0.929432621,1.328383114
 01/06  01:00:00,0.668189316,1.526743019
 01/06  02:00:00,0.568600301,1.789947826
 01/06  03:00:00,0.529277716,1.882694228
 01/06  04:00:00,0.522500179,2.074597124
 01/06  05:00:00,0.52625395,2.345339999
 01/06  06:00:00,0.578350581,2.623965909
 01/06  07:00:00,0.798009791,3.962988639
 01/06  08:00:00,1.055595466,2.949168411
 01/06  09:00:00,0.980538118,2.046594981
 01/06  10:00:00,0.820138368,1.11190322
 01/06  11:00:00,0.81328992,0.87399808
 01/06  12:00:00,0.829634338,0.769098102
 01/06  13:00:00,0.814788399,0.686761058
 01/06  14:00:00,0.792035895,0.639832272
 01/06  15:00:00,0.792231247,0.593119554
 01/06  16:00:00,0.854486111,0.599153747
 01/06  17:00:00,1.083675159,0.660481072
 01/06  18:00:00,1.50275718,0.78910686
 01/06  19:00:00,1.777478196,0.901791242
 01/06  20:00:00,1.728572974,0.920682983
 01/06  21:00:00,1.600127698,0.859465973
 01/06  22:00:00,1.458262622,0.782290045
 01/06  23:00:00,1.181615917,0.654165098
 01/06  24:00:00,0.911301769,0.674237153
 01/07  01:00:00,0.662631518,1.102166829
 01/07  02:00:00,0.571044877,1.742569302
 01/07  03:00:00,0.540357393,2.192977065
 01/07  04:00:00,0.537296591,2.56416242
 01/07  05:00:00,0.543714917,2.889495855
 01/07  06:00:00,0.59936745,3.265670955
 01/07  07:00:00,0.798280804,3.662430253
 01/07  08:00:00,1.088318086,3.454277476
 01/07  09:00:00,1.027724377,2.670400649
 01/07  10:00:00,0.878610781,1.681218695
 01/07  11:00:00,0.878493254,1.46327748
 01/07  12:00:00,0.882123098,0.833640929
 01/07  13:00:00,0.862598906,0.742493579
 01/07  14:00:00,0.835623927,0.686160594
