Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.760484323,4.628578753
 01/01  02:00:00,0.666472219,5.182103897
 01/01  03:00:00,0.632445562,5.512342192
 01/01  04:00:00,0.626181455,5.767984328
 01/01  05:00:00,0.630755205,6.026211136
 01/01  06:00:00,0.683198377,6.284155044
 01/01  07:00:00,0.881205691,6.643475118
 01/01  08:00:00,1.17756423,6.661724998
 01/01  09:00:00,1.126429621,6.219038855
 01/01  10:00:00,0.986778915,5.571960969
 01/01  11:00:00,1.002648322,5.931605777
 01/01  12:00:00,0.982740078,4.457006732
 01/01  13:00:00,0.942864679,3.637968568
 01/01  14:00:00,0.902851151,3.11636571
 01/01  15:00:00,0.878782437,2.354157295
 01/01  16:00:00,0.936833643,2.284228812
 01/01  17:00:00,1.168456606,2.481883178
 01/01  18:00:00,1.617035843,3.700159602
 01/01  19:00:00,1.865104177,2.906602087
 01/01  20:00:00,1.814950397,2.892263559
 01/01  21:00:00,1.69532373,3.120795347
 01/01  22:00:00,1.56301462,3.345368076
 01/01  23:00:00,1.291945694,3.664891359
 01/01  24:00:00,1.017183846,3.963418799
 01/02  01:00:00,0.743617883,4.245137187
 01/02  02:00:00,0.645056487,4.54583627
 01/02  03:00:00,0.608882239,4.752215272
 01/02  04:00:00,0.602069086,4.942797592
 01/02  05:00:00,0.603706555,5.136880317
 01/02  06:00:00,0.654348709,5.361523863
 01/02  07:00:00,0.845481743,5.66923892
 01/02  08:00:00,1.134920533,5.802892498
 01/02  09:00:00,1.06639705,5.136033805
 01/02  10:00:00,0.902358516,4.070758387
 01/02  11:00:00,0.895569924,3.837224138
 01/02  12:00:00,0.889603618,2.933810806
 01/02  13:00:00,0.844276986,1.757278536
 01/02  14:00:00,0.807781749,1.216946511
 01/02  15:00:00,0.804407669,1.044032426
 01/02  16:00:00,0.870845015,1.202132819
 01/02  17:00:00,1.105488922,1.458601627
 01/02  18:00:00,1.553797009,2.636907684
 01/02  19:00:00,1.808664178,2.033570089
 01/02  20:00:00,1.757711549,1.979007084
 01/02  21:00:00,1.635977998,2.157612925
 01/02  22:00:00,1.503106368,2.402003344
 01/02  23:00:00,1.237976797,2.68633732
 01/02  24:00:00,0.974313594,2.944975168
 01/03  01:00:00,0.713930612,3.175111949
 01/03  02:00:00,0.612190546,3.361098481
 01/03  03:00:00,0.575232767,3.539195612
 01/03  04:00:00,0.566646973,3.665881794
 01/03  05:00:00,0.566745115,3.804566228
 01/03  06:00:00,0.616020407,3.980340638
 01/03  07:00:00,0.805788521,4.239614791
 01/03  08:00:00,1.121618199,5.324919483
 01/03  09:00:00,1.046657358,4.425943933
 01/03  10:00:00,0.90701764,4.240116357
 01/03  11:00:00,0.928822464,5.037211327
 01/03  12:00:00,0.918035198,3.95981462
 01/03  13:00:00,0.893366491,3.527882401
 01/03  14:00:00,0.864346713,3.256959205
 01/03  15:00:00,0.860525279,3.06783248
 01/03  16:00:00,0.920367497,2.98817852
 01/03  17:00:00,1.14699521,2.955753433
 01/03  18:00:00,1.586836336,3.829020004
 01/03  19:00:00,1.832662901,2.899939159
 01/03  20:00:00,1.777331919,2.687554731
 01/03  21:00:00,1.652523658,2.7552058
 01/03  22:00:00,1.515243278,2.840522121
 01/03  23:00:00,1.24703939,3.013794321
 01/03  24:00:00,0.980984003,3.18594092
 01/04  01:00:00,0.719151935,3.363574177
 01/04  02:00:00,0.616305742,3.509569701
 01/04  03:00:00,0.578290977,3.649527734
 01/04  04:00:00,0.568911844,3.747622442
 01/04  05:00:00,0.568527637,3.869010533
 01/04  06:00:00,0.617635833,4.039154844
 01/04  07:00:00,0.807242438,4.293346176
 01/04  08:00:00,1.125507689,5.466677117
 01/04  09:00:00,1.048711269,4.501485724
 01/04  10:00:00,0.907839406,4.271085399
 01/04  11:00:00,0.929403935,5.059327536
 01/04  12:00:00,0.918537042,3.978884302
 01/04  13:00:00,0.893857344,3.546418524
 01/04  14:00:00,0.864532084,3.264395284
 01/04  15:00:00,0.861001269,3.085663577
 01/04  16:00:00,0.920862804,3.006713438
 01/04  17:00:00,1.147711162,2.982338738
 01/04  18:00:00,1.588985586,3.907474577
 01/04  19:00:00,1.835547766,3.005088339
 01/04  20:00:00,1.780359822,2.797883347
 01/04  21:00:00,1.653357719,2.78633943
 01/04  22:00:00,1.514609854,2.818622251
 01/04  23:00:00,1.245206205,2.948420308
 01/04  24:00:00,0.977919607,3.075939243
 01/05  01:00:00,0.714863238,3.209181135
 01/05  02:00:00,0.61147687,3.335592842
 01/05  03:00:00,0.57195173,3.421067748
 01/05  04:00:00,0.561051491,3.464333765
 01/05  05:00:00,0.559093426,3.529072056
 01/05  06:00:00,0.606449861,3.636443101
 01/05  07:00:00,0.794460579,3.83381412
 01/05  08:00:00,1.10819832,4.844136241
 01/05  09:00:00,1.033799103,3.965327124
 01/05  10:00:00,0.894079143,3.776307261
 01/05  11:00:00,0.914833276,4.535150511
 01/05  12:00:00,0.906936012,3.561596275
 01/05  13:00:00,0.88493973,3.22573838
 01/05  14:00:00,0.858690575,3.054528376
 01/05  15:00:00,0.857027653,2.943057181
 01/05  16:00:00,0.917643003,2.891290136
 01/05  17:00:00,1.146012879,2.921860286
 01/05  18:00:00,1.588856033,3.903740892
 01/05  19:00:00,1.83603649,3.023812835
 01/05  20:00:00,1.781886369,2.854044297
 01/05  21:00:00,1.655522254,2.865400077
 01/05  22:00:00,1.517249439,2.914684633
 01/05  23:00:00,1.248010295,3.050200088
 01/05  24:00:00,0.980551566,3.171280664
 01/06  01:00:00,0.716776429,3.278365295
 01/06  02:00:00,0.613411688,3.405450806
 01/06  03:00:00,0.573859598,3.489922948
 01/06  04:00:00,0.562927857,3.532061939
 01/06  05:00:00,0.56065231,3.585440867
 01/06  06:00:00,0.607691835,3.68175251
 01/06  07:00:00,0.795397754,3.868821739
 01/06  08:00:00,1.106100753,4.769943015
 01/06  09:00:00,1.032412999,3.916744792
 01/06  10:00:00,0.892423535,3.717867544
 01/06  11:00:00,0.910072988,4.36460723
 01/06  12:00:00,0.903598188,3.442171206
 01/06  13:00:00,0.880388417,3.062438191
 01/06  14:00:00,0.85243875,2.829841882
 01/06  15:00:00,0.846302844,2.557038179
 01/06  16:00:00,0.905650471,2.459575208
 01/06  17:00:00,1.132385965,2.431312906
 01/06  18:00:00,1.57033832,3.237057563
 01/06  19:00:00,1.819589502,2.431943825
 01/06  20:00:00,1.767816146,2.34788145
 01/06  21:00:00,1.643186862,2.42168304
 01/06  22:00:00,1.503908565,2.434599089
 01/06  23:00:00,1.235859353,2.612807762
 01/06  24:00:00,0.969676404,2.779657556
 01/07  01:00:00,0.714325771,2.965893216
 01/07  02:00:00,0.608827615,3.104680999
 01/07  03:00:00,0.569279612,3.235656707
 01/07  04:00:00,0.558810489,3.339763476
 01/07  05:00:00,0.559085191,3.443612257
 01/07  06:00:00,0.609149675,3.618331574
 01/07  07:00:00,0.8044213,3.883802259
 01/07  08:00:00,1.126466355,4.829566923
 01/07  09:00:00,1.06446752,3.995033701
 01/07  10:00:00,0.926051209,3.391501295
 01/07  11:00:00,0.938504884,3.626766495
 01/07  12:00:00,0.925214518,2.389581147
