Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.712376993,2.894253554
 01/01  02:00:00,0.6071019,3.041734864
 01/01  03:00:00,0.563318293,3.020223749
 01/01  04:00:00,0.552604035,3.115432607
 01/01  05:00:00,0.551331738,3.162902538
 01/01  06:00:00,0.60188292,3.352638214
 01/01  07:00:00,0.796349736,3.584319254
 01/01  08:00:00,1.11363791,4.357106818
 01/01  09:00:00,1.055727142,3.67013224
 01/01  10:00:00,0.933840584,3.663472573
 01/01  11:00:00,0.936845693,3.5593445
 01/01  12:00:00,0.975711203,4.203607548
 01/01  13:00:00,0.938277069,3.472579871
 01/01  14:00:00,0.904096778,3.16127201
 01/01  15:00:00,0.897878253,3.042583647
 01/01  16:00:00,0.955565239,2.959524651
 01/01  17:00:00,1.179608066,2.883906268
 01/01  18:00:00,1.617435392,3.714563824
 01/01  19:00:00,1.862073452,2.797340939
 01/01  20:00:00,1.808482618,2.659092619
 01/01  21:00:00,1.680382171,2.582134806
 01/01  22:00:00,1.543178808,2.63026399
 01/01  23:00:00,1.268774452,2.829541155
 01/01  24:00:00,0.99286481,3.086689246
 01/02  01:00:00,0.719626719,3.380227828
 01/02  02:00:00,0.621399564,3.692976641
 01/02  03:00:00,0.586524974,3.94620985
 01/02  04:00:00,0.577750011,4.066066817
 01/02  05:00:00,0.579163433,4.25207225
 01/02  06:00:00,0.629256842,4.456932883
 01/02  07:00:00,0.842866218,5.57494621
 01/02  08:00:00,1.104597536,4.709713188
 01/02  09:00:00,1.045330988,4.376577749
 01/02  10:00:00,0.906468634,4.218932892
 01/02  11:00:00,0.922079842,4.792937513
 01/02  12:00:00,0.896722971,3.190471746
 01/02  13:00:00,0.874635035,2.851721512
 01/02  14:00:00,0.850189345,2.745789639
 01/02  15:00:00,0.84681813,2.572978865
 01/02  16:00:00,0.904995582,2.433300472
 01/02  17:00:00,1.140228267,2.710995393
 01/02  18:00:00,1.581243057,3.626369648
 01/02  19:00:00,1.828292491,2.741193617
 01/02  20:00:00,1.781183672,2.825204447
 01/02  21:00:00,1.658906427,2.984209533
 01/02  22:00:00,1.519471487,2.991985004
 01/02  23:00:00,1.256523838,3.354979742
 01/02  24:00:00,0.994119581,3.659004022
 01/03  01:00:00,0.73664864,3.99412329
 01/03  02:00:00,0.634452881,4.163681537
 01/03  03:00:00,0.60144778,4.484277309
 01/03  04:00:00,0.599021022,4.833003896
 01/03  05:00:00,0.599745815,4.994280071
 01/03  06:00:00,0.653657707,5.337209418
 01/03  07:00:00,0.844965262,5.65198188
 01/03  08:00:00,1.130226864,5.635271879
 01/03  09:00:00,1.056984099,4.798234956
 01/03  10:00:00,0.896880024,3.874643569
 01/03  11:00:00,0.898427976,3.941454774
 01/03  12:00:00,0.872771432,2.328003317
 01/03  13:00:00,0.836980343,1.495096229
 01/03  14:00:00,0.806666228,1.177510676
 01/03  15:00:00,0.800624816,0.908351105
 01/03  16:00:00,0.86744054,1.08010018
 01/03  17:00:00,1.109193755,1.592967048
 01/03  18:00:00,1.558913329,2.822363133
 01/03  19:00:00,1.815777045,2.291184453
 01/03  20:00:00,1.769695375,2.412248577
 01/03  21:00:00,1.651734624,2.726760233
 01/03  22:00:00,1.523052342,3.122048026
 01/03  23:00:00,1.260759852,3.508432962
 01/03  24:00:00,1.003554122,3.999620248
 01/04  01:00:00,0.747288476,4.37792924
 01/04  02:00:00,0.650460932,4.740904193
 01/04  03:00:00,0.618296544,5.091775224
 01/04  04:00:00,0.615004029,5.409299593
 01/04  05:00:00,0.618056529,5.65458487
 01/04  06:00:00,0.670828355,5.956807382
 01/04  07:00:00,0.910791489,8.026410563
 01/04  08:00:00,1.160870503,6.741548842
 01/04  09:00:00,1.086059039,5.847916454
 01/04  10:00:00,0.91879007,4.665869638
 01/04  11:00:00,0.917291565,4.622662637
 01/04  12:00:00,0.882608753,2.683627784
 01/04  13:00:00,0.842841534,1.707239273
 01/04  14:00:00,0.80517939,1.124661681
 01/04  15:00:00,0.799204449,0.857816365
 01/04  16:00:00,0.862496249,0.902531292
 01/04  17:00:00,1.101294845,1.308976519
 01/04  18:00:00,1.551354754,2.550839336
 01/04  19:00:00,1.807738198,2.002521109
 01/04  20:00:00,1.766117206,2.284420461
 01/04  21:00:00,1.645705661,2.510473843
 01/04  22:00:00,1.512879672,2.756247169
 01/04  23:00:00,1.252266124,3.20293879
 01/04  24:00:00,0.988759488,3.466729568
 01/05  01:00:00,0.730870611,3.786265561
 01/05  02:00:00,0.630128836,4.008017928
 01/05  03:00:00,0.595105307,4.255781096
 01/05  04:00:00,0.588951276,4.470153567
 01/05  05:00:00,0.600067245,5.006225921
 01/05  06:00:00,0.653989683,5.350308963
 01/05  07:00:00,0.887448159,7.186124618
 01/05  08:00:00,1.181582961,7.489737875
 01/05  09:00:00,1.076573631,5.50739861
 01/05  10:00:00,0.904206191,4.141399127
 01/05  11:00:00,0.905053983,4.182595718
 01/05  12:00:00,0.872754613,2.329317112
 01/05  13:00:00,0.834332481,1.401288241
 01/05  14:00:00,0.798211238,0.874177944
 01/05  15:00:00,0.794307207,0.681912165
 01/05  16:00:00,0.856816079,0.698408806
 01/05  17:00:00,1.092530789,0.99376875
 01/05  18:00:00,1.539350023,2.118991643
 01/05  19:00:00,1.802248379,1.805712151
 01/05  20:00:00,1.758131833,1.997665706
 01/05  21:00:00,1.637129253,2.202311002
 01/05  22:00:00,1.511924588,2.722717557
 01/05  23:00:00,1.249530772,3.10501517
 01/05  24:00:00,0.990788408,3.540330716
 01/06  01:00:00,0.739689137,4.104395109
 01/06  02:00:00,0.640914718,4.396967017
 01/06  03:00:00,0.605025839,4.613502192
 01/06  04:00:00,0.597988601,4.796042511
 01/06  05:00:00,0.597741184,4.92253792
 01/06  06:00:00,0.646623195,5.085273294
 01/06  07:00:00,0.834824978,5.290219018
 01/06  08:00:00,1.11626625,5.136421013
 01/06  09:00:00,1.062420994,4.998567938
 01/06  10:00:00,0.919841917,4.706332112
 01/06  11:00:00,0.935320875,5.274822926
 01/06  12:00:00,0.908921083,3.634067711
 01/06  13:00:00,0.886521599,3.283546505
 01/06  14:00:00,0.858765294,3.057921195
 01/06  15:00:00,0.857046767,2.944369113
 01/06  16:00:00,0.916251425,2.841751904
 01/06  17:00:00,1.144171065,2.856179459
 01/06  18:00:00,1.585261318,3.775048987
 01/06  19:00:00,1.83169802,2.868469989
 01/06  20:00:00,1.776682072,2.667508307
 01/06  21:00:00,1.649500006,2.64927905
 01/06  22:00:00,1.510577718,2.675029816
 01/06  23:00:00,1.239986636,2.761601172
 01/06  24:00:00,0.974742172,2.962284396
 01/07  01:00:00,0.717771532,3.090116913
 01/07  02:00:00,0.61217988,3.225534052
 01/07  03:00:00,0.570693807,3.286640073
 01/07  04:00:00,0.558373225,3.323999588
 01/07  05:00:00,0.557689613,3.393300037
 01/07  06:00:00,0.610126696,3.653554318
 01/07  07:00:00,0.834616695,4.97238137
 01/07  08:00:00,1.103547239,4.003306069
 01/07  09:00:00,1.055529617,3.672811866
 01/07  10:00:00,0.915117301,2.997321189
 01/07  11:00:00,0.934754766,3.491570419
 01/07  12:00:00,0.929411364,2.540882351
 01/07  13:00:00,0.895695331,1.94300037
 01/07  14:00:00,0.865139936,1.761783219
 01/07  15:00:00,0.852566685,1.413465622
 01/07  16:00:00,0.915654075,1.525135067
 01/07  17:00:00,1.142454515,1.549590199
 01/07  18:00:00,1.576860491,2.258163477
 01/07  19:00:00,1.828829281,1.60642408
 01/07  20:00:00,1.776656181,1.519508594
 01/07  21:00:00,1.651959312,1.564600379
 01/07  22:00:00,1.512906446,1.54516098
 01/07  23:00:00,1.236808625,1.681921149
 01/07  24:00:00,0.962050868,1.97895317
 01/08  01:00:00,0.693079124,2.200141776
 01/08  02:00:00,0.587228201,2.326105095
 01/08  03:00:00,0.546786123,2.424816477
 01/08  04:00:00,0.536470355,2.534460363
