Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.912433124,7.325220966
 01/01  02:00:00,0.786181591,7.420869967
 01/01  03:00:00,0.758673515,8.230187691
 01/01  04:00:00,0.744239335,8.213859433
 01/01  05:00:00,0.741401535,8.264764789
 01/01  06:00:00,0.796728946,8.571889588
 01/01  07:00:00,1.021980208,9.043353162
 01/01  08:00:00,1.361137947,9.589872915
 01/01  09:00:00,1.305879806,8.802579369
 01/01  10:00:00,1.102676875,7.434688249
 01/01  11:00:00,1.130782577,8.410270498
 01/01  12:00:00,1.105738519,6.731171118
 01/01  13:00:00,1.062228216,5.788903474
 01/01  14:00:00,1.046603223,6.091690102
 01/01  15:00:00,1.024701469,5.269960565
 01/01  16:00:00,1.091138119,5.126044915
 01/01  17:00:00,1.367497346,5.652077839
 01/01  18:00:00,1.888480724,6.922938394
 01/01  19:00:00,2.212404169,6.378020059
 01/01  20:00:00,2.178438977,6.446793257
 01/01  21:00:00,2.027249726,6.519400133
 01/01  22:00:00,1.866899863,6.819743442
 01/01  23:00:00,1.553668824,7.223585128
 01/01  24:00:00,1.237157131,7.514406912
 01/02  01:00:00,0.917278173,7.715311411
 01/02  02:00:00,0.796406095,7.917965579
 01/02  03:00:00,0.752069274,8.088527024
 01/02  04:00:00,0.739787051,8.099125822
 01/02  05:00:00,0.737100284,8.195757159
 01/02  06:00:00,0.798278976,8.735812568
 01/02  07:00:00,1.036614208,9.855135306
 01/02  08:00:00,1.351004057,9.868192253
 01/02  09:00:00,1.287340554,9.196978792
 01/02  10:00:00,1.103403241,8.955278771
 01/02  11:00:00,1.124027943,9.884377171
 01/02  12:00:00,1.111034323,8.725105868
 01/02  13:00:00,1.087472501,8.328313142
 01/02  14:00:00,1.027642927,6.916957253
 01/02  15:00:00,1.019169671,6.419565652
 01/02  16:00:00,1.088697229,6.310602873
 01/02  17:00:00,1.362228524,6.684540711
 01/02  18:00:00,1.89652174,8.392968468
 01/02  19:00:00,2.215249287,7.61043934
 01/02  20:00:00,2.185368532,7.806571167
 01/02  21:00:00,2.052840877,8.567407923
 01/02  22:00:00,1.896042799,9.042794716
 01/02  23:00:00,1.589113558,9.429690915
 01/02  24:00:00,1.286081077,9.770343903
 01/03  01:00:00,0.989545628,10.28931214
 01/03  02:00:00,0.86605256,10.39977559
 01/03  03:00:00,0.821425661,10.55931443
 01/03  04:00:00,0.817230768,10.85715356
 01/03  05:00:00,0.823233466,11.26052182
 01/03  06:00:00,0.878645468,11.59836869
 01/03  07:00:00,1.096472936,11.98911577
 01/03  08:00:00,1.395534994,11.46198415
 01/03  09:00:00,1.332986041,10.81937153
 01/03  10:00:00,1.143030514,10.36414699
 01/03  11:00:00,1.15381812,10.94167285
 01/03  12:00:00,1.116160657,8.909092819
 01/03  13:00:00,1.078765857,8.013083549
 01/03  14:00:00,1.017940461,6.564948094
 01/03  15:00:00,0.997583479,5.646820124
 01/03  16:00:00,1.061471435,5.333841907
 01/03  17:00:00,1.333937026,5.66927187
 01/03  18:00:00,1.864160141,7.231661656
 01/03  19:00:00,2.184492382,6.505712226
 01/03  20:00:00,2.150974455,6.575602426
 01/03  21:00:00,2.002849912,6.78244687
 01/03  22:00:00,1.840911764,7.069887223
 01/03  23:00:00,1.529709613,7.303583395
 01/03  24:00:00,1.224181903,7.555358566
 01/04  01:00:00,0.919540657,7.786169146
 01/04  02:00:00,0.796264457,7.902328058
 01/04  03:00:00,0.753264081,8.121606475
 01/04  04:00:00,0.744745015,8.265104571
 01/04  05:00:00,0.743754076,8.421811368
 01/04  06:00:00,0.800541911,8.809250227
 01/04  07:00:00,1.039853265,9.963282052
 01/04  08:00:00,1.349462163,9.805354757
 01/04  09:00:00,1.287507452,9.196686009
 01/04  10:00:00,1.081279471,8.167118579
 01/04  11:00:00,1.090267389,8.676812599
 01/04  12:00:00,1.049679318,6.539079254
