Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.735859497,3.484227633
 01/01  02:00:00,0.63460722,3.884077336
 01/01  03:00:00,0.596695952,4.116504417
 01/01  04:00:00,0.588290102,4.303934314
 01/01  05:00:00,0.59245614,4.565757038
 01/01  06:00:00,0.645603523,4.857026915
 01/01  07:00:00,0.866922605,5.989009129
 01/01  08:00:00,1.136806975,5.367020102
 01/01  09:00:00,1.087166366,4.452384685
 01/01  10:00:00,0.927538489,3.248406804
 01/01  11:00:00,0.917799908,2.688755463
 01/01  12:00:00,0.904092297,1.385593769
 01/01  13:00:00,0.871254445,0.795975341
 01/01  14:00:00,0.844415631,0.735957595
 01/01  15:00:00,0.840611783,0.682399547
 01/01  16:00:00,0.902208913,0.690005014
 01/01  17:00:00,1.135064265,0.766477552
 01/01  18:00:00,1.582191217,1.62626727
 01/01  19:00:00,1.852902522,1.303850842
 01/01  20:00:00,1.80486875,1.299619869
 01/01  21:00:00,1.683424565,1.60385615
 01/01  22:00:00,1.552421587,2.035261683
 01/01  23:00:00,1.286110947,2.764554021
 01/01  24:00:00,1.01326333,3.350203053
 01/02  01:00:00,0.739017092,3.833845174
 01/02  02:00:00,0.633344093,3.97704328
 01/02  03:00:00,0.595743599,4.173203964
 01/02  04:00:00,0.587979474,4.337649587
 01/02  05:00:00,0.587858887,4.482117972
 01/02  06:00:00,0.641287016,4.815096789
 01/02  07:00:00,0.854085679,5.829042831
 01/02  08:00:00,1.129918752,5.805807246
 01/02  09:00:00,1.06286472,4.657559097
 01/02  10:00:00,0.893713163,3.575910954
 01/02  11:00:00,0.884359574,3.263200441
 01/02  12:00:00,0.858304098,1.570870017
 01/02  13:00:00,0.823443939,0.739915327
 01/02  14:00:00,0.800827598,0.68659033
 01/02  15:00:00,0.801486211,0.63701225
 01/02  16:00:00,0.86514994,0.644462918
 01/02  17:00:00,1.099146346,0.709882755
 01/02  18:00:00,1.528605369,0.879180538
 01/02  19:00:00,1.811974287,0.970318404
 01/02  20:00:00,1.76493477,0.990687271
 01/02  21:00:00,1.634370969,0.983998483
 01/02  22:00:00,1.49731624,1.232066246
 01/02  23:00:00,1.229510397,1.648529882
 01/02  24:00:00,0.966411571,2.143951463
 01/03  01:00:00,0.705782616,2.592639268
 01/03  02:00:00,0.607234518,3.00179364
 01/03  03:00:00,0.573224232,3.332049277
 01/03  04:00:00,0.570126007,3.670744593
 01/03  05:00:00,0.578733625,4.141310276
 01/03  06:00:00,0.638899328,4.726062664
 01/03  07:00:00,0.856247432,5.910156444
 01/03  08:00:00,1.136085898,6.036617168
 01/03  09:00:00,1.067450956,4.829308554
 01/03  10:00:00,0.890922847,3.472117967
 01/03  11:00:00,0.873728817,2.86655095
 01/03  12:00:00,0.852683456,1.361267033
 01/03  13:00:00,0.823443939,0.739311061
 01/03  14:00:00,0.800827598,0.6864444
 01/03  15:00:00,0.801486211,0.636599831
 01/03  16:00:00,0.86514994,0.643407761
 01/03  17:00:00,1.099146346,0.709526864
 01/03  18:00:00,1.527804395,0.849036772
 01/03  19:00:00,1.811974287,0.970532522
 01/03  20:00:00,1.76493477,0.991343261
 01/03  21:00:00,1.635382014,1.022209555
 01/03  22:00:00,1.499849218,1.326973748
 01/03  23:00:00,1.23436424,1.830019421
 01/03  24:00:00,0.968709706,2.229868316
 01/04  01:00:00,0.705783826,2.592853783
 01/04  02:00:00,0.610611734,3.128017154
 01/04  03:00:00,0.576023817,3.436661215
 01/04  04:00:00,0.570327722,3.678277569
 01/04  05:00:00,0.577409165,4.091877795
 01/04  06:00:00,0.628843583,4.350643728
 01/04  07:00:00,0.821086929,4.59742033
 01/04  08:00:00,1.090411759,4.331362642
 01/04  09:00:00,1.030754496,3.459268067
 01/04  10:00:00,0.862333513,2.404784519
 01/04  11:00:00,0.84611271,1.835502161
 01/04  12:00:00,0.85596807,1.484214725
 01/04  13:00:00,0.823443939,0.739415988
 01/04  14:00:00,0.800827598,0.685524811
 01/04  15:00:00,0.801486211,0.634479849
 01/04  16:00:00,0.86514994,0.642019021
 01/04  17:00:00,1.099146346,0.708160356
 01/04  18:00:00,1.527804395,0.847380794
 01/04  19:00:00,1.811974287,0.969343381
 01/04  20:00:00,1.76493477,0.990030246
 01/04  21:00:00,1.632764021,0.923549437
 01/04  22:00:00,1.492619021,1.057247146
 01/04  23:00:00,1.228014156,1.593067455
 01/04  24:00:00,0.96933239,2.253295286
 01/05  01:00:00,0.712669748,2.850042645
 01/05  02:00:00,0.615286312,3.30265404
 01/05  03:00:00,0.580342443,3.597851651
 01/05  04:00:00,0.575131026,3.857725383
 01/05  05:00:00,0.578291265,4.124875052
 01/05  06:00:00,0.63137088,4.445236429
 01/05  07:00:00,0.825963602,4.779929519
 01/05  08:00:00,1.11457415,5.234177985
 01/05  09:00:00,1.0535142,4.309723036
 01/05  10:00:00,0.87602336,2.916468599
 01/05  11:00:00,0.858251786,2.289216152
 01/05  12:00:00,0.840020348,0.888920265
