Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.729494566,3.246483944
 01/01  02:00:00,0.622765184,3.441772137
 01/01  03:00:00,0.588367965,3.805451717
 01/01  04:00:00,0.57792459,3.916795627
 01/01  05:00:00,0.581782766,4.167112145
 01/01  06:00:00,0.634447278,4.440387601
 01/01  07:00:00,0.852197942,5.439127361
 01/01  08:00:00,1.140324604,5.49842247
 01/01  09:00:00,1.090788871,4.587650472
 01/01  10:00:00,0.934535635,3.509732382
 01/01  11:00:00,0.952390404,3.980581573
 01/01  12:00:00,0.9428228,2.832021942
 01/01  13:00:00,0.907402919,2.147050307
 01/01  14:00:00,0.882295605,2.154564631
 01/01  15:00:00,0.871716856,1.848136697
 01/01  16:00:00,0.935230632,1.927211693
 01/01  17:00:00,1.167077745,1.964569881
 01/01  18:00:00,1.615793537,2.881289722
 01/01  19:00:00,1.881988934,2.390087766
 01/01  20:00:00,1.832007113,2.313128691
 01/01  21:00:00,1.703774775,2.363857914
 01/01  22:00:00,1.567816351,2.610178929
 01/01  23:00:00,1.28796443,2.83380029
 01/01  24:00:00,1.005750161,3.069624729
 01/02  01:00:00,0.727485215,3.403172554
 01/02  02:00:00,0.623140379,3.595892429
 01/02  03:00:00,0.581318537,3.634349491
 01/02  04:00:00,0.573800825,3.808070957
 01/02  05:00:00,0.573644748,3.951210039
 01/02  06:00:00,0.624340869,4.182136411
 01/02  07:00:00,0.816982506,4.443264146
 01/02  08:00:00,1.101210335,4.733617278
 01/02  09:00:00,1.057663631,4.463238994
 01/02  10:00:00,0.913661791,4.3208489
 01/02  11:00:00,0.931440697,5.021456708
 01/02  12:00:00,0.930442715,4.264896374
 01/02  13:00:00,0.908589045,3.920534388
 01/02  14:00:00,0.882557066,3.743269104
 01/02  15:00:00,0.881365707,3.625431556
 01/02  16:00:00,0.942419749,3.535678949
 01/02  17:00:00,1.172671102,3.460940199
 01/02  18:00:00,1.619724878,4.283606001
 01/02  19:00:00,1.878151647,3.444286382
 01/02  20:00:00,1.82312901,3.166726075
 01/02  21:00:00,1.691786327,3.128569538
 01/02  22:00:00,1.548917616,3.159241474
 01/02  23:00:00,1.273482922,3.290742703
 01/02  24:00:00,1.002775172,3.502006932
 01/03  01:00:00,0.736631657,3.744860323
 01/03  02:00:00,0.633256347,3.973743675
 01/03  03:00:00,0.59615781,4.188622258
 01/03  04:00:00,0.588902916,4.372133398
 01/03  05:00:00,0.589978801,4.561312967
 01/03  06:00:00,0.641895279,4.837985691
 01/03  07:00:00,0.834975162,5.115724713
 01/03  08:00:00,1.124298573,5.596466783
 01/03  09:00:00,1.07264124,5.023173944
 01/03  10:00:00,0.921621651,4.618643749
 01/03  11:00:00,0.9235835,4.728453997
 01/03  12:00:00,0.911879781,3.572046461
 01/03  13:00:00,0.885457203,3.05692585
 01/03  14:00:00,0.845171975,2.347334156
 01/03  15:00:00,0.848625479,2.402934482
 01/03  16:00:00,0.906713108,2.202385058
 01/03  17:00:00,1.144787444,2.419882133
 01/03  18:00:00,1.59380671,3.315966236
 01/03  19:00:00,1.859817089,2.759916326
 01/03  20:00:00,1.810720661,2.703666903
 01/03  21:00:00,1.684760547,2.866490384
 01/03  22:00:00,1.542363145,2.914737938
 01/03  23:00:00,1.26837899,3.100368816
 01/03  24:00:00,0.998318029,3.335728198
 01/04  01:00:00,0.737202771,3.766288631
 01/04  02:00:00,0.632612215,3.949735801
 01/04  03:00:00,0.596399913,4.197644832
 01/04  04:00:00,0.586208472,4.271508164
 01/04  05:00:00,0.585121989,4.379983726
 01/04  06:00:00,0.635410482,4.595985648
 01/04  07:00:00,0.82781523,4.848718173
 01/04  08:00:00,1.115079445,5.252599762
 01/04  09:00:00,1.061132487,4.593786707
