Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.770112462,4.763585587
 01/01  02:00:00,0.678906215,5.538640295
 01/01  03:00:00,0.648906966,6.066595289
 01/01  04:00:00,0.644923135,6.419164338
 01/01  05:00:00,0.645986825,6.565109456
 01/01  06:00:00,0.690347584,6.528244328
 01/01  07:00:00,0.893262005,6.9728526
 01/01  08:00:00,1.163851964,6.37722465
 01/01  09:00:00,1.129037443,6.016182899
 01/01  10:00:00,0.962708034,4.56190537
 01/01  11:00:00,0.954691161,4.066568616
 01/01  12:00:00,0.936312817,2.588959093
 01/01  13:00:00,0.898372823,1.809836272
 01/01  14:00:00,0.859609986,1.307361692
 01/01  15:00:00,0.847745937,0.952956705
 01/01  16:00:00,0.912418519,1.075301693
 01/01  17:00:00,1.155175615,1.520144971
 01/01  18:00:00,1.615257356,2.861250278
 01/01  19:00:00,1.893151294,2.80692231
 01/01  20:00:00,1.849962984,2.983705816
 01/01  21:00:00,1.726236456,3.202755035
 01/01  22:00:00,1.591445174,3.492710093
 01/01  23:00:00,1.320021595,4.031113785
 01/01  24:00:00,1.045911157,4.569614646
 01/02  01:00:00,0.766166643,4.847965498
 01/02  02:00:00,0.674562757,5.516535922
 01/02  03:00:00,0.641794144,5.89313259
 01/02  04:00:00,0.627811668,5.825349514
 01/02  05:00:00,0.624845229,5.863547071
 01/02  06:00:00,0.679206023,6.231365745
 01/02  07:00:00,0.879833205,6.790728006
 01/02  08:00:00,1.167341996,7.203597266
 01/02  09:00:00,1.091344044,5.7212211
 01/02  10:00:00,0.913086608,4.299462868
 01/02  11:00:00,0.893250027,3.595262938
 01/02  12:00:00,0.878704386,2.332774076
 01/02  13:00:00,0.847145753,1.625876295
 01/02  14:00:00,0.815154643,1.22607404
 01/02  15:00:00,0.810607979,0.982926704
 01/02  16:00:00,0.876922239,1.08965747
 01/02  17:00:00,1.116573149,1.365970992
 01/02  18:00:00,1.565853175,2.271709609
 01/02  19:00:00,1.834203612,1.802983051
 01/02  20:00:00,1.790836698,1.960683309
 01/02  21:00:00,1.6738092,2.457130483
 01/02  22:00:00,1.547017345,3.088226365
 01/02  23:00:00,1.28305573,3.648259085
 01/02  24:00:00,1.013714575,3.910611844
 01/03  01:00:00,0.761325915,4.667198464
 01/03  02:00:00,0.663117728,5.089066665
 01/03  03:00:00,0.624442235,5.245099046
 01/03  04:00:00,0.629036087,5.871106283
 01/03  05:00:00,0.635375269,6.256875743
 01/03  06:00:00,0.69288038,6.742250203
 01/03  07:00:00,0.880427596,6.813337261
 01/03  08:00:00,1.178240329,7.611103021
 01/03  09:00:00,1.112310972,6.504752042
 01/03  10:00:00,0.92926966,4.904279937
 01/03  11:00:00,0.91763073,4.506183958
 01/03  12:00:00,0.887234318,2.651659729
 01/03  13:00:00,0.848448961,1.674824817
 01/03  14:00:00,0.805137302,0.852208679
 01/03  15:00:00,0.801486211,0.642020406
 01/03  16:00:00,0.866042263,0.683301175
 01/03  17:00:00,1.110432835,1.136915281
 01/03  18:00:00,1.571319396,2.476159685
 01/03  19:00:00,1.846290645,2.254720747
 01/03  20:00:00,1.799775952,2.294893739
 01/03  21:00:00,1.681017034,2.726669381
 01/03  22:00:00,1.54696009,3.086419911
 01/03  23:00:00,1.286890267,3.791714195
 01/03  24:00:00,1.020320592,4.157483433
 01/04  01:00:00,0.763611873,4.752662305
 01/04  02:00:00,0.66674604,5.224653361
 01/04  03:00:00,0.629789569,5.444800283
 01/04  04:00:00,0.635023794,6.094759395
 01/04  05:00:00,0.637982663,6.354311308
 01/04  06:00:00,0.69274049,6.737201143
 01/04  07:00:00,0.890075403,7.174061297
 01/04  08:00:00,1.183388472,7.803842817
 01/04  09:00:00,1.122127674,6.871838847
 01/04  10:00:00,0.951692629,5.742134234
 01/04  11:00:00,0.940252682,5.351411845
 01/04  12:00:00,0.919802525,3.868299735
 01/04  13:00:00,0.886075567,3.080311473
 01/04  14:00:00,0.84967051,2.515578791
 01/04  15:00:00,0.831746905,1.772803505
 01/04  16:00:00,0.889100421,1.544872934
 01/04  17:00:00,1.127302075,1.767124438
 01/04  18:00:00,1.576913124,2.685325251
 01/04  19:00:00,1.847668628,2.306533812
 01/04  20:00:00,1.806652046,2.552032636
 01/04  21:00:00,1.688034326,2.989044022
 01/04  22:00:00,1.558950776,3.534499761
 01/04  23:00:00,1.297086701,4.172728653
 01/04  24:00:00,1.024330309,4.307369495
 01/05  01:00:00,0.76287118,4.72512009
 01/05  02:00:00,0.665008694,5.15983487
 01/05  03:00:00,0.640365582,5.839851995
 01/05  04:00:00,0.635324747,6.106026863
