Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.642567641,0.367256231
 01/01  02:00:00,0.531165783,0.297258712
 01/01  03:00:00,0.487432007,0.27956211
 01/01  04:00:00,0.474218945,0.28823002
 01/01  05:00:00,0.478446062,0.534831533
 01/01  06:00:00,0.538591237,1.070899242
 01/01  07:00:00,0.765152983,2.459639929
 01/01  08:00:00,1.03597283,1.557190349
 01/01  09:00:00,0.986318055,1.165364308
 01/01  10:00:00,0.86170144,1.056763302
 01/01  11:00:00,0.864206149,0.932983082
 01/01  12:00:00,0.882123098,0.817641866
 01/01  13:00:00,0.862598906,0.727427964
 01/01  14:00:00,0.835623927,0.671997859
 01/01  15:00:00,0.831356819,0.620329179
 01/01  16:00:00,0.891545084,0.62760983
 01/01  17:00:00,1.119593078,0.696694464
 01/01  18:00:00,1.53810911,0.832687829
 01/01  19:00:00,1.811788512,0.961225795
 01/01  20:00:00,1.762817728,0.989568694
 01/01  21:00:00,1.634983069,0.923933922
 01/01  22:00:00,1.49386948,0.83301084
 01/01  23:00:00,1.209909129,0.689736615
 01/01  24:00:00,0.922428871,0.533346386
 01/02  01:00:00,0.635993957,0.353437491
 01/02  02:00:00,0.527218759,0.288608354
 01/02  03:00:00,0.484820769,0.274884752
 01/02  04:00:00,0.472853541,0.282307084
 01/02  05:00:00,0.472660566,0.411127886
 01/02  06:00:00,0.529959584,0.877010102
 01/02  07:00:00,0.749502152,2.2090627
 01/02  08:00:00,1.012908615,1.404220966
 01/02  09:00:00,0.953880754,1.078355742
 01/02  10:00:00,0.816670382,0.97829575
 01/02  11:00:00,0.81328992,0.865756344
 01/02  12:00:00,0.829634338,0.762032462
 01/02  13:00:00,0.814788399,0.678466256
 01/02  14:00:00,0.792035895,0.630068788
 01/02  15:00:00,0.792231247,0.585506566
 01/02  16:00:00,0.854486111,0.592833737
 01/02  17:00:00,1.083675159,0.653744076
 01/02  18:00:00,1.50275718,0.780883818
 01/02  19:00:00,1.777478196,0.891347683
 01/02  20:00:00,1.728572974,0.910934304
 01/02  21:00:00,1.600127698,0.848970439
 01/02  22:00:00,1.458262622,0.770402879
 01/02  23:00:00,1.181615917,0.641886292
 01/02  24:00:00,0.906894026,0.504285955
 01/03  01:00:00,0.635993957,0.356991864
 01/03  02:00:00,0.527218759,0.293429913
 01/03  03:00:00,0.484820769,0.277996301
 01/03  04:00:00,0.475944721,0.394917573
 01/03  05:00:00,0.481861013,0.74430941
 01/03  06:00:00,0.538328253,1.179447829
 01/03  07:00:00,0.755600814,2.430289482
 01/03  08:00:00,1.016575461,1.538006617
 01/03  09:00:00,0.953880754,1.07981619
 01/03  10:00:00,0.816670382,0.978260159
 01/03  11:00:00,0.81328992,0.864199891
 01/03  12:00:00,0.829634338,0.763294986
 01/03  13:00:00,0.814788399,0.6801486
 01/03  14:00:00,0.792035895,0.630942423
 01/03  15:00:00,0.792231247,0.585590326
 01/03  16:00:00,0.854486111,0.592149042
 01/03  17:00:00,1.083675159,0.652580413
 01/03  18:00:00,1.50275718,0.779622369
 01/03  19:00:00,1.777478196,0.890834477
 01/03  20:00:00,1.728572974,0.910041787
 01/03  21:00:00,1.600127698,0.84797839
 01/03  22:00:00,1.458262622,0.769683917
 01/03  23:00:00,1.181615917,0.640490578
 01/03  24:00:00,0.906894026,0.503896493
 01/04  01:00:00,0.635993957,0.355731915
 01/04  02:00:00,0.527218759,0.29255307
 01/04  03:00:00,0.484820769,0.276831279
 01/04  04:00:00,0.472853541,0.283552
 01/04  05:00:00,0.474847551,0.491731547
 01/04  06:00:00,0.52995505,0.878160612
 01/04  07:00:00,0.723543277,1.275894078
 01/04  08:00:00,1.004906065,1.118491494
 01/04  09:00:00,0.953880754,1.079887374
 01/04  10:00:00,0.816670382,0.978831752
 01/04  11:00:00,0.81328992,0.868215998
 01/04  12:00:00,0.829634338,0.766094245
 01/04  13:00:00,0.814788399,0.68330142
 01/04  14:00:00,0.792035895,0.638285293
 01/04  15:00:00,0.792231247,0.593829108
 01/04  16:00:00,0.854486111,0.600000073
