Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.701840468,2.213724238
 01/01  02:00:00,0.59834534,2.529766711
 01/01  03:00:00,0.562068433,2.82317788
 01/01  04:00:00,0.556867662,3.130336696
 01/01  05:00:00,0.560833959,3.38470019
 01/01  06:00:00,0.615278691,3.724448179
 01/01  07:00:00,0.81571907,4.07667884
 01/01  08:00:00,1.104105954,4.145782023
 01/01  09:00:00,1.067823232,3.729959449
 01/01  10:00:00,0.918795565,2.921878204
 01/01  11:00:00,0.919419884,2.749250477
 01/01  12:00:00,0.908301205,1.542780345
 01/01  13:00:00,0.871254445,0.796787744
 01/01  14:00:00,0.844415631,0.738341707
 01/01  15:00:00,0.840611783,0.682856326
 01/01  16:00:00,0.902208913,0.689228368
 01/01  17:00:00,1.135064265,0.765120534
 01/01  18:00:00,1.563156325,0.913702673
 01/01  19:00:00,1.846284602,1.053028568
 01/01  20:00:00,1.799179525,1.08390466
 01/01  21:00:00,1.667619391,1.012358268
 01/01  22:00:00,1.525146985,1.016305348
 01/01  23:00:00,1.247089979,1.307304671
 01/01  24:00:00,0.970869443,1.766968743
 01/02  01:00:00,0.697064094,2.26707309
 01/02  02:00:00,0.596349724,2.595353526
 01/02  03:00:00,0.568530679,3.156756969
 01/02  04:00:00,0.56309407,3.40817279
 01/02  05:00:00,0.560329686,3.453938067
 01/02  06:00:00,0.611261561,3.6937619
 01/02  07:00:00,0.806497431,4.051756939
 01/02  08:00:00,1.094407888,4.479616741
 01/02  09:00:00,1.031311989,3.479149573
 01/02  10:00:00,0.865215332,2.511584947
 01/02  11:00:00,0.848459023,1.9224231
 01/02  12:00:00,0.839665497,0.874772538
 01/02  13:00:00,0.823443939,0.739576614
 01/02  14:00:00,0.800827598,0.68799637
 01/02  15:00:00,0.801486211,0.63884734
 01/02  16:00:00,0.86514994,0.646438239
 01/02  17:00:00,1.099146346,0.712412507
 01/02  18:00:00,1.529029754,0.895823274
 01/02  19:00:00,1.811974287,0.969646336
 01/02  20:00:00,1.76493477,0.989965168
 01/02  21:00:00,1.632764021,0.922363666
 01/02  22:00:00,1.486745486,0.835922739
 01/02  23:00:00,1.20924621,0.891251744
 01/02  24:00:00,0.938035443,1.084251104
 01/03  01:00:00,0.671556801,1.314581882
 01/03  02:00:00,0.567868246,1.531722777
 01/03  03:00:00,0.530986113,1.754610191
 01/03  04:00:00,0.525997087,2.022677737
 01/03  05:00:00,0.528490423,2.264786837
 01/03  06:00:00,0.58207815,2.603855934
 01/03  07:00:00,0.777796231,2.980136023
 01/03  08:00:00,1.057652122,3.107286746
 01/03  09:00:00,1.005823011,2.527583132
 01/03  10:00:00,0.846423116,1.810138086
 01/03  11:00:00,0.844156919,1.762086363
 01/03  12:00:00,0.839444463,0.866817045
 01/03  13:00:00,0.823443939,0.738544942
 01/03  14:00:00,0.800827598,0.685999943
 01/03  15:00:00,0.801486211,0.636801251
 01/03  16:00:00,0.86514994,0.644188967
 01/03  17:00:00,1.099146346,0.709888745
 01/03  18:00:00,1.527804395,0.847853967
 01/03  19:00:00,1.811974287,0.968660012
 01/03  20:00:00,1.76493477,0.988927493
 01/03  21:00:00,1.632764021,0.921693955
 01/03  22:00:00,1.486745486,0.835812921
 01/03  23:00:00,1.210886339,0.953214528
 01/03  24:00:00,0.944524632,1.326727503
 01/04  01:00:00,0.682387141,1.719105387
 01/04  02:00:00,0.589756265,2.349131178
 01/04  03:00:00,0.556876691,2.72153975
 01/04  04:00:00,0.550555093,2.939845566
 01/04  05:00:00,0.553032432,3.181472796
 01/04  06:00:00,0.606376883,3.511602692
 01/04  07:00:00,0.813245602,4.304558315
 01/04  08:00:00,1.084366099,4.105488548
 01/04  09:00:00,1.032372941,3.519701514
 01/04  10:00:00,0.882145104,3.144697898
 01/04  11:00:00,0.897079935,3.738942373
 01/04  12:00:00,0.882240114,2.465372514
 01/04  13:00:00,0.843772778,1.500427226
 01/04  14:00:00,0.813346845,1.159034287
 01/04  15:00:00,0.807774952,0.877553642
 01/04  16:00:00,0.87229689,0.917349241
 01/04  17:00:00,1.107317377,1.020795585
 01/04  18:00:00,1.54980963,1.673164393
 01/04  19:00:00,1.820022897,1.274111689
 01/04  20:00:00,1.771805472,1.250668991
 01/04  21:00:00,1.646363382,1.432799861
 01/04  22:00:00,1.514505585,1.874603513
 01/04  23:00:00,1.242415537,2.130880213
 01/04  24:00:00,0.974092759,2.43106981
 01/05  01:00:00,0.71239954,2.83998454
 01/05  02:00:00,0.611621473,3.165788489
 01/05  03:00:00,0.575803178,3.428436765
 01/05  04:00:00,0.569077721,3.631725753
 01/05  05:00:00,0.576348362,4.052376494
 01/05  06:00:00,0.625903652,4.241089217
 01/05  07:00:00,0.818535767,4.502501552
 01/05  08:00:00,1.096381834,4.554787873
 01/05  09:00:00,1.049468977,4.158650968
 01/05  10:00:00,0.887502566,3.345189138
 01/05  11:00:00,0.900521761,3.867839158
 01/05  12:00:00,0.872326913,2.095464557
 01/05  13:00:00,0.837974679,1.284143702
 01/05  14:00:00,0.800827598,0.69093292
 01/05  15:00:00,0.801486211,0.64179942
 01/05  16:00:00,0.86514994,0.649787331
 01/05  17:00:00,1.108464701,1.063791648
 01/05  18:00:00,1.566357256,2.291443687
 01/05  19:00:00,1.833452619,1.775994947
 01/05  20:00:00,1.78689953,1.81473086
 01/05  21:00:00,1.661426591,1.995686452
 01/05  22:00:00,1.528000293,2.37887384
 01/05  23:00:00,1.258085022,2.716319059
 01/05  24:00:00,0.989578167,3.009573771
