Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.709068046,2.483632278
 01/01  02:00:00,0.60938556,2.94208119
 01/01  03:00:00,0.576105005,3.347466873
 01/01  04:00:00,0.570171336,3.627207619
 01/01  05:00:00,0.578432724,4.042015089
 01/01  06:00:00,0.632340749,4.361740814
 01/01  07:00:00,0.832182946,4.691575786
 01/01  08:00:00,1.12875745,5.066472772
 01/01  09:00:00,1.093025749,4.671205831
 01/01  10:00:00,0.952943626,4.197218194
 01/01  11:00:00,0.939120826,3.485032517
 01/01  12:00:00,0.91990402,1.976120569
 01/01  13:00:00,0.879747864,1.114248767
 01/01  14:00:00,0.851684134,1.011362283
 01/01  15:00:00,0.840611783,0.68651478
 01/01  16:00:00,0.902208913,0.693914749
 01/01  17:00:00,1.138295977,0.889709641
 01/01  18:00:00,1.578910869,1.503910986
 01/01  19:00:00,1.846284602,1.056582418
 01/01  20:00:00,1.799179525,1.087092972
 01/01  21:00:00,1.672054719,1.179232884
 01/01  22:00:00,1.534034526,1.348580994
 01/01  23:00:00,1.253650855,1.552322324
 01/01  24:00:00,0.971284757,1.78246095
 01/02  01:00:00,0.692747635,2.105808875
 01/02  02:00:00,0.59023931,2.367107951
 01/02  03:00:00,0.552543677,2.5596081
 01/02  04:00:00,0.547727807,2.834208843
 01/02  05:00:00,0.549156374,3.03657502
 01/02  06:00:00,0.600066833,3.27548931
 01/02  07:00:00,0.793682633,3.573018855
 01/02  08:00:00,1.080449838,3.958223282
 01/02  09:00:00,1.034099114,3.58311982
 01/02  10:00:00,0.891355167,3.487744472
 01/02  11:00:00,0.902995686,3.959109186
 01/02  12:00:00,0.90348932,3.258293111
 01/02  13:00:00,0.883347661,2.977835531
 01/02  14:00:00,0.840897687,2.18747375
 01/02  15:00:00,0.828497875,1.651055877
 01/02  16:00:00,0.886338065,1.44130138
 01/02  17:00:00,1.121617777,1.55434693
 01/02  18:00:00,1.559546241,2.036173405
 01/02  19:00:00,1.825025744,1.460248844
 01/02  20:00:00,1.777151099,1.449585132
 01/02  21:00:00,1.652987131,1.679513134
 01/02  22:00:00,1.513109081,1.82188354
 01/02  23:00:00,1.240973987,2.076602808
 01/02  24:00:00,0.973999368,2.427312598
 01/03  01:00:00,0.709950332,2.748372681
 01/03  02:00:00,0.609747879,3.095754231
 01/03  03:00:00,0.573677346,3.3490087
 01/03  04:00:00,0.570664228,3.69093657
 01/03  05:00:00,0.583339341,4.31337697
 01/03  06:00:00,0.639087082,4.733104217
 01/03  07:00:00,0.853902026,5.82264615
 01/03  08:00:00,1.113487192,5.192702556
 01/03  09:00:00,1.050203631,4.185188831
 01/03  10:00:00,0.882636201,3.162631566
 01/03  11:00:00,0.875607993,2.936715051
 01/03  12:00:00,0.857665737,1.547330496
 01/03  13:00:00,0.82697346,0.872769062
 01/03  14:00:00,0.800827598,0.691251323
 01/03  15:00:00,0.801486211,0.641250394
 01/03  16:00:00,0.86514994,0.64916321
 01/03  17:00:00,1.10113348,0.789376454
 01/03  18:00:00,1.554971743,1.865667918
 01/03  19:00:00,1.832052434,1.723009917
 01/03  20:00:00,1.788235305,1.863897372
 01/03  21:00:00,1.665111792,2.132670477
 01/03  22:00:00,1.53334119,2.577779597
 01/03  23:00:00,1.269058019,3.125710011
 01/03  24:00:00,1.00259962,3.495638867
 01/04  01:00:00,0.739953898,3.868985317
 01/04  02:00:00,0.638736577,4.178487177
 01/04  03:00:00,0.604908291,4.515490996
 01/04  04:00:00,0.596578986,4.65887949
 01/04  05:00:00,0.595983323,4.78569381
 01/04  06:00:00,0.65417183,5.296752036
 01/04  07:00:00,0.869419988,6.402631161
 01/04  08:00:00,1.126915338,5.694699724
 01/04  09:00:00,1.063276477,4.67388636
 01/04  10:00:00,0.889061383,3.403006711
 01/04  11:00:00,0.873117549,2.844071219
 01/04  12:00:00,0.862357801,1.722869745
 01/04  13:00:00,0.825865544,0.831647668
 01/04  14:00:00,0.800827598,0.691414294
 01/04  15:00:00,0.801486211,0.642279134
 01/04  16:00:00,0.865565717,0.665734686
 01/04  17:00:00,1.109622085,1.106867128
 01/04  18:00:00,1.568250843,2.361862935
 01/04  19:00:00,1.83276983,1.750174774
 01/04  20:00:00,1.790587884,1.95212996
 01/04  21:00:00,1.673165833,2.433773652
 01/04  22:00:00,1.543758195,2.967104282
 01/04  23:00:00,1.272403008,3.250869694
 01/04  24:00:00,1.005529042,3.605103032
 01/05  01:00:00,0.740902968,3.904550229
 01/05  02:00:00,0.637369287,4.127482823
 01/05  03:00:00,0.602211247,4.414835404
 01/05  04:00:00,0.585742354,4.254229198
 01/05  05:00:00,0.578406748,4.129333693
 01/05  06:00:00,0.627675473,4.307324287
 01/05  07:00:00,0.828178168,4.862672795
 01/05  08:00:00,1.09336357,4.442010445
 01/05  09:00:00,1.050673063,4.203553088
 01/05  10:00:00,0.897723073,3.726831492
 01/05  11:00:00,0.885571904,3.309473146
 01/05  12:00:00,0.867058177,1.898683981
 01/05  13:00:00,0.830006071,0.986534215
 01/05  14:00:00,0.800827598,0.690353025
 01/05  15:00:00,0.801486211,0.640827051
 01/05  16:00:00,0.86514994,0.648269826
 01/05  17:00:00,1.099146346,0.714551326
 01/05  18:00:00,1.536448041,1.174294833
 01/05  19:00:00,1.811974287,0.973729585
 01/05  20:00:00,1.770100857,1.187362904
 01/05  21:00:00,1.643593288,1.329680529
 01/05  22:00:00,1.511142088,1.749279336
 01/05  23:00:00,1.242475028,2.133318388
 01/05  24:00:00,0.96972765,2.26823255
 01/06  01:00:00,0.706163358,2.607213776
 01/06  02:00:00,0.604142291,2.886470764
 01/06  03:00:00,0.56503732,3.02636989
 01/06  04:00:00,0.558352333,3.231125964
 01/06  05:00:00,0.561555151,3.499851031
 01/06  06:00:00,0.613962936,3.795234121
 01/06  07:00:00,0.80732117,4.083981301
 01/06  08:00:00,1.080422029,3.95908366
 01/06  09:00:00,1.027695343,3.345874645
 01/06  10:00:00,0.875767311,2.907270986
 01/06  11:00:00,0.865628948,2.565021941
 01/06  12:00:00,0.870806252,2.038919244
 01/06  13:00:00,0.853970792,1.881729466
 01/06  14:00:00,0.834426626,1.946661156
 01/06  15:00:00,0.835429216,1.91066175
 01/06  16:00:00,0.897878139,1.873041067
 01/06  17:00:00,1.132493683,1.961414143
 01/06  18:00:00,1.571094315,2.468577445
 01/06  19:00:00,1.837333247,1.921229169
 01/06  20:00:00,1.787897671,1.852313956
 01/06  21:00:00,1.657049432,1.832499674
 01/06  22:00:00,1.514778142,1.885320765
 01/06  23:00:00,1.239423236,2.019526557
 01/06  24:00:00,0.967628561,2.189948995
 01/07  01:00:00,0.708438428,2.460497164
 01/07  02:00:00,0.602552046,2.687016747
 01/07  03:00:00,0.56265875,2.845372265
 01/07  04:00:00,0.555446088,3.077381964
 01/07  05:00:00,0.560996403,3.391079962
 01/07  06:00:00,0.618385213,3.841605241
 01/07  07:00:00,0.817861285,4.159290784
 01/07  08:00:00,1.098453156,3.937721357
 01/07  09:00:00,1.051665587,3.129525517
 01/07  10:00:00,0.900960743,2.258507992
 01/07  11:00:00,0.895340031,1.852269593
 01/07  12:00:00,0.890846106,0.89259509
 01/07  13:00:00,0.871254445,0.796735373
 01/07  14:00:00,0.844415631,0.738815006
 01/07  15:00:00,0.840611783,0.685469601
 01/07  16:00:00,0.902208913,0.691089084
 01/07  17:00:00,1.135064265,0.76770355
 01/07  18:00:00,1.570987032,1.209427155
 01/07  19:00:00,1.846284602,1.057920789
 01/07  20:00:00,1.799179525,1.088695754
 01/07  21:00:00,1.674966493,1.290181905
 01/07  22:00:00,1.54631608,1.809157578
 01/07  23:00:00,1.270173302,2.170828837
 01/07  24:00:00,0.990381236,2.496609555
 01/08  01:00:00,0.718644915,2.841722707
 01/08  02:00:00,0.617562106,3.247647718
 01/08  03:00:00,0.581709733,3.556917345
 01/08  04:00:00,0.574416984,3.785936436
 01/08  05:00:00,0.577233551,3.997592619
 01/08  06:00:00,0.629762166,4.26669808
 01/08  07:00:00,0.829475294,4.593457214
 01/08  08:00:00,1.104998779,4.182703812
 01/08  09:00:00,1.056941268,3.327035853
 01/08  10:00:00,0.904549097,2.392943573
 01/08  11:00:00,0.89717777,1.921267857
 01/08  12:00:00,0.890846106,0.892850711
 01/08  13:00:00,0.871254445,0.797021773
 01/08  14:00:00,0.844415631,0.737977293
 01/08  15:00:00,0.840611783,0.683114012
 01/08  16:00:00,0.902208913,0.688859377
 01/08  17:00:00,1.135064265,0.765325179
 01/08  18:00:00,1.563156325,0.914807247
 01/08  19:00:00,1.846284602,1.056313292
 01/08  20:00:00,1.799179525,1.086551773
 01/08  21:00:00,1.667619391,1.014882693
 01/08  22:00:00,1.531540463,1.257669265
 01/08  23:00:00,1.256522532,1.661289111
 01/08  24:00:00,0.980424827,2.124929499
 01/09  01:00:00,0.704624093,2.549854337
 01/09  02:00:00,0.602439876,2.822940181
 01/09  03:00:00,0.571988621,3.286035692
 01/09  04:00:00,0.56805554,3.593606697
 01/09  05:00:00,0.570972502,3.851781922
 01/09  06:00:00,0.624444984,4.187203296
 01/09  07:00:00,0.824249983,4.717422673
 01/09  08:00:00,1.086321001,4.180767802
 01/09  09:00:00,1.023420208,3.187479856
 01/09  10:00:00,0.856683674,2.195690316
 01/09  11:00:00,0.84473599,1.785724238
 01/09  12:00:00,0.848902056,1.221716862
 01/09  13:00:00,0.823443939,0.741570997
 01/09  14:00:00,0.800827598,0.690145871
 01/09  15:00:00,0.801486211,0.639418148
 01/09  16:00:00,0.86514994,0.648052373
 01/09  17:00:00,1.099146346,0.714930521
 01/09  18:00:00,1.537950365,1.231391827
 01/09  19:00:00,1.811974287,0.974266654
 01/09  20:00:00,1.76493477,0.995033416
 01/09  21:00:00,1.636305652,1.058581201
 01/09  22:00:00,1.504174916,1.490155778
 01/09  23:00:00,1.231472438,1.723229493
 01/09  24:00:00,0.96370371,2.043776986
 01/10  01:00:00,0.699136101,2.344917709
 01/10  02:00:00,0.598825141,2.68799705
 01/10  03:00:00,0.562408061,2.92824807
 01/10  04:00:00,0.560108963,3.296901121
 01/10  05:00:00,0.561547229,3.49983355
 01/10  06:00:00,0.607082375,3.538995533
 01/10  07:00:00,0.806221106,4.044494251
 01/10  08:00:00,1.067445408,3.476209984
 01/10  09:00:00,1.006357107,2.55060531
 01/10  10:00:00,0.840370325,1.586780473
 01/10  11:00:00,0.827438475,1.139962533
 01/10  12:00:00,0.838357346,0.826062501
 01/10  13:00:00,0.823443939,0.7371751
 01/10  14:00:00,0.800827598,0.686913104
 01/10  15:00:00,0.801486211,0.637209104
 01/10  16:00:00,0.86514994,0.644905755
 01/10  17:00:00,1.099146346,0.711629505
 01/10  18:00:00,1.528414582,0.874338152
 01/10  19:00:00,1.811974287,0.973301772
 01/10  20:00:00,1.76493477,0.99341563
 01/10  21:00:00,1.632764021,0.925376901
 01/10  22:00:00,1.493776866,1.102091522
 01/10  23:00:00,1.222396999,1.384531316
 01/10  24:00:00,0.956102297,1.760055937
 01/11  01:00:00,0.695454061,2.207518863
 01/11  02:00:00,0.598661334,2.681929814
 01/11  03:00:00,0.563597008,2.972680047
 01/11  04:00:00,0.548371362,2.858619147
 01/11  05:00:00,0.54874948,3.021993079
 01/11  06:00:00,0.599244686,3.246422568
 01/11  07:00:00,0.793529199,3.570743818
 01/11  08:00:00,1.074144756,3.726734069
 01/11  09:00:00,1.004700076,2.489086766
 01/11  10:00:00,0.838568107,1.519817221
 01/11  11:00:00,0.833202609,1.355591102
 01/11  12:00:00,0.838357346,0.827559954
 01/11  13:00:00,0.823443939,0.73916196
 01/11  14:00:00,0.800827598,0.688904091
 01/11  15:00:00,0.801486211,0.638933283
 01/11  16:00:00,0.86514994,0.646178236
 01/11  17:00:00,1.099146346,0.712782163
 01/11  18:00:00,1.529754673,0.924935806
 01/11  19:00:00,1.811974287,0.973389481
 01/11  20:00:00,1.76493477,0.993739495
 01/11  21:00:00,1.633953605,0.971098142
 01/11  22:00:00,1.497544366,1.243033743
 01/11  23:00:00,1.223891979,1.440549965
