Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.701299789,2.494907482
 01/01  02:00:00,0.600253873,2.794855541
 01/01  03:00:00,0.566412033,3.131756665
 01/01  04:00:00,0.561951699,3.452426822
 01/01  05:00:00,0.568649304,3.787220989
 01/01  06:00:00,0.619694233,3.994756781
 01/01  07:00:00,0.843278794,5.27616636
 01/01  08:00:00,1.11369952,4.359327912
 01/01  09:00:00,1.049113978,3.431720021
 01/01  10:00:00,0.911952764,2.87439121
 01/01  11:00:00,0.909669465,2.579609872
 01/01  12:00:00,0.911342872,1.883054411
 01/01  13:00:00,0.873898325,1.151651294
 01/01  14:00:00,0.837172617,0.748578156
 01/01  15:00:00,0.831356819,0.644023483
 01/01  16:00:00,0.891545084,0.650005085
 01/01  17:00:00,1.119593078,0.719539161
 01/01  18:00:00,1.554644954,1.450779159
 01/01  19:00:00,1.813999227,1.064209221
 01/01  20:00:00,1.766602886,1.149279595
 01/01  21:00:00,1.645921413,1.3397844
 01/01  22:00:00,1.515111803,1.618415799
 01/01  23:00:00,1.242983169,1.8997354
 01/01  24:00:00,0.967705738,2.179675452
 01/02  01:00:00,0.695267827,2.502061365
 01/02  02:00:00,0.597940957,2.847266548
 01/02  03:00:00,0.562953805,3.096441795
 01/02  04:00:00,0.555697652,3.271053386
 01/02  05:00:00,0.559878572,3.556830398
 01/02  06:00:00,0.615880985,3.974717597
 01/02  07:00:00,0.804596748,4.195287299
 01/02  08:00:00,1.0808438,3.853363402
 01/02  09:00:00,1.005514219,2.941136936
 01/02  10:00:00,0.853939465,2.325195284
 01/02  11:00:00,0.861916397,2.623975346
 01/02  12:00:00,0.854219367,1.658167405
 01/02  13:00:00,0.837109608,1.498886226
 01/02  14:00:00,0.81018905,1.303732489
 01/02  15:00:00,0.810724227,1.271751674
 01/02  16:00:00,0.865288286,1.001806252
 01/02  17:00:00,1.096548348,1.136283553
 01/02  18:00:00,1.530752801,1.806137222
 01/02  19:00:00,1.785628929,1.203122586
 01/02  20:00:00,1.73385969,1.119119839
 01/02  21:00:00,1.610588961,1.24230866
 01/02  22:00:00,1.473992394,1.352410788
 01/02  23:00:00,1.204826318,1.491224049
 01/02  24:00:00,0.94045866,1.724465419
 01/03  01:00:00,0.676618984,1.829984371
 01/03  02:00:00,0.575700362,2.045584915
 01/03  03:00:00,0.536176259,2.131163078
 01/03  04:00:00,0.528829059,2.302502006
 01/03  05:00:00,0.530235776,2.488362112
 01/03  06:00:00,0.578893892,2.641886608
 01/03  07:00:00,0.791766689,3.734111446
 01/03  08:00:00,1.05096612,2.777829856
 01/03  09:00:00,0.978986894,1.986345035
 01/03  10:00:00,0.82368431,1.235852908
 01/03  11:00:00,0.81792944,1.039093886
 01/03  12:00:00,0.829634338,0.769361727
 01/03  13:00:00,0.814788399,0.688591829
 01/03  14:00:00,0.792035895,0.642350519
 01/03  15:00:00,0.792231247,0.596835686
 01/03  16:00:00,0.854486111,0.602349627
 01/03  17:00:00,1.083675159,0.664730828
 01/03  18:00:00,1.50275718,0.793274015
 01/03  19:00:00,1.777478196,0.904650172
 01/03  20:00:00,1.728572974,0.923987733
 01/03  21:00:00,1.600127698,0.862849182
 01/03  22:00:00,1.458262622,0.784740427
 01/03  23:00:00,1.194207358,1.109136094
 01/03  24:00:00,0.932478194,1.43724997
 01/04  01:00:00,0.678361958,1.89304809
 01/04  02:00:00,0.582094141,2.276201721
 01/04  03:00:00,0.547892983,2.553644705
 01/04  04:00:00,0.542069746,2.779933589
 01/04  05:00:00,0.544286864,2.99510248
 01/04  06:00:00,0.598216618,3.339069569
 01/04  07:00:00,0.821834207,4.819396411
 01/04  08:00:00,1.075223303,3.653866535
 01/04  09:00:00,0.993391316,2.507137087
 01/04  10:00:00,0.83417914,1.615547164
 01/04  11:00:00,0.831171399,1.517930414
 01/04  12:00:00,0.829634338,0.772838707
 01/04  13:00:00,0.814788399,0.691682446
 01/04  14:00:00,0.792035895,0.64543572
 01/04  15:00:00,0.792231247,0.599988049
 01/04  16:00:00,0.854486111,0.606173165
 01/04  17:00:00,1.083675159,0.667409077
 01/04  18:00:00,1.508358639,0.999296428
 01/04  19:00:00,1.777478196,0.909589796
 01/04  20:00:00,1.728572974,0.928019934
 01/04  21:00:00,1.600127698,0.866529459
 01/04  22:00:00,1.468095039,1.141570967
 01/04  23:00:00,1.205793029,1.52752958
 01/04  24:00:00,0.945637388,1.912127739
 01/05  01:00:00,0.688088173,2.243908922
 01/05  02:00:00,0.589082156,2.528237362
 01/05  03:00:00,0.553743162,2.764627666
 01/05  04:00:00,0.546292104,2.932240689
 01/05  05:00:00,0.552451458,3.289621407
 01/05  06:00:00,0.602526227,3.494991558
 01/05  07:00:00,0.792975568,3.780277742
 01/05  08:00:00,1.073153184,3.580718328
 01/05  09:00:00,1.00059555,2.768300429
 01/05  10:00:00,0.839920601,1.82382887
 01/05  11:00:00,0.837932656,1.762793819
 01/05  12:00:00,0.829634338,0.773428384
 01/05  13:00:00,0.814788399,0.69181381
 01/05  14:00:00,0.792035895,0.642910549
 01/05  15:00:00,0.792231247,0.597930495
 01/05  16:00:00,0.854486111,0.604318116
 01/05  17:00:00,1.083675159,0.665455628
 01/05  18:00:00,1.50275718,0.794085274
 01/05  19:00:00,1.777478196,0.906387105
 01/05  20:00:00,1.728572974,0.925546789
 01/05  21:00:00,1.600127698,0.863783302
 01/05  22:00:00,1.458262622,0.785312856
 01/05  23:00:00,1.186854272,0.845328825
 01/05  24:00:00,0.929227556,1.320990134
 01/06  01:00:00,0.671183659,1.634692914
 01/06  02:00:00,0.58192645,2.270371338
 01/06  03:00:00,0.551497915,2.683758287
 01/06  04:00:00,0.544465409,2.866469194
 01/06  05:00:00,0.552052119,3.275394001
 01/06  06:00:00,0.602835388,3.506671952
 01/06  07:00:00,0.814576649,4.560243196
 01/06  08:00:00,1.080129829,3.833661008
 01/06  09:00:00,1.018700288,3.422385618
 01/06  10:00:00,0.858198975,2.484032344
 01/06  11:00:00,0.84836946,2.140123295
 01/06  12:00:00,0.832465526,0.877755995
 01/06  13:00:00,0.814788399,0.696950171
 01/06  14:00:00,0.792035895,0.651584567
 01/06  15:00:00,0.792231247,0.606277516
 01/06  16:00:00,0.854486111,0.613251979
 01/06  17:00:00,1.083675159,0.673565252
 01/06  18:00:00,1.510019128,1.062069055
 01/06  19:00:00,1.777478196,0.912346012
 01/06  20:00:00,1.728572974,0.931310245
 01/06  21:00:00,1.600127698,0.868295276
 01/06  22:00:00,1.460763711,0.878839656
 01/06  23:00:00,1.195096009,1.143241696
 01/06  24:00:00,0.931639504,1.408382988
 01/07  01:00:00,0.677671396,1.644460356
 01/07  02:00:00,0.573378137,1.826686081
 01/07  03:00:00,0.534620161,1.986143197
 01/07  04:00:00,0.527065269,2.195311374
 01/07  05:00:00,0.529441574,2.374925407
 01/07  06:00:00,0.584365632,2.724837989
 01/07  07:00:00,0.796908801,3.612967873
 01/07  08:00:00,1.098923159,3.836602677
 01/07  09:00:00,1.02873909,2.706982235
 01/07  10:00:00,0.876958542,1.621653581
 01/07  11:00:00,0.882533091,1.608918339
 01/07  12:00:00,0.882123098,0.833265574
 01/07  13:00:00,0.862598906,0.742836457
 01/07  14:00:00,0.835623927,0.688660439
 01/07  15:00:00,0.831356819,0.638830004
 01/07  16:00:00,0.891545084,0.644087257
 01/07  17:00:00,1.119593078,0.713915091
 01/07  18:00:00,1.53810911,0.852664903
 01/07  19:00:00,1.811788512,0.983489716
 01/07  20:00:00,1.762817728,1.012105678
 01/07  21:00:00,1.634983069,0.946462388
 01/07  22:00:00,1.49386948,0.855446855
 01/07  23:00:00,1.210331278,0.725867779
 01/07  24:00:00,0.935446517,1.019605177
 01/08  01:00:00,0.674077967,1.515127606
 01/08  02:00:00,0.573334848,1.825233549
 01/08  03:00:00,0.541418398,2.231303751
 01/08  04:00:00,0.539458179,2.642174872
