Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.709112401,2.776561204
 01/01  02:00:00,0.600434229,2.801357566
 01/01  03:00:00,0.560183529,2.907211853
 01/01  04:00:00,0.54990968,3.018298027
 01/01  05:00:00,0.554127381,3.263688788
 01/01  06:00:00,0.604329211,3.440829868
 01/01  07:00:00,0.79988019,3.711596238
 01/01  08:00:00,1.092454376,3.593415761
 01/01  09:00:00,1.048915343,3.424558989
 01/01  10:00:00,0.919393277,3.142630361
 01/01  11:00:00,0.941542371,3.728665181
 01/01  12:00:00,0.936320081,2.783511791
 01/01  13:00:00,0.905474172,2.289997291
 01/01  14:00:00,0.867234535,1.832345254
 01/01  15:00:00,0.854004109,1.460869747
 01/01  16:00:00,0.920823409,1.707038922
 01/01  17:00:00,1.153293852,1.935190494
 01/01  18:00:00,1.589913814,2.719894856
 01/01  19:00:00,1.845926851,2.21456551
 01/01  20:00:00,1.79435082,2.149624867
 01/01  21:00:00,1.672959535,2.314540164
 01/01  22:00:00,1.536580084,2.392372316
 01/01  23:00:00,1.25798823,2.440685308
 01/01  24:00:00,0.980980425,2.658243354
 01/02  01:00:00,0.703034072,2.782043592
 01/02  02:00:00,0.597645463,2.836613678
 01/02  03:00:00,0.562238498,3.070654177
 01/02  04:00:00,0.554567,3.230292154
 01/02  05:00:00,0.55414015,3.349953784
 01/02  06:00:00,0.60315617,3.515973272
 01/02  07:00:00,0.792658911,3.7649144
 01/02  08:00:00,1.103163309,4.658007642
 01/02  09:00:00,1.032689314,3.920830721
 01/02  10:00:00,0.89428143,3.779569848
 01/02  11:00:00,0.910175548,4.363773801
 01/02  12:00:00,0.899509349,3.290923905
 01/02  13:00:00,0.872202529,2.764026829
 01/02  14:00:00,0.829620064,2.004243147
 01/02  15:00:00,0.819336161,1.58222191
 01/02  16:00:00,0.891315693,1.940124545
 01/02  17:00:00,1.12230988,2.065016725
 01/02  18:00:00,1.557930413,2.785921729
 01/02  19:00:00,1.815067715,2.264424985
 01/02  20:00:00,1.765346177,2.254244294
 01/02  21:00:00,1.639609789,2.288543257
 01/02  22:00:00,1.502751062,2.389194241
 01/02  23:00:00,1.236601159,2.636744014
 01/02  24:00:00,0.970658678,2.813211202
 01/03  01:00:00,0.716922258,3.282964257
 01/03  02:00:00,0.616897768,3.53079933
 01/03  03:00:00,0.583305854,3.830239791
 01/03  04:00:00,0.584264304,4.301007057
 01/03  05:00:00,0.587201871,4.542056082
 01/03  06:00:00,0.640963439,4.879565972
 01/03  07:00:00,0.867184719,6.453019117
 01/03  08:00:00,1.119903955,5.263119312
 01/03  09:00:00,1.043866259,4.32532166
