Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.737314521,3.538408888
 01/01  02:00:00,0.637593994,3.995394158
 01/01  03:00:00,0.600376165,4.253666319
 01/01  04:00:00,0.591664208,4.429649408
 01/01  05:00:00,0.592678847,4.573672874
 01/01  06:00:00,0.643941608,4.794607105
 01/01  07:00:00,0.842387717,5.072352816
 01/01  08:00:00,1.141258083,5.532964774
 01/01  09:00:00,1.102371933,5.019945984
 01/01  10:00:00,0.961484551,4.516022789
 01/01  11:00:00,0.974930207,4.822178971
 01/01  12:00:00,0.974548888,4.016726987
 01/01  13:00:00,0.947518484,3.645024238
 01/01  14:00:00,0.919297502,3.536224105
 01/01  15:00:00,0.913119773,3.394087387
 01/01  16:00:00,0.972495912,3.31861252
 01/01  17:00:00,1.203334881,3.318396201
 01/01  18:00:00,1.643751443,3.925160196
 01/01  19:00:00,1.924635874,3.982492458
 01/01  20:00:00,1.853324728,3.10892334
 01/01  21:00:00,1.71744007,2.874054234
 01/01  22:00:00,1.574302684,2.852300655
 01/01  23:00:00,1.289515376,2.891553092
 01/01  24:00:00,1.005007212,3.041666411
 01/02  01:00:00,0.720198448,3.130795841
 01/02  02:00:00,0.61539527,3.306331203
 01/02  03:00:00,0.577493782,3.491179632
 01/02  04:00:00,0.569041262,3.629901702
 01/02  05:00:00,0.570337272,3.827283069
 01/02  06:00:00,0.621818788,4.087563406
 01/02  07:00:00,0.827797784,4.846847331
 01/02  08:00:00,1.107101723,4.95331069
 01/02  09:00:00,1.048800107,4.132011485
 01/02  10:00:00,0.905771619,4.026018245
 01/02  11:00:00,0.901999326,3.921802428
 01/02  12:00:00,0.878971758,2.342628266
 01/02  13:00:00,0.851974879,1.806158841
 01/02  14:00:00,0.812196342,1.115564743
 01/02  15:00:00,0.805207204,0.781219494
 01/02  16:00:00,0.872848427,0.937510168
 01/02  17:00:00,1.116333346,1.356992534
 01/02  18:00:00,1.571739889,2.491451809
 01/02  19:00:00,1.839661554,2.006733428
 01/02  20:00:00,1.793321394,2.053431975
 01/02  21:00:00,1.668254796,2.249631646
 01/02  22:00:00,1.535167586,2.645598353
 01/02  23:00:00,1.266558668,3.031982816
 01/02  24:00:00,1.003350016,3.523323681
 01/03  01:00:00,0.743748853,4.010450343
 01/03  02:00:00,0.647528309,4.506542743
