Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.756301996,4.247836535
 01/01  02:00:00,0.648689337,4.410117297
 01/01  03:00:00,0.608171331,4.545216631
 01/01  04:00:00,0.597695484,4.655323928
 01/01  05:00:00,0.59827051,4.783018869
 01/01  06:00:00,0.65165432,5.083143272
 01/01  07:00:00,0.852182853,5.438644313
 01/01  08:00:00,1.131663104,5.175047532
 01/01  09:00:00,1.088629854,4.507055869
 01/01  10:00:00,0.942660407,3.813174332
 01/01  11:00:00,0.956283535,4.125985101
 01/01  12:00:00,0.942720304,2.828201673
 01/01  13:00:00,0.907661151,2.156696105
 01/01  14:00:00,0.866989752,1.582944024
 01/01  15:00:00,0.86099541,1.447753929
 01/01  16:00:00,0.926919155,1.616810534
 01/01  17:00:00,1.170953341,2.109361539
 01/01  18:00:00,1.63461025,3.583991837
 01/01  19:00:00,1.899163947,3.031525886
 01/01  20:00:00,1.852922435,3.094293784
 01/01  21:00:00,1.73016208,3.349398571
 01/01  22:00:00,1.596925808,3.697420755
 01/01  23:00:00,1.321151527,4.073349431
 01/01  24:00:00,1.043642792,4.484936776
 01/02  01:00:00,0.76631516,4.853543811
 01/02  02:00:00,0.663820405,5.115351749
 01/02  03:00:00,0.625558457,5.286769044
 01/02  04:00:00,0.618276676,5.469240329
 01/02  05:00:00,0.625994043,5.906452562
 01/02  06:00:00,0.674259739,6.046634055
 01/02  07:00:00,0.867647152,6.33560801
 01/02  08:00:00,1.119803661,5.428153962
 01/02  09:00:00,1.034726576,3.606693815
 01/02  10:00:00,0.853243364,2.064460533
 01/02  11:00:00,0.822011701,0.932865054
 01/02  12:00:00,0.838357346,0.822661913
 01/02  13:00:00,0.823443939,0.736486972
 01/02  14:00:00,0.800827598,0.683650015
 01/02  15:00:00,0.801486211,0.634065937
 01/02  16:00:00,0.86514994,0.640693059
 01/02  17:00:00,1.099146346,0.707501172
 01/02  18:00:00,1.527804395,0.847354475
 01/02  19:00:00,1.811974287,0.968429049
 01/02  20:00:00,1.76493477,0.988438794
 01/02  21:00:00,1.632764021,0.921427079
 01/02  22:00:00,1.486745486,0.836827921
 01/02  23:00:00,1.226409276,1.532736045
 01/02  24:00:00,0.960398135,1.919414801
 01/03  01:00:00,0.696416519,2.243012305
 01/03  02:00:00,0.592241599,2.442007355
 01/03  03:00:00,0.55214357,2.544873275
 01/03  04:00:00,0.540451739,2.56264836
 01/03  05:00:00,0.532901219,2.429663654
 01/03  06:00:00,0.576097231,2.380617384
 01/03  07:00:00,0.769181748,2.65849574
 01/03  08:00:00,1.033799072,2.216498843
 01/03  09:00:00,0.974010744,1.339555534
 01/03  10:00:00,0.826235829,1.054674238
 01/03  11:00:00,0.822011701,0.930355532
 01/03  12:00:00,0.838357346,0.819032394
 01/03  13:00:00,0.823443939,0.733385737
 01/03  14:00:00,0.800827598,0.682123026
 01/03  15:00:00,0.801486211,0.629985948
 01/03  16:00:00,0.86514994,0.63768291
 01/03  17:00:00,1.099146346,0.704111734
 01/03  18:00:00,1.527804395,0.841993627
 01/03  19:00:00,1.811974287,0.963596983
 01/03  20:00:00,1.76493477,0.983885311
 01/03  21:00:00,1.632764021,0.915381105
 01/03  22:00:00,1.486745486,0.829822833
 01/03  23:00:00,1.203957387,0.68817612
 01/03  24:00:00,0.923485038,0.536095175
 01/04  01:00:00,0.64647784,0.375162096
 01/04  02:00:00,0.538926231,0.450915266
 01/04  03:00:00,0.504608249,0.769581672
 01/04  04:00:00,0.501626436,1.112628469
 01/04  05:00:00,0.505504372,1.406484914
 01/04  06:00:00,0.562460134,1.871401391
 01/04  07:00:00,0.760631768,2.339519445
 01/04  08:00:00,1.028998081,2.037638769
 01/04  09:00:00,0.97259079,1.286981282
 01/04  10:00:00,0.826235829,1.053854702
 01/04  11:00:00,0.822011701,0.930197046
 01/04  12:00:00,0.838357346,0.818262218
 01/04  13:00:00,0.823443939,0.732180561
 01/04  14:00:00,0.800827598,0.68029997
 01/04  15:00:00,0.801486211,0.629659494
 01/04  16:00:00,0.86514994,0.636953193
 01/04  17:00:00,1.099146346,0.703423066
 01/04  18:00:00,1.527804395,0.842153294
 01/04  19:00:00,1.811974287,0.964994008
 01/04  20:00:00,1.76493477,0.984923793
 01/04  21:00:00,1.632764021,0.91693151
 01/04  22:00:00,1.486745486,0.832441234
 01/04  23:00:00,1.203957387,0.6919766
 01/04  24:00:00,0.933849958,0.928226245
 01/05  01:00:00,0.673180002,1.375344829
 01/05  02:00:00,0.575910427,1.832134258
 01/05  03:00:00,0.543692727,2.229178416
 01/05  04:00:00,0.540481623,2.56367348
 01/05  05:00:00,0.546906767,2.952732743
 01/05  06:00:00,0.6037359,3.413105418
 01/05  07:00:00,0.813635065,4.319454657
 01/05  08:00:00,1.076862959,3.825750437
 01/05  09:00:00,1.017715071,2.972718217
 01/05  10:00:00,0.847199158,1.839953486
 01/05  11:00:00,0.831554004,1.292119958
 01/05  12:00:00,0.838357346,0.825333697
 01/05  13:00:00,0.823443939,0.738168668
 01/05  14:00:00,0.800827598,0.687144417
 01/05  15:00:00,0.801486211,0.637483843
 01/05  16:00:00,0.86514994,0.644811154
 01/05  17:00:00,1.099146346,0.710926485
 01/05  18:00:00,1.527804395,0.849549194
 01/05  19:00:00,1.811974287,0.970541804
 01/05  20:00:00,1.76493477,0.991194211
 01/05  21:00:00,1.632764021,0.923149679
 01/05  22:00:00,1.487431416,0.863048248
 01/05  23:00:00,1.217559018,1.202857049
 01/05  24:00:00,0.955610785,1.7410472
 01/06  01:00:00,0.694835031,2.184094033
 01/06  02:00:00,0.596369811,2.596171863
