Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.722197941,3.248310141
 01/01  02:00:00,0.623158774,3.620603854
 01/01  03:00:00,0.587249248,3.882962497
 01/01  04:00:00,0.580535784,4.122404705
 01/01  05:00:00,0.5882649,4.494386072
 01/01  06:00:00,0.643282613,4.845145329
 01/01  07:00:00,0.841219762,5.201935884
 01/01  08:00:00,1.171450559,6.441320024
 01/01  09:00:00,1.094732648,5.076326115
 01/01  10:00:00,0.959511992,4.588956664
 01/01  11:00:00,0.958865485,4.353183587
 01/01  12:00:00,0.931568157,2.612199432
 01/01  13:00:00,0.89097898,1.767428763
 01/01  14:00:00,0.849579649,1.195866089
 01/01  15:00:00,0.843685346,1.08886636
 01/01  16:00:00,0.899464135,0.937014614
 01/01  17:00:00,1.136724529,1.337904904
 01/01  18:00:00,1.575830258,2.214650351
 01/01  19:00:00,1.828190832,1.575833056
 01/01  20:00:00,1.778352575,1.572869544
 01/01  21:00:00,1.65794524,1.773257355
 01/01  22:00:00,1.527505192,2.065211883
 01/01  23:00:00,1.251540303,2.208230038
 01/01  24:00:00,0.977266097,2.52433751
 01/02  01:00:00,0.707373991,2.93850273
 01/02  02:00:00,0.610418139,3.297083513
 01/02  03:00:00,0.575260058,3.540096552
 01/02  04:00:00,0.568619198,3.736890218
 01/02  05:00:00,0.570513271,3.940223864
 01/02  06:00:00,0.625887698,4.335471358
 01/02  07:00:00,0.816558057,4.626506399
 01/02  08:00:00,1.137919499,5.911008707
 01/02  09:00:00,1.057203861,4.804608638
 01/02  10:00:00,0.910868099,4.377538725
 01/02  11:00:00,0.926301494,4.945132958
 01/02  12:00:00,0.914340777,3.825614163
 01/02  13:00:00,0.888122372,3.33795571
 01/02  14:00:00,0.844343844,2.535052548
 01/02  15:00:00,0.830169093,1.972761709
 01/02  16:00:00,0.893192525,2.00778651
 01/02  17:00:00,1.128822733,2.299812659
 01/02  18:00:00,1.582454889,3.670057596
 01/02  19:00:00,1.838096356,3.094634396
 01/02  20:00:00,1.793260084,3.260573139
 01/02  21:00:00,1.676604021,3.622228354
 01/02  22:00:00,1.543458008,3.856726973
 01/02  23:00:00,1.285053672,4.383513445
 01/02  24:00:00,1.022078958,4.666972087
 01/03  01:00:00,0.767301151,5.099182151
 01/03  02:00:00,0.665418907,5.280042836
 01/03  03:00:00,0.632002529,5.585811543
 01/03  04:00:00,0.625252135,5.778666012
 01/03  05:00:00,0.623747932,5.859584063
 01/03  06:00:00,0.673315897,6.045909682
 01/03  07:00:00,0.862152886,6.271615691
 01/03  08:00:00,1.142025995,6.060644254
 01/03  09:00:00,1.059910887,4.903749079
 01/03  10:00:00,0.888941788,3.588460884
 01/03  11:00:00,0.88267486,3.373536538
 01/03  12:00:00,0.857084659,1.762476831
 01/03  13:00:00,0.821539963,0.93845257
 01/03  14:00:00,0.792035895,0.648899296
 01/03  15:00:00,0.792231247,0.604062682
 01/03  16:00:00,0.854486111,0.610780998
 01/03  17:00:00,1.086194333,0.763206666
 01/03  18:00:00,1.53648188,2.013682602
 01/03  19:00:00,1.799239654,1.694992248
 01/03  20:00:00,1.758460259,2.007209554
 01/03  21:00:00,1.644243641,2.456701566
 01/03  22:00:00,1.516281791,2.877961735
 01/03  23:00:00,1.255714127,3.326528689
 01/03  24:00:00,0.997595831,3.784816844
 01/04  01:00:00,0.740429926,4.130670517
 01/04  02:00:00,0.644894947,4.540243781
 01/04  03:00:00,0.62166546,5.213228284
 01/04  04:00:00,0.615092544,5.412490378
 01/04  05:00:00,0.618781859,5.680733669
 01/04  06:00:00,0.669609961,5.91288259
 01/04  07:00:00,0.858755222,6.150441915
 01/04  08:00:00,1.136359849,5.857910134
 01/04  09:00:00,1.054684415,4.716824575
 01/04  10:00:00,0.889532259,3.611091461
 01/04  11:00:00,0.885704412,3.483908917
 01/04  12:00:00,0.86411111,2.016766171
 01/04  13:00:00,0.830676617,1.268679851
 01/04  14:00:00,0.802604075,1.031818554
 01/04  15:00:00,0.801440822,0.938440208
 01/04  16:00:00,0.859408549,0.791216086
 01/04  17:00:00,1.098339145,1.202420102
 01/04  18:00:00,1.549346951,2.478455665
 01/04  19:00:00,1.811116509,2.124313133
 01/04  20:00:00,1.767843412,2.346652208
 01/04  21:00:00,1.653298229,2.784194747
 01/04  22:00:00,1.523460056,3.137682308
 01/04  23:00:00,1.2607916,3.510292084
 01/04  24:00:00,1.006228291,4.096500233
 01/05  01:00:00,0.755536672,4.675505722
 01/05  02:00:00,0.65970879,5.07440966
 01/05  03:00:00,0.626064591,5.371899485
 01/05  04:00:00,0.620401883,5.603984703
 01/05  05:00:00,0.625893659,5.937298428
 01/05  06:00:00,0.675526269,6.126728005
 01/05  07:00:00,0.891348723,7.326744397
 01/05  08:00:00,1.141462599,6.04335225
 01/05  09:00:00,1.077447574,5.538905286
 01/05  10:00:00,0.928779243,5.027286217
 01/05  11:00:00,0.941968615,5.513411081
 01/05  12:00:00,0.914261257,3.825679869
 01/05  13:00:00,0.866653989,2.566516144
 01/05  14:00:00,0.83391505,2.161341893
 01/05  15:00:00,0.820371229,1.621550479
 01/05  16:00:00,0.88222285,1.614352446
 01/05  17:00:00,1.120384408,1.997924117
 01/05  18:00:00,1.56766023,3.139607506
 01/05  19:00:00,1.827781279,2.726202882
 01/05  20:00:00,1.780752246,2.813157907
 01/05  21:00:00,1.663237245,3.143534467
 01/05  22:00:00,1.535867126,3.585873893
 01/05  23:00:00,1.269758679,3.834254743
 01/05  24:00:00,1.007416962,4.139809463
 01/06  01:00:00,0.751839291,4.542422308
 01/06  02:00:00,0.659043883,5.050544482
 01/06  03:00:00,0.626094043,5.373035419
 01/06  04:00:00,0.621422089,5.64084701
 01/06  05:00:00,0.623329988,5.845044176
 01/06  06:00:00,0.674869166,6.103573574
 01/06  07:00:00,0.909223518,7.972373047
 01/06  08:00:00,1.158447267,6.657095782
 01/06  09:00:00,1.079019246,5.596954202
 01/06  10:00:00,0.908181774,4.285970391
 01/06  11:00:00,0.901140697,4.042587767
 01/06  12:00:00,0.8696073,2.216760139
 01/06  13:00:00,0.829471632,1.226828838
 01/06  14:00:00,0.796485753,0.812671302
 01/06  15:00:00,0.801439231,0.939652786
 01/06  16:00:00,0.862058031,0.888017042
 01/06  17:00:00,1.102547133,1.355588303
 01/06  18:00:00,1.559665962,2.852306641
 01/06  19:00:00,1.81471719,2.256291345
 01/06  20:00:00,1.770776482,2.454605024
 01/06  21:00:00,1.655932802,2.881189019
 01/06  22:00:00,1.527123927,3.271539881
 01/06  23:00:00,1.26625712,3.708682674
 01/06  24:00:00,1.010681055,4.257922956
 01/07  01:00:00,0.757727126,4.53056251
 01/07  02:00:00,0.663654482,5.081253303
 01/07  03:00:00,0.619074684,5.030826956
 01/07  04:00:00,0.615220998,5.373427914
 01/07  05:00:00,0.626999228,5.891992273
 01/07  06:00:00,0.681522708,6.227463576
 01/07  07:00:00,0.879046367,6.574122729
 01/07  08:00:00,1.169658816,6.386705394
 01/07  09:00:00,1.103681728,5.408751474
 01/07  10:00:00,0.949200971,4.226077159
 01/07  11:00:00,0.954171755,4.191575465
 01/07  12:00:00,0.925761127,2.409287089
 01/07  13:00:00,0.883435797,1.501029903
 01/07  14:00:00,0.846878225,1.103427319
 01/07  15:00:00,0.836033509,0.817425396
 01/07  16:00:00,0.895147462,0.785847814
 01/07  17:00:00,1.133543739,1.228346348
 01/07  18:00:00,1.586396735,2.601956134
 01/07  19:00:00,1.844370559,2.166705222
 01/07  20:00:00,1.801675923,2.421499431
 01/07  21:00:00,1.686191937,2.798726284
 01/07  22:00:00,1.561848976,3.309596095
 01/07  23:00:00,1.292732977,3.69805915
 01/07  24:00:00,1.027645659,4.343721674
 01/08  01:00:00,0.757745306,4.531432828
 01/08  02:00:00,0.655866771,4.800605363
 01/08  03:00:00,0.626554607,5.300563067
 01/08  04:00:00,0.623987079,5.689540043
 01/08  05:00:00,0.629665234,5.988277758
 01/08  06:00:00,0.683201763,6.288535517
 01/08  07:00:00,0.925085617,8.235124559
 01/08  08:00:00,1.186251377,6.986335947
 01/08  09:00:00,1.112285981,5.720367729
 01/08  10:00:00,0.947658825,4.171765005
 01/08  11:00:00,0.945884583,3.893917516
 01/08  12:00:00,0.916810979,2.087558434
 01/08  13:00:00,0.875019563,1.198419388
 01/08  14:00:00,0.835623927,0.698027918
 01/08  15:00:00,0.831356819,0.648949158
 01/08  16:00:00,0.891545084,0.655911552
 01/08  17:00:00,1.123801428,0.877716662
 01/08  18:00:00,1.575946659,2.226143737
 01/08  19:00:00,1.834592879,1.815308102
 01/08  20:00:00,1.791230424,2.046058829
 01/08  21:00:00,1.673844506,2.354624001
 01/08  22:00:00,1.546298814,2.749902158
 01/08  23:00:00,1.279363077,3.216753433
 01/08  24:00:00,1.008803848,3.664908684
 01/09  01:00:00,0.737992713,4.043822028
 01/09  02:00:00,0.646342321,4.592930105
 01/09  03:00:00,0.620823851,5.183244406
 01/09  04:00:00,0.614009848,5.373856481
 01/09  05:00:00,0.617526903,5.636303805
 01/09  06:00:00,0.670557274,5.949602716
 01/09  07:00:00,0.862339978,6.285542385
 01/09  08:00:00,1.138715835,5.949697271
 01/09  09:00:00,1.060558367,4.935255181
 01/09  10:00:00,0.894518938,3.796855357
 01/09  11:00:00,0.883453836,3.407914758
 01/09  12:00:00,0.858405617,1.815434087
 01/09  13:00:00,0.822426607,0.975002981
 01/09  14:00:00,0.792035895,0.653001144
 01/09  15:00:00,0.792231247,0.607571667
 01/09  16:00:00,0.854486111,0.614224799
 01/09  17:00:00,1.083675159,0.67549753
 01/09  18:00:00,1.529729041,1.775523674
 01/09  19:00:00,1.790145364,1.37338924
 01/09  20:00:00,1.749765188,1.700122282
 01/09  21:00:00,1.639423514,2.288741196
 01/09  22:00:00,1.511601357,2.714333552
 01/09  23:00:00,1.251691882,3.185421936
 01/09  24:00:00,0.992932797,3.619291334
 01/10  01:00:00,0.740521237,4.135156767
 01/10  02:00:00,0.647077163,4.619510971
 01/10  03:00:00,0.614270787,4.947061472
 01/10  04:00:00,0.612315821,5.312854687
 01/10  05:00:00,0.615319873,5.556880264
 01/10  06:00:00,0.666393423,5.799941135
 01/10  07:00:00,0.856062853,6.060272642
 01/10  08:00:00,1.132054146,5.71073622
 01/10  09:00:00,1.053324331,4.67562824
 01/10  10:00:00,0.882908942,3.379350886
 01/10  11:00:00,0.872648997,3.019288778
 01/10  12:00:00,0.850390226,1.527233573
 01/10  13:00:00,0.814788399,0.700281297
 01/10  14:00:00,0.792035895,0.651794691
 01/10  15:00:00,0.792231247,0.60614343
 01/10  16:00:00,0.854486111,0.612929232
 01/10  17:00:00,1.083675159,0.674530013
 01/10  18:00:00,1.51859697,1.374558094
 01/10  19:00:00,1.780317944,1.019994852
 01/10  20:00:00,1.743326587,1.468916425
 01/10  21:00:00,1.626844097,1.836070291
 01/10  22:00:00,1.498588855,2.245948697
 01/10  23:00:00,1.23448141,2.565522609
 01/10  24:00:00,0.977144412,3.050471252
 01/11  01:00:00,0.723888953,3.535713622
 01/11  02:00:00,0.627165872,3.901770345
 01/11  03:00:00,0.592168031,4.15029102
 01/11  04:00:00,0.588816179,4.46573179
 01/11  05:00:00,0.588312748,4.583377651
 01/11  06:00:00,0.639618982,4.835119992
 01/11  07:00:00,0.829527873,5.10463455
 01/11  08:00:00,1.112874375,5.020426354
 01/11  09:00:00,1.036155868,4.057797785
 01/11  10:00:00,0.86942239,2.894144223
 01/11  11:00:00,0.853571096,2.332366217
 01/11  12:00:00,0.83500174,0.973187857
 01/11  13:00:00,0.814788399,0.697806015
 01/11  14:00:00,0.792035895,0.64956133
 01/11  15:00:00,0.792231247,0.60449173
 01/11  16:00:00,0.854486111,0.611440913
 01/11  17:00:00,1.083675159,0.671849482
 01/11  18:00:00,1.50275718,0.80137969
 01/11  19:00:00,1.777478196,0.914327067
