Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.722700744,3.266436769
 01/01  02:00:00,0.616300905,3.373369689
 01/01  03:00:00,0.579915113,3.618558416
 01/01  04:00:00,0.576876137,3.990470126
 01/01  05:00:00,0.577718977,4.114193196
 01/01  06:00:00,0.627949642,4.292373849
 01/01  07:00:00,0.825104268,4.620953588
 01/01  08:00:00,1.119858536,4.581367619
 01/01  09:00:00,1.069261863,4.15807469
 01/01  10:00:00,0.932556313,3.617173114
 01/01  11:00:00,0.962699365,4.491399438
 01/01  12:00:00,0.952231777,3.357146996
 01/01  13:00:00,0.933365373,3.295507546
 01/01  14:00:00,0.901632177,3.072420266
 01/01  15:00:00,0.891083742,2.797633634
 01/01  16:00:00,0.94457013,2.56313819
 01/01  17:00:00,1.174539685,2.701185264
 01/01  18:00:00,1.615330903,3.638694559
 01/01  19:00:00,1.864779228,2.894887283
 01/01  20:00:00,1.816668552,2.954205072
 01/01  21:00:00,1.694795445,3.101750102
 01/01  22:00:00,1.559160622,3.206426973
 01/01  23:00:00,1.278916434,3.195171393
 01/01  24:00:00,0.997758248,3.263103396
 01/02  01:00:00,0.720863685,3.42482186
 01/02  02:00:00,0.620760535,3.669938903
 01/02  03:00:00,0.579712593,3.700615591
 01/02  04:00:00,0.569844321,3.781057334
 01/02  05:00:00,0.567498169,3.831525888
 01/02  06:00:00,0.61866807,4.075195313
 01/02  07:00:00,0.806243972,4.254671632
 01/02  08:00:00,1.121473437,5.318109074
 01/02  09:00:00,1.04858933,4.4940448
 01/02  10:00:00,0.909573472,4.33086594
 01/02  11:00:00,0.932489208,5.168207251
 01/02  12:00:00,0.92221299,4.10941656
 01/02  13:00:00,0.901028563,3.803238877
 01/02  14:00:00,0.878259552,3.757753258
 01/02  15:00:00,0.870337738,3.42088812
 01/02  16:00:00,0.921408628,3.025009874
 01/02  17:00:00,1.151472484,3.116362521
 01/02  18:00:00,1.594353796,4.099027047
 01/02  19:00:00,1.840364491,3.176403281
 01/02  20:00:00,1.786901511,3.031339164
 01/02  21:00:00,1.660705336,3.049062262
 01/02  22:00:00,1.523878564,3.150865233
 01/02  23:00:00,1.254639736,3.287055676
 01/02  24:00:00,0.986938874,3.400131187
 01/03  01:00:00,0.724439406,3.553966213
 01/03  02:00:00,0.621078235,3.681509983
 01/03  03:00:00,0.581980813,3.782470519
 01/03  04:00:00,0.57307516,3.897625405
 01/03  05:00:00,0.57177758,3.985992438
 01/03  06:00:00,0.62166679,4.183899306
 01/03  07:00:00,0.810114891,4.395585458
 01/03  08:00:00,1.127336136,5.531057776
 01/03  09:00:00,1.053036564,4.655921733
 01/03  10:00:00,0.904372698,4.144763116
 01/03  11:00:00,0.912549142,4.450539161
 01/03  12:00:00,0.896058315,3.167522469
 01/03  13:00:00,0.851382478,2.014309937
 01/03  14:00:00,0.816815149,1.543391072
 01/03  15:00:00,0.803630171,1.016697652
 01/03  16:00:00,0.869070194,1.138851085
 01/03  17:00:00,1.104245592,1.414580002
 01/03  18:00:00,1.550172693,2.507253022
 01/03  19:00:00,1.806634823,1.961596706
 01/03  20:00:00,1.759709138,2.052233092
 01/03  21:00:00,1.641505957,2.358004884
 01/03  22:00:00,1.510346411,2.663984403
 01/03  23:00:00,1.247055525,3.014376025
 01/03  24:00:00,0.990257806,3.520272498
 01/04  01:00:00,0.737728132,4.033267776
 01/04  02:00:00,0.641633366,4.422660032
 01/04  03:00:00,0.605831014,4.642378082
 01/04  04:00:00,0.603593041,4.997919911
 01/04  05:00:00,0.607178481,5.2624187
 01/04  06:00:00,0.655796002,5.414873363
 01/04  07:00:00,0.88934972,7.253409148
 01/04  08:00:00,1.139761551,5.980545433
 01/04  09:00:00,1.064141812,5.057774731
 01/04  10:00:00,0.897238662,3.888916306
 01/04  11:00:00,0.895709149,3.844591425
 01/04  12:00:00,0.87220341,2.308503065
 01/04  13:00:00,0.834271301,1.398272434
 01/04  14:00:00,0.79745142,0.846059344
 01/04  15:00:00,0.792231247,0.606156663
 01/04  16:00:00,0.855017485,0.632716759
 01/04  17:00:00,1.095887399,1.11402933
 01/04  18:00:00,1.548979724,2.4652167
 01/04  19:00:00,1.80372672,1.85790265
 01/04  20:00:00,1.76219079,2.142868586
 01/04  21:00:00,1.644567005,2.469423957
 01/04  22:00:00,1.516338196,2.880930972
 01/04  23:00:00,1.2537326,3.255806924
 01/04  24:00:00,0.9907604,3.538864772
 01/05  01:00:00,0.729524551,3.737738528
 01/05  02:00:00,0.627161808,3.90105307
 01/05  03:00:00,0.586881333,3.959297233
 01/05  04:00:00,0.576866295,4.034475779
 01/05  05:00:00,0.575178912,4.108972541
 01/05  06:00:00,0.623979668,4.268413054
 01/05  07:00:00,0.811840806,4.460391515
 01/05  08:00:00,1.128418639,5.573102261
 01/05  09:00:00,1.050847206,4.579931071
 01/05  10:00:00,0.91142967,4.401813959
 01/05  11:00:00,0.935070311,5.26471922
 01/05  12:00:00,0.925368919,4.226124003
 01/05  13:00:00,0.903802078,3.905747977
 01/05  14:00:00,0.873639521,3.593455263
 01/05  15:00:00,0.868319617,3.350145597
 01/05  16:00:00,0.920753832,3.003439131
 01/05  17:00:00,1.148243199,3.002265939
 01/05  18:00:00,1.589857834,3.939856956
 01/05  19:00:00,1.834587265,2.971566611
 01/05  20:00:00,1.780635644,2.808954248
 01/05  21:00:00,1.654259881,2.819890062
 01/05  22:00:00,1.51627941,2.879713935
 01/05  23:00:00,1.246386545,2.991662138
 01/05  24:00:00,0.980806893,3.180485501
 01/06  01:00:00,0.718957261,3.356986799
 01/06  02:00:00,0.615636404,3.485654372
 01/06  03:00:00,0.577449729,3.619351336
 01/06  04:00:00,0.568395257,3.729168067
 01/06  05:00:00,0.569996376,3.922305326
 01/06  06:00:00,0.626204587,4.349158732
 01/06  07:00:00,0.858530401,6.144827068
 01/06  08:00:00,1.113570808,5.039247186
 01/06  09:00:00,1.055144826,4.736253557
 01/06  10:00:00,0.912896119,4.455928007
 01/06  11:00:00,0.922533494,4.813822966
 01/06  12:00:00,0.893958235,3.094639665
 01/06  13:00:00,0.850560404,1.987103603
 01/06  14:00:00,0.824917883,1.837682643
 01/06  15:00:00,0.80948054,1.229551342
 01/06  16:00:00,0.871750613,1.237445881
 01/06  17:00:00,1.107485499,1.533622173
 01/06  18:00:00,1.551645073,2.563144248
 01/06  19:00:00,1.806786121,1.970367076
 01/06  20:00:00,1.759626903,2.05264976
 01/06  21:00:00,1.64019638,2.313872695
 01/06  22:00:00,1.510570331,2.674763512
 01/06  23:00:00,1.243763736,2.897770018
 01/06  24:00:00,0.97874932,3.106746766
 01/07  01:00:00,0.726605559,3.408593846
 01/07  02:00:00,0.623269832,3.625339693
 01/07  03:00:00,0.58369566,3.755371992
 01/07  04:00:00,0.573101372,3.854966431
 01/07  05:00:00,0.571848326,3.903738113
 01/07  06:00:00,0.622711077,4.107235892
 01/07  07:00:00,0.849045564,5.492558863
 01/07  08:00:00,1.151935485,5.747758694
 01/07  09:00:00,1.085752544,4.762383559
 01/07  10:00:00,0.958732285,4.569692087
 01/07  11:00:00,0.989011551,5.447590606
 01/07  12:00:00,0.9816569,4.424394697
 01/07  13:00:00,0.958985915,4.224699509
 01/07  14:00:00,0.930115812,4.104239123
 01/07  15:00:00,0.922386021,3.930533864
 01/07  16:00:00,0.97656352,3.720991399
 01/07  17:00:00,1.206067913,3.842927176
 01/07  18:00:00,1.648342652,4.835178467
 01/07  19:00:00,1.891355195,3.860555983
 01/07  20:00:00,1.834491012,3.60452155
 01/07  21:00:00,1.710083027,3.660027876
 01/07  22:00:00,1.570860168,3.634460054
 01/07  23:00:00,1.293197841,3.714818043
 01/07  24:00:00,1.01481527,3.881171257
 01/08  01:00:00,0.746841097,4.138323416
 01/08  02:00:00,0.637701549,4.145727977
 01/08  03:00:00,0.602177165,4.421727949
 01/08  04:00:00,0.590107339,4.468136034
 01/08  05:00:00,0.585932782,4.411671999
 01/08  06:00:00,0.637351271,4.635571831
 01/08  07:00:00,0.834077361,4.954170854
 01/08  08:00:00,1.157143589,5.936965716
 01/08  09:00:00,1.091089336,4.956203912
 01/08  10:00:00,0.944761805,4.067324088
 01/08  11:00:00,0.950419132,4.057393295
 01/08  12:00:00,0.956375139,3.513892431
 01/08  13:00:00,0.936303118,3.407762818
 01/08  14:00:00,0.907969104,3.306543272
 01/08  15:00:00,0.902921818,3.229467896
 01/08  16:00:00,0.966406079,3.355450493
 01/08  17:00:00,1.196826057,3.510489751
 01/08  18:00:00,1.636391165,4.405238559
 01/08  19:00:00,1.8875655,3.725032725
 01/08  20:00:00,1.833670268,3.576064552
 01/08  21:00:00,1.702609715,3.391643241
 01/08  22:00:00,1.564492075,3.40579037
 01/08  23:00:00,1.282452646,3.328135883
 01/08  24:00:00,0.998370485,3.288773686
 01/09  01:00:00,0.719688951,3.383950099
 01/09  02:00:00,0.617022789,3.53592688
 01/09  03:00:00,0.579396574,3.689742893
 01/09  04:00:00,0.565529888,3.626097528
 01/09  05:00:00,0.566800023,3.807540797
 01/09  06:00:00,0.61475745,3.937954174
 01/09  07:00:00,0.800749272,4.065125799
 01/09  08:00:00,1.11337487,5.036126001
 01/09  09:00:00,1.025553458,3.673287511
 01/09  10:00:00,0.868095764,2.844269196
 01/09  11:00:00,0.879682929,3.27196917
 01/09  12:00:00,0.855745627,1.719538361
 01/09  13:00:00,0.821986593,0.959139971
 01/09  14:00:00,0.792035895,0.653816543
 01/09  15:00:00,0.792231247,0.608461995
