Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.759783251,4.603304284
 01/01  02:00:00,0.654342501,4.744813467
 01/01  03:00:00,0.617168364,4.961581412
 01/01  04:00:00,0.603234865,4.940732907
 01/01  05:00:00,0.604550261,5.081492205
 01/01  06:00:00,0.654941314,5.265455026
 01/01  07:00:00,0.846448867,5.390451189
 01/01  08:00:00,1.1394327,5.287038994
 01/01  09:00:00,1.096179036,5.128470087
 01/01  10:00:00,0.972143219,5.044327089
 01/01  11:00:00,0.999363574,5.813186796
 01/01  12:00:00,0.984110362,4.506407023
 01/01  13:00:00,0.951526229,3.950227482
 01/01  14:00:00,0.914175628,3.52462624
 01/01  15:00:00,0.902435991,3.206895413
 01/01  16:00:00,0.952117567,2.835232018
 01/01  17:00:00,1.181142255,2.939215474
 01/01  18:00:00,1.621647213,3.866404865
 01/01  19:00:00,1.87492249,3.260563689
 01/01  20:00:00,1.826835145,3.320722533
 01/01  21:00:00,1.707678141,3.56618626
 01/01  22:00:00,1.577904262,3.882156998
 01/01  23:00:00,1.305674974,4.159847884
 01/01  24:00:00,1.032830475,4.527497963
 01/02  01:00:00,0.762585527,4.928942809
 01/02  02:00:00,0.664435981,5.244489506
 01/02  03:00:00,0.63160548,5.571414827
 01/02  04:00:00,0.624097235,5.736938022
 01/02  05:00:00,0.625659201,5.928298756
 01/02  06:00:00,0.676965316,6.176878823
 01/02  07:00:00,0.8650254,6.373810462
 01/02  08:00:00,1.152345362,6.431077865
 01/02  09:00:00,1.09018465,5.993604438
 01/02  10:00:00,0.929308732,5.042344999
 01/02  11:00:00,0.932382018,5.164342945
 01/02  12:00:00,0.9036888,3.441598036
 01/02  13:00:00,0.866223849,2.548488481
 01/02  14:00:00,0.843229686,2.494885857
 01/02  15:00:00,0.842299612,2.410081051
 01/02  16:00:00,0.898292642,2.19165166
 01/02  17:00:00,1.129173491,2.312457873
 01/02  18:00:00,1.575940219,3.435196187
 01/02  19:00:00,1.83023359,2.811172498
 01/02  20:00:00,1.782569042,2.875148637
 01/02  21:00:00,1.66555288,3.223821869
 01/02  22:00:00,1.536458909,3.60440132
 01/02  23:00:00,1.271657638,3.900570832
 01/02  24:00:00,1.006671188,4.111504041
 01/03  01:00:00,0.748062903,4.405620724
 01/03  02:00:00,0.654452026,4.88467398
 01/03  03:00:00,0.622861651,5.256272372
 01/03  04:00:00,0.61711493,5.485310534
 01/03  05:00:00,0.62415834,5.87437998
 01/03  06:00:00,0.677742544,6.20549548
 01/03  07:00:00,0.869113859,6.52256687
 01/03  08:00:00,1.156098616,6.567978615
 01/03  09:00:00,1.090839861,6.01877457
 01/03  10:00:00,0.933895838,5.209106655
 01/03  11:00:00,0.921293154,4.765770949
 01/03  12:00:00,0.904189912,3.460675971
 01/03  13:00:00,0.868086905,2.616523944
 01/03  14:00:00,0.819798662,1.650950167
 01/03  15:00:00,0.808485035,1.191721145
 01/03  16:00:00,0.87101453,1.208946673
 01/03  17:00:00,1.107130935,1.518599972
 01/03  18:00:00,1.550929752,2.534545876
 01/03  19:00:00,1.80589085,1.934775559
 01/03  20:00:00,1.757952878,1.98891786
 01/03  21:00:00,1.638971955,2.26665114
 01/03  22:00:00,1.506759,2.53465406
 01/03  23:00:00,1.241715699,2.82186908
 01/03  24:00:00,0.981958361,3.221067835
 01/04  01:00:00,0.729069003,3.721096026
 01/04  02:00:00,0.632481867,4.09273783
 01/04  03:00:00,0.599933393,4.429762031
 01/04  04:00:00,0.590021162,4.508637889
 01/04  05:00:00,0.589780997,4.635218875
 01/04  06:00:00,0.637581122,4.758205655
 01/04  07:00:00,0.859483109,6.176682957
 01/04  08:00:00,1.117224315,5.168051863
 01/04  09:00:00,1.060622694,4.930906366
 01/04  10:00:00,0.914745384,4.520053942
 01/04  11:00:00,0.93081676,5.110261506
 01/04  12:00:00,0.917945713,3.957566161
 01/04  13:00:00,0.866652892,2.565666375
 01/04  14:00:00,0.825036083,1.84051852
 01/04  15:00:00,0.81369432,1.380193055
 01/04  16:00:00,0.875836225,1.383452942
 01/04  17:00:00,1.111207099,1.666324812
 01/04  18:00:00,1.567636648,3.137820522
 01/04  19:00:00,1.823762005,2.580197974
 01/04  20:00:00,1.77594362,2.638674112
 01/04  21:00:00,1.656357734,2.894493449
 01/04  22:00:00,1.526324276,3.24094076
 01/04  23:00:00,1.261023053,3.518636245
 01/04  24:00:00,1.003518429,3.998806568
