Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.645374991,0.478161572
 01/01  02:00:00,0.546801319,0.867715126
 01/01  03:00:00,0.526876231,1.706444954
 01/01  04:00:00,0.525033183,2.121471334
 01/01  05:00:00,0.534675486,2.562425301
 01/01  06:00:00,0.599868682,3.280022573
 01/01  07:00:00,0.800869098,3.747247505
 01/01  08:00:00,1.088245954,3.441697259
 01/01  09:00:00,1.018419008,2.325130632
 01/01  10:00:00,0.862310163,1.084717708
 01/01  11:00:00,0.864206149,0.936127385
 01/01  12:00:00,0.882123098,0.820249792
 01/01  13:00:00,0.862598906,0.730690062
 01/01  14:00:00,0.835623927,0.675095422
 01/01  15:00:00,0.831356819,0.626257186
 01/01  16:00:00,0.891545084,0.631958255
 01/01  17:00:00,1.119593078,0.701243361
 01/01  18:00:00,1.53810911,0.837187212
 01/01  19:00:00,1.811788512,0.967299758
 01/01  20:00:00,1.762817728,0.997664536
 01/01  21:00:00,1.634983069,0.93306168
 01/01  22:00:00,1.49386948,0.840727432
 01/01  23:00:00,1.209909129,0.696698694
 01/01  24:00:00,0.922428871,0.541589826
 01/02  01:00:00,0.635993957,0.361163722
 01/02  02:00:00,0.535969669,0.612599939
 01/02  03:00:00,0.508367472,1.128540697
 01/02  04:00:00,0.509140406,1.592610526
 01/02  05:00:00,0.511220024,1.802633311
 01/02  06:00:00,0.571236625,2.365236583
 01/02  07:00:00,0.79238503,3.755040775
 01/02  08:00:00,1.049954696,2.739775301
 01/02  09:00:00,0.965616211,1.502767367
 01/02  10:00:00,0.816670382,0.978285274
 01/02  11:00:00,0.81328992,0.861302842
 01/02  12:00:00,0.829634338,0.759006384
 01/02  13:00:00,0.814788399,0.677426307
 01/02  14:00:00,0.792035895,0.628304139
 01/02  15:00:00,0.792231247,0.583406467
 01/02  16:00:00,0.854486111,0.588539541
 01/02  17:00:00,1.083675159,0.651336409
 01/02  18:00:00,1.50275718,0.778261815
 01/02  19:00:00,1.777478196,0.889689721
 01/02  20:00:00,1.728572974,0.908842866
 01/02  21:00:00,1.600127698,0.848925304
 01/02  22:00:00,1.458262622,0.768792886
 01/02  23:00:00,1.181615917,0.639477624
 01/02  24:00:00,0.906894026,0.502810555
 01/03  01:00:00,0.635993957,0.358353776
 01/03  02:00:00,0.527218759,0.294720082
 01/03  03:00:00,0.484820769,0.275225534
 01/03  04:00:00,0.472853541,0.280819702
 01/03  05:00:00,0.470527537,0.332731878
 01/03  06:00:00,0.521349499,0.564752085
 01/03  07:00:00,0.715883778,0.996783189
 01/03  08:00:00,1.004906065,1.113887183
 01/03  09:00:00,0.953880754,1.075132309
 01/03  10:00:00,0.816670382,0.973471473
 01/03  11:00:00,0.81328992,0.859620199
 01/03  12:00:00,0.829634338,0.756552046
 01/03  13:00:00,0.814788399,0.676504088
 01/03  14:00:00,0.792035895,0.62915596
 01/03  15:00:00,0.792231247,0.582915325
 01/03  16:00:00,0.854486111,0.589144616
 01/03  17:00:00,1.083675159,0.650066021
 01/03  18:00:00,1.50275718,0.776876905
 01/03  19:00:00,1.777478196,0.889829755
 01/03  20:00:00,1.728572974,0.909004678
 01/03  21:00:00,1.600127698,0.847264827
 01/03  22:00:00,1.458262622,0.76996964
 01/03  23:00:00,1.181615917,0.642874789
 01/03  24:00:00,0.906894026,0.50677792
 01/04  01:00:00,0.635993957,0.361853863
 01/04  02:00:00,0.528416727,0.339367976
 01/04  03:00:00,0.498305821,0.765968179
 01/04  04:00:00,0.499150981,1.23266162
 01/04  05:00:00,0.507511218,1.669297661
 01/04  06:00:00,0.563954176,2.103868683
 01/04  07:00:00,0.795331595,3.863946413
 01/04  08:00:00,1.048996649,2.708365163
 01/04  09:00:00,0.967862938,1.586809375
 01/04  10:00:00,0.816670382,0.98232408
 01/04  11:00:00,0.81328992,0.866244047
 01/04  12:00:00,0.829634338,0.762165927
 01/04  13:00:00,0.814788399,0.680019477
 01/04  14:00:00,0.792035895,0.630752341
 01/04  15:00:00,0.792231247,0.584816515
 01/04  16:00:00,0.854486111,0.59183797
 01/04  17:00:00,1.083675159,0.654064316
 01/04  18:00:00,1.50275718,0.784033754
 01/04  19:00:00,1.777478196,0.893717591
 01/04  20:00:00,1.728572974,0.913408559
 01/04  21:00:00,1.600127698,0.853924744
 01/04  22:00:00,1.458262622,0.77527153
 01/04  23:00:00,1.181615917,0.647702906
 01/04  24:00:00,0.906894026,0.511220447
 01/05  01:00:00,0.640755037,0.537161835
 01/05  02:00:00,0.546237494,0.983570692
 01/05  03:00:00,0.51779919,1.468805501
 01/05  04:00:00,0.522676001,2.080852717
 01/05  05:00:00,0.534703055,2.649770826
 01/05  06:00:00,0.596398339,3.274074042
 01/05  07:00:00,0.824047941,4.900472944
 01/05  08:00:00,1.074178667,3.617688178
 01/05  09:00:00,0.98656573,2.262509089
 01/05  10:00:00,0.818649877,1.056994539
 01/05  11:00:00,0.81328992,0.871286065
 01/05  12:00:00,0.829634338,0.765741398
 01/05  13:00:00,0.814788399,0.682869182
 01/05  14:00:00,0.792035895,0.632853885
 01/05  15:00:00,0.792231247,0.584958068
 01/05  16:00:00,0.854486111,0.592289938
 01/05  17:00:00,1.083675159,0.653407622
 01/05  18:00:00,1.50275718,0.781424696
 01/05  19:00:00,1.777478196,0.894654181
 01/05  20:00:00,1.728572974,0.914105861
 01/05  21:00:00,1.600127698,0.852442477
 01/05  22:00:00,1.458262622,0.774812336
 01/05  23:00:00,1.181615917,0.645076228
 01/05  24:00:00,0.906894026,0.507122392
 01/06  01:00:00,0.635993957,0.360213347
 01/06  02:00:00,0.528651239,0.348075089
 01/06  03:00:00,0.498419727,0.770095856
 01/06  04:00:00,0.500083762,1.266459152
 01/06  05:00:00,0.50878,1.715383793
 01/06  06:00:00,0.571252682,2.368078661
 01/06  07:00:00,0.762814478,2.694156769
 01/06  08:00:00,1.046644495,2.6264758
 01/06  09:00:00,0.96956882,1.651139082
 01/06  10:00:00,0.816670382,0.98511569
 01/06  11:00:00,0.81328992,0.870472538
 01/06  12:00:00,0.829634338,0.765328998
 01/06  13:00:00,0.814788399,0.682932439
 01/06  14:00:00,0.792035895,0.633496989
 01/06  15:00:00,0.792231247,0.588115968
 01/06  16:00:00,0.854486111,0.594626742
 01/06  17:00:00,1.083675159,0.655432661
 01/06  18:00:00,1.50275718,0.784099352
 01/06  19:00:00,1.777478196,0.897497895
 01/06  20:00:00,1.728572974,0.916967322
 01/06  21:00:00,1.600127698,0.856488548
 01/06  22:00:00,1.458262622,0.778464043
 01/06  23:00:00,1.181615917,0.650363426
 01/06  24:00:00,0.906894026,0.513519575
 01/07  01:00:00,0.651093255,0.686202854
 01/07  02:00:00,0.557261069,1.245630463
 01/07  03:00:00,0.525030942,1.640440706
 01/07  04:00:00,0.522452843,2.029028047
 01/07  05:00:00,0.536198222,2.618510404
 01/07  06:00:00,0.594671781,3.096386652
 01/07  07:00:00,0.837080039,5.061187785
 01/07  08:00:00,1.099797091,3.868108922
 01/07  09:00:00,1.025888527,2.604216129
 01/07  10:00:00,0.876243826,1.595887214
 01/07  11:00:00,0.864497314,0.958421081
 01/07  12:00:00,0.882123098,0.831040866
 01/07  13:00:00,0.862598906,0.740138287
 01/07  14:00:00,0.835623927,0.685504876
 01/07  15:00:00,0.831356819,0.635282625
 01/07  16:00:00,0.891545084,0.641196211
 01/07  17:00:00,1.119593078,0.711489184
 01/07  18:00:00,1.53810911,0.850874262
 01/07  19:00:00,1.811788512,0.982311187
 01/07  20:00:00,1.762817728,1.010746212
 01/07  21:00:00,1.634983069,0.94570131
 01/07  22:00:00,1.49386948,0.854818026
 01/07  23:00:00,1.211283119,0.761096809
 01/07  24:00:00,0.93394245,0.965479268
 01/08  01:00:00,0.667669623,1.284099539
 01/08  02:00:00,0.567700714,1.622116487
 01/08  03:00:00,0.532630539,1.914491005
 01/08  04:00:00,0.52473465,2.111374247
 01/08  05:00:00,0.52993147,2.39275955
 01/08  06:00:00,0.583958166,2.710688286
 01/08  07:00:00,0.78313664,3.117698597
 01/08  08:00:00,1.076016316,3.012233185
 01/08  09:00:00,1.023600674,2.523159199
 01/08  10:00:00,0.879496852,1.714446636
 01/08  11:00:00,0.864206149,0.946815282
 01/08  12:00:00,0.882123098,0.830861223
 01/08  13:00:00,0.862598906,0.740804734
 01/08  14:00:00,0.835623927,0.686152947
 01/08  15:00:00,0.831356819,0.635445302
 01/08  16:00:00,0.891545084,0.641640448
 01/08  17:00:00,1.119593078,0.711869546
 01/08  18:00:00,1.53810911,0.849809266
 01/08  19:00:00,1.811788512,0.979541497
 01/08  20:00:00,1.762817728,1.007863747
 01/08  21:00:00,1.634983069,0.94024667
 01/08  22:00:00,1.49386948,0.84783692
 01/08  23:00:00,1.209909129,0.702839027
 01/08  24:00:00,0.922428871,0.54210982
 01/09  01:00:00,0.635993957,0.359610405
 01/09  02:00:00,0.527218759,0.294443478
 01/09  03:00:00,0.484820769,0.278067766
 01/09  04:00:00,0.475824451,0.391583493
 01/09  05:00:00,0.475717592,0.52391265
 01/09  06:00:00,0.529293217,0.856869198
 01/09  07:00:00,0.7548,2.408601123
 01/09  08:00:00,1.033313618,2.149824797
 01/09  09:00:00,0.953880754,1.089035731
 01/09  10:00:00,0.816670382,0.985160142
 01/09  11:00:00,0.81328992,0.868630228
 01/09  12:00:00,0.829634338,0.76435286
 01/09  13:00:00,0.814788399,0.681453945
 01/09  14:00:00,0.792035895,0.631901518
 01/09  15:00:00,0.792231247,0.586443515
