Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.7568801,4.498642313
 01/01  02:00:00,0.662129656,5.025549446
 01/01  03:00:00,0.626863181,5.31109085
 01/01  04:00:00,0.624002036,5.689413598
 01/01  05:00:00,0.629894943,5.995197443
 01/01  06:00:00,0.683991178,6.312736391
 01/01  07:00:00,0.878750851,6.554975273
 01/01  08:00:00,1.174085823,6.536324363
 01/01  09:00:00,1.131708221,6.409338504
 01/01  10:00:00,1.003319417,6.168265273
 01/01  11:00:00,1.021524889,6.612127987
 01/01  12:00:00,1.001232311,5.123673232
 01/01  13:00:00,0.967244477,4.516888617
 01/01  14:00:00,0.931346805,4.143667154
 01/01  15:00:00,0.918585328,3.789097826
 01/01  16:00:00,0.976459468,3.712785884
 01/01  17:00:00,1.201544213,3.674729873
 01/01  18:00:00,1.647543919,4.800011239
 01/01  19:00:00,1.888693908,3.757039332
 01/01  20:00:00,1.834932551,3.612643475
 01/01  21:00:00,1.710022644,3.650708316
 01/01  22:00:00,1.573816568,3.73479085
 01/01  23:00:00,1.300054979,3.957240448
 01/01  24:00:00,1.019154357,4.034458
 01/02  01:00:00,0.742586987,4.207972171
 01/02  02:00:00,0.6398806,4.359239481
 01/02  03:00:00,0.600102314,4.435688754
 01/02  04:00:00,0.59134664,4.556240937
 01/02  05:00:00,0.590509795,4.661121759
 01/02  06:00:00,0.638338869,4.784350491
 01/02  07:00:00,0.828081053,5.041923797
 01/02  08:00:00,1.146086421,6.205435745
 01/02  09:00:00,1.063535551,5.032873441
 01/02  10:00:00,0.919753129,4.697854397
 01/02  11:00:00,0.927572142,4.990941289
 01/02  12:00:00,0.914119141,3.817623849
 01/02  13:00:00,0.894999905,3.58589875
 01/02  14:00:00,0.869600231,3.44557468
 01/02  15:00:00,0.86753577,3.319873879
 01/02  16:00:00,0.930229092,3.342997811
 01/02  17:00:00,1.158613766,3.373814024
 01/02  18:00:00,1.600498313,4.320543969
 01/02  19:00:00,1.845942451,3.377495181
 01/02  20:00:00,1.790555617,3.163073946
 01/02  21:00:00,1.662651445,3.119221745
 01/02  22:00:00,1.52115462,3.05266388
 01/02  23:00:00,1.250755729,3.14703271
 01/02  24:00:00,0.985761794,3.357696073
 01/03  01:00:00,0.719282114,3.368039835
 01/03  02:00:00,0.617333342,3.546502257
 01/03  03:00:00,0.57863698,3.661921448
 01/03  04:00:00,0.566996828,3.678494455
 01/03  05:00:00,0.564957346,3.740115077
 01/03  06:00:00,0.613976023,3.906638234
 01/03  07:00:00,0.803698757,4.164276372
 01/03  08:00:00,1.119062968,5.232800441
 01/03  09:00:00,1.043274264,4.303979482
 01/03  10:00:00,0.903630912,4.118020883
 01/03  11:00:00,0.924119281,4.867656109
 01/03  12:00:00,0.914383863,3.82817974
 01/03  13:00:00,0.894929058,3.584214759
 01/03  14:00:00,0.868629443,3.411356627
 01/03  15:00:00,0.864930406,3.226642424
 01/03  16:00:00,0.930263392,3.34493704
 01/03  17:00:00,1.158840616,3.382794103
 01/03  18:00:00,1.598960177,4.266098565
 01/03  19:00:00,1.868707078,4.199373648
 01/03  20:00:00,1.796643786,3.383770098
 01/03  21:00:00,1.664852057,3.199658943
 01/03  22:00:00,1.524210265,3.163792456
 01/03  23:00:00,1.252292269,3.203166727
 01/03  24:00:00,0.982797602,3.251323474
 01/04  01:00:00,0.718888677,3.354083446
 01/04  02:00:00,0.614841638,3.456787079
 01/04  03:00:00,0.575484787,3.548361298
 01/04  04:00:00,0.564953206,3.604908938
 01/04  05:00:00,0.563718524,3.695636421
 01/04  06:00:00,0.61486975,3.939434337
