Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.718294941,2.828202071
 01/01  02:00:00,0.616455569,3.206110237
 01/01  03:00:00,0.580138458,3.498112778
 01/01  04:00:00,0.575423776,3.82339218
 01/01  05:00:00,0.581167348,4.144138935
 01/01  06:00:00,0.638021693,4.573902416
 01/01  07:00:00,0.860420534,5.746229924
 01/01  08:00:00,1.152283386,5.945078266
 01/01  09:00:00,1.110195704,5.312456303
 01/01  10:00:00,0.963803011,4.602799728
 01/01  11:00:00,0.965835468,4.482744387
 01/01  12:00:00,0.958408524,3.4141251
 01/01  13:00:00,0.919653022,2.604553546
 01/01  14:00:00,0.879982436,2.068170655
 01/01  15:00:00,0.869258591,1.756335268
 01/01  16:00:00,0.924868973,1.540218996
 01/01  17:00:00,1.156602044,1.573385795
 01/01  18:00:00,1.593421855,2.045792942
 01/01  19:00:00,1.861831019,1.637273273
 01/01  20:00:00,1.809652934,1.478271651
 01/01  21:00:00,1.681305071,1.524684721
 01/01  22:00:00,1.542292576,1.656959547
 01/01  23:00:00,1.269986426,2.162392675
 01/01  24:00:00,0.989739135,2.471654523
 01/02  01:00:00,0.710184059,2.757018569
 01/02  02:00:00,0.608417486,3.046019871
 01/02  03:00:00,0.572241278,3.295279256
 01/02  04:00:00,0.569539168,3.648853786
 01/02  05:00:00,0.570155619,3.820891972
 01/02  06:00:00,0.620705786,4.046339667
 01/02  07:00:00,0.81287641,4.289921849
 01/02  08:00:00,1.09652246,4.558557899
 01/02  09:00:00,1.041483008,3.858999527
 01/02  10:00:00,0.876703619,2.940640907
 01/02  11:00:00,0.875710778,2.940172806
 01/02  12:00:00,0.872656809,2.106861659
 01/02  13:00:00,0.829967697,0.984325966
 01/02  14:00:00,0.801471816,0.715076634
 01/02  15:00:00,0.801486211,0.641992321
 01/02  16:00:00,0.86514994,0.649483209
 01/02  17:00:00,1.099146346,0.714205199
 01/02  18:00:00,1.538197723,1.238766586
 01/02  19:00:00,1.812603949,0.99635168
 01/02  20:00:00,1.766979455,1.069719154
 01/02  21:00:00,1.645784737,1.410536866
 01/02  22:00:00,1.51313695,1.822918546
 01/02  23:00:00,1.244073594,2.192373363
 01/02  24:00:00,0.97827839,2.587116853
 01/03  01:00:00,0.71564838,2.961178698
 01/03  02:00:00,0.615769791,3.320703641
 01/03  03:00:00,0.582325854,3.671987045
 01/03  04:00:00,0.57796366,3.963537248
 01/03  05:00:00,0.583416741,4.316250185
 01/03  06:00:00,0.639158068,4.73577708
 01/03  07:00:00,0.832025281,5.005594717
 01/03  08:00:00,1.103140133,4.806278808
 01/03  09:00:00,1.054455149,4.343975004
 01/03  10:00:00,0.902154274,3.891569337
 01/03  11:00:00,0.897674627,3.760803473
 01/03  12:00:00,0.882590859,2.478180779
 01/03  13:00:00,0.85579047,1.948963684
 01/03  14:00:00,0.818316293,1.344370183
 01/03  15:00:00,0.813247466,1.081706814
 01/03  16:00:00,0.875095455,1.02163417
 01/03  17:00:00,1.111122124,1.162636678
 01/03  18:00:00,1.54830567,1.616684368
 01/03  19:00:00,1.822865117,1.379890572
 01/03  20:00:00,1.776858247,1.438997028
 01/03  21:00:00,1.656270706,1.802454604
 01/03  22:00:00,1.523259845,2.201247819
 01/03  23:00:00,1.249583045,2.39834489
 01/03  24:00:00,0.983405382,2.778725659
 01/04  01:00:00,0.722096023,3.202063062
 01/04  02:00:00,0.620843489,3.510167803
 01/04  03:00:00,0.585251841,3.781335594
 01/04  04:00:00,0.578885448,3.998045995
 01/04  05:00:00,0.57869814,4.140080405
 01/04  06:00:00,0.63034099,4.406665098
 01/04  07:00:00,0.823349595,4.681974853
 01/04  08:00:00,1.098548769,4.635269173
 01/04  09:00:00,1.0593061,4.525597675
 01/04  10:00:00,0.913907085,4.330912499
 01/04  11:00:00,0.92402428,4.745231987
 01/04  12:00:00,0.919551843,3.8588408
 01/04  13:00:00,0.893661582,3.3635745
 01/04  14:00:00,0.864696499,3.076709924
 01/04  15:00:00,0.861998476,2.902532904
 01/04  16:00:00,0.9224164,2.789007805
 01/04  17:00:00,1.151174147,2.658561387
 01/04  18:00:00,1.590135795,3.179138692
 01/04  19:00:00,1.851932248,2.465771097
 01/04  20:00:00,1.79920935,2.274082378
 01/04  21:00:00,1.669270986,2.288301865
 01/04  22:00:00,1.526969595,2.3400994
 01/04  23:00:00,1.24855694,2.360250017
