Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.642567641,0.369612307
 01/01  02:00:00,0.531165783,0.30112341
 01/01  03:00:00,0.489829781,0.370669681
 01/01  04:00:00,0.476184245,0.360342746
 01/01  05:00:00,0.481950686,0.661621807
 01/01  06:00:00,0.536551777,0.997374542
 01/01  07:00:00,0.734838922,1.366782888
 01/01  08:00:00,1.037664615,1.618181177
 01/01  09:00:00,0.986318055,1.166290322
 01/01  10:00:00,0.86170144,1.057552098
 01/01  11:00:00,0.864206149,0.931453288
 01/01  12:00:00,0.882123098,0.816653628
 01/01  13:00:00,0.862598906,0.730069823
 01/01  14:00:00,0.835623927,0.673514715
 01/01  15:00:00,0.831356819,0.62307842
 01/01  16:00:00,0.891545084,0.630698245
 01/01  17:00:00,1.119593078,0.700281886
 01/01  18:00:00,1.53810911,0.83723036
 01/01  19:00:00,1.811788512,0.965754723
 01/01  20:00:00,1.762817728,0.994178217
 01/01  21:00:00,1.634983069,0.928797168
 01/01  22:00:00,1.49386948,0.837737978
 01/01  23:00:00,1.209909129,0.69537952
 01/01  24:00:00,0.922428871,0.537594165
 01/02  01:00:00,0.635993957,0.359846832
 01/02  02:00:00,0.527218759,0.293924751
 01/02  03:00:00,0.487810382,0.386450396
 01/02  04:00:00,0.48597412,0.757260349
 01/02  05:00:00,0.493049962,1.147581416
 01/02  06:00:00,0.548987537,1.56313109
 01/02  07:00:00,0.744373503,2.024169282
 01/02  08:00:00,1.024414348,1.819016023
 01/02  09:00:00,0.957891608,1.224286426
 01/02  10:00:00,0.816670382,0.978808551
 01/02  11:00:00,0.81328992,0.86399511
 01/02  12:00:00,0.829634338,0.760931655
 01/02  13:00:00,0.814788399,0.679565365
 01/02  14:00:00,0.792035895,0.631452142
 01/02  15:00:00,0.792231247,0.587149755
 01/02  16:00:00,0.854486111,0.593755344
 01/02  17:00:00,1.083675159,0.653231109
 01/02  18:00:00,1.50275718,0.780149591
 01/02  19:00:00,1.777478196,0.891835969
 01/02  20:00:00,1.728572974,0.911099324
 01/02  21:00:00,1.600127698,0.84914516
 01/02  22:00:00,1.458262622,0.770487106
 01/02  23:00:00,1.181615917,0.641926151
 01/02  24:00:00,0.906894026,0.505016833
 01/03  01:00:00,0.635993957,0.358457732
 01/03  02:00:00,0.527218759,0.294931426
 01/03  03:00:00,0.486522125,0.339891704
 01/03  04:00:00,0.484583138,0.707384146
 01/03  05:00:00,0.493106935,1.149823867
 01/03  06:00:00,0.551430558,1.651801489
 01/03  07:00:00,0.766621916,2.827613125
 01/03  08:00:00,1.027300213,1.924646404
 01/03  09:00:00,0.954804847,1.1145541
 01/03  10:00:00,0.816670382,0.979677288
 01/03  11:00:00,0.81328992,0.865649186
 01/03  12:00:00,0.829634338,0.762303919
 01/03  13:00:00,0.814788399,0.682202332
 01/03  14:00:00,0.792035895,0.635545461
 01/03  15:00:00,0.792231247,0.587733652
 01/03  16:00:00,0.854486111,0.59454371
 01/03  17:00:00,1.083675159,0.655581248
 01/03  18:00:00,1.50275718,0.783516289
 01/03  19:00:00,1.777478196,0.89480119
 01/03  20:00:00,1.728572974,0.91382418
 01/03  21:00:00,1.600127698,0.851397188
 01/03  22:00:00,1.458262622,0.773096797
 01/03  23:00:00,1.181615917,0.645119548
 01/03  24:00:00,0.906894026,0.508061083
 01/04  01:00:00,0.635993957,0.361084058
 01/04  02:00:00,0.528849377,0.356225977
 01/04  03:00:00,0.497190313,0.725753634
 01/04  04:00:00,0.496461589,1.135706185
 01/04  05:00:00,0.50226218,1.480063749
 01/04  06:00:00,0.557097228,1.856667733
 01/04  07:00:00,0.749883695,2.225496788
 01/04  08:00:00,1.031870087,2.090932708
 01/04  09:00:00,0.969093164,1.631160442
 01/04  10:00:00,0.824359573,1.261540364
 01/04  11:00:00,0.819979632,1.114285443
 01/04  12:00:00,0.829634338,0.772139736
 01/04  13:00:00,0.814788399,0.690268013
 01/04  14:00:00,0.792035895,0.643661432
 01/04  15:00:00,0.792231247,0.597606287
 01/04  16:00:00,0.854486111,0.604520899
 01/04  17:00:00,1.083675159,0.665228199
 01/04  18:00:00,1.50275718,0.792676445
 01/04  19:00:00,1.777478196,0.903462255
 01/04  20:00:00,1.728572974,0.922128974
 01/04  21:00:00,1.600127698,0.858874388
 01/04  22:00:00,1.458262622,0.779970737
 01/04  23:00:00,1.181615917,0.650314968
 01/04  24:00:00,0.906894026,0.510348427
 01/05  01:00:00,0.635993957,0.362219396
 01/05  02:00:00,0.527218759,0.296254303
 01/05  03:00:00,0.49071887,0.492493394
 01/05  04:00:00,0.485064167,0.724902369
 01/05  05:00:00,0.486732375,0.920372045
 01/05  06:00:00,0.537240195,1.141354185
 01/05  07:00:00,0.727227418,1.409980485
 01/05  08:00:00,1.028297115,1.96360487
 01/05  09:00:00,0.960838428,1.335009937
 01/05  10:00:00,0.822378753,1.191424856
 01/05  11:00:00,0.818495601,1.062065361
 01/05  12:00:00,0.829634338,0.773254721
 01/05  13:00:00,0.814788399,0.691001564
 01/05  14:00:00,0.792035895,0.643795236
 01/05  15:00:00,0.792231247,0.59774065
 01/05  16:00:00,0.854486111,0.604407745
 01/05  17:00:00,1.083675159,0.664819701
 01/05  18:00:00,1.50275718,0.792455075
 01/05  19:00:00,1.777478196,0.903617707
 01/05  20:00:00,1.728572974,0.922393966
 01/05  21:00:00,1.600127698,0.859870623
 01/05  22:00:00,1.458262622,0.780730233
 01/05  23:00:00,1.181615917,0.651764763
 01/05  24:00:00,0.906894026,0.513544315
 01/06  01:00:00,0.63979437,0.50205958
 01/06  02:00:00,0.54380544,0.896063459
 01/06  03:00:00,0.510705352,1.213138364
