Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.72902163,3.228843604
 01/01  02:00:00,0.625208852,3.533078084
 01/01  03:00:00,0.591007997,3.904081726
 01/01  04:00:00,0.585800214,4.21097555
 01/01  05:00:00,0.595429517,4.676851665
 01/01  06:00:00,0.651347743,5.071649499
 01/01  07:00:00,0.847884006,5.278041404
 01/01  08:00:00,1.135789221,5.329146237
 01/01  09:00:00,1.091149446,4.601156596
 01/01  10:00:00,0.939584405,3.698293018
 01/01  11:00:00,0.945331495,3.716982632
 01/01  12:00:00,0.932204933,2.435516355
 01/01  13:00:00,0.895627318,1.707294039
 01/01  14:00:00,0.856836339,1.203775502
 01/01  15:00:00,0.840611783,0.686159146
 01/01  16:00:00,0.902208913,0.69341259
 01/01  17:00:00,1.14412055,1.10723654
 01/01  18:00:00,1.590394401,1.932768042
 01/01  19:00:00,1.858068022,1.4967581
 01/01  20:00:00,1.810795074,1.520941054
 01/01  21:00:00,1.689588469,1.834052532
 01/01  22:00:00,1.553226068,2.065306907
 01/01  23:00:00,1.278843819,2.493171683
 01/01  24:00:00,1.003646495,2.99106516
 01/02  01:00:00,0.721142231,3.166328537
 01/02  02:00:00,0.625100452,3.669133208
 01/02  03:00:00,0.592669818,4.05836072
 01/02  04:00:00,0.59294586,4.523140312
 01/02  05:00:00,0.593457213,4.691251636
 01/02  06:00:00,0.642090885,4.845190147
 01/02  07:00:00,0.845255889,5.499347738
 01/02  08:00:00,1.113496898,5.192611331
 01/02  09:00:00,1.054590458,4.348562387
 01/02  10:00:00,0.888018887,3.363243332
 01/02  11:00:00,0.877610563,3.011147068
 01/02  12:00:00,0.86353825,1.766347384
 01/02  13:00:00,0.830048607,0.987355399
 01/02  14:00:00,0.803084929,0.775322412
 01/02  15:00:00,0.801486211,0.642248333
 01/02  16:00:00,0.865629187,0.667893428
 01/02  17:00:00,1.109141595,1.088457587
 01/02  18:00:00,1.557473485,1.958782045
 01/02  19:00:00,1.822610643,1.37006534
 01/02  20:00:00,1.774260364,1.341633485
 01/02  21:00:00,1.651632468,1.62894124
 01/02  22:00:00,1.517545022,1.987568439
 01/02  23:00:00,1.245998804,2.264292606
 01/02  24:00:00,0.979611373,2.636926774
 01/03  01:00:00,0.71526593,2.946951816
 01/03  02:00:00,0.613346551,3.230198397
 01/03  03:00:00,0.568690008,3.162836976
 01/03  04:00:00,0.556799072,3.17318526
 01/03  05:00:00,0.560764094,3.470249557
 01/03  06:00:00,0.612757562,3.74972174
 01/03  07:00:00,0.813392037,4.309541226
 01/03  08:00:00,1.089609202,4.300762139
 01/03  09:00:00,1.029093272,3.396653578
 01/03  10:00:00,0.865721668,2.530893279
 01/03  11:00:00,0.86822444,2.660926017
 01/03  12:00:00,0.858187708,1.566801704
 01/03  13:00:00,0.826255264,0.845944367
 01/03  14:00:00,0.800827598,0.689772341
 01/03  15:00:00,0.801486211,0.64069885
 01/03  16:00:00,0.86514994,0.648886296
 01/03  17:00:00,1.099146346,0.714876224
 01/03  18:00:00,1.541372398,1.357682271
 01/03  19:00:00,1.812046266,0.975883872
 01/03  20:00:00,1.768651809,1.132540983
