Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.739416941,3.61712438
 01/01  02:00:00,0.635008188,3.898961808
 01/01  03:00:00,0.602699048,4.340726857
 01/01  04:00:00,0.60411785,4.895122816
 01/01  05:00:00,0.610231102,5.229669962
 01/01  06:00:00,0.669143071,5.736285434
 01/01  07:00:00,0.885723465,6.691305406
 01/01  08:00:00,1.177709122,6.894756417
 01/01  09:00:00,1.120709573,5.705156841
 01/01  10:00:00,0.956397833,4.326234424
 01/01  11:00:00,0.949436378,3.870315024
 01/01  12:00:00,0.926138778,2.208983002
 01/01  13:00:00,0.880925223,1.158222007
 01/01  14:00:00,0.844415631,0.738752149
 01/01  15:00:00,0.840611783,0.684135533
 01/01  16:00:00,0.902208913,0.691290596
 01/01  17:00:00,1.135064265,0.767982722
 01/01  18:00:00,1.57764819,1.456725299
 01/01  19:00:00,1.847711091,1.109985707
 01/01  20:00:00,1.806160908,1.347879429
 01/01  21:00:00,1.6858342,1.693847639
 01/01  22:00:00,1.557700768,2.232400962
 01/01  23:00:00,1.286915294,2.794625548
 01/01  24:00:00,1.013845595,3.371954533
 01/02  01:00:00,0.739959794,3.869112983
 01/02  02:00:00,0.645851917,4.444165233
 01/02  03:00:00,0.613894488,4.851075267
 01/02  04:00:00,0.610875546,5.192824369
 01/02  05:00:00,0.617997976,5.607818696
 01/02  06:00:00,0.677346132,6.161903503
 01/02  07:00:00,0.87193324,6.495683191
 01/02  08:00:00,1.165874472,7.148788754
 01/02  09:00:00,1.095967122,5.893882022
 01/02  10:00:00,0.91980835,4.550503904
 01/02  11:00:00,0.906592766,4.093582887
 01/02  12:00:00,0.880871603,2.413722827
 01/02  13:00:00,0.840477363,1.3768451
 01/02  14:00:00,0.800827598,0.690763967
 01/02  15:00:00,0.801486211,0.641233075
 01/02  16:00:00,0.86514994,0.648250278
 01/02  17:00:00,1.099146346,0.714054995
 01/02  18:00:00,1.542462227,1.398093242
 01/02  19:00:00,1.811974287,0.972641499
 01/02  20:00:00,1.768055634,1.10991338
 01/02  21:00:00,1.646142599,1.423910726
 01/02  22:00:00,1.513374667,1.83180534
 01/02  23:00:00,1.247134502,2.306695057
 01/02  24:00:00,0.98598198,2.874825982
 01/03  01:00:00,0.729492918,3.478227092
 01/03  02:00:00,0.635004306,4.039041981
 01/03  03:00:00,0.606742691,4.583958097
 01/03  04:00:00,0.607989452,5.085004158
 01/03  05:00:00,0.61404546,5.460227174
 01/03  06:00:00,0.669716361,5.87712724
 01/03  07:00:00,0.866753599,6.302645872
 01/03  08:00:00,1.15745971,6.834996468
 01/03  09:00:00,1.084982019,5.484080846
 01/03  10:00:00,0.907879907,4.105423702
 01/03  11:00:00,0.886976407,3.361318147
 01/03  12:00:00,0.863510958,1.765648826
 01/03  13:00:00,0.825525174,0.818680218
 01/03  14:00:00,0.800827598,0.688295226
 01/03  15:00:00,0.801486211,0.638919918
 01/03  16:00:00,0.86514994,0.646127552
 01/03  17:00:00,1.099146346,0.712135118
 01/03  18:00:00,1.531591484,0.991769971
 01/03  19:00:00,1.811974287,0.971443031
 01/03  20:00:00,1.76493477,0.99207845
 01/03  21:00:00,1.635657507,1.032580562
 01/03  22:00:00,1.504826739,1.512895309
 01/03  23:00:00,1.236957648,1.926866293
 01/03  24:00:00,0.975250744,2.474206444
 01/04  01:00:00,0.720889729,3.157029038
 01/04  02:00:00,0.625186903,3.672414837
 01/04  03:00:00,0.596320138,4.194715624
 01/04  04:00:00,0.594441502,4.579019794
 01/04  05:00:00,0.602326683,5.022615393
 01/04  06:00:00,0.658062139,5.442046514
 01/04  07:00:00,0.851914319,5.748835741
 01/04  08:00:00,1.131268687,5.857293227
 01/04  09:00:00,1.081290693,5.346675069
 01/04  10:00:00,0.925454671,4.762209108
 01/04  11:00:00,0.932277294,5.053513109
 01/04  12:00:00,0.909640938,3.48876904
 01/04  13:00:00,0.869761229,2.471030579
 01/04  14:00:00,0.822735055,1.509653633
 01/04  15:00:00,0.814964693,1.146064661
 01/04  16:00:00,0.874356489,0.994261748
 01/04  17:00:00,1.113572533,1.254394537
 01/04  18:00:00,1.561710237,2.117576523
