Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.700922121,2.179466695
 01/01  02:00:00,0.601331118,2.64136192
 01/01  03:00:00,0.570422577,3.135256072
 01/01  04:00:00,0.559304467,3.221389374
 01/01  05:00:00,0.562685262,3.453905416
 01/01  06:00:00,0.613272925,3.649542375
 01/01  07:00:00,0.828184095,4.542200658
 01/01  08:00:00,1.11216294,4.446566785
 01/01  09:00:00,1.050221951,3.072567068
 01/01  10:00:00,0.893848345,1.99016028
 01/01  11:00:00,0.882864231,1.384004462
 01/01  12:00:00,0.890846106,0.887938352
 01/01  13:00:00,0.871254445,0.790606283
 01/01  14:00:00,0.844415631,0.730661919
 01/01  15:00:00,0.840611783,0.675591656
 01/01  16:00:00,0.902208913,0.682502739
 01/01  17:00:00,1.135064265,0.758802972
 01/01  18:00:00,1.563156325,0.909447227
 01/01  19:00:00,1.846284602,1.051464433
 01/01  20:00:00,1.799179525,1.082491432
 01/01  21:00:00,1.667619391,1.011937351
 01/01  22:00:00,1.531764486,1.263819651
 01/01  23:00:00,1.259082553,1.755198794
 01/01  24:00:00,0.985976933,2.331156641
 01/02  01:00:00,0.719533033,3.106187725
 01/02  02:00:00,0.626795417,3.732387073
 01/02  03:00:00,0.600832083,4.363130582
 01/02  04:00:00,0.599922668,4.783646778
 01/02  05:00:00,0.605355455,5.135511155
 01/02  06:00:00,0.660884692,5.547044
 01/02  07:00:00,0.854957708,5.861670282
 01/02  08:00:00,1.12487943,5.61772124
 01/02  09:00:00,1.056979127,4.437773461
 01/02  10:00:00,0.878121696,2.993606862
 01/02  11:00:00,0.856175888,2.210632778
 01/02  12:00:00,0.838357346,0.825407719
 01/02  13:00:00,0.823443939,0.734703049
 01/02  14:00:00,0.800827598,0.682162112
 01/02  15:00:00,0.801486211,0.63204021
 01/02  16:00:00,0.86514994,0.638734951
 01/02  17:00:00,1.099146346,0.705647866
 01/02  18:00:00,1.527804395,0.846043831
 01/02  19:00:00,1.811974287,0.968764595
 01/02  20:00:00,1.76493477,0.989926173
 01/02  21:00:00,1.634952828,1.005651728
 01/02  22:00:00,1.503917525,1.478657501
 01/02  23:00:00,1.242400384,2.129910117
 01/02  24:00:00,0.984254695,2.810313456
 01/03  01:00:00,0.728026011,3.423414759
 01/03  02:00:00,0.633593292,3.986271044
 01/03  03:00:00,0.606235914,4.564994747
 01/03  04:00:00,0.60470756,4.962402284
 01/03  05:00:00,0.610113563,5.313302948
 01/03  06:00:00,0.667827325,5.806539827
 01/03  07:00:00,0.865743975,6.264935651
 01/03  08:00:00,1.134625146,5.982179879
 01/03  09:00:00,1.064371879,4.714341294
 01/03  10:00:00,0.887243031,3.334685643
 01/03  11:00:00,0.858679107,2.304481532
 01/03  12:00:00,0.838357346,0.826175529
 01/03  13:00:00,0.823443939,0.736647602
 01/03  14:00:00,0.800827598,0.68407842
 01/03  15:00:00,0.801486211,0.634661768
 01/03  16:00:00,0.86514994,0.640259634
 01/03  17:00:00,1.099146346,0.706530428
 01/03  18:00:00,1.527804395,0.847726184
 01/03  19:00:00,1.811974287,0.970209368
 01/03  20:00:00,1.76493477,0.991433096
 01/03  21:00:00,1.633956805,0.968938424
 01/03  22:00:00,1.501018354,1.370680897
 01/03  23:00:00,1.241688899,2.103576293
 01/03  24:00:00,0.98220193,2.733807359
 01/04  01:00:00,0.728758438,3.450860951
 01/04  02:00:00,0.634362196,4.015024184
 01/04  03:00:00,0.603918424,4.478447217
 01/04  04:00:00,0.60413356,4.940978771
 01/04  05:00:00,0.610031396,5.310331057
