Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.712729692,2.731571837
 01/01  02:00:00,0.617676144,3.222617941
 01/01  03:00:00,0.588029266,3.696802656
 01/01  04:00:00,0.578125576,3.819413768
 01/01  05:00:00,0.58539939,4.18657853
 01/01  06:00:00,0.635320329,4.354064346
 01/01  07:00:00,0.859466515,5.611374995
 01/01  08:00:00,1.12846097,4.729932734
 01/01  09:00:00,1.059619881,3.707077618
 01/01  10:00:00,0.914355662,2.882853504
 01/01  11:00:00,0.908535781,2.458770121
 01/01  12:00:00,0.896460993,1.324503534
 01/01  13:00:00,0.862598906,0.744038521
 01/01  14:00:00,0.835623927,0.690739905
 01/01  15:00:00,0.831356819,0.641252214
 01/01  16:00:00,0.891545084,0.648823719
 01/01  17:00:00,1.119593078,0.719254082
 01/01  18:00:00,1.559500479,1.582893163
 01/01  19:00:00,1.818144,1.20195293
 01/01  20:00:00,1.772552306,1.344662119
 01/01  21:00:00,1.652265151,1.530088149
 01/01  22:00:00,1.519256267,1.707609148
 01/01  23:00:00,1.247511498,1.970445294
 01/01  24:00:00,0.970494503,2.162226908
 01/02  01:00:00,0.694280209,2.325827703
 01/02  02:00:00,0.593946878,2.545638575
 01/02  03:00:00,0.556155642,2.684535755
 01/02  04:00:00,0.546134837,2.761701509
 01/02  05:00:00,0.546344232,2.903436376
 01/02  06:00:00,0.596553114,3.113717612
 01/02  07:00:00,0.811795306,4.23936179
 01/02  08:00:00,1.074186362,3.475661999
 01/02  09:00:00,0.997793671,2.589968142
 01/02  10:00:00,0.843331102,1.898466585
 01/02  11:00:00,0.834978438,1.610852066
 01/02  12:00:00,0.830385912,0.797760237
 01/02  13:00:00,0.814788399,0.692276208
 01/02  14:00:00,0.792035895,0.645801368
 01/02  15:00:00,0.792231247,0.600083754
 01/02  16:00:00,0.854486111,0.607520473
 01/02  17:00:00,1.083675159,0.669418019
 01/02  18:00:00,1.511555644,1.096818968
 01/02  19:00:00,1.777478196,0.908850207
 01/02  20:00:00,1.730788968,1.004318433
 01/02  21:00:00,1.611650851,1.255734923
 01/02  22:00:00,1.480458777,1.532521225
 01/02  23:00:00,1.216239844,1.814391067
 01/02  24:00:00,0.952132837,2.030452752
 01/03  01:00:00,0.693262681,2.287337611
 01/03  02:00:00,0.593998716,2.540618786
 01/03  03:00:00,0.563442525,2.926884374
 01/03  04:00:00,0.560211377,3.230701046
 01/03  05:00:00,0.565076204,3.533539131
 01/03  06:00:00,0.614343436,3.714807094
 01/03  07:00:00,0.831121156,4.905857422
 01/03  08:00:00,1.116939139,4.903117729
 01/03  09:00:00,1.024571744,3.519131503
 01/03  10:00:00,0.862242248,2.560558967
 01/03  11:00:00,0.864701536,2.621451387
 01/03  12:00:00,0.852096449,1.542074936
 01/03  13:00:00,0.822752478,0.96911831
 01/03  14:00:00,0.792035895,0.649298075
 01/03  15:00:00,0.792231247,0.604319867
 01/03  16:00:00,0.854769488,0.621904809
 01/03  17:00:00,1.096562917,1.1112877
 01/03  18:00:00,1.539758025,2.034891609
 01/03  19:00:00,1.799738465,1.661471064
 01/03  20:00:00,1.751950265,1.720813623
 01/03  21:00:00,1.629814129,1.868762798
 01/03  22:00:00,1.497205799,2.097905638
 01/03  23:00:00,1.231908224,2.3487942
 01/03  24:00:00,0.968423921,2.587690164
 01/04  01:00:00,0.70993302,2.86147114
 01/04  02:00:00,0.609022523,3.062254035
 01/04  03:00:00,0.571101556,3.202951509
 01/04  04:00:00,0.561834015,3.305178032
 01/04  05:00:00,0.566743452,3.605872086
 01/04  06:00:00,0.616683416,3.802496831
 01/04  07:00:00,0.806206693,4.071309292
 01/04  08:00:00,1.10711215,4.600808441
 01/04  09:00:00,1.016429316,3.236476273
 01/04  10:00:00,0.855850798,2.338415908
 01/04  11:00:00,0.848655066,2.081291258
 01/04  12:00:00,0.835165504,0.965272817
 01/04  13:00:00,0.814788399,0.695078621
 01/04  14:00:00,0.792035895,0.64880948
 01/04  15:00:00,0.792231247,0.603510632
 01/04  16:00:00,0.854486111,0.611214654
 01/04  17:00:00,1.087093903,0.791695977
 01/04  18:00:00,1.526301095,1.595053958
 01/04  19:00:00,1.789453692,1.317724801
 01/04  20:00:00,1.744580881,1.472372395
 01/04  21:00:00,1.623826131,1.665462346
 01/04  22:00:00,1.49052616,1.872167428
 01/04  23:00:00,1.226639859,2.169053323
 01/04  24:00:00,0.963618008,2.422570051
 01/05  01:00:00,0.703765896,2.650530618
 01/05  02:00:00,0.601641427,2.811070878
 01/05  03:00:00,0.563070916,2.931773814
 01/05  04:00:00,0.554564271,3.059915537
 01/05  05:00:00,0.555002174,3.206370431
 01/05  06:00:00,0.603980643,3.376220397
 01/05  07:00:00,0.792118962,3.595361299
 01/05  08:00:00,1.0710908,3.380631216
 01/05  09:00:00,0.998396083,2.616586746
 01/05  10:00:00,0.840854654,1.822444817
 01/05  11:00:00,0.838059938,1.720339113
 01/05  12:00:00,0.829634338,0.774135569
 01/05  13:00:00,0.814788399,0.693258997
 01/05  14:00:00,0.792035895,0.647083512
 01/05  15:00:00,0.792231247,0.60112402
 01/05  16:00:00,0.854486111,0.609303249
 01/05  17:00:00,1.083675159,0.670805258
 01/05  18:00:00,1.50781033,0.972907512
 01/05  19:00:00,1.777478196,0.910711216
 01/05  20:00:00,1.728572974,0.929703358
 01/05  21:00:00,1.600127698,0.867382446
 01/05  22:00:00,1.460468315,0.86363953
 01/05  23:00:00,1.193940396,1.076517763
 01/05  24:00:00,0.928127909,1.232956404
 01/06  01:00:00,0.667209545,1.412670938
 01/06  02:00:00,0.565225509,1.568477074
 01/06  03:00:00,0.528371783,1.737143127
 01/06  04:00:00,0.521213968,1.905256686
 01/06  05:00:00,0.521188081,2.036257929
 01/06  06:00:00,0.571751387,2.263621574
 01/06  07:00:00,0.781552155,3.208441972
 01/06  08:00:00,1.046106907,2.513890829
 01/06  09:00:00,0.974402582,1.790047073
 01/06  10:00:00,0.832069433,1.513547969
 01/06  11:00:00,0.835919926,1.638834324
 01/06  12:00:00,0.829634338,0.774199157
 01/06  13:00:00,0.814788399,0.692704735
 01/06  14:00:00,0.792035895,0.644990947
 01/06  15:00:00,0.792231247,0.599996963
 01/06  16:00:00,0.854486111,0.606322012
 01/06  17:00:00,1.083675159,0.667820762
 01/06  18:00:00,1.50275718,0.796149537
 01/06  19:00:00,1.777478196,0.907472179
 01/06  20:00:00,1.728572974,0.926493348
 01/06  21:00:00,1.600127698,0.864112124
 01/06  22:00:00,1.458262622,0.78488928
 01/06  23:00:00,1.181615917,0.655846589
 01/06  24:00:00,0.916012279,0.824687736
 01/07  01:00:00,0.669028837,1.264832983
 01/07  02:00:00,0.569590525,1.586688392
 01/07  03:00:00,0.536407578,1.922245195
 01/07  04:00:00,0.535444677,2.345164897
 01/07  05:00:00,0.538575174,2.54346855
 01/07  06:00:00,0.594066046,2.919704859
 01/07  07:00:00,0.81223596,3.968308364
 01/07  08:00:00,1.080106347,3.059065366
 01/07  09:00:00,1.015212364,2.180290822
 01/07  10:00:00,0.86957189,1.348112699
 01/07  11:00:00,0.871005977,1.185263509
 01/07  12:00:00,0.882123098,0.832666057
 01/07  13:00:00,0.862598906,0.744185395
 01/07  14:00:00,0.835623927,0.689654247
 01/07  15:00:00,0.831356819,0.639689812
 01/07  16:00:00,0.891545084,0.648315341
 01/07  17:00:00,1.119593078,0.721457987
 01/07  18:00:00,1.547162246,1.171629146
 01/07  19:00:00,1.811788512,0.991903985
 01/07  20:00:00,1.767225575,1.172096714
 01/07  21:00:00,1.642874515,1.221963477
 01/07  22:00:00,1.514158882,1.54569878
 01/07  23:00:00,1.240877889,1.752353505
 01/07  24:00:00,0.974541401,2.2922181
 01/08  01:00:00,0.720713652,2.991964487
 01/08  02:00:00,0.614045969,3.091707286
 01/08  03:00:00,0.570765608,3.107400674
 01/08  04:00:00,0.559311238,3.1810418
 01/08  05:00:00,0.563526266,3.419225231
 01/08  06:00:00,0.61591285,3.683171721
 01/08  07:00:00,0.833954669,4.732721604
 01/08  08:00:00,1.102332939,3.831346743
 01/08  09:00:00,1.041091353,3.072619419
 01/08  10:00:00,0.899575682,2.38049511
 01/08  11:00:00,0.911258333,2.546644521
 01/08  12:00:00,0.900223181,1.456926998
 01/08  13:00:00,0.869777484,0.997402669
 01/08  14:00:00,0.838225459,0.787865663
 01/08  15:00:00,0.831356819,0.648686099
 01/08  16:00:00,0.891545084,0.655649234
 01/08  17:00:00,1.126095175,0.947942192
 01/08  18:00:00,1.570891298,1.958751447
 01/08  19:00:00,1.831318273,1.651896719
 01/08  20:00:00,1.793476742,2.052661001
 01/08  21:00:00,1.677273858,2.375877982
 01/08  22:00:00,1.551695595,2.808372463
 01/08  23:00:00,1.28328929,3.194558769
 01/08  24:00:00,1.007095494,3.419044478
 01/09  01:00:00,0.731420892,3.615651494
 01/09  02:00:00,0.635911377,4.003657685
 01/09  03:00:00,0.602388547,4.287561547
 01/09  04:00:00,0.597186208,4.52746915
 01/09  05:00:00,0.59872301,4.713058538
 01/09  06:00:00,0.641615218,4.671142683
 01/09  07:00:00,0.827099107,4.811189924
 01/09  08:00:00,1.096838864,4.285182077
 01/09  09:00:00,1.024632824,3.527338256
 01/09  10:00:00,0.869493884,2.808409639
 01/09  11:00:00,0.862901835,2.568247085
 01/09  12:00:00,0.849882938,1.472629806
 01/09  13:00:00,0.819122374,0.849416591
 01/09  14:00:00,0.792035895,0.653478464
 01/09  15:00:00,0.792231247,0.608096728
 01/09  16:00:00,0.854486111,0.615484926
 01/09  17:00:00,1.089527851,0.87823345
 01/09  18:00:00,1.523882169,1.515411612
 01/09  19:00:00,1.786409697,1.218812605
 01/09  20:00:00,1.738364714,1.267281263
 01/09  21:00:00,1.617041639,1.440856552
 01/09  22:00:00,1.4821083,1.59190889
 01/09  23:00:00,1.218722423,1.902671652
 01/09  24:00:00,0.954195836,2.099246965
 01/10  01:00:00,0.694878994,2.341030823
 01/10  02:00:00,0.591901105,2.469658774
 01/10  03:00:00,0.554937101,2.642198103
 01/10  04:00:00,0.546090828,2.753111112
 01/10  05:00:00,0.548356997,2.965155545
 01/10  06:00:00,0.597935256,3.157721813
 01/10  07:00:00,0.789410179,3.49536069
 01/10  08:00:00,1.0689183,3.298737836
 01/10  09:00:00,0.996844662,2.558557623
 01/10  10:00:00,0.846825213,2.022325382
 01/10  11:00:00,0.847610204,2.040122667
 01/10  12:00:00,0.83376584,0.921114156
 01/10  13:00:00,0.814788399,0.698358654
 01/10  14:00:00,0.792035895,0.652206215
 01/10  15:00:00,0.792231247,0.606311622
 01/10  16:00:00,0.854486111,0.613837779
 01/10  17:00:00,1.083675159,0.676070171
 01/10  18:00:00,1.510833228,1.080320318
 01/10  19:00:00,1.777478196,0.916977923
 01/10  20:00:00,1.728572974,0.936229955
 01/10  21:00:00,1.601761645,0.929130966
 01/10  22:00:00,1.468294287,1.133983774
 01/10  23:00:00,1.199326872,1.258552644
 01/10  24:00:00,0.933673648,1.416797784
 01/11  01:00:00,0.675033228,1.671641338
 01/11  02:00:00,0.573303402,1.839943069
 01/11  03:00:00,0.535587178,1.981377391
 01/11  04:00:00,0.527722948,2.129010348
 01/11  05:00:00,0.527525378,2.255844906
 01/11  06:00:00,0.579562829,2.535163307
 01/11  07:00:00,0.766794749,2.725679127
 01/11  08:00:00,1.0669503,3.231812857
 01/11  09:00:00,0.982065016,2.059677368
 01/11  10:00:00,0.826291034,1.326178609
 01/11  11:00:00,0.823511011,1.231384512
 01/11  12:00:00,0.829634338,0.776606752
 01/11  13:00:00,0.814788399,0.695193913
 01/11  14:00:00,0.792035895,0.649471528
 01/11  15:00:00,0.792231247,0.601506116
 01/11  16:00:00,0.854486111,0.608937129
 01/11  17:00:00,1.083675159,0.671023874
 01/11  18:00:00,1.50275718,0.801239471
 01/11  19:00:00,1.777478196,0.914294199
 01/11  20:00:00,1.728572974,0.933467463
 01/11  21:00:00,1.600127698,0.871395905
 01/11  22:00:00,1.4583552,0.794784731
 01/11  23:00:00,1.193517404,1.065254297
 01/11  24:00:00,0.937299198,1.541284406
 01/12  01:00:00,0.681687696,1.894219071
 01/12  02:00:00,0.589043273,2.367490018
 01/12  03:00:00,0.570513019,3.154142954
 01/12  04:00:00,0.558942832,3.188270591
 01/12  05:00:00,0.560985358,3.403543322
 01/12  06:00:00,0.612047493,3.650191404
 01/12  07:00:00,0.831718847,4.928147199
 01/12  08:00:00,1.088375543,3.991055131
 01/12  09:00:00,1.011620116,3.09158329
 01/12  10:00:00,0.849427004,2.132587743
 01/12  11:00:00,0.845002562,1.968311096
 01/12  12:00:00,0.829634338,0.780126177
 01/12  13:00:00,0.814788399,0.698232744
 01/12  14:00:00,0.792035895,0.650988718
 01/12  15:00:00,0.792231247,0.604931508
 01/12  16:00:00,0.854486111,0.612654147
 01/12  17:00:00,1.083675159,0.675587967
 01/12  18:00:00,1.517562755,1.313313219
 01/12  19:00:00,1.779656823,0.994539476
 01/12  20:00:00,1.730863461,1.017875623
 01/12  21:00:00,1.612254307,1.288849291
 01/12  22:00:00,1.479710607,1.519585392
 01/12  23:00:00,1.215410394,1.797904936
 01/12  24:00:00,0.950848286,1.994861854
 01/13  01:00:00,0.688628393,2.142195763
 01/13  02:00:00,0.586416508,2.297686278
