Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.66104396,1.043529605
 01/01  02:00:00,0.564165825,1.493839443
 01/01  03:00:00,0.531891379,1.887246952
 01/01  04:00:00,0.528039043,2.229836116
 01/01  05:00:00,0.534500656,2.556122502
 01/01  06:00:00,0.590639208,2.947289384
 01/01  07:00:00,0.788840121,3.313588917
 01/01  08:00:00,1.07923219,3.116740591
 01/01  09:00:00,1.019606575,2.367943819
 01/01  10:00:00,0.877096305,1.617775334
 01/01  11:00:00,0.877416937,1.416797085
 01/01  12:00:00,0.882123098,0.826790054
 01/01  13:00:00,0.862598906,0.737226214
 01/01  14:00:00,0.835623927,0.683058259
 01/01  15:00:00,0.831356819,0.634218366
 01/01  16:00:00,0.891545084,0.640561685
 01/01  17:00:00,1.119593078,0.710212548
 01/01  18:00:00,1.53810911,0.848062183
 01/01  19:00:00,1.811788512,0.976562842
 01/01  20:00:00,1.762817728,1.00410606
 01/01  21:00:00,1.634983069,0.938086283
 01/01  22:00:00,1.49386948,0.847314953
 01/01  23:00:00,1.209909129,0.703579576
 01/01  24:00:00,0.924219507,0.610363594
 01/02  01:00:00,0.651116666,0.910358853
 01/02  02:00:00,0.55278701,1.219414262
 01/02  03:00:00,0.517982335,1.475168004
 01/02  04:00:00,0.511917609,1.692732019
 01/02  05:00:00,0.513637931,1.889801674
 01/02  06:00:00,0.563594096,2.089714487
 01/02  07:00:00,0.753231159,2.343498094
 01/02  08:00:00,1.034793086,2.193181605
 01/02  09:00:00,0.97055608,1.680855394
 01/02  10:00:00,0.821438137,1.153484589
 01/02  11:00:00,0.821699973,1.173858845
 01/02  12:00:00,0.829634338,0.76944404
 01/02  13:00:00,0.814788399,0.6878826
 01/02  14:00:00,0.792035895,0.641374534
 01/02  15:00:00,0.792231247,0.596078875
 01/02  16:00:00,0.854486111,0.602828798
 01/02  17:00:00,1.083675159,0.663667864
 01/02  18:00:00,1.50275718,0.792707028
