Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,0.736987672,3.526390853
 01/01  02:00:00,0.638035596,4.012136926
 01/01  03:00:00,0.599072304,4.20529236
 01/01  04:00:00,0.588426976,4.309140975
 01/01  05:00:00,0.590053629,4.476126021
 01/01  06:00:00,0.641032367,4.686438681
 01/01  07:00:00,0.850222846,5.365442791
 01/01  08:00:00,1.124236673,4.897668802
 01/01  09:00:00,1.089627755,4.544322857
 01/01  10:00:00,0.95379501,4.229012887
 01/01  11:00:00,0.973979434,4.786852976
 01/01  12:00:00,0.973221801,3.967316269
 01/01  13:00:00,0.923443959,2.746150752
 01/01  14:00:00,0.878926349,2.028762693
 01/01  15:00:00,0.870531044,1.803882844
 01/01  16:00:00,0.92510918,1.549194901
 01/01  17:00:00,1.162185479,1.781913898
 01/01  18:00:00,1.609600624,2.649998187
 01/01  19:00:00,1.873861586,2.086564323
 01/01  20:00:00,1.825407521,2.066656552
 01/01  21:00:00,1.700132336,2.227835787
 01/01  22:00:00,1.561372137,2.369530718
 01/01  23:00:00,1.282758191,2.639354643
 01/01  24:00:00,1.002521145,2.949005488
 01/02  01:00:00,0.722524655,3.217949265
 01/02  02:00:00,0.618297468,3.415006392
 01/02  03:00:00,0.578702395,3.536643603
 01/02  04:00:00,0.569394494,3.643475796
 01/02  05:00:00,0.568625369,3.763760442
 01/02  06:00:00,0.618005039,3.945551828
 01/02  07:00:00,0.820871089,4.588546093
 01/02  08:00:00,1.087103996,4.206793592
 01/02  09:00:00,1.046130193,4.032546971
 01/02  10:00:00,0.902375285,3.899360024
 01/02  11:00:00,0.91603533,4.446128784
 01/02  12:00:00,0.912787799,3.605602763
 01/02  13:00:00,0.889056596,3.191066806
 01/02  14:00:00,0.865749544,3.11558547
 01/02  15:00:00,0.864834108,3.007998539
 01/02  16:00:00,0.92623662,2.931254603
 01/02  17:00:00,1.156451916,2.855214189
 01/02  18:00:00,1.594420715,3.338572033
 01/02  19:00:00,1.858013065,2.692167596
 01/02  20:00:00,1.806993504,2.564092757
 01/02  21:00:00,1.67505155,2.503552227
 01/02  22:00:00,1.533094038,2.568251299
 01/02  23:00:00,1.2557305,2.627735487
 01/02  24:00:00,0.979512641,2.633235467
 01/03  01:00:00,0.713676851,2.887608681
 01/03  02:00:00,0.607585197,3.014978425
 01/03  03:00:00,0.568167407,3.143218787
 01/03  04:00:00,0.560313432,3.304304913
 01/03  05:00:00,0.560321907,3.453664224
 01/03  06:00:00,0.610635849,3.670434824
 01/03  07:00:00,0.803689138,3.947180253
 01/03  08:00:00,1.091307358,4.364232421
 01/03  09:00:00,1.036786067,3.684025318
 01/03  10:00:00,0.894870255,3.61949416
 01/03  11:00:00,0.894941619,3.65870792
 01/03  12:00:00,0.899736129,3.11850169
 01/03  13:00:00,0.877710033,2.767593175
 01/03  14:00:00,0.850777307,2.556667485
 01/03  15:00:00,0.838003963,2.00624465
 01/03  16:00:00,0.901308209,2.000577066
 01/03  17:00:00,1.137646853,2.153214571
 01/03  18:00:00,1.586908185,3.058313582
 01/03  19:00:00,1.850855843,2.425243459
 01/03  20:00:00,1.800731614,2.330606485
 01/03  21:00:00,1.676899937,2.572930205
 01/03  22:00:00,1.539176408,2.795730531
 01/03  23:00:00,1.268628168,3.109666189
 01/03  24:00:00,0.99914419,3.366583145
 01/04  01:00:00,0.734756558,3.674984235
 01/04  02:00:00,0.633141015,3.969537621
 01/04  03:00:00,0.594266701,4.118098843
 01/04  04:00:00,0.588034832,4.339809069
 01/04  05:00:00,0.589250173,4.534240141
 01/04  06:00:00,0.641822756,4.835505914
 01/04  07:00:00,0.850451827,5.694201056
 01/04  08:00:00,1.112990504,5.174617443
 01/04  09:00:00,1.055877599,4.397554373
 01/04  10:00:00,0.882217902,3.147418996
 01/04  11:00:00,0.873165935,2.845863503
 01/04  12:00:00,0.857826096,1.55361455
