Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,191212,-,-,-,35.37,-119.02,-8,130,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,5.9,0,0,0,0.16,1002,7.7,97,0.9
1999,1,1,1,30,5.300000000000001,0,0,0,0.16,1002,7.4,100,1
1999,1,1,2,30,4.7,0,0,0,0.16,1003,7.1000000000000005,101,1
1999,1,1,3,30,4.1000000000000005,0,0,0,0.16,1003,6.6000000000000005,103,1.1
1999,1,1,4,30,3.4000000000000004,0,0,0,0.16,1003,6.2,104,1.1
1999,1,1,5,30,2.4000000000000004,0,0,0,0.16,1004,5.7,103,1.2000000000000002
1999,1,1,6,30,1.3,0,0,0,0.16,1004,5.800000000000001,101,1.3
1999,1,1,7,30,0.2,22,0,22,0.16,1005,8.3,102,1.9000000000000001
1999,1,1,8,30,-1.4000000000000001,78,0,78,0.16,1005,12.100000000000001,107,2.5
1999,1,1,9,30,-3,150,49,168,0.16,1005,15.5,111,2.4000000000000004
1999,1,1,10,30,-4.4,66,914,494,0.16,1004,18.8,117,2
1999,1,1,11,30,-5.800000000000001,68,942,557,0.16,1003,21.200000000000003,135,1.7000000000000002
1999,1,1,12,30,-6.6000000000000005,67,944,556,0.16,1003,22.400000000000002,163,1.4000000000000001
1999,1,1,13,30,-6.9,65,917,493,0.16,1002,22.700000000000003,184,1.3
1999,1,1,14,30,-6.1000000000000005,58,857,374,0.16,1003,21.5,197,1.1
1999,1,1,15,30,2.7,46,726,214,0.16,1003,20.3,205,0.8
1999,1,1,16,30,-0.1,21,385,46,0.16,1003,15.8,170,0.9
1999,1,1,17,30,-2.2,0,0,0,0.16,1003,14.200000000000001,136,1
1999,1,1,18,30,-2.3000000000000003,0,0,0,0.16,1004,13.200000000000001,119,1.1
1999,1,1,19,30,-2.9000000000000004,0,0,0,0.16,1004,12.5,112,1.1
1999,1,1,20,30,-3.5,0,0,0,0.16,1004,11.8,104,1.1
1999,1,1,21,30,-4,0,0,0,0.16,1004,11.200000000000001,93,1.2000000000000002
1999,1,1,22,30,-4.4,0,0,0,0.16,1005,10.600000000000001,84,1.2000000000000002
1999,1,1,23,30,-4.800000000000001,0,0,0,0.16,1004,10.100000000000001,82,1.3
1999,1,2,0,30,-5.300000000000001,0,0,0,0.16,1004,9.5,83,1.3
1999,1,2,1,30,-5.800000000000001,0,0,0,0.16,1004,8.9,83,1.4000000000000001
1999,1,2,2,30,-6.300000000000001,0,0,0,0.16,1004,8.6,84,1.4000000000000001
1999,1,2,3,30,-6.800000000000001,0,0,0,0.16,1003,8.200000000000001,87,1.4000000000000001
1999,1,2,4,30,-7.2,0,0,0,0.16,1003,7.7,90,1.4000000000000001
1999,1,2,5,30,-7.6000000000000005,0,0,0,0.16,1003,7.1000000000000005,94,1.4000000000000001
1999,1,2,6,30,-7.9,0,0,0,0.16,1003,7,97,1.4000000000000001
1999,1,2,7,30,-7.4,21,421,49,0.16,1003,9.700000000000001,100,1.4000000000000001
1999,1,2,8,30,-4.800000000000001,45,757,222,0.16,1004,14.3,104,2.2
1999,1,2,9,30,-8.9,141,318,259,0.16,1003,18.2,107,3.1
1999,1,2,10,30,-9.5,152,510,392,0.16,1003,21.200000000000003,109,3.2
1999,1,2,11,30,-11,227,269,367,0.16,1002,23.3,114,3.1
1999,1,2,12,30,-11.9,193,442,423,0.16,1001,24.200000000000003,121,2.8000000000000003
1999,1,2,13,30,-12,63,937,503,0.16,1001,24.1,128,2.1
1999,1,2,14,30,-8.5,56,881,383,0.16,1001,22.6,143,1.2000000000000002
1999,1,2,15,30,0.7000000000000001,83,278,148,0.16,1001,21.3,153,0.8
1999,1,2,16,30,-2.8000000000000003,24,116,32,0.16,1001,16.7,151,0.9
1999,1,2,17,30,-4.9,0,0,0,0.16,1001,15,127,1
1999,1,2,18,30,-5,0,0,0,0.16,1001,13.600000000000001,113,1.1
1999,1,2,19,30,-5.300000000000001,0,0,0,0.16,1002,12.3,106,1.2000000000000002
1999,1,2,20,30,-5.1000000000000005,0,0,0,0.16,1002,11.200000000000001,100,1.3
1999,1,2,21,30,-4.9,0,0,0,0.16,1002,10.600000000000001,96,1.3
1999,1,2,22,30,-5.2,0,0,0,0.16,1002,10,95,1.4000000000000001
1999,1,2,23,30,-5.6000000000000005,0,0,0,0.16,1002,9.4,94,1.5
1999,1,3,0,30,-5.9,0,0,0,0.16,1003,9,93,1.9000000000000001
1999,1,3,1,30,-5.5,0,0,0,0.16,1003,8.8,91,2.4000000000000004
1999,1,3,2,30,-4.800000000000001,0,0,0,0.16,1003,8.9,90,2.9000000000000004
1999,1,3,3,30,-4.5,0,0,0,0.16,1003,9.3,91,3.4000000000000004
1999,1,3,4,30,-4.6000000000000005,0,0,0,0.16,1003,9.600000000000001,92,4
1999,1,3,5,30,-5.1000000000000005,0,0,0,0.16,1004,9.8,94,4.7
1999,1,3,6,30,-5.5,0,0,0,0.16,1004,10.100000000000001,97,5.1000000000000005
1999,1,3,7,30,-5.800000000000001,22,426,49,0.16,1005,11.9,100,5.4
1999,1,3,8,30,-5.6000000000000005,36,0,36,0.16,1006,14.9,101,5.7
1999,1,3,9,30,-5.7,151,52,170,0.16,1006,17.900000000000002,101,6.1000000000000005
1999,1,3,10,30,-7.2,152,0,152,0.16,1006,20.3,104,5.9
1999,1,3,11,30,-8.3,180,8,184,0.16,1006,21.700000000000003,108,4.9
1999,1,3,12,30,-8.700000000000001,238,133,307,0.16,1005,22.6,114,4.1000000000000005
1999,1,3,13,30,-8.8,164,461,382,0.16,1005,22.700000000000003,121,3.2
1999,1,3,14,30,-8.1,140,335,266,0.16,1006,21.400000000000002,129,1.9000000000000001
1999,1,3,15,30,0.2,81,310,154,0.16,1006,20.1,135,1.1
1999,1,3,16,30,-0.8,23,415,52,0.16,1006,15,137,1.2000000000000002
1999,1,3,17,30,-2.8000000000000003,0,0,0,0.16,1007,13.200000000000001,128,1.3
1999,1,3,18,30,-3.2,0,0,0,0.16,1007,11.9,118,1.4000000000000001
1999,1,3,19,30,-3.9000000000000004,0,0,0,0.16,1008,10.9,110,1.5
1999,1,3,20,30,-4.6000000000000005,0,0,0,0.16,1008,10.3,106,1.5
1999,1,3,21,30,-5.1000000000000005,0,0,0,0.16,1008,9.700000000000001,104,1.6
1999,1,3,22,30,-5.6000000000000005,0,0,0,0.16,1008,9.4,104,1.6
1999,1,3,23,30,-6.1000000000000005,0,0,0,0.16,1008,9.200000000000001,104,1.5
1999,1,4,0,30,-6.5,0,0,0,0.16,1008,9.1,102,1.5
1999,1,4,1,30,-6.7,0,0,0,0.16,1008,8.8,100,1.5
1999,1,4,2,30,-6.800000000000001,0,0,0,0.16,1008,8.3,101,1.5
1999,1,4,3,30,-7.1000000000000005,0,0,0,0.16,1008,7.7,102,1.6
1999,1,4,4,30,-7.4,0,0,0,0.16,1008,7.1000000000000005,104,1.6
1999,1,4,5,30,-7.800000000000001,0,0,0,0.16,1008,6.5,105,1.8
1999,1,4,6,30,-8.3,0,0,0,0.16,1009,6.800000000000001,104,2
1999,1,4,7,30,-8.1,21,0,21,0.16,1009,9.700000000000001,104,2.6
1999,1,4,8,30,-7.1000000000000005,20,0,20,0.16,1009,13.700000000000001,105,3.3000000000000003
1999,1,4,9,30,-7.9,79,0,79,0.16,1010,17.3,107,3.3000000000000003
1999,1,4,10,30,-8.5,123,0,123,0.16,1009,20.3,113,2.6
1999,1,4,11,30,-9.600000000000001,157,0,157,0.16,1009,22,128,1.7000000000000002
1999,1,4,12,30,-9.700000000000001,215,347,397,0.16,1008,22.700000000000003,170,1.2000000000000002
1999,1,4,13,30,-9.5,150,528,401,0.16,1008,22.400000000000002,222,1
1999,1,4,14,30,-6.4,133,387,279,0.16,1008,20.6,255,0.9
1999,1,4,15,30,2.5,78,359,163,0.16,1008,19.200000000000003,266,0.8
1999,1,4,16,30,-0.9,25,368,52,0.16,1008,16.3,150,0.8
1999,1,4,17,30,-3.2,0,0,0,0.16,1009,15.5,27,0.8
1999,1,4,18,30,-3.8000000000000003,0,0,0,0.16,1009,15,59,0.8
1999,1,4,19,30,-4.3,0,0,0,0.16,1009,14.8,73,0.8
1999,1,4,20,30,-4.5,0,0,0,0.16,1010,14.4,79,0.8
1999,1,4,21,30,-4.9,0,0,0,0.16,1010,13.8,80,0.8
1999,1,4,22,30,-5.1000000000000005,0,0,0,0.16,1010,13.100000000000001,77,0.9
1999,1,4,23,30,-5,0,0,0,0.16,1009,12.4,73,0.9
1999,1,5,0,30,-5,0,0,0,0.16,1009,12,70,0.9
1999,1,5,1,30,-5.1000000000000005,0,0,0,0.16,1009,11.8,70,1
1999,1,5,2,30,-5,0,0,0,0.16,1008,11.700000000000001,72,1
1999,1,5,3,30,-4.800000000000001,0,0,0,0.16,1008,11.5,76,1
1999,1,5,4,30,-5.1000000000000005,0,0,0,0.16,1008,11.100000000000001,80,1.1
