Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,225377,-,-,-,34.89,-117.02,-8,716,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,-6.4,0,0,0,0.21,931,3.2,358,1.8
1999,1,1,1,30,-6.5,0,0,0,0.21,932,2.8000000000000003,357,1.8
1999,1,1,2,30,-6.4,0,0,0,0.21,933,2.3000000000000003,356,1.9000000000000001
1999,1,1,3,30,-6.4,0,0,0,0.21,933,1.9000000000000001,356,1.9000000000000001
1999,1,1,4,30,-6.5,0,0,0,0.21,934,1.5,355,1.9000000000000001
1999,1,1,5,30,-6.6000000000000005,0,0,0,0.21,935,1.1,355,1.9000000000000001
1999,1,1,6,30,-6.7,0,0,0,0.21,936,1.7000000000000002,355,2
1999,1,1,7,30,-6.6000000000000005,24,542,75,0.21,936,4.6000000000000005,357,2.7
1999,1,1,8,30,-6.300000000000001,42,810,252,0.21,936,8.1,183,3.8000000000000003
1999,1,1,9,30,-6.5,162,264,266,0.21,936,10.9,12,4.5
1999,1,1,10,30,-7.1000000000000005,57,966,525,0.21,936,13.200000000000001,16,4.7
1999,1,1,11,30,-7.9,59,994,585,0.21,935,14.9,16,4.3
1999,1,1,12,30,-8.9,59,990,576,0.21,935,16,14,3.7
1999,1,1,13,30,-10.100000000000001,56,964,503,0.21,934,16.5,12,3.3000000000000003
1999,1,1,14,30,-11.200000000000001,50,902,374,0.21,934,15.600000000000001,8,2.4000000000000004
1999,1,1,15,30,-9.1,39,769,204,0.21,934,14.600000000000001,4,1.6
1999,1,1,16,30,-9.1,16,395,33,0.21,934,9.700000000000001,351,1.2000000000000002
1999,1,1,17,30,-10.600000000000001,0,0,0,0.21,935,8.700000000000001,346,1.3
1999,1,1,18,30,-11.100000000000001,0,0,0,0.21,935,8.3,342,1.3
1999,1,1,19,30,-11.600000000000001,0,0,0,0.21,935,7.9,337,1.4000000000000001
1999,1,1,20,30,-12,0,0,0,0.21,935,7.5,333,1.4000000000000001
1999,1,1,21,30,-12.4,0,0,0,0.21,935,7,333,1.5
1999,1,1,22,30,-12.700000000000001,0,0,0,0.21,935,6.2,335,1.6
1999,1,1,23,30,-13,0,0,0,0.21,935,5.300000000000001,339,1.6
1999,1,2,0,30,-13.200000000000001,0,0,0,0.21,936,4.5,345,1.7000000000000002
1999,1,2,1,30,-13.3,0,0,0,0.21,935,3.7,352,1.7000000000000002
1999,1,2,2,30,-13.3,0,0,0,0.21,935,2.9000000000000004,356,1.7000000000000002
1999,1,2,3,30,-13.200000000000001,0,0,0,0.21,935,2.2,358,1.7000000000000002
1999,1,2,4,30,-13.100000000000001,0,0,0,0.21,935,1.6,180,1.8
1999,1,2,5,30,-12.9,0,0,0,0.21,936,1,1,1.8
1999,1,2,6,30,-12.700000000000001,0,0,0,0.21,936,1.5,180,1.9000000000000001
1999,1,2,7,30,-12.100000000000001,24,566,76,0.21,936,4.3,358,2.5
1999,1,2,8,30,-11.9,40,834,256,0.21,937,7.9,178,3.1
1999,1,2,9,30,-12.200000000000001,49,939,418,0.21,937,10.9,5,3.6
1999,1,2,10,30,-13.200000000000001,54,989,533,0.21,936,13.600000000000001,12,4
1999,1,2,11,30,-15.200000000000001,56,1008,590,0.21,935,15.700000000000001,16,4.2
1999,1,2,12,30,-17.6,56,994,576,0.21,934,16.900000000000002,19,4
1999,1,2,13,30,-18.900000000000002,54,968,504,0.21,934,17.3,18,3.7
1999,1,2,14,30,-19.200000000000003,47,909,376,0.21,933,16.2,15,2.5
1999,1,2,15,30,-14,37,768,205,0.21,933,15,12,1.6
1999,1,2,16,30,-13,16,404,35,0.21,933,10.5,174,1.3
1999,1,2,17,30,-14.600000000000001,0,0,0,0.21,933,10,342,1.2000000000000002
1999,1,2,18,30,-14.9,0,0,0,0.21,933,9.8,335,1.2000000000000002
1999,1,2,19,30,-15.100000000000001,0,0,0,0.21,934,9.3,336,1.3
1999,1,2,20,30,-14.9,0,0,0,0.21,934,8.4,348,1.5
1999,1,2,21,30,-14.5,0,0,0,0.21,934,7.2,185,1.7000000000000002
1999,1,2,22,30,-13.8,0,0,0,0.21,935,5.9,16,1.8
1999,1,2,23,30,-13.100000000000001,0,0,0,0.21,935,4.9,21,1.8
1999,1,3,0,30,-12.200000000000001,0,0,0,0.21,935,4.1000000000000005,21,1.9000000000000001
1999,1,3,1,30,-11.200000000000001,0,0,0,0.21,936,3.5,20,1.9000000000000001
1999,1,3,2,30,-10.200000000000001,0,0,0,0.21,936,2.9000000000000004,20,2
1999,1,3,3,30,-9.5,0,0,0,0.21,936,2.3000000000000003,20,2
1999,1,3,4,30,-9.1,0,0,0,0.21,937,1.6,21,2
1999,1,3,5,30,-8.9,0,0,0,0.21,938,0.9,23,1.9000000000000001
1999,1,3,6,30,-8.9,0,0,0,0.21,938,1.3,24,1.8
1999,1,3,7,30,-8.8,25,568,77,0.21,939,3.9000000000000004,20,2.3000000000000003
1999,1,3,8,30,-8.700000000000001,43,840,260,0.21,939,7.7,23,3.4000000000000004
1999,1,3,9,30,-8.700000000000001,53,945,424,0.21,940,10.8,35,4.2
1999,1,3,10,30,-9.1,59,993,542,0.21,939,13.100000000000001,38,4.5
1999,1,3,11,30,-9.9,61,1012,599,0.21,938,14.4,33,4.2
1999,1,3,12,30,-10.700000000000001,61,1010,590,0.21,938,15.3,28,3.9000000000000004
1999,1,3,13,30,-11.5,57,985,518,0.21,938,15.5,27,3.6
1999,1,3,14,30,-12,56,865,370,0.21,938,14.600000000000001,26,2.7
1999,1,3,15,30,-10.700000000000001,44,638,184,0.21,938,13.700000000000001,25,1.9000000000000001
1999,1,3,16,30,-9.8,17,424,38,0.21,938,8.8,21,1.3
1999,1,3,17,30,-10.9,0,0,0,0.21,938,8.3,20,1.3
1999,1,3,18,30,-11.3,0,0,0,0.21,939,8.200000000000001,16,1.1
