Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,201999,-,-,-,37.37,-118.38,-8,1253,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,-16,0,0,0,0.22,873,-7.7,320,1.6
2019,1,1,1,30,-16.3,0,0,0,0.22,873,-8,319,1.5
2019,1,1,2,30,-16.6,0,0,0,0.22,873,-8.200000000000001,321,1.6
2019,1,1,3,30,-16.900000000000002,0,0,0,0.22,874,-8.5,321,1.6
2019,1,1,4,30,-17.1,0,0,0,0.22,874,-8.6,318,1.5
2019,1,1,5,30,-17.3,0,0,0,0.22,874,-8.700000000000001,315,1.5
2019,1,1,6,30,-17.7,0,0,0,0.22,875,-8.4,312,1.5
2019,1,1,7,30,-18.1,21,417,44,0.22,876,-6.6000000000000005,309,2.1
2019,1,1,8,30,-18.3,39,811,215,0.22,877,-3.5,313,3
2019,1,1,9,30,-19.6,50,930,376,0.22,877,-0.6000000000000001,324,3.5
2019,1,1,10,30,-20.400000000000002,59,982,494,0.22,876,1.6,335,3.7
2019,1,1,11,30,-20.400000000000002,60,1010,555,0.22,876,3,341,3.5
2019,1,1,12,30,-20.200000000000003,62,1001,550,0.22,875,3.8000000000000003,345,3.5
2019,1,1,13,30,-19.700000000000003,61,953,477,0.22,875,3.9000000000000004,347,3.6
2019,1,1,14,30,-19.200000000000003,54,878,352,0.22,876,3.2,344,3.6
2019,1,1,15,30,-18.7,43,728,191,0.22,876,2.7,342,3.4000000000000004
2019,1,1,16,30,-16.8,18,242,28,0.22,877,-0.4,336,2.2
2019,1,1,17,30,-16.7,0,0,0,0.22,877,-1.3,331,2.2
2019,1,1,18,30,-16.900000000000002,0,0,0,0.22,877,-1.8,324,2
2019,1,1,19,30,-16.8,0,0,0,0.22,878,-2.1,315,1.8
2019,1,1,20,30,-16.5,0,0,0,0.22,878,-2.1,309,1.7000000000000002
2019,1,1,21,30,-16,0,0,0,0.22,878,-2.3000000000000003,303,1.5
2019,1,1,22,30,-15.5,0,0,0,0.22,877,-2.5,301,1.3
2019,1,1,23,30,-14.8,0,0,0,0.22,877,-2.6,304,1.3
2019,1,2,0,30,-13.9,0,0,0,0.22,877,-2.5,308,1.3
2019,1,2,1,30,-13,0,0,0,0.22,877,-2.4000000000000004,311,1.3
2019,1,2,2,30,-12.200000000000001,0,0,0,0.22,877,-2.4000000000000004,311,1.3
2019,1,2,3,30,-11.4,0,0,0,0.22,877,-2.3000000000000003,307,1.3
2019,1,2,4,30,-10.600000000000001,0,0,0,0.22,877,-2.3000000000000003,303,1.2000000000000002
2019,1,2,5,30,-9.8,0,0,0,0.22,878,-2.3000000000000003,305,1.2000000000000002
2019,1,2,6,30,-9.1,0,0,0,0.22,878,-2,309,1.2000000000000002
2019,1,2,7,30,-8.6,20,383,41,0.22,879,-0.4,309,1.4000000000000001
2019,1,2,8,30,-7.5,36,772,204,0.22,879,2.4000000000000004,316,2
2019,1,2,9,30,-6,48,893,361,0.22,879,5,326,2.4000000000000004
2019,1,2,10,30,-5,57,943,476,0.22,879,7.1000000000000005,333,2.4000000000000004
2019,1,2,11,30,-4.4,59,968,535,0.22,878,8.6,338,2.3000000000000003
2019,1,2,12,30,-4.2,61,964,533,0.22,878,9.600000000000001,348,2.3000000000000003
2019,1,2,13,30,-4.1000000000000005,59,933,468,0.22,878,9.8,180,2.3000000000000003
2019,1,2,14,30,-4.1000000000000005,53,871,350,0.22,878,9,10,1.7000000000000002
2019,1,2,15,30,-3.2,42,738,193,0.22,878,8.200000000000001,15,1.2000000000000002
2019,1,2,16,30,-4.800000000000001,18,286,30,0.23,879,4.800000000000001,28,0.8
2019,1,2,17,30,-5.6000000000000005,0,0,0,0.23,879,4,168,0.6000000000000001
2019,1,2,18,30,-5.800000000000001,0,0,0,0.23,879,3.5,301,0.6000000000000001
2019,1,2,19,30,-5.800000000000001,0,0,0,0.23,879,3.1,285,0.8
2019,1,2,20,30,-5.800000000000001,0,0,0,0.23,879,2.8000000000000003,282,0.9
2019,1,2,21,30,-5.9,0,0,0,0.23,879,2.8000000000000003,277,0.9
2019,1,2,22,30,-6,0,0,0,0.23,879,2.8000000000000003,271,0.9
2019,1,2,23,30,-6.2,0,0,0,0.23,879,2.9000000000000004,266,0.9
2019,1,3,0,30,-6.5,0,0,0,0.23,879,3.2,263,0.8
2019,1,3,1,30,-6.800000000000001,0,0,0,0.23,879,3.5,264,0.8
2019,1,3,2,30,-7.300000000000001,0,0,0,0.23,878,3.7,268,0.8
2019,1,3,3,30,-7.9,0,0,0,0.23,878,3.7,272,0.8
2019,1,3,4,30,-8.5,0,0,0,0.23,878,3.9000000000000004,273,0.8
2019,1,3,5,30,-9,0,0,0,0.23,878,4.1000000000000005,271,0.8
2019,1,3,6,30,-9.600000000000001,0,0,0,0.23,879,4.3,264,0.8
2019,1,3,7,30,-9.9,21,348,40,0.23,879,5.1000000000000005,252,0.8
2019,1,3,8,30,-8,41,740,202,0.23,879,7.2,239,1.1
2019,1,3,9,30,-6.9,51,873,357,0.23,879,9.8,226,1.4000000000000001
2019,1,3,10,30,-6.5,56,932,471,0.23,878,12,215,1.3
2019,1,3,11,30,-6.300000000000001,59,957,531,0.23,877,13.600000000000001,201,1.1
2019,1,3,12,30,-5.9,60,956,529,0.23,877,14.200000000000001,168,1
2019,1,3,13,30,-5.300000000000001,57,930,466,0.23,877,14.100000000000001,137,1
2019,1,3,14,30,-3.3000000000000003,51,864,348,0.23,877,12.700000000000001,127,0.9
2019,1,3,15,30,-2.6,41,722,191,0.23,877,11.600000000000001,126,0.8
2019,1,3,16,30,-5,19,280,31,0.23,877,8.8,155,0.8
2019,1,3,17,30,-6.2,0,0,0,0.23,877,7.800000000000001,178,0.8
2019,1,3,18,30,-6.5,0,0,0,0.23,877,7.5,195,0.9
2019,1,3,19,30,-6.6000000000000005,0,0,0,0.23,877,7.4,203,1
2019,1,3,20,30,-6.4,0,0,0,0.23,877,7.1000000000000005,203,1.1
2019,1,3,21,30,-6.300000000000001,0,0,0,0.23,877,6.9,199,1.1
2019,1,3,22,30,-6.1000000000000005,0,0,0,0.23,876,6.6000000000000005,196,1.2000000000000002
2019,1,3,23,30,-6,0,0,0,0.23,876,6.1000000000000005,194,1.2000000000000002
2019,1,4,0,30,-6.1000000000000005,0,0,0,0.23,875,5.5,196,1.2000000000000002
2019,1,4,1,30,-6.300000000000001,0,0,0,0.23,875,5.1000000000000005,200,1.1
