Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,163457,-,-,-,39.25,-120.7,-8,1455,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,-4.5,0,0,0,0.65,862,-1.2000000000000002,86,0.30000000000000004
1999,1,1,1,30,-4.6000000000000005,0,0,0,0.65,862,-1.4000000000000001,91,0.30000000000000004
1999,1,1,2,30,-4.9,0,0,0,0.65,863,-1.6,96,0.30000000000000004
1999,1,1,3,30,-5.2,0,0,0,0.65,863,-1.8,98,0.30000000000000004
1999,1,1,4,30,-5.4,0,0,0,0.65,863,-2,102,0.30000000000000004
1999,1,1,5,30,-5.9,0,0,0,0.65,864,-2,106,0.30000000000000004
1999,1,1,6,30,-6.7,0,0,0,0.65,864,-1.7000000000000002,106,0.30000000000000004
1999,1,1,7,30,-7.5,0,0,0,0.65,865,-0.7000000000000001,104,0.30000000000000004
1999,1,1,8,30,-7.4,34,743,163,0.65,865,1.7000000000000002,104,0.30000000000000004
1999,1,1,9,30,-5.7,47,884,318,0.65,865,4.7,102,0.30000000000000004
1999,1,1,10,30,-2.9000000000000004,53,953,438,0.65,865,7.300000000000001,100,0.2
1999,1,1,11,30,-0.7000000000000001,55,983,504,0.65,865,9.1,96,0.1
1999,1,1,12,30,0.30000000000000004,85,786,448,0.65,864,10,91,0.1
1999,1,1,13,30,1.2000000000000002,52,964,457,0.65,864,10.100000000000001,87,0.1
1999,1,1,14,30,1.7000000000000002,46,908,347,0.65,864,8.9,86,0.1
1999,1,1,15,30,3.3000000000000003,36,783,195,0.65,864,7.6000000000000005,86,0.1
1999,1,1,16,30,0.9,16,442,37,0.65,865,2.8000000000000003,91,0.2
1999,1,1,17,30,-1.6,0,0,0,0.65,865,1.6,95,0.2
1999,1,1,18,30,-3.6,0,0,0,0.65,865,1,95,0.30000000000000004
1999,1,1,19,30,-5.4,0,0,0,0.65,865,0.8,94,0.30000000000000004
1999,1,1,20,30,-6.9,0,0,0,0.65,865,0.9,95,0.30000000000000004
1999,1,1,21,30,-7.7,0,0,0,0.65,865,0.8,95,0.30000000000000004
1999,1,1,22,30,-8,0,0,0,0.65,865,0.5,96,0.30000000000000004
1999,1,1,23,30,-8.200000000000001,0,0,0,0.65,865,0.1,96,0.30000000000000004
1999,1,2,0,30,-8.5,0,0,0,0.65,865,-0.1,94,0.30000000000000004
