Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,271877,-,-,-,33.61,-114.58,-8,81,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2012,1,1,0,30,-2.4000000000000004,0,0,0,0.22,1010,8.9,58,2.2
2012,1,1,1,30,-2.7,0,0,0,0.22,1011,8.3,54,2.2
2012,1,1,2,30,-3.1,0,0,0,0.22,1011,7.800000000000001,51,2.1
2012,1,1,3,30,-3.7,0,0,0,0.22,1011,7.4,49,2
2012,1,1,4,30,-4.2,0,0,0,0.22,1011,7.2,48,1.8
2012,1,1,5,30,-4.7,0,0,0,0.22,1012,7.2,48,1.8
2012,1,1,6,30,-5.300000000000001,0,0,0,0.22,1013,8.5,48,1.6
2012,1,1,7,30,-3.9000000000000004,38,521,108,0.22,1014,11.8,46,1.9000000000000001
2012,1,1,8,30,-5.1000000000000005,61,769,291,0.22,1014,15.5,42,2.3000000000000003
2012,1,1,9,30,-6,73,876,448,0.22,1014,18.8,31,2.3000000000000003
2012,1,1,10,30,-6.6000000000000005,74,943,559,0.22,1013,21.700000000000003,22,2.3000000000000003
2012,1,1,11,30,-6.9,78,958,604,0.22,1012,23.700000000000003,25,2.5
2012,1,1,12,30,-7.1000000000000005,78,958,589,0.22,1011,25.1,32,2.7
2012,1,1,13,30,-7.300000000000001,73,923,504,0.22,1010,25.5,35,2.5
2012,1,1,14,30,-6,65,844,363,0.22,1010,23.900000000000002,27,1.6
2012,1,1,15,30,1,48,672,184,0.22,1010,22.3,19,1
2012,1,1,16,30,-1.7000000000000002,13,195,18,0.22,1010,16.900000000000002,353,1.4000000000000001
2012,1,1,17,30,-2.8000000000000003,0,0,0,0.22,1011,14.700000000000001,348,1.7000000000000002
2012,1,1,18,30,-3.4000000000000004,0,0,0,0.22,1012,13.4,353,2
2012,1,1,19,30,-4.1000000000000005,0,0,0,0.22,1012,12.600000000000001,185,2.2
2012,1,1,20,30,-4.4,0,0,0,0.22,1012,12,20,2.3000000000000003
2012,1,1,21,30,-4.2,0,0,0,0.22,1012,11.600000000000001,37,2.3000000000000003
2012,1,1,22,30,-3.9000000000000004,0,0,0,0.22,1012,11.3,54,2.4000000000000004
2012,1,1,23,30,-3.8000000000000003,0,0,0,0.22,1012,11,66,2.5
2012,1,2,0,30,-4,0,0,0,0.22,1012,10.600000000000001,72,2.6
2012,1,2,1,30,-4.3,0,0,0,0.22,1012,10.100000000000001,71,2.7
2012,1,2,2,30,-4.5,0,0,0,0.22,1012,9.8,68,2.7
2012,1,2,3,30,-4.7,0,0,0,0.22,1012,9.600000000000001,66,2.7
2012,1,2,4,30,-4.7,0,0,0,0.22,1013,9.3,64,2.6
2012,1,2,5,30,-4.800000000000001,0,0,0,0.22,1013,9,64,2.5
2012,1,2,6,30,-4.9,0,0,0,0.22,1014,10.200000000000001,65,2.5
2012,1,2,7,30,-4.3,39,497,106,0.22,1014,13.600000000000001,66,3.2
2012,1,2,8,30,-4.9,64,746,286,0.22,1015,17.3,67,3.7
2012,1,2,9,30,-4.6000000000000005,78,853,443,0.22,1015,20.700000000000003,69,3.6
2012,1,2,10,30,-4.7,109,822,532,0.22,1014,23.700000000000003,72,3.6
2012,1,2,11,30,-4.7,113,843,578,0.22,1013,25.700000000000003,69,3.6
2012,1,2,12,30,-4.6000000000000005,110,840,560,0.22,1012,26.5,65,3.4000000000000004
2012,1,2,13,30,-4.6000000000000005,93,832,483,0.22,1011,26.5,62,3
2012,1,2,14,30,-3.2,80,742,344,0.22,1011,24.700000000000003,56,2
2012,1,2,15,30,2.5,57,564,172,0.22,1011,23.200000000000003,51,1.2000000000000002
2012,1,2,16,30,0.4,10,0,10,0.22,1011,19.200000000000003,24,1.3
2012,1,2,17,30,-0.5,0,0,0,0.22,1011,17.6,15,1.4000000000000001
2012,1,2,18,30,-0.7000000000000001,0,0,0,0.22,1012,16.3,13,1.6
2012,1,2,19,30,-1.2000000000000002,0,0,0,0.22,1012,15.200000000000001,16,1.8
2012,1,2,20,30,-1.9000000000000001,0,0,0,0.22,1012,14.200000000000001,21,1.8
2012,1,2,21,30,-2.5,0,0,0,0.22,1012,13.4,31,1.7000000000000002
2012,1,2,22,30,-2.6,0,0,0,0.22,1012,13,46,1.6
2012,1,2,23,30,-2.7,0,0,0,0.22,1012,12.9,62,1.6
2012,1,3,0,30,-2.7,0,0,0,0.22,1012,12.9,72,1.8
2012,1,3,1,30,-2.7,0,0,0,0.22,1012,12.600000000000001,78,2
2012,1,3,2,30,-2.6,0,0,0,0.22,1011,12.200000000000001,80,2.2
2012,1,3,3,30,-2.6,0,0,0,0.22,1011,11.8,81,2.4000000000000004
2012,1,3,4,30,-2.6,0,0,0,0.22,1012,11.8,82,2.6
2012,1,3,5,30,-2.5,0,0,0,0.22,1012,12.200000000000001,84,2.7
2012,1,3,6,30,-2.5,0,0,0,0.22,1013,13.4,86,2.9000000000000004
2012,1,3,7,30,-2,48,123,65,0.22,1013,15.8,90,3.4000000000000004
2012,1,3,8,30,-1.8,87,0,87,0.22,1013,18.7,93,3.9000000000000004
2012,1,3,9,30,-3,155,405,328,0.22,1013,21.5,91,3.9000000000000004
2012,1,3,10,30,-3.5,78,899,541,0.22,1012,23.900000000000002,82,3.3000000000000003
2012,1,3,11,30,-3.8000000000000003,80,922,589,0.22,1011,25.400000000000002,65,2.8000000000000003
