Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,203485,-,-,-,34.17,-118.3,-8,178,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,2.3000000000000003,0,0,0,0.15,989,8.5,33,2.9000000000000004
1999,1,1,1,30,1.4000000000000001,0,0,0,0.15,990,8.200000000000001,33,2.8000000000000003
1999,1,1,2,30,0.6000000000000001,0,0,0,0.15,990,7.9,35,2.9000000000000004
1999,1,1,3,30,-0.2,0,0,0,0.15,991,7.7,39,3.3000000000000003
1999,1,1,4,30,-1,0,0,0,0.15,992,7.6000000000000005,44,3.6
1999,1,1,5,30,-1.9000000000000001,0,0,0,0.15,993,7.5,49,3.9000000000000004
1999,1,1,6,30,-2.6,0,0,0,0.15,993,7.9,51,4.1000000000000005
1999,1,1,7,30,-2.7,25,483,66,0.15,994,9.700000000000001,51,4.4
1999,1,1,8,30,-2.5,46,771,242,0.15,994,12.700000000000001,53,4.5
1999,1,1,9,30,-2.5,57,888,405,0.15,994,15.9,55,4.2
1999,1,1,10,30,-1.9000000000000001,65,937,523,0.15,994,18.400000000000002,55,3.5
1999,1,1,11,30,-2.8000000000000003,66,963,584,0.15,993,20.200000000000003,51,2.5
1999,1,1,12,30,-3.2,66,956,577,0.15,992,21.200000000000003,36,1.7000000000000002
1999,1,1,13,30,-3,65,926,510,0.15,992,21.5,188,1.3
1999,1,1,14,30,-2.7,59,863,386,0.15,992,20.700000000000003,329,1.2000000000000002
1999,1,1,15,30,0.9,46,732,220,0.15,992,19.900000000000002,308,1.2000000000000002
1999,1,1,16,30,2.4000000000000004,21,389,47,0.14,992,14.3,321,1.5
1999,1,1,17,30,1.5,0,0,0,0.14,993,12.4,338,1.6
1999,1,1,18,30,0.9,0,0,0,0.14,993,11.5,175,1.7000000000000002
1999,1,1,19,30,-0.1,0,0,0,0.14,993,10.9,11,1.8
1999,1,1,20,30,-1.2000000000000002,0,0,0,0.14,993,10.5,25,2.1
1999,1,1,21,30,-2.4000000000000004,0,0,0,0.14,993,10.200000000000001,35,2.4000000000000004
1999,1,1,22,30,-3.6,0,0,0,0.14,993,10,42,2.7
1999,1,1,23,30,-4.5,0,0,0,0.14,993,9.8,46,3
1999,1,2,0,30,-5.1000000000000005,0,0,0,0.14,993,9.700000000000001,48,3.1
1999,1,2,1,30,-5.300000000000001,0,0,0,0.14,993,9.600000000000001,49,3.2
