Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,191241,-,-,-,34.21,-119.02,-8,65,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2021,1,1,0,30,6.1000000000000005,0,0,0,0.16,1020,10.4,12,4.1000000000000005
2021,1,1,1,30,5.6000000000000005,0,0,0,0.16,1020,10.3,9,3.8000000000000003
2021,1,1,2,30,5,0,0,0,0.16,1020,10.3,8,3.7
2021,1,1,3,30,4.4,0,0,0,0.16,1021,10.200000000000001,10,3.5
2021,1,1,4,30,3.6,0,0,0,0.16,1021,10.100000000000001,13,3.4000000000000004
2021,1,1,5,30,2.8000000000000003,0,0,0,0.16,1021,10.100000000000001,20,3.3000000000000003
2021,1,1,6,30,2.1,0,0,0,0.16,1022,10.600000000000001,27,3.3000000000000003
2021,1,1,7,30,1.9000000000000001,25,408,56,0.16,1023,12.600000000000001,31,3.5
2021,1,1,8,30,1.6,47,735,228,0.16,1023,15.100000000000001,35,3.8000000000000003
2021,1,1,9,30,1.3,60,857,391,0.16,1024,16.8,39,3.7
2021,1,1,10,30,1.7000000000000002,69,909,510,0.16,1024,18.2,40,3
2021,1,1,11,30,1.4000000000000001,74,930,573,0.16,1023,19.3,35,2.2
2021,1,1,12,30,0.1,75,923,570,0.16,1023,19.900000000000002,26,1.7000000000000002
2021,1,1,13,30,0.30000000000000004,73,893,506,0.16,1023,19.900000000000002,16,1.5
2021,1,1,14,30,1.1,68,817,383,0.16,1023,19.1,166,1.4000000000000001
2021,1,1,15,30,3.6,54,675,220,0.16,1023,18.5,323,1.3
2021,1,1,16,30,5.7,29,59,33,0.16,1024,15.4,315,1.8
2021,1,1,17,30,5.300000000000001,0,0,0,0.16,1024,14.5,326,1.9000000000000001
2021,1,1,18,30,5.4,0,0,0,0.16,1025,14,343,1.9000000000000001
2021,1,1,19,30,5.4,0,0,0,0.16,1025,13.600000000000001,187,1.6
2021,1,1,20,30,5.300000000000001,0,0,0,0.16,1025,13.4,26,1.4000000000000001
2021,1,1,21,30,4.9,0,0,0,0.16,1025,13.4,25,1.4000000000000001
2021,1,1,22,30,4.6000000000000005,0,0,0,0.16,1025,13.100000000000001,11,1.6
2021,1,1,23,30,4.4,0,0,0,0.16,1026,12.8,12,1.6
2021,1,2,0,30,4.5,0,0,0,0.16,1025,12.700000000000001,38,1.5
2021,1,2,1,30,4.4,0,0,0,0.16,1025,12.5,61,1.4000000000000001
2021,1,2,2,30,3.9000000000000004,0,0,0,0.16,1025,12.200000000000001,66,1.4000000000000001
2021,1,2,3,30,2.8000000000000003,0,0,0,0.16,1025,12,65,1.5
2021,1,2,4,30,2.4000000000000004,0,0,0,0.16,1026,11.9,67,1.5
2021,1,2,5,30,2.1,0,0,0,0.16,1026,12,70,1.4000000000000001
2021,1,2,6,30,2,0,0,0,0.16,1027,12.200000000000001,68,1.3
2021,1,2,7,30,2.5,28,121,37,0.16,1027,13.200000000000001,69,1.3
2021,1,2,8,30,3.9000000000000004,57,647,216,0.16,1028,15,91,1.1
2021,1,2,9,30,3,120,443,291,0.16,1028,16.8,165,0.8
2021,1,2,10,30,2.6,78,856,494,0.16,1027,18.5,243,0.6000000000000001
2021,1,2,11,30,1.9000000000000001,86,860,548,0.16,1026,19.400000000000002,245,0.8
2021,1,2,12,30,2,142,628,480,0.16,1026,19.5,234,1.2000000000000002
2021,1,2,13,30,3.5,198,319,353,0.16,1026,19,241,1.6
2021,1,2,14,30,4.5,157,113,201,0.16,1025,18.2,240,1.8
2021,1,2,15,30,5.7,92,143,127,0.16,1025,17.7,240,1.8
2021,1,2,16,30,7,28,29,30,0.16,1026,14.9,254,2
2021,1,2,17,30,7.1000000000000005,0,0,0,0.16,1026,14.100000000000001,267,1.9000000000000001
2021,1,2,18,30,7.7,0,0,0,0.16,1026,13.9,279,1.8
2021,1,2,19,30,7.800000000000001,0,0,0,0.16,1026,13.700000000000001,291,1.6
2021,1,2,20,30,7.6000000000000005,0,0,0,0.16,1026,13.5,307,1.5
2021,1,2,21,30,7.5,0,0,0,0.16,1026,13.100000000000001,326,1.4000000000000001
2021,1,2,22,30,7.300000000000001,0,0,0,0.16,1026,12.700000000000001,168,1.4000000000000001
2021,1,2,23,30,7.1000000000000005,0,0,0,0.16,1026,12.3,11,1.4000000000000001
2021,1,3,0,30,7,0,0,0,0.16,1026,12,27,1.4000000000000001
2021,1,3,1,30,6.9,0,0,0,0.16,1026,11.600000000000001,33,1.4000000000000001
2021,1,3,2,30,6.800000000000001,0,0,0,0.16,1026,11.200000000000001,33,1.5
2021,1,3,3,30,6.800000000000001,0,0,0,0.16,1026,11,38,1.5
2021,1,3,4,30,6.9,0,0,0,0.16,1026,10.8,48,1.5
2021,1,3,5,30,6.800000000000001,0,0,0,0.16,1026,10.600000000000001,56,1.4000000000000001
2021,1,3,6,30,6.7,0,0,0,0.16,1026,10.700000000000001,54,1.4000000000000001
2021,1,3,7,30,6.9,25,5,25,0.16,1027,11.9,53,1.6
2021,1,3,8,30,7.1000000000000005,69,510,194,0.16,1027,13.600000000000001,59,1.6
2021,1,3,9,30,7.1000000000000005,80,721,359,0.16,1027,15.4,74,1.1
2021,1,3,10,30,6.800000000000001,106,724,458,0.16,1026,16.7,145,0.8
2021,1,3,11,30,6.800000000000001,114,752,519,0.16,1025,17.3,224,0.9
2021,1,3,12,30,6.9,218,356,410,0.16,1025,17.6,246,1.2000000000000002
2021,1,3,13,30,7.1000000000000005,195,286,335,0.16,1024,17.8,256,1.3
