Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,213709,-,-,-,34.01,-117.7,-8,243,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,0,0,0,0,0.16,974,6.5,33,1.9000000000000001
1999,1,1,1,30,-1,0,0,0,0.16,975,6.2,31,2
1999,1,1,2,30,-2,0,0,0,0.16,976,6.1000000000000005,31,2.3000000000000003
1999,1,1,3,30,-2.8000000000000003,0,0,0,0.16,976,5.9,34,2.6
1999,1,1,4,30,-3.6,0,0,0,0.16,977,5.7,37,2.9000000000000004
1999,1,1,5,30,-4,0,0,0,0.16,978,5.6000000000000005,38,3.2
1999,1,1,6,30,-4.3,0,0,0,0.16,979,6.300000000000001,37,3.8000000000000003
1999,1,1,7,30,-4.3,25,532,74,0.16,979,8.6,36,4.5
1999,1,1,8,30,-4.1000000000000005,43,804,254,0.16,979,12.3,37,4.9
1999,1,1,9,30,-4.3,52,913,417,0.16,979,16,40,4.9
1999,1,1,10,30,-4.2,59,955,531,0.16,979,18.900000000000002,41,4.1000000000000005
1999,1,1,11,30,-4.800000000000001,60,977,588,0.16,978,20.8,38,3.2
1999,1,1,12,30,-5.300000000000001,59,976,582,0.16,978,21.900000000000002,33,2.4000000000000004
1999,1,1,13,30,-5.6000000000000005,58,948,513,0.16,977,22.200000000000003,24,1.9000000000000001
1999,1,1,14,30,-5.6000000000000005,52,888,386,0.16,977,21.1,16,1.4000000000000001
1999,1,1,15,30,-0.4,42,756,218,0.16,977,20,14,1.1
1999,1,1,16,30,0,19,410,44,0.16,978,13.5,5,1.1
1999,1,1,17,30,-1.4000000000000001,0,0,0,0.16,978,11.4,15,1.3
1999,1,1,18,30,-2,0,0,0,0.16,978,10.3,24,1.4000000000000001
1999,1,1,19,30,-3,0,0,0,0.16,979,9.600000000000001,32,1.5
1999,1,1,20,30,-4,0,0,0,0.16,979,9.1,38,1.6
1999,1,1,21,30,-5,0,0,0,0.16,979,8.700000000000001,42,1.7000000000000002
1999,1,1,22,30,-6,0,0,0,0.16,979,8.4,44,1.7000000000000002
1999,1,1,23,30,-6.800000000000001,0,0,0,0.16,979,8.200000000000001,44,1.8
1999,1,2,0,30,-7.300000000000001,0,0,0,0.16,979,8.1,44,1.9000000000000001
1999,1,2,1,30,-7.6000000000000005,0,0,0,0.16,979,7.9,44,2.1
1999,1,2,2,30,-7.800000000000001,0,0,0,0.16,978,7.800000000000001,44,2.1
1999,1,2,3,30,-7.9,0,0,0,0.16,978,7.7,44,2.2
1999,1,2,4,30,-8,0,0,0,0.16,978,7.800000000000001,44,2.4000000000000004
1999,1,2,5,30,-8.200000000000001,0,0,0,0.16,978,7.9,43,2.7
1999,1,2,6,30,-8.3,0,0,0,0.16,978,8.6,43,3.4000000000000004
1999,1,2,7,30,-8.4,25,549,76,0.16,979,11,43,4.3
1999,1,2,8,30,-8.4,42,825,258,0.16,979,14.3,42,4.6000000000000005
1999,1,2,9,30,-7.9,51,933,423,0.16,979,17.8,44,4.4
1999,1,2,10,30,-8.4,55,985,542,0.16,979,20.700000000000003,48,4
1999,1,2,11,30,-9.8,57,996,596,0.16,978,22.5,47,3.2
1999,1,2,12,30,-10.9,58,993,591,0.16,977,23.3,42,2.6
1999,1,2,13,30,-11.4,54,970,521,0.16,976,23.3,34,2
1999,1,2,14,30,-10.9,50,910,394,0.16,976,21.900000000000002,23,1.3
1999,1,2,15,30,-2,41,781,225,0.16,976,20.700000000000003,17,0.9
1999,1,2,16,30,-1.9000000000000001,19,435,46,0.16,976,14.3,186,1.1
1999,1,2,17,30,-3.1,0,0,0,0.16,977,12.3,19,1.3
1999,1,2,18,30,-3.7,0,0,0,0.16,977,11.200000000000001,31,1.4000000000000001
1999,1,2,19,30,-5,0,0,0,0.16,977,10.600000000000001,39,1.4000000000000001
1999,1,2,20,30,-6.1000000000000005,0,0,0,0.16,977,10,43,1.5
1999,1,2,21,30,-6.7,0,0,0,0.16,978,9.5,45,1.6
1999,1,2,22,30,-7.2,0,0,0,0.16,978,9.3,47,1.7000000000000002
1999,1,2,23,30,-7.4,0,0,0,0.16,978,9.200000000000001,49,1.8
1999,1,3,0,30,-7.9,0,0,0,0.16,978,9.200000000000001,49,2.1
1999,1,3,1,30,-8.200000000000001,0,0,0,0.16,978,9.4,47,2.6
1999,1,3,2,30,-8.1,0,0,0,0.16,978,9.700000000000001,45,3.2
1999,1,3,3,30,-7.6000000000000005,0,0,0,0.16,979,9.700000000000001,44,3.7
1999,1,3,4,30,-7,0,0,0,0.16,979,9.4,45,4.2
1999,1,3,5,30,-6.6000000000000005,0,0,0,0.16,980,9,45,4.5
1999,1,3,6,30,-6.300000000000001,0,0,0,0.16,980,9,44,4.6000000000000005
1999,1,3,7,30,-6.1000000000000005,26,530,75,0.16,981,10.700000000000001,43,4.800000000000001
1999,1,3,8,30,-5.800000000000001,45,816,258,0.16,981,13.9,45,5.2
1999,1,3,9,30,-5.800000000000001,54,940,429,0.16,982,17,49,5.6000000000000005
1999,1,3,10,30,-6.800000000000001,60,989,550,0.16,982,19,49,5.4
1999,1,3,11,30,-8,62,1010,611,0.16,981,20.200000000000003,46,4.800000000000001
1999,1,3,12,30,-9,64,1005,606,0.16,981,21,43,4.1000000000000005
1999,1,3,13,30,-9.9,60,982,535,0.16,981,21,42,3.5
1999,1,3,14,30,-10.100000000000001,57,919,406,0.16,981,19.900000000000002,40,2.5
1999,1,3,15,30,-4.4,46,790,233,0.16,981,18.900000000000002,39,1.8
1999,1,3,16,30,-3.2,22,432,50,0.16,982,13.100000000000001,28,1.2000000000000002
1999,1,3,17,30,-4.3,0,0,0,0.16,982,11.3,32,1.3
1999,1,3,18,30,-4.5,0,0,0,0.16,983,10.200000000000001,40,1.4000000000000001
1999,1,3,19,30,-4.9,0,0,0,0.16,983,9.3,46,1.5
1999,1,3,20,30,-5.5,0,0,0,0.16,983,8.700000000000001,50,1.6
1999,1,3,21,30,-6.2,0,0,0,0.16,983,8.3,51,1.8
1999,1,3,22,30,-6.7,0,0,0,0.16,984,8,51,1.8
1999,1,3,23,30,-7.1000000000000005,0,0,0,0.16,983,7.7,51,1.9000000000000001
1999,1,4,0,30,-7.4,0,0,0,0.16,983,7.4,50,1.9000000000000001
1999,1,4,1,30,-7.6000000000000005,0,0,0,0.16,983,7,49,2
1999,1,4,2,30,-7.800000000000001,0,0,0,0.16,983,6.7,49,2.1
1999,1,4,3,30,-8,0,0,0,0.16,983,6.4,50,2.2
1999,1,4,4,30,-8.200000000000001,0,0,0,0.16,984,6.300000000000001,51,2.3000000000000003
1999,1,4,5,30,-8.5,0,0,0,0.16,984,6.2,52,2.4000000000000004
1999,1,4,6,30,-8.6,0,0,0,0.16,984,7,52,2.7
1999,1,4,7,30,-8.3,32,178,48,0.16,985,9.8,51,3.5
1999,1,4,8,30,-8.1,49,815,262,0.16,985,13.5,50,3.9000000000000004
1999,1,4,9,30,-7.5,59,929,430,0.16,986,17.1,52,3.3000000000000003
1999,1,4,10,30,-8.200000000000001,65,982,552,0.16,985,20.1,52,2.3000000000000003
1999,1,4,11,30,-9.3,67,1003,613,0.16,984,21.8,40,1.5
1999,1,4,12,30,-9.700000000000001,67,1000,608,0.16,983,22.6,19,1.2000000000000002
1999,1,4,13,30,-9.5,64,977,538,0.16,983,22.700000000000003,180,1.1
1999,1,4,14,30,-8.9,58,905,404,0.16,983,21.3,344,0.9
1999,1,4,15,30,-0.5,46,778,233,0.16,983,20,337,0.7000000000000001
1999,1,4,16,30,-1.5,22,427,51,0.16,983,14.9,339,1
1999,1,4,17,30,-2.8000000000000003,0,0,0,0.16,983,13.5,174,1.1
1999,1,4,18,30,-3.2,0,0,0,0.16,984,12.700000000000001,12,1.1
1999,1,4,19,30,-3.8000000000000003,0,0,0,0.16,984,12.200000000000001,29,1.2000000000000002
1999,1,4,20,30,-4.6000000000000005,0,0,0,0.16,984,11.9,44,1.3
1999,1,4,21,30,-5.2,0,0,0,0.16,984,11.5,54,1.4000000000000001
1999,1,4,22,30,-5.300000000000001,0,0,0,0.16,984,11,60,1.4000000000000001
1999,1,4,23,30,-5.4,0,0,0,0.16,984,10.8,62,1.5
1999,1,5,0,30,-5.300000000000001,0,0,0,0.16,983,10.700000000000001,58,1.4000000000000001
1999,1,5,1,30,-5.300000000000001,0,0,0,0.16,983,10.700000000000001,48,1.4000000000000001
1999,1,5,2,30,-5.4,0,0,0,0.16,983,10.4,37,1.4000000000000001
1999,1,5,3,30,-5.7,0,0,0,0.16,983,9.8,32,1.4000000000000001
1999,1,5,4,30,-6.2,0,0,0,0.16,983,9.200000000000001,32,1.5
