Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,143180,-,-,-,37.97,-122.02,-8,28,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,-2.9000000000000004,0,0,0,0.12,1016,0.9,5,2.5
2019,1,1,1,30,-3.2,0,0,0,0.12,1017,0.7000000000000001,178,2.8000000000000003
2019,1,1,2,30,-3.3000000000000003,0,0,0,0.12,1017,0.6000000000000001,354,3
2019,1,1,3,30,-3.5,0,0,0,0.12,1017,0.1,354,2.8000000000000003
2019,1,1,4,30,-3.7,0,0,0,0.12,1018,-0.5,354,2.5
2019,1,1,5,30,-3.8000000000000003,0,0,0,0.12,1018,-0.9,353,2.4000000000000004
2019,1,1,6,30,-3.9000000000000004,0,0,0,0.12,1020,-1.1,354,2.4000000000000004
2019,1,1,7,30,-4,6,0,6,0.12,1020,0.2,354,2.9000000000000004
2019,1,1,8,30,-3.4000000000000004,34,703,156,0.12,1021,2.9000000000000004,355,3.3000000000000003
2019,1,1,9,30,-3.2,47,853,314,0.12,1021,5.7,179,3.1
2019,1,1,10,30,-4,56,915,436,0.12,1021,8.3,175,2.8000000000000003
2019,1,1,11,30,-4.4,59,942,506,0.12,1020,10,344,2.8000000000000003
2019,1,1,12,30,-4.4,60,942,516,0.12,1020,11.200000000000001,341,2.8000000000000003
2019,1,1,13,30,-4.5,60,916,467,0.12,1019,11.600000000000001,345,2.8000000000000003
2019,1,1,14,30,-4.5,56,852,361,0.12,1019,11.3,346,2
2019,1,1,15,30,-0.6000000000000001,46,723,214,0.12,1019,10.8,345,1.4000000000000001
2019,1,1,16,30,-0.8,30,270,50,0.12,1020,7.800000000000001,306,1
2019,1,1,17,30,-3,0,0,0,0.12,1020,6.7,291,1.2000000000000002
2019,1,1,18,30,-2.9000000000000004,0,0,0,0.12,1020,5.800000000000001,285,1.3
2019,1,1,19,30,-2.6,0,0,0,0.12,1020,5.1000000000000005,281,1.3
2019,1,1,20,30,-2.2,0,0,0,0.12,1020,4.5,277,1.4000000000000001
2019,1,1,21,30,-1.8,0,0,0,0.12,1020,4.2,277,1.4000000000000001
2019,1,1,22,30,-1.5,0,0,0,0.12,1020,4.1000000000000005,280,1.4000000000000001
2019,1,1,23,30,-1,0,0,0,0.12,1020,4.1000000000000005,290,1.4000000000000001
2019,1,2,0,30,-0.1,0,0,0,0.12,1020,4.2,305,1.3
2019,1,2,1,30,0.7000000000000001,0,0,0,0.12,1020,4,323,1.1
2019,1,2,2,30,1,0,0,0,0.12,1020,3.5,339,0.9
2019,1,2,3,30,1,0,0,0,0.12,1020,2.9000000000000004,348,0.8
2019,1,2,4,30,0.7000000000000001,0,0,0,0.12,1019,2.1,351,0.7000000000000001
2019,1,2,5,30,0.1,0,0,0,0.12,1020,1.3,355,0.8
2019,1,2,6,30,-0.7000000000000001,0,0,0,0.12,1020,0.6000000000000001,183,0.9
2019,1,2,7,30,-1.5,10,130,11,0.12,1021,1.3,14,0.9
2019,1,2,8,30,-1.1,37,646,149,0.12,1021,3.3000000000000003,30,0.8
2019,1,2,9,30,-1.1,49,816,305,0.12,1021,5.800000000000001,50,0.8
2019,1,2,10,30,-1.2000000000000002,55,889,425,0.12,1021,8.3,62,1
2019,1,2,11,30,-1.6,58,919,495,0.12,1020,10.3,54,1.2000000000000002
2019,1,2,12,30,-1.8,62,920,508,0.12,1019,11.700000000000001,44,1.5
2019,1,2,13,30,-1.2000000000000002,61,894,460,0.12,1019,12.200000000000001,40,1.6
2019,1,2,14,30,-0.4,56,834,357,0.12,1019,11.8,40,1.4000000000000001
2019,1,2,15,30,1.4000000000000001,46,709,212,0.12,1019,11.5,41,1.1
2019,1,2,16,30,2,26,394,56,0.13,1019,8.4,44,0.8
2019,1,2,17,30,0,0,0,0,0.13,1019,7.4,58,0.9
2019,1,2,18,30,-0.30000000000000004,0,0,0,0.13,1020,6.9,77,1
2019,1,2,19,30,-0.2,0,0,0,0.13,1020,6.6000000000000005,89,1.1
2019,1,2,20,30,-0.4,0,0,0,0.13,1020,6.300000000000001,97,1.1
2019,1,2,21,30,-1,0,0,0,0.13,1019,5.9,101,1
2019,1,2,22,30,-1.3,0,0,0,0.13,1019,5.6000000000000005,99,0.9
2019,1,2,23,30,-1.2000000000000002,0,0,0,0.13,1019,5.4,96,1
2019,1,3,0,30,-1.4000000000000001,0,0,0,0.13,1019,4.7,96,1.2000000000000002
2019,1,3,1,30,-1.9000000000000001,0,0,0,0.13,1019,3.9000000000000004,94,1.3
